,name,production,distributor,artist,time,score,rank,genre,runtime,sex,active_type
0,사랑에 연습이 있었다면 ,"엔에스씨컴퍼니, 디원미디어",카카오 M,임재현,2019.06.02~2019.06.08,44009459,1,가요 / 발라드,04:16,남성,솔로
1,누구 없소 ,YG Entertainment,YG Plus,이하이,2019.06.02~2019.06.08,43074538,2,가요 / 댄스,03:15,여성,솔로
2,2002,Atlantic Records UK,Warner Music,Anne-Marie,2019.06.02~2019.06.08,41877109,3,POP / 팝,03:07,여성,솔로
3,너에게 못했던 내 마지막 말은,Stone Music Entertainment,지니뮤직,다비치,2019.06.02~2019.06.08,38165624,4,가요 / 발라드,04:28,여성,듀엣
4,bad guy,"Darkroom, Interscope Records",Universal Music,Billie Eilish,2019.06.02~2019.06.08,33544212,5,POP / 락,03:14,여성,솔로
5,작은 것들을 위한 시 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,32741579,6,가요 / 랩/힙합,03:50,남성,그룹
6,주저하는 연인들을 위해,페포니 뮤직,카카오 M,잔나비,2019.06.02~2019.06.08,28586209,7,가요 / 인디,04:25,남성,밴드
7,FANCY,JYP Entertainment,Dreamus,TWICE,2019.06.02~2019.06.08,25750142,8,가요 / 댄스,03:34,여성,그룹
8,Goodbye,글러브엔터테인먼트,카카오 M,박효신,2019.06.02~2019.06.08,23823214,9,가요 / 발라드,04:48,남성,솔로
9,노래방에서,버스커버스커,카카오 M,장범준,2019.06.02~2019.06.08,23558147,10,가요 / 락,04:00,남성,솔로
10,사계 ,SM Entertainment,Dreamus,태연 ,2019.06.02~2019.06.08,23489456,11,가요 / 발라드,03:08,여성,솔로
11,AH YEAH ,YG Entertainment,YG Plus,WINNER,2019.06.02~2019.06.08,23150646,12,가요 / 댄스,02:57,남성,그룹
12,"나만, 봄",쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,22109270,13,가요 / 인디,03:37,여성,솔로
13,그때가 좋았어,넥스타엔터테인먼트,카카오 M,케이시 ,2019.06.02~2019.06.08,20751878,14,가요 / 발라드,03:55,여성,솔로
14,대충 입고 나와,인디안레이블,지니뮤직,우디,2019.06.02~2019.06.08,19930459,15,가요 / 인디,03:26,남성,솔로
15,Kill This Love,YG Entertainment,YG Plus,BLACKPINK,2019.06.02~2019.06.08,19678247,16,가요 / 랩/힙합,03:09,여성,그룹
16,사랑이 식었다고 말해도 돼,먼데이키즈 컴퍼니,카카오 M,먼데이 키즈 ,2019.06.02~2019.06.08,18866135,17,가요 / 발라드,03:41,남성,솔로
17,옥탑방,FNC엔터테인먼트,카카오 M,엔플라잉 ,2019.06.02~2019.06.08,17728565,18,가요 / 락,03:31,남성,밴드
18,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2019.06.02~2019.06.08,17279186,19,OST / 드라마,03:31,남성,솔로
19,사계 ,325 이엔씨,카카오 M,엠씨더맥스 ,2019.06.02~2019.06.08,17186896,20,가요 / 발라드,04:17,남성,밴드
20,달라달라,JYP Entertainment,Dreamus,ITZY ,2019.06.02~2019.06.08,17169233,21,가요 / 댄스,03:20,여성,그룹
21,사월이 지나면 우리 헤어져요 ,SM Entertainment,Dreamus,첸 ,2019.06.02~2019.06.08,16700585,22,가요 / 발라드,04:30,남성,솔로
22,별 보러 갈래?,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.06.02~2019.06.08,15824063,23,가요 / 인디,03:21,여성,솔로
23,너를 만나,뉴런뮤직,카카오 M,폴킴,2019.06.02~2019.06.08,15669404,24,가요 / 발라드,04:41,남성,솔로
24,교통정리 ,린치핀뮤직,카카오 M,기리보이,2019.06.02~2019.06.08,15591923,25,가요 / 랩/힙합,03:18,남성,솔로
25,Paris In The Rain,뮤직테이블,NHN벅스,Lauv,2019.06.02~2019.06.08,15043761,26,POP / 팝,03:25,남성,솔로
26,당신과는 천천히,버스커버스커,카카오 M,장범준,2019.06.02~2019.06.08,15012276,27,가요 / 락,04:00,남성,솔로
27,넘쳐흘러,325 이엔씨,카카오 M,엠씨더맥스 ,2019.06.02~2019.06.08,14658629,28,가요 / 발라드,04:07,남성,밴드
28,벌써 12시,MNH Entertainment,"지니뮤직, Stone Music Entertainment",청하,2019.06.02~2019.06.08,13781150,29,가요 / 댄스,03:42,여성,솔로
29,비가 오잖아,"스타쉽엔터테인먼트, 로맨틱팩토리",카카오 M,소유 ,2019.06.02~2019.06.08,13624842,30,가요 / R&B/소울,03:44,혼성,프로젝트
30,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들...,페포니 뮤직,지니뮤직,잔나비,2019.06.02~2019.06.08,13378785,31,가요 / 인디,03:22,남성,밴드
31,뜨거운 여름밤은 가고 남은 건 볼품없지만,페포니 뮤직,카카오 M,잔나비,2019.06.02~2019.06.08,13375818,32,가요 / 발라드,04:03,남성,밴드
32,소우주 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,13293466,33,가요 / 랩/힙합,03:44,남성,그룹
33,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,12599042,34,가요 / 댄스,04:34,남성,그룹
34,Speechless ,"Disney Enterprises,Inc.",Universal Music,Naomi Scott,2019.06.02~2019.06.08,12570930,35,OST / 해외영화,03:29,여성,솔로
35,Way Back Home,디씨톰엔터테인먼트,Warner Music,숀 ,2019.06.02~2019.06.08,12565448,36,가요 / 일렉트로니카,03:34,남성,솔로
36,그건 아마 우리의 잘못은 아닐 거야,JYP Entertainment,Dreamus,백예린,2019.06.02~2019.06.08,12196734,37,가요 / R&B/소울,03:53,여성,솔로
37,이 노래가 클럽에서 나온다면,인디안레이블,지니뮤직,우디,2019.06.02~2019.06.08,11950215,38,가요 / 인디,03:39,남성,솔로
38,다섯 번째 계절 ,WM엔터테인먼트,카카오 M,오마이걸 ,2019.06.02~2019.06.08,11937739,39,가요 / 댄스,04:00,여성,그룹
39,오늘 밤에,뮤직K,카카오 M,홍진영,2019.06.02~2019.06.08,11859230,40,가요 / 트로트,03:01,여성,솔로
40,진심이 담긴 노래 ,넥스타엔터테인먼트,카카오 M,케이시 ,2019.06.02~2019.06.08,11721053,41,가요 / 발라드,04:31,여성,솔로
41,7 rings,"Republic Records, a division of UMG Recordings,Inc",Universal Music,Ariana Grande,2019.06.02~2019.06.08,11583712,42,POP / 팝,02:59,여성,솔로
42,Make It Right,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.06.02~2019.06.08,11342324,43,가요 / 랩/힙합,03:46,남성,그룹
