,date,views,recommend,number,singer
0,2017-04-03 23:00:06,2661,51,공지,SS501
1,2016-05-30 16:33:49,4895,97,공지,SS501
2,2009-02-02 02:27:28,18801,18,공지,SS501
3,2020-04-28 14:48:39,64,0,342306,SS501
4,2020-02-20 18:33:15,267,0,342289,SS501
5,2019-11-27 19:15:27,271,3,342277,SS501
6,2019-11-26 08:25:03,425,6,342275,SS501
7,2019-11-18 16:25:11,406,5,342272,SS501
8,2019-10-28 18:06:17,545,8,342270,SS501
9,2019-10-28 10:59:39,509,5,342269,SS501
10,2019-10-22 12:41:32,322,7,342268,SS501
11,2019-10-17 20:15:58,514,6,342267,SS501
12,2019-10-09 19:35:46,542,4,342266,SS501
13,2019-10-07 17:36:04,394,9,342265,SS501
14,2019-09-20 18:46:53,873,2,342263,SS501
15,2019-08-21 15:39:09,1011,3,342262,SS501
16,2019-08-21 05:50:33,742,10,342261,SS501
17,2019-08-21 00:27:40,1116,0,342260,SS501
18,2019-08-15 23:27:18,728,2,342258,SS501
19,2019-08-03 05:07:29,470,0,342254,SS501
20,2019-08-03 05:07:18,597,0,342253,SS501
21,2019-08-03 05:05:41,641,0,342252,SS501
22,2019-08-03 05:03:49,518,0,342251,SS501
23,2019-08-03 05:03:04,359,0,342250,SS501
24,2019-08-03 05:02:57,330,0,342249,SS501
25,2019-08-03 05:02:13,588,1,342248,SS501
26,2019-08-03 05:01:29,394,0,342247,SS501
27,2019-08-02 17:27:33,288,0,342246,SS501
28,2019-08-02 16:51:28,336,2,342245,SS501
29,2019-08-02 07:45:43,509,1,342242,SS501
30,2019-08-02 07:42:09,437,1,342241,SS501
31,2019-08-02 07:41:23,247,0,342240,SS501
32,2019-08-02 07:35:19,238,0,342237,SS501
33,2019-08-02 07:33:46,678,3,342236,SS501
34,2019-08-02 07:30:31,467,1,342235,SS501
35,2019-07-31 02:27:45,766,1,342232,SS501
36,2019-07-29 01:12:31,604,9,342231,SS501
37,2019-07-28 21:14:06,1356,4,342230,SS501
38,2019-07-28 18:53:03,1048,13,342228,SS501
39,2019-07-28 18:18:33,693,5,342227,SS501
40,2019-07-28 18:14:25,1257,3,342226,SS501
41,2019-07-28 17:06:43,599,1,342225,SS501
42,2019-07-28 15:11:26,1120,7,342224,SS501
43,2019-07-28 15:05:55,447,1,342223,SS501
44,2019-07-28 14:48:35,907,5,342222,SS501
45,2019-07-28 14:27:41,1207,2,342220,SS501
46,2019-07-28 14:27:39,630,4,342219,SS501
47,2019-07-28 14:22:55,544,5,342217,SS501
48,2019-07-28 14:02:24,595,11,342216,SS501
49,2019-07-28 12:26:19,825,2,342215,SS501
50,2019-07-28 11:08:34,487,4,342214,SS501
51,2019-07-28 05:41:22,1137,7,342212,SS501
52,2019-07-28 05:07:27,1144,8,342211,SS501
53,2019-07-28 01:54:36,1433,17,342210,SS501
54,2019-07-27 23:22:35,888,11,342209,SS501
55,2019-07-27 21:27:33,1603,26,342208,SS501
56,2019-07-27 19:44:25,709,2,342207,SS501
57,2019-07-24 23:40:59,1263,1,342205,SS501
58,2019-07-24 06:43:09,2515,35,342203,SS501
59,2019-07-24 06:21:05,569,6,342202,SS501
60,2019-07-24 01:16:19,781,0,342201,SS501
61,2019-07-15 00:48:53,722,2,342200,SS501
62,2019-07-11 22:31:06,839,1,342197,SS501
63,2019-07-11 22:28:12,614,0,342196,SS501
64,2019-07-02 10:54:07,656,0,342195,SS501
65,2019-06-12 22:12:39,937,0,342194,SS501
66,2019-06-12 01:51:38,734,8,342193,SS501
67,2019-06-07 13:05:34,537,11,342192,SS501
68,2019-06-07 12:16:11,234,6,342191,SS501
69,2019-06-07 00:28:12,463,8,342190,SS501
70,2019-06-04 06:36:01,411,1,342189,SS501
71,2019-06-02 23:37:38,235,9,342188,SS501
72,2019-06-02 22:31:35,377,8,342186,SS501
73,2019-05-31 03:09:01,488,11,342185,SS501
74,2019-05-31 00:02:54,394,0,342184,SS501
75,2019-05-29 22:38:47,304,5,342183,SS501
76,2019-05-28 00:58:00,264,15,342182,SS501
77,2019-05-27 02:18:28,930,16,342181,SS501
78,2019-05-20 22:39:28,655,0,342180,SS501
79,2019-05-11 20:08:07,1424,1,342179,SS501
80,2019-05-09 11:08:45,2186,25,342178,SS501
81,2019-05-04 23:19:24,397,0,342177,SS501
82,2019-04-25 23:08:37,820,3,342176,SS501
83,2019-04-23 23:45:56,612,14,342175,SS501
84,2019-04-21 00:12:02,557,0,342174,SS501
85,2019-04-19 06:04:07,362,0,342173,SS501
86,2019-04-09 01:37:44,1222,16,342166,SS501
87,2019-04-06 15:20:41,922,2,342164,SS501
88,2019-04-05 19:18:28,1130,30,342163,SS501
89,2019-04-04 01:48:06,886,18,342162,SS501
90,2019-04-03 22:48:52,714,0,342161,SS501
91,2019-04-02 22:55:53,1203,22,342159,SS501
92,2019-04-02 22:38:55,1266,28,342158,SS501
93,2019-04-02 22:17:25,810,22,342157,SS501
94,2019-04-02 19:31:59,700,2,342156,SS501
95,2019-04-02 02:46:35,1155,1,342155,SS501
96,2019-04-01 23:46:13,633,4,342154,SS501
97,2019-04-01 22:25:31,966,2,342153,SS501
98,2019-04-01 20:20:51,454,6,342152,SS501
99,2019-04-01 18:57:47,1073,4,342151,SS501
100,2019-04-01 18:13:29,1620,31,342150,SS501
101,2019-04-01 17:24:14,369,0,342149,SS501
102,2019-04-01 17:23:29,1111,3,342148,SS501
103,2019-04-01 16:54:42,422,3,342147,SS501
104,2019-04-01 16:06:11,1517,23,342145,SS501
105,2019-04-01 16:00:39,448,3,342144,SS501
106,2019-04-01 15:55:43,581,2,342143,SS501
107,2019-04-01 15:54:45,558,5,342142,SS501
108,2019-04-01 15:26:18,666,1,342141,SS501
109,2019-04-01 15:22:07,742,0,342140,SS501
110,2019-04-01 14:20:17,331,0,342139,SS501
111,2019-04-01 14:06:42,1251,18,342138,SS501
112,2019-04-01 14:02:42,824,4,342137,SS501
113,2019-04-01 12:50:47,648,2,342136,SS501
114,2019-04-01 12:49:34,534,1,342135,SS501
115,2019-04-01 12:38:46,404,0,342134,SS501
116,2019-04-01 09:21:31,696,14,342133,SS501
117,2019-04-01 02:10:38,869,12,342132,SS501
118,2019-04-01 00:30:14,1622,16,342131,SS501
119,2019-04-01 00:17:49,566,6,342130,SS501
120,2019-04-01 00:08:14,782,0,342128,SS501
121,2019-04-01 00:04:29,328,0,342127,SS501
122,2019-03-31 23:31:35,1108,3,342124,SS501
123,2019-03-31 23:01:22,666,3,342121,SS501
124,2019-03-31 22:48:43,427,4,342120,SS501
125,2019-03-31 22:44:57,439,1,342119,SS501
126,2019-03-31 22:41:03,744,1,342118,SS501
127,2019-03-31 22:22:39,641,0,342117,SS501
128,2019-03-31 22:18:10,785,0,342116,SS501
129,2019-03-31 22:13:26,489,0,342115,SS501
130,2019-03-31 22:10:05,744,2,342114,SS501
131,2019-03-31 21:52:02,548,0,342112,SS501
132,2019-03-31 21:48:01,477,0,342111,SS501
133,2019-03-31 21:45:43,406,3,342110,SS501
134,2019-03-31 21:12:15,579,5,342106,SS501
135,2019-03-31 21:10:16,281,0,342105,SS501
136,2019-03-31 21:09:02,365,0,342104,SS501
137,2019-03-31 21:04:44,335,0,342102,SS501
138,2019-03-31 21:03:48,331,2,342101,SS501
139,2019-03-31 21:01:15,259,6,342100,SS501
140,2019-03-31 20:39:06,146,0,342099,SS501
141,2019-03-31 20:37:19,260,2,342098,SS501
142,2019-03-31 20:35:19,469,3,342097,SS501
143,2019-03-31 19:52:04,760,5,342096,SS501
144,2019-03-31 18:36:57,366,3,342093,SS501
145,2019-03-31 18:04:05,340,2,342092,SS501
146,2019-03-31 15:53:52,396,1,342091,SS501
147,2019-03-31 14:29:37,465,8,342090,SS501
148,2019-03-31 14:00:49,739,3,342089,SS501
149,2019-03-31 13:58:30,434,0,342088,SS501
150,2019-03-31 13:34:03,223,5,342087,SS501
151,2019-03-31 13:15:44,274,3,342085,SS501
152,2019-03-31 08:33:56,919,7,342083,SS501
153,2019-03-31 01:32:01,622,7,342082,SS501
154,2019-03-31 00:51:46,468,9,342081,SS501
155,2019-03-31 00:50:36,463,5,342080,SS501
156,2019-03-31 00:44:46,712,5,342079,SS501
157,2019-03-31 00:41:28,549,0,342078,SS501
158,2019-03-30 23:59:42,338,1,342077,SS501
159,2019-03-30 22:54:58,322,4,342075,SS501
160,2019-03-30 21:36:55,422,6,342074,SS501
161,2019-03-30 21:01:42,1509,21,342073,SS501
162,2019-03-30 18:34:29,734,4,342072,SS501
163,2019-03-30 18:24:34,368,13,342071,SS501
164,2019-03-30 17:09:14,600,7,342068,SS501
165,2019-03-30 16:57:50,735,0,342066,SS501
166,2019-03-30 16:41:47,561,3,342065,SS501
167,2019-03-30 16:36:14,1054,1,342064,SS501
168,2019-03-30 15:41:46,371,10,342063,SS501
169,2019-03-30 15:37:29,377,5,342062,SS501
170,2019-03-30 15:35:31,916,1,342061,SS501
171,2019-03-30 15:33:08,391,0,342060,SS501
172,2019-03-30 15:32:06,322,0,342059,SS501
173,2019-03-30 15:31:38,470,4,342058,SS501
174,2019-03-30 15:30:37,657,7,342057,SS501
175,2019-03-30 15:28:35,1742,25,342056,SS501
176,2019-03-30 15:28:13,518,5,342055,SS501
177,2019-03-30 14:51:31,515,0,342054,SS501
178,2019-03-30 14:44:26,203,1,342052,SS501
179,2019-03-30 14:40:40,658,11,342051,SS501
180,2019-03-30 14:18:35,305,0,342049,SS501
181,2019-03-30 14:05:49,959,21,342048,SS501
182,2019-03-30 13:58:21,421,6,342047,SS501
183,2019-03-30 13:47:37,642,1,342046,SS501
184,2019-03-30 10:28:35,264,14,342045,SS501
185,2019-03-30 09:22:28,442,1,342044,SS501
186,2019-03-30 08:55:13,350,1,342043,SS501
187,2019-03-30 04:08:33,441,3,342042,SS501
188,2019-03-30 03:54:58,219,7,342041,SS501
189,2019-03-30 03:54:12,499,13,342040,SS501
190,2019-03-30 03:14:57,316,1,342039,SS501
191,2019-03-30 01:25:20,612,2,342038,SS501
192,2019-03-30 01:13:51,809,4,342037,SS501
193,2019-03-30 01:08:15,453,1,342036,SS501
194,2019-03-30 01:05:08,308,1,342035,SS501
195,2019-03-30 00:40:58,768,0,342034,SS501
196,2019-03-30 00:27:05,1908,12,342033,SS501
197,2019-03-30 00:02:21,403,4,342032,SS501
198,2019-03-29 23:51:00,1331,21,342031,SS501
199,2019-03-29 23:50:53,467,23,342030,SS501
200,2019-03-29 23:43:24,228,1,342029,SS501
201,2019-03-29 23:21:17,271,2,342028,SS501
202,2019-03-29 23:19:27,673,1,342027,SS501
203,2019-03-29 22:38:00,758,11,342026,SS501
204,2019-03-29 22:33:43,180,1,342025,SS501
205,2019-03-29 22:00:24,702,4,342023,SS501
206,2019-03-29 21:07:04,302,3,342022,SS501
207,2019-03-29 20:48:44,768,5,342021,SS501
208,2019-03-29 20:37:36,410,1,342019,SS501
209,2019-03-29 20:29:20,640,5,342018,SS501
210,2019-03-29 20:13:49,1170,27,342017,SS501
211,2019-03-29 20:12:21,574,9,342016,SS501
212,2019-03-29 03:31:08,501,0,342015,SS501
213,2019-03-28 04:55:50,353,0,342014,SS501
214,2019-03-27 23:46:15,273,3,342013,SS501
215,2019-03-27 21:38:16,274,0,342012,SS501
216,2019-03-27 13:11:04,69,0,342011,SS501
217,2019-03-25 12:07:34,385,0,342010,SS501
218,2019-03-24 21:33:35,49,0,342009,SS501
219,2019-03-24 21:26:04,189,1,342008,SS501
220,2019-03-23 18:50:49,95,0,342007,SS501
221,2019-03-22 15:19:49,307,4,342005,SS501
222,2019-03-22 12:52:45,454,0,342004,SS501
223,2019-03-16 15:41:30,340,0,342003,SS501
224,2019-03-15 15:36:03,285,0,342002,SS501
225,2019-03-13 19:30:01,286,0,341999,SS501
226,2019-03-12 22:44:57,329,0,341998,SS501
227,2019-03-10 18:17:58,418,0,341997,SS501
228,2019-03-09 13:42:03,207,0,341996,SS501
229,2019-03-05 20:36:48,247,0,341995,SS501
230,2019-03-03 23:24:18,399,0,341994,SS501
231,2019-02-16 22:51:23,359,0,341991,SS501
232,2019-02-14 23:22:42,328,0,341990,SS501
233,2019-02-14 00:10:53,397,0,341989,SS501
234,2019-02-10 14:47:07,309,0,341988,SS501
235,2019-02-02 22:55:41,443,5,341986,SS501
236,2019-01-30 18:47:34,589,3,341985,SS501
237,2019-01-29 16:23:11,392,2,341984,SS501
238,2019-01-28 21:03:56,364,2,341983,SS501
239,2019-01-28 17:57:40,399,1,341982,SS501
240,2019-01-27 06:22:05,471,6,341981,SS501
241,2019-01-26 12:57:24,77,0,341980,SS501
242,2019-01-26 12:48:17,51,0,341979,SS501
243,2019-01-24 23:53:30,290,0,341978,SS501
244,2019-01-16 02:02:45,568,11,341974,SS501
245,2019-01-13 03:35:34,304,0,341973,SS501
246,2019-01-12 20:56:05,382,0,341972,SS501
247,2019-01-11 10:42:27,656,0,341971,SS501
248,2019-01-10 22:08:53,138,1,341970,SS501
249,2019-01-04 18:45:11,251,3,341969,SS501
250,2019-01-04 10:13:34,288,0,341968,SS501
251,2019-01-04 09:21:54,81,0,341967,SS501
252,2018-12-30 21:44:20,521,1,341965,SS501
253,2018-12-27 19:39:50,215,0,341964,SS501
254,2018-12-23 18:16:50,434,2,341962,SS501
255,2018-12-19 18:26:25,481,0,341961,SS501
256,2018-12-14 02:21:02,273,0,341957,SS501
257,2018-12-11 21:33:08,89,0,341953,SS501
258,2018-12-10 02:07:48,510,6,341952,SS501
259,2018-12-06 23:51:35,383,0,341951,SS501
260,2018-12-06 21:02:30,553,0,341950,SS501
261,2018-11-21 09:47:06,231,0,341947,SS501
262,2018-11-11 05:06:53,312,1,341932,SS501
263,2018-11-03 23:09:21,424,2,341931,SS501
264,2018-11-03 23:02:38,584,5,341930,SS501
265,2018-10-29 04:38:08,784,0,341927,SS501
266,2018-10-13 00:24:53,467,2,341926,SS501
267,2018-10-12 18:25:55,167,0,341925,SS501
268,2018-10-12 14:49:57,132,0,341924,SS501
269,2018-10-12 12:38:04,226,0,341923,SS501
270,2018-10-11 07:08:50,345,1,341922,SS501
271,2018-09-08 08:17:30,1249,0,341889,SS501
272,2018-09-07 00:58:59,1068,0,341888,SS501
273,2018-08-21 20:26:03,660,0,341886,SS501
274,2018-08-20 22:06:58,989,0,341885,SS501
275,2018-08-10 03:59:44,1238,0,341884,SS501
276,2018-08-07 11:16:17,556,0,341883,SS501
277,2018-08-03 23:47:49,212,0,341882,SS501
278,2018-08-03 23:44:12,169,0,341881,SS501
279,2018-08-03 22:59:59,168,0,341880,SS501
280,2018-08-03 22:59:59,161,0,341879,SS501
281,2018-08-03 22:59:16,116,0,341878,SS501
282,2018-08-03 22:58:51,119,0,341877,SS501
283,2018-08-03 22:58:49,122,0,341876,SS501
284,2018-08-03 22:58:46,188,0,341875,SS501
285,2018-08-03 22:58:44,116,0,341874,SS501
286,2018-08-03 22:58:43,135,0,341873,SS501
287,2018-08-03 22:58:40,136,0,341872,SS501
288,2018-08-03 22:58:25,130,0,341871,SS501
289,2018-08-03 22:58:23,171,0,341870,SS501
290,2018-08-03 22:58:19,129,0,341869,SS501
291,2018-08-03 22:58:18,133,0,341868,SS501
292,2018-08-03 22:58:17,123,0,341867,SS501
293,2018-08-03 22:58:14,152,0,341866,SS501
294,2018-08-03 22:58:14,111,0,341865,SS501
295,2018-08-03 22:58:13,106,0,341864,SS501
296,2018-08-03 22:58:12,130,0,341863,SS501
297,2018-08-03 22:58:07,140,0,341862,SS501
298,2018-08-03 22:53:35,99,0,341861,SS501
299,2018-08-03 22:53:26,127,0,341860,SS501
300,2018-08-03 22:53:26,131,0,341859,SS501
301,2018-08-03 22:53:23,95,0,341858,SS501
302,2018-08-03 22:53:04,182,0,341857,SS501
303,2018-08-03 22:10:07,120,0,341856,SS501
304,2018-08-03 22:03:42,114,0,341855,SS501
305,2018-08-03 22:02:55,100,0,341854,SS501
306,2018-08-03 22:02:34,121,0,341853,SS501
307,2018-08-03 22:02:30,99,0,341852,SS501
308,2018-08-03 22:02:19,104,0,341851,SS501
309,2018-08-03 22:02:19,87,0,341850,SS501
310,2018-08-03 22:02:17,81,0,341849,SS501
311,2018-08-03 22:02:16,71,0,341848,SS501
312,2018-08-03 22:02:12,75,0,341847,SS501
313,2018-08-03 22:02:08,78,0,341846,SS501
314,2018-08-03 18:35:26,74,0,341845,SS501
