,date,views,recommend,number,singer
0,2020-05-07 12:29:26,51,5,795598,VIXX
1,2020-05-06 19:05:49,91,6,795597,VIXX
2,2020-05-06 18:11:39,83,8,795596,VIXX
3,2020-05-06 16:43:28,57,0,795595,VIXX
4,2020-05-06 10:42:00,142,4,795594,VIXX
5,2020-05-06 09:33:52,104,0,795593,VIXX
6,2020-05-06 06:00:08,56,0,795592,VIXX
7,2020-05-05 23:46:30,80,2,795591,VIXX
8,2020-05-05 21:25:56,126,2,795590,VIXX
9,2020-05-05 19:13:49,185,2,795589,VIXX
10,2020-05-04 18:30:42,96,8,795588,VIXX
11,2020-05-04 17:55:25,119,1,795587,VIXX
12,2020-05-04 17:20:36,77,1,795586,VIXX
13,2020-05-04 01:51:38,173,5,795585,VIXX
14,2020-05-04 01:33:14,64,8,795584,VIXX
15,2020-05-04 01:27:07,73,1,795583,VIXX
16,2020-05-04 01:02:37,58,0,795582,VIXX
17,2020-05-04 00:12:30,113,0,795581,VIXX
18,2020-05-04 00:06:28,115,4,795580,VIXX
19,2020-05-03 23:11:14,196,15,795579,VIXX
20,2020-05-03 20:36:46,83,1,795578,VIXX
21,2020-05-03 05:08:56,193,13,795576,VIXX
22,2020-05-03 03:12:53,82,1,795575,VIXX
23,2020-05-03 02:58:33,259,7,795574,VIXX
24,2020-05-02 23:26:41,127,1,795573,VIXX
25,2020-05-02 22:26:34,277,0,795572,VIXX
26,2020-05-02 21:36:21,156,0,795571,VIXX
27,2020-05-02 18:38:42,154,10,795570,VIXX
28,2020-05-02 17:11:06,180,0,795569,VIXX
29,2020-05-02 15:07:53,174,0,795568,VIXX
30,2020-05-02 11:22:22,208,4,795567,VIXX
31,2020-05-02 03:57:58,180,0,795566,VIXX
32,2020-05-02 01:06:37,105,0,795565,VIXX
33,2020-05-02 00:10:42,72,3,795564,VIXX
34,2020-05-01 16:23:23,101,0,795563,VIXX
35,2020-05-01 15:27:03,205,0,795562,VIXX
36,2020-05-01 14:46:35,248,0,795561,VIXX
37,2020-05-01 05:58:02,379,8,795560,VIXX
38,2020-05-01 04:16:21,196,0,795559,VIXX
39,2020-05-01 03:58:45,271,4,795558,VIXX
40,2020-05-01 03:53:56,232,0,795557,VIXX
41,2020-05-01 00:26:41,162,0,795556,VIXX
42,2020-04-30 16:48:29,109,1,795555,VIXX
43,2020-04-30 16:15:18,161,0,795554,VIXX
44,2020-04-30 11:33:49,409,12,795553,VIXX
45,2020-04-29 18:19:52,99,1,795550,VIXX
46,2020-04-28 22:58:44,158,3,795549,VIXX
47,2020-04-28 19:17:49,256,4,795548,VIXX
48,2020-04-28 18:57:06,88,0,795547,VIXX
49,2020-04-28 18:35:40,67,0,795546,VIXX
50,2020-04-28 17:48:57,87,0,795545,VIXX
51,2020-04-28 12:28:45,113,0,795544,VIXX
52,2020-04-28 12:11:10,64,0,795543,VIXX
