,date,views,recommend,number,singer
0,2009-01-05 10:01:02,2751,2,공지,가비엔제이
1,2020-04-13 21:22:54,29,0,58179,가비엔제이
2,2020-03-14 13:50:29,58,0,58173,가비엔제이
3,2020-03-05 11:38:19,83,1,58172,가비엔제이
4,2020-02-27 13:57:24,62,0,58168,가비엔제이
5,2020-02-19 17:07:41,47,0,58165,가비엔제이
6,2020-02-16 18:00:03,123,0,58164,가비엔제이
7,2020-02-08 16:18:48,61,0,58163,가비엔제이
8,2020-02-01 16:07:00,63,0,58162,가비엔제이
9,2020-01-26 12:46:13,161,0,58161,가비엔제이
10,2020-01-24 20:04:42,138,3,58160,가비엔제이
11,2020-01-24 19:56:33,126,3,58159,가비엔제이
12,2020-01-24 17:31:26,115,0,58158,가비엔제이
13,2020-01-24 16:22:47,100,0,58157,가비엔제이
14,2020-01-23 13:45:32,73,0,58156,가비엔제이
15,2019-12-24 20:38:03,154,0,58154,가비엔제이
16,2019-11-27 19:24:49,102,0,58152,가비엔제이
17,2019-09-17 18:51:49,146,0,58149,가비엔제이
18,2019-09-04 11:02:53,160,0,58148,가비엔제이
19,2019-07-21 13:26:40,238,1,58144,가비엔제이
20,2019-07-13 09:50:33,320,0,58140,가비엔제이
21,2019-07-12 07:32:52,297,0,58139,가비엔제이
22,2019-07-09 23:56:02,272,0,58138,가비엔제이
23,2019-07-05 17:33:31,180,0,58137,가비엔제이
24,2019-05-27 10:34:58,263,4,58128,가비엔제이
25,2019-05-25 16:12:57,208,0,58127,가비엔제이
26,2019-05-14 07:34:14,222,2,58126,가비엔제이
27,2019-05-13 08:46:55,222,1,58125,가비엔제이
28,2019-04-17 20:34:49,262,0,58122,가비엔제이
29,2019-04-13 12:51:48,389,7,58121,가비엔제이
30,2019-04-09 18:13:08,321,0,58120,가비엔제이
31,2019-04-09 08:36:13,239,0,58119,가비엔제이
32,2019-03-31 17:38:56,312,0,58118,가비엔제이
33,2019-03-24 19:01:56,414,2,58117,가비엔제이
34,2019-02-21 07:17:19,223,1,58114,가비엔제이
35,2019-02-04 14:45:36,239,2,58113,가비엔제이
36,2019-02-03 23:07:33,336,2,58112,가비엔제이
37,2019-01-27 20:52:10,266,3,58111,가비엔제이
38,2019-01-19 20:01:54,367,4,58092,가비엔제이
39,2019-01-16 04:10:15,228,0,58091,가비엔제이
40,2019-01-14 09:05:56,336,0,58090,가비엔제이
41,2019-01-10 18:26:44,232,0,58089,가비엔제이
42,2019-01-10 18:25:50,382,0,58088,가비엔제이
43,2019-01-08 18:51:21,351,5,58087,가비엔제이
44,2019-01-02 03:01:54,254,0,58085,가비엔제이
45,2018-12-27 04:57:11,260,0,58084,가비엔제이
46,2018-12-26 07:35:22,353,7,58083,가비엔제이
47,2018-12-22 19:06:18,249,1,58082,가비엔제이
