,date,views,recommend,number,singer
0,2017-12-09 16:43:07,43861,215,공지,강미나
1,2017-04-04 00:23:04,40812,272,공지,강미나
2,2016-12-09 13:40:56,54715,407,공지,강미나
3,2020-05-07 14:30:48,17,0,297353,강미나
4,2020-05-07 12:04:32,11,0,297352,강미나
5,2020-05-07 12:04:28,10,0,297351,강미나
6,2020-05-07 12:04:12,9,0,297350,강미나
7,2020-05-07 09:14:23,12,0,297349,강미나
8,2020-05-07 08:34:12,13,0,297348,강미나
9,2020-05-07 03:29:14,11,0,297347,강미나
10,2020-05-07 00:37:08,103,0,297346,강미나
11,2020-05-07 00:33:52,57,1,297345,강미나
12,2020-05-07 00:04:33,62,2,297344,강미나
13,2020-05-07 00:04:31,205,0,297343,강미나
14,2020-05-06 23:48:46,189,0,297342,강미나
15,2020-05-06 23:38:43,188,0,297341,강미나
16,2020-05-06 23:35:54,190,0,297340,강미나
17,2020-05-06 23:33:17,190,0,297339,강미나
18,2020-05-06 23:33:00,188,0,297338,강미나
19,2020-05-06 23:31:21,189,0,297337,강미나
20,2020-05-06 23:30:49,9,0,297336,강미나
21,2020-05-06 23:30:46,188,0,297335,강미나
22,2020-05-06 23:29:22,191,0,297334,강미나
23,2020-05-06 23:27:09,188,0,297333,강미나
24,2020-05-06 23:26:48,190,0,297332,강미나
25,2020-05-06 23:25:57,189,0,297331,강미나
26,2020-05-06 23:25:06,25,0,297329,강미나
27,2020-05-06 23:24:28,190,0,297328,강미나
28,2020-05-06 23:24:12,192,0,297327,강미나
29,2020-05-06 23:24:02,191,0,297326,강미나
30,2020-05-06 23:23:36,191,0,297325,강미나
31,2020-05-06 23:23:03,188,0,297324,강미나
32,2020-05-06 23:23:01,190,0,297323,강미나
33,2020-05-06 23:23:00,191,0,297322,강미나
34,2020-05-06 23:22:41,190,0,297321,강미나
35,2020-05-06 23:22:42,190,0,297320,강미나
36,2020-05-06 23:22:35,190,0,297319,강미나
37,2020-05-06 23:22:33,7,0,297318,강미나
38,2020-05-06 23:22:11,9,0,297317,강미나
39,2020-05-06 23:22:08,189,0,297316,강미나
40,2020-05-06 23:22:07,191,0,297315,강미나
41,2020-05-06 23:22:05,189,0,297314,강미나
42,2020-05-06 23:09:00,11,0,297313,강미나
43,2020-05-06 23:07:13,193,0,297312,강미나
44,2020-05-06 23:06:12,10,0,297311,강미나
45,2020-05-06 23:06:10,10,0,297310,강미나
46,2020-05-06 23:06:05,195,0,297309,강미나
47,2020-05-06 23:05:58,214,0,297308,강미나
48,2020-05-06 22:42:50,179,0,297307,강미나
49,2020-05-06 22:14:38,7,0,297306,강미나
50,2020-05-06 22:11:33,9,0,297305,강미나
51,2020-05-06 22:10:51,7,0,297304,강미나
52,2020-05-06 22:05:03,9,0,297303,강미나
53,2020-05-06 21:59:09,15,0,297302,강미나
54,2020-05-06 21:33:07,15,0,297301,강미나
55,2020-05-06 19:21:22,36,0,297300,강미나
56,2020-05-06 17:55:57,21,0,297299,강미나
57,2020-05-06 15:28:51,64,0,297298,강미나
58,2020-05-06 12:08:36,19,0,297297,강미나
59,2020-05-06 12:05:19,20,0,297296,강미나
60,2020-05-06 08:34:34,23,0,297295,강미나
61,2020-05-06 08:31:38,24,0,297294,강미나
62,2020-05-05 23:53:03,243,0,297293,강미나
63,2020-05-05 22:29:00,18,0,297292,강미나
64,2020-05-05 22:07:43,13,0,297291,강미나
65,2020-05-05 22:07:13,20,0,297290,강미나
66,2020-05-05 22:04:44,12,0,297289,강미나
67,2020-05-05 21:52:02,255,0,297288,강미나
68,2020-05-05 21:51:46,14,0,297287,강미나
69,2020-05-05 21:51:33,255,0,297286,강미나
70,2020-05-05 21:50:56,255,0,297285,강미나
71,2020-05-05 21:50:26,11,0,297284,강미나
72,2020-05-05 21:50:28,256,0,297283,강미나
73,2020-05-05 21:49:54,259,0,297282,강미나
74,2020-05-05 21:49:32,254,0,297281,강미나
75,2020-05-05 21:48:42,15,0,297280,강미나
76,2020-05-05 21:28:14,255,0,297279,강미나
77,2020-05-05 20:43:52,90,0,297278,강미나
78,2020-05-05 20:30:54,19,0,297277,강미나
79,2020-05-05 20:09:16,134,17,297276,강미나
80,2020-05-05 17:43:12,78,0,297275,강미나
81,2020-05-05 16:28:57,30,0,297274,강미나
82,2020-05-05 15:43:15,29,1,297273,강미나
83,2020-05-05 15:17:51,31,1,297272,강미나
84,2020-05-05 13:31:06,300,0,297271,강미나
85,2020-05-05 12:05:15,23,0,297270,강미나
86,2020-05-05 12:04:45,24,0,297269,강미나
87,2020-05-05 10:28:46,138,13,297268,강미나
88,2020-05-05 08:44:08,22,0,297267,강미나
89,2020-05-05 00:05:13,424,0,297266,강미나
90,2020-05-05 00:04:31,26,0,297265,강미나
91,2020-05-05 00:04:28,27,0,297264,강미나
92,2020-05-05 00:04:28,27,0,297263,강미나
93,2020-05-04 23:25:17,63,2,297262,강미나
94,2020-05-04 23:06:36,43,0,297261,강미나
95,2020-05-04 22:46:13,659,22,297260,강미나
96,2020-05-04 18:14:30,37,0,297259,강미나
97,2020-05-04 17:42:09,462,0,297258,강미나
98,2020-05-04 12:05:01,26,0,297257,강미나
99,2020-05-04 12:04:44,27,0,297256,강미나
100,2020-05-04 08:36:05,40,0,297255,강미나
101,2020-05-04 08:28:21,48,0,297254,강미나
102,2020-05-04 02:19:43,782,24,297253,강미나
103,2020-05-04 01:22:54,72,3,297252,강미나
104,2020-05-04 00:23:03,76,3,297251,강미나
105,2020-05-04 00:04:38,482,0,297250,강미나
106,2020-05-03 22:39:36,485,0,297249,강미나
107,2020-05-03 22:39:09,379,0,297248,강미나
108,2020-05-03 22:38:32,19,0,297247,강미나
109,2020-05-03 22:38:19,360,0,297246,강미나
110,2020-05-03 22:38:16,360,0,297245,강미나
111,2020-05-03 22:38:04,361,0,297244,강미나
112,2020-05-03 22:38:06,20,0,297243,강미나
113,2020-05-03 22:38:02,29,0,297242,강미나
114,2020-05-03 20:57:08,30,0,297241,강미나
115,2020-05-03 20:12:04,18,0,297240,강미나
116,2020-05-03 20:12:26,20,0,297239,강미나
117,2020-05-03 20:12:04,376,0,297238,강미나
118,2020-05-03 20:12:03,376,0,297237,강미나
119,2020-05-03 20:11:51,390,0,297236,강미나
120,2020-05-03 19:17:14,290,21,297235,강미나
121,2020-05-03 16:43:53,277,23,297234,강미나
122,2020-05-03 13:57:24,38,0,297233,강미나
123,2020-05-03 12:49:25,424,0,297232,강미나
124,2020-05-03 12:43:47,30,0,297231,강미나
125,2020-05-03 09:48:04,39,0,297230,강미나
126,2020-05-03 03:32:29,35,0,297229,강미나
