,date,views,recommend,number,singer
0,2013-02-20 03:48:32,5551,26,공지,강지영
1,2020-05-06 18:08:39,23,1,117830,강지영
2,2020-05-06 15:06:44,39,1,117829,강지영
3,2020-02-22 01:45:31,315,1,117815,강지영
4,2019-12-02 14:01:49,508,14,117813,강지영
5,2019-11-07 23:43:44,345,5,117805,강지영
6,2019-11-07 23:40:24,297,5,117804,강지영
7,2019-11-07 22:55:39,203,0,117803,강지영
8,2019-10-13 07:54:04,395,0,117801,강지영
9,2019-09-20 09:01:15,165,4,117799,강지영
10,2019-09-15 15:40:19,344,0,117798,강지영
11,2019-09-03 20:31:24,322,7,117797,강지영
12,2019-09-02 17:43:15,284,0,117796,강지영
13,2019-07-20 16:26:33,353,5,117773,강지영
14,2019-07-08 01:39:06,548,8,117771,강지영
15,2019-07-06 06:24:00,374,0,117770,강지영
16,2019-06-18 21:00:33,315,2,117768,강지영
17,2019-04-24 22:00:58,404,1,117744,강지영
18,2019-04-11 11:18:28,274,0,117735,강지영
19,2019-02-27 19:20:11,668,0,117733,강지영
20,2019-02-21 17:30:08,341,2,117731,강지영
21,2019-02-12 01:56:01,376,1,117730,강지영
22,2019-01-18 19:00:04,441,4,117709,강지영
23,2018-12-09 07:20:54,401,0,117697,강지영
24,2018-12-05 08:05:15,335,1,117696,강지영
25,2018-11-30 23:39:33,291,0,117694,강지영
26,2018-11-28 04:31:58,351,0,117693,강지영
27,2018-11-28 04:31:20,258,0,117692,강지영
28,2018-09-18 16:11:45,1347,1,117691,강지영
29,2018-09-16 08:41:48,627,2,117690,강지영
30,2018-08-04 17:02:32,451,1,117688,강지영
31,2018-07-15 15:11:28,788,0,117669,강지영
32,2018-07-15 11:48:01,497,0,117668,강지영
33,2018-07-13 06:08:35,573,0,117664,강지영
34,2018-06-22 01:09:13,546,0,117617,강지영
35,2018-06-11 21:37:54,410,0,117616,강지영
36,2018-04-06 23:44:36,374,0,117615,강지영
37,2018-04-06 23:42:02,572,0,117614,강지영
38,2018-04-01 02:27:27,403,0,117613,강지영
39,2018-03-26 12:21:12,406,0,117612,강지영
40,2017-10-14 06:15:19,1352,1,117603,강지영
41,2017-10-11 17:41:12,519,0,117601,강지영
42,2017-09-30 17:03:32,687,0,117600,강지영
43,2017-09-27 00:39:16,667,1,117599,강지영
44,2017-09-24 01:39:53,608,0,117598,강지영
45,2017-09-24 01:36:28,539,0,117597,강지영
46,2017-09-24 01:32:13,745,0,117596,강지영
47,2017-09-24 01:23:56,571,0,117595,강지영
48,2017-09-24 01:16:17,545,0,117594,강지영
