,date,views,recommend,number,singer
0,2013-03-29 03:48:55,18795,133,공지,강지환
1,2013-01-10 20:46:56,20739,478,공지,강지환
2,2012-05-02 21:55:03,19212,177,공지,강지환
3,2010-11-24 19:12:01,30511,101,공지,강지환
4,2020-04-19 16:45:27,93,0,268045,강지환
5,2020-03-07 15:00:01,276,7,268038,강지환
6,2020-02-29 17:36:12,282,8,268036,강지환
7,2020-02-29 13:22:44,93,0,268034,강지환
8,2020-01-18 14:55:51,300,13,268030,강지환
9,2019-12-13 07:37:49,262,1,268020,강지환
10,2019-12-10 07:27:35,200,0,268018,강지환
11,2019-12-05 13:46:43,600,2,268015,강지환
12,2019-12-05 13:16:44,332,5,268014,강지환
13,2019-12-03 23:24:55,535,11,268013,강지환
14,2019-11-27 19:13:26,210,0,268012,강지환
15,2019-11-21 20:01:47,398,10,268010,강지환
16,2019-11-21 19:57:53,396,1,268009,강지환
17,2019-11-21 19:57:38,215,0,268008,강지환
18,2019-10-01 02:18:40,459,0,268003,강지환
19,2019-08-21 04:03:13,1465,1,267999,강지환
20,2019-08-16 16:26:57,1862,0,267998,강지환
21,2019-07-30 22:13:52,817,3,267994,강지환
22,2019-07-28 11:05:42,1295,5,267990,강지환
23,2019-07-28 07:47:18,1169,2,267988,강지환
24,2019-07-27 10:04:23,1896,4,267987,강지환
25,2019-07-27 00:24:01,578,3,267986,강지환
26,2019-07-27 00:20:36,698,4,267985,강지환
27,2019-07-27 00:08:18,2090,6,267984,강지환
28,2019-07-26 23:58:21,367,0,267983,강지환
29,2019-07-26 23:22:54,1536,30,267982,강지환
30,2019-07-26 22:49:41,1423,26,267981,강지환
31,2019-07-26 00:41:48,1310,32,267979,강지환
32,2019-07-25 19:38:07,702,23,267978,강지환
33,2019-07-25 07:57:53,479,9,267977,강지환
34,2019-07-24 19:48:10,1407,35,267976,강지환
35,2019-07-23 07:05:47,763,14,267975,강지환
36,2019-07-23 05:07:37,405,2,267974,강지환
37,2019-07-23 04:16:13,510,1,267972,강지환
38,2019-07-22 12:12:33,862,27,267971,강지환
39,2019-07-22 08:40:28,825,0,267970,강지환
40,2019-07-20 19:20:52,359,0,267969,강지환
41,2019-07-19 12:50:06,749,5,267966,강지환
42,2019-07-18 22:40:17,804,0,267960,강지환
43,2019-07-18 14:06:31,461,1,267956,강지환
44,2019-07-18 05:43:27,629,2,267955,강지환
45,2019-07-18 02:53:08,603,9,267954,강지환
46,2019-07-18 02:21:58,1219,18,267953,강지환
47,2019-07-18 01:32:56,483,13,267952,강지환
48,2019-07-18 01:32:36,1018,9,267951,강지환
49,2019-07-18 01:14:07,817,1,267950,강지환
50,2019-07-18 00:20:51,647,1,267949,강지환
51,2019-07-18 00:11:18,1593,10,267947,강지환
52,2019-07-17 21:15:14,1865,12,267945,강지환
53,2019-07-17 15:55:07,1331,5,267944,강지환
54,2019-07-17 15:50:35,427,18,267943,강지환
55,2019-07-17 15:48:52,576,11,267942,강지환
56,2019-07-17 15:44:49,280,5,267940,강지환
57,2019-07-17 12:23:02,543,2,267938,강지환
58,2019-07-17 10:11:08,248,0,267937,강지환
59,2019-07-17 08:16:28,676,8,267935,강지환
60,2019-07-17 02:04:29,1093,49,267934,강지환
61,2019-07-17 00:21:54,618,1,267933,강지환
62,2019-07-16 23:42:49,307,1,267932,강지환
63,2019-07-16 22:34:49,692,9,267930,강지환
64,2019-07-16 19:03:40,967,2,267928,강지환
65,2019-07-16 15:59:07,683,3,267927,강지환
66,2019-07-16 13:40:08,470,3,267922,강지환
67,2019-07-16 13:31:41,194,8,267921,강지환
68,2019-07-16 13:25:04,387,7,267920,강지환
