,date,views,recommend,number,singer
0,2020-03-24 23:39:50,429,0,33482,고수
1,2020-03-05 17:26:31,610,1,33477,고수
2,2020-03-05 06:05:29,363,67,33475,고수
3,2020-02-19 23:17:47,151,0,33469,고수
4,2020-02-10 12:33:47,101,0,33467,고수
5,2020-01-28 05:10:31,389,1,33466,고수
6,2020-01-23 22:20:09,239,0,33465,고수
7,2020-01-23 16:43:08,973,70,33464,고수
8,2020-01-19 04:35:15,329,0,33463,고수
9,2020-01-16 20:35:25,154,0,33462,고수
10,2020-01-14 16:55:41,236,0,33460,고수
11,2020-01-12 19:05:11,252,0,33459,고수
12,2020-01-12 14:46:35,240,0,33458,고수
13,2019-12-27 02:50:53,225,0,33455,고수
14,2019-12-18 18:31:25,283,1,33452,고수
15,2019-12-18 10:12:57,615,4,33451,고수
16,2019-12-18 03:51:24,449,4,33450,고수
17,2019-12-18 02:21:44,341,1,33449,고수
18,2019-12-17 23:30:04,261,1,33448,고수
19,2019-12-17 23:08:50,236,0,33447,고수
20,2019-12-17 19:24:06,217,0,33446,고수
21,2019-12-16 22:50:41,209,0,33445,고수
22,2019-12-14 20:28:51,289,32,33444,고수
23,2019-12-08 14:31:03,421,24,33443,고수
24,2019-12-08 10:24:23,265,18,33442,고수
25,2019-12-05 06:17:44,504,21,33441,고수
26,2019-11-27 19:25:04,200,0,33440,고수
27,2019-10-04 02:38:59,436,0,33435,고수
28,2019-09-28 22:01:12,523,52,33433,고수
29,2019-09-19 09:02:19,1374,65,33300,고수
30,2019-01-15 08:49:28,944,45,33183,고수
31,2018-12-18 07:16:06,609,11,33139,고수
32,2018-12-09 10:30:52,665,19,33135,고수
33,2018-12-06 23:39:08,1187,37,33134,고수
34,2018-11-15 22:28:05,1475,95,33131,고수
35,2018-10-18 00:41:51,1434,121,33118,고수
36,2018-10-14 19:21:34,1371,55,33116,고수
37,2018-10-12 02:11:58,535,0,33115,고수
38,2018-10-06 16:47:16,896,9,33113,고수
39,2018-09-21 11:42:17,1319,88,33107,고수
40,2018-09-14 23:59:58,780,30,33088,고수
41,2018-09-12 10:52:04,2034,96,33083,고수
42,2018-09-10 05:04:36,890,17,33076,고수
43,2018-09-08 07:25:03,1137,12,33074,고수
44,2018-09-07 23:58:53,956,9,33073,고수
45,2018-09-07 23:35:31,2217,20,33072,고수
46,2018-09-06 22:03:11,870,5,33071,고수
47,2018-09-06 21:53:07,1658,41,33069,고수
48,2018-09-06 21:13:49,778,30,33068,고수
49,2018-08-30 11:20:18,657,17,33067,고수
50,2018-08-29 00:00:09,563,23,33066,고수
51,2018-08-28 21:10:20,710,21,33065,고수
52,2018-08-11 16:52:10,867,30,33063,고수
53,2018-08-11 16:12:44,716,25,33062,고수
54,2018-08-11 15:58:52,492,0,33061,고수
55,2018-08-11 15:56:49,481,0,33060,고수
56,2018-08-11 00:22:58,586,11,33058,고수
57,2018-07-30 21:18:40,609,0,33057,고수
58,2018-07-09 14:55:18,1074,44,33028,고수
59,2018-06-15 14:21:55,1128,58,32988,고수
60,2018-06-14 11:15:23,653,45,32987,고수
61,2018-06-03 23:09:06,545,17,32985,고수
62,2018-04-19 22:49:30,1276,96,32982,고수
63,2018-03-28 00:56:32,1034,45,32981,고수
64,2018-03-27 23:34:39,1363,31,32980,고수
65,2018-03-22 14:05:46,894,5,32978,고수
66,2018-02-02 19:24:13,869,71,32973,고수
67,2018-02-02 19:23:24,487,10,32972,고수
68,2018-01-22 14:02:18,1357,87,32970,고수
69,2017-12-12 20:57:34,862,3,32950,고수
70,2017-12-02 15:11:23,751,2,32949,고수
71,2017-11-23 18:58:29,1624,26,32945,고수
72,2017-11-23 18:17:05,784,83,32944,고수
73,2017-11-16 12:26:37,1609,206,32937,고수
74,2017-11-08 23:11:37,1262,149,32936,고수
75,2017-11-07 23:48:51,716,18,32935,고수
76,2017-11-07 01:11:59,437,4,32934,고수
77,2017-10-27 11:43:34,1626,94,32932,고수
78,2017-10-23 20:11:07,809,25,32931,고수
79,2017-10-22 11:17:34,1410,14,32930,고수
80,2017-10-21 22:07:20,804,42,32929,고수
81,2017-10-21 21:59:44,891,56,32928,고수
82,2017-10-21 19:51:31,1882,113,32927,고수
83,2017-10-21 13:29:04,449,25,32926,고수
84,2017-10-21 01:17:42,436,35,32925,고수
85,2017-10-20 12:23:32,533,24,32924,고수
86,2017-10-16 07:49:49,1040,110,32922,고수
87,2017-10-15 22:15:03,928,128,32920,고수
88,2017-10-14 19:55:54,468,25,32918,고수
89,2017-10-13 00:15:25,526,34,32917,고수
90,2017-10-09 12:59:10,513,22,32915,고수
91,2017-10-09 01:21:54,304,25,32913,고수
92,2017-10-08 15:28:08,282,0,32912,고수
93,2017-10-08 04:40:52,505,24,32911,고수
94,2017-10-07 21:37:13,597,38,32910,고수
95,2017-10-07 18:54:05,584,36,32909,고수
96,2017-10-02 00:16:40,551,26,32907,고수
97,2017-09-24 23:25:51,687,70,32906,고수
98,2017-09-17 13:17:36,296,0,32905,고수
