,date,views,recommend,number,singer
0,2013-02-18 03:16:41,6478,129,공지,곽정욱
1,2020-03-14 03:44:46,78,0,25327,곽정욱
2,2020-02-11 20:23:53,82,0,25322,곽정욱
3,2019-11-27 19:15:47,122,0,25321,곽정욱
4,2019-11-21 23:38:59,229,0,25319,곽정욱
5,2019-11-15 17:55:51,237,1,25317,곽정욱
6,2019-07-28 02:11:21,267,0,25316,곽정욱
7,2019-07-04 10:10:17,445,0,25315,곽정욱
8,2019-06-20 18:05:33,307,2,25314,곽정욱
9,2019-06-16 16:01:01,315,0,25313,곽정욱
10,2019-06-13 03:52:06,210,1,25312,곽정욱
11,2019-06-12 11:05:03,276,1,25311,곽정욱
12,2019-05-26 22:20:38,287,1,25310,곽정욱
13,2019-05-26 22:15:42,264,0,25309,곽정욱
14,2019-05-03 01:55:51,463,1,25308,곽정욱
15,2019-03-23 19:06:24,330,3,25307,곽정욱
16,2019-03-10 19:03:24,321,2,25306,곽정욱
17,2019-02-05 02:16:59,323,4,25304,곽정욱
18,2019-01-01 01:38:43,274,0,25299,곽정욱
19,2018-11-22 12:20:20,339,0,25297,곽정욱
20,2018-09-25 12:08:47,325,1,25280,곽정욱
21,2018-09-23 01:56:01,363,0,25279,곽정욱
22,2018-09-18 15:30:01,581,4,25262,곽정욱
23,2018-09-09 15:04:52,351,2,25248,곽정욱
24,2018-08-29 21:57:54,380,0,25247,곽정욱
25,2018-08-17 20:47:59,529,0,25246,곽정욱
26,2018-08-14 18:01:39,627,2,25245,곽정욱
27,2018-08-14 15:03:58,490,3,25244,곽정욱
28,2018-08-14 09:03:51,555,2,25243,곽정욱
29,2018-08-11 03:35:55,611,4,25242,곽정욱
30,2018-08-11 00:41:25,484,0,25241,곽정욱
31,2018-08-10 19:07:58,548,0,25240,곽정욱
32,2018-08-07 13:36:12,553,3,25239,곽정욱
33,2018-08-05 23:31:25,593,0,25238,곽정욱
34,2018-08-05 23:28:53,464,0,25237,곽정욱
35,2018-08-04 23:37:05,434,0,25235,곽정욱
36,2018-08-04 14:02:43,535,0,25233,곽정욱
37,2018-08-03 22:49:49,469,0,25232,곽정욱
38,2018-08-02 20:27:12,335,0,25231,곽정욱
39,2018-07-31 16:48:41,343,0,25230,곽정욱
40,2018-07-28 22:20:07,490,0,25229,곽정욱
41,2018-07-28 17:12:45,436,0,25228,곽정욱
42,2018-07-27 23:50:44,385,0,25227,곽정욱
43,2018-07-26 20:02:29,495,2,25225,곽정욱
44,2018-07-25 13:19:05,457,0,25223,곽정욱
45,2018-07-23 00:03:52,385,0,25215,곽정욱
46,2018-07-22 23:53:23,493,0,25214,곽정욱
47,2018-07-22 22:25:24,553,0,25213,곽정욱
48,2018-07-22 21:53:28,501,0,25212,곽정욱
49,2018-07-22 21:49:44,362,0,25211,곽정욱
50,2018-07-21 23:09:19,493,0,25207,곽정욱
51,2018-07-21 22:32:44,468,0,25206,곽정욱
52,2018-07-21 22:25:11,352,0,25205,곽정욱
53,2018-07-20 23:08:38,357,0,25199,곽정욱
54,2018-07-20 12:15:58,224,0,25198,곽정욱
55,2018-07-19 00:02:10,266,1,25194,곽정욱
56,2018-07-18 22:24:48,220,0,25193,곽정욱
57,2018-07-18 18:44:39,206,0,25192,곽정욱
58,2018-07-16 13:38:34,329,0,25187,곽정욱
59,2018-07-16 00:42:54,224,0,25185,곽정욱
60,2018-07-15 23:41:59,191,0,25184,곽정욱
61,2018-07-15 23:38:47,371,0,25183,곽정욱
62,2018-07-15 23:28:08,178,0,25182,곽정욱
63,2018-07-15 23:26:40,176,0,25181,곽정욱
64,2018-07-15 13:58:01,223,0,25180,곽정욱
65,2018-07-15 08:11:21,135,0,25179,곽정욱
66,2018-07-15 07:58:26,148,0,25178,곽정욱
67,2018-07-15 02:07:09,124,0,25176,곽정욱
68,2018-07-15 01:47:56,169,0,25175,곽정욱
69,2018-07-15 01:13:57,129,0,25174,곽정욱
70,2018-07-14 23:44:21,134,0,25173,곽정욱
71,2018-07-14 23:39:33,231,0,25172,곽정욱
72,2018-07-14 23:38:03,206,1,25171,곽정욱
73,2018-07-14 23:22:43,142,0,25170,곽정욱
74,2018-07-14 23:12:51,179,0,25169,곽정욱
75,2018-07-14 23:04:24,128,0,25168,곽정욱
76,2018-07-14 22:37:46,216,0,25167,곽정욱
77,2018-07-10 08:36:00,102,0,25162,곽정욱
78,2018-07-08 01:24:51,218,4,25156,곽정욱
79,2018-06-12 20:56:14,112,2,25124,곽정욱
80,2018-06-12 15:20:44,103,2,25123,곽정욱
81,2018-06-12 05:26:40,93,3,25122,곽정욱
82,2018-06-12 00:47:31,109,2,25121,곽정욱
83,2018-06-11 23:38:24,197,3,25120,곽정욱
84,2018-05-23 01:35:42,157,2,25119,곽정욱
85,2018-04-06 20:39:05,263,6,25117,곽정욱
86,2018-04-05 20:12:56,147,2,25116,곽정욱
87,2018-03-16 01:57:27,343,5,25115,곽정욱
88,2018-02-19 01:47:59,151,1,25113,곽정욱
89,2018-02-15 01:42:51,109,0,25112,곽정욱
90,2018-01-13 02:57:49,490,11,25106,곽정욱
91,2017-12-30 22:53:52,193,1,25104,곽정욱
92,2017-12-24 22:58:27,446,2,25102,곽정욱
93,2017-12-20 16:45:07,377,1,25101,곽정욱
94,2017-12-19 14:10:42,139,2,25099,곽정욱
95,2017-12-16 01:31:02,237,0,25098,곽정욱
96,2017-12-06 19:30:30,221,0,25097,곽정욱
97,2017-12-04 17:04:49,242,0,25096,곽정욱
98,2017-11-22 02:22:06,440,0,25095,곽정욱
