,date,views,recommend,number,singer
0,2014-12-04 17:31:25,116546,386,공지,곽진언
1,2020-05-07 00:06:17,23,0,53133,곽진언
2,2020-05-04 04:48:48,59,0,53132,곽진언
3,2020-04-26 12:34:07,142,0,53131,곽진언
4,2020-04-23 20:40:15,228,2,53129,곽진언
5,2020-04-18 11:16:05,254,1,53128,곽진언
6,2020-04-17 12:34:50,394,3,53127,곽진언
7,2020-04-17 11:41:05,153,0,53126,곽진언
8,2020-04-14 22:45:35,119,1,53125,곽진언
9,2020-04-08 04:27:06,122,0,53124,곽진언
10,2020-03-22 03:21:13,260,0,53122,곽진언
11,2020-03-06 03:02:10,378,0,53119,곽진언
12,2020-03-05 02:08:12,312,1,53118,곽진언
13,2020-02-27 00:34:32,211,0,53114,곽진언
14,2020-02-24 19:28:41,430,3,53112,곽진언
15,2020-02-24 19:06:22,395,0,53111,곽진언
16,2020-02-24 18:05:10,408,0,53110,곽진언
17,2020-02-23 21:38:01,164,0,53109,곽진언
18,2020-02-23 15:09:47,124,0,53108,곽진언
19,2020-02-21 10:04:29,131,0,53107,곽진언
20,2020-02-21 02:09:15,124,0,53106,곽진언
21,2020-02-20 20:44:17,138,0,53105,곽진언
22,2020-02-20 19:27:27,179,0,53104,곽진언
23,2020-02-14 16:06:54,344,0,53103,곽진언
24,2020-02-14 01:28:30,191,0,53102,곽진언
25,2020-02-04 01:20:26,388,0,53101,곽진언
26,2020-01-27 15:03:18,648,1,53100,곽진언
27,2020-01-16 20:42:17,553,0,53099,곽진언
28,2020-01-04 10:42:24,462,2,53098,곽진언
29,2020-01-02 17:27:25,519,1,53097,곽진언
30,2019-12-25 17:32:26,755,3,53096,곽진언
31,2019-12-25 02:03:23,294,1,53095,곽진언
32,2019-11-29 21:33:27,622,6,53093,곽진언
33,2019-11-27 19:34:23,184,0,53092,곽진언
34,2019-11-15 16:05:48,877,1,53090,곽진언
35,2019-11-12 11:38:57,272,1,53089,곽진언
36,2019-11-01 02:32:59,458,1,53087,곽진언
37,2019-10-26 19:32:34,883,7,53086,곽진언
38,2019-10-23 22:26:10,375,2,53085,곽진언
39,2019-10-23 16:24:54,329,1,53084,곽진언
40,2019-10-23 12:22:02,259,1,53083,곽진언
41,2019-10-23 10:23:24,218,0,53082,곽진언
42,2019-10-23 06:15:40,236,0,53081,곽진언
43,2019-10-18 00:38:10,459,1,53080,곽진언
44,2019-10-14 03:08:39,293,0,53079,곽진언
45,2019-10-14 02:54:35,275,0,53078,곽진언
46,2019-10-11 17:27:02,767,1,53077,곽진언
47,2019-10-03 21:54:34,802,2,53076,곽진언
48,2019-09-28 03:38:08,524,0,53075,곽진언
49,2019-09-27 13:56:26,608,11,53073,곽진언
50,2019-09-27 11:56:50,752,11,53072,곽진언
51,2019-09-23 03:17:28,500,0,53071,곽진언
52,2019-09-23 02:59:48,550,0,53070,곽진언
53,2019-09-23 02:21:42,412,0,53069,곽진언
54,2019-09-23 01:48:51,311,0,53068,곽진언
55,2019-09-22 01:47:25,318,0,53067,곽진언
56,2019-09-18 15:53:34,419,0,53066,곽진언
57,2019-09-18 15:15:08,412,0,53065,곽진언
58,2019-09-17 11:54:09,318,0,53064,곽진언
59,2019-09-16 16:27:41,305,0,53063,곽진언
60,2019-09-15 01:18:10,487,11,53062,곽진언
61,2019-09-14 23:12:13,353,0,53061,곽진언
62,2019-09-14 13:20:34,492,0,53060,곽진언
63,2019-09-12 16:31:53,273,0,53059,곽진언
64,2019-09-11 23:40:01,308,0,53058,곽진언
65,2019-09-11 22:37:31,291,0,53057,곽진언
66,2019-09-11 14:22:03,359,0,53056,곽진언
67,2019-09-11 12:38:10,275,0,53055,곽진언
68,2019-09-11 01:26:06,492,10,53054,곽진언
69,2019-09-10 19:04:28,312,0,53053,곽진언
70,2019-09-09 23:05:06,359,0,53052,곽진언
71,2019-09-09 17:22:31,556,11,53051,곽진언
72,2019-09-09 01:19:32,438,1,53049,곽진언
73,2019-09-07 22:23:32,335,5,53048,곽진언
74,2019-09-07 12:45:08,244,0,53047,곽진언
75,2019-09-07 03:01:46,258,0,53046,곽진언
76,2019-09-07 02:53:59,215,0,53045,곽진언
77,2019-09-05 23:29:53,386,0,53044,곽진언
78,2019-09-05 01:45:05,358,0,53043,곽진언
79,2019-09-05 01:37:59,254,1,53042,곽진언
80,2019-09-04 23:52:43,379,1,53041,곽진언
81,2019-09-03 10:23:08,188,0,53040,곽진언
82,2019-08-30 23:06:10,543,4,53039,곽진언
83,2019-08-18 11:48:40,543,1,53036,곽진언
84,2019-07-17 17:12:50,793,2,53032,곽진언
85,2019-07-16 11:18:20,675,4,53031,곽진언
86,2019-07-13 23:04:27,791,2,53030,곽진언
87,2019-07-13 10:23:06,255,1,53029,곽진언
88,2019-07-04 10:23:54,272,2,53028,곽진언
