,date,views,recommend,number,singer
0,2020-04-17 22:02:04,63,0,2587,김구라
1,2020-03-29 14:45:33,34,0,2582,김구라
2,2020-03-15 17:48:34,55,0,2578,김구라
3,2020-03-03 15:30:01,61,0,2576,김구라
4,2020-02-06 03:28:48,58,0,2561,김구라
5,2020-01-14 15:51:09,347,1,2560,김구라
6,2019-12-29 13:13:05,355,1,2558,김구라
7,2019-12-29 01:14:06,1403,47,2557,김구라
8,2019-11-27 19:16:46,113,0,2548,김구라
9,2019-11-19 21:02:43,233,0,2545,김구라
10,2019-11-15 21:41:04,177,0,2544,김구라
11,2019-11-13 00:04:33,179,0,2543,김구라
12,2019-11-05 01:54:46,194,0,2540,김구라
13,2019-10-30 18:46:16,143,0,2539,김구라
14,2019-10-19 17:22:27,192,1,2537,김구라
15,2019-10-04 16:26:47,245,1,2535,김구라
16,2019-09-22 19:36:15,163,0,2533,김구라
17,2019-09-22 19:35:15,154,0,2531,김구라
18,2019-09-10 15:40:28,160,0,2525,김구라
19,2019-09-10 15:38:27,156,0,2524,김구라
20,2019-08-02 22:19:04,348,0,2516,김구라
21,2019-07-20 10:24:23,367,2,2513,김구라
22,2019-05-08 02:15:40,279,0,2509,김구라
23,2019-04-20 02:54:39,335,0,2507,김구라
24,2019-03-24 16:58:18,367,0,2503,김구라
25,2019-02-27 22:34:45,581,3,2500,김구라
26,2019-02-11 13:40:36,465,1,2496,김구라
27,2019-01-29 22:04:46,465,0,2492,김구라
28,2019-01-28 01:40:05,459,0,2490,김구라
29,2019-01-11 04:19:59,386,0,2484,김구라
30,2019-01-08 23:43:42,464,0,2478,김구라
31,2018-12-29 21:11:10,437,2,2475,김구라
32,2018-12-27 13:33:46,399,0,2474,김구라
33,2018-12-22 14:38:49,399,0,2470,김구라
34,2018-12-21 22:09:47,440,2,2469,김구라
35,2018-12-21 22:09:03,286,0,2468,김구라
36,2018-12-15 22:21:32,381,3,2467,김구라
37,2018-11-05 11:44:13,553,2,2445,김구라
38,2018-10-15 02:45:39,662,1,2443,김구라
39,2018-09-24 20:09:02,581,0,2434,김구라
40,2018-08-28 00:09:58,979,3,2398,김구라
41,2018-08-22 22:51:17,53549,0,2381,김구라
42,2018-08-13 17:13:13,1298,0,2379,김구라
43,2018-08-13 17:09:47,96546,4,2378,김구라
44,2018-08-06 02:30:37,839,0,2366,김구라
45,2018-08-06 01:52:11,756,0,2365,김구라
46,2018-08-06 01:42:49,1047,3,2364,김구라
47,2018-07-24 12:23:06,659,0,2354,김구라
48,2018-07-04 23:24:21,105406,13,2307,김구라
49,2018-07-04 23:23:00,62241,1,2304,김구라
50,2018-07-04 23:21:31,64521,0,2302,김구라
51,2018-07-04 23:21:04,104053,0,2301,김구라
52,2018-07-04 23:19:11,107189,0,2297,김구라
53,2018-07-04 23:18:48,109262,2,2296,김구라
54,2018-07-04 23:16:33,1003,6,2295,김구라
55,2018-06-08 23:17:06,671,1,2264,김구라
56,2018-06-07 04:17:29,635,1,2263,김구라
57,2018-05-25 20:43:17,634,3,2260,김구라
58,2018-05-16 23:00:15,632,2,2259,김구라
59,2018-05-14 01:10:38,640,3,2258,김구라
60,2018-05-12 07:28:17,627,1,2257,김구라
61,2018-05-11 15:21:48,1387,37,2256,김구라
62,2018-05-10 22:41:48,695,1,2255,김구라
63,2018-05-10 06:10:33,571,0,2254,김구라
64,2018-05-10 06:09:04,533,2,2253,김구라
65,2018-05-10 06:05:25,568,4,2252,김구라
66,2018-05-10 05:57:31,455,2,2251,김구라
67,2018-05-10 05:46:49,436,3,2250,김구라
68,2018-05-10 05:45:36,404,1,2249,김구라
69,2018-05-07 14:35:26,404,1,2247,김구라
70,2018-04-14 11:48:52,723,0,2243,김구라
71,2018-04-01 14:43:32,859,1,2239,김구라
72,2018-03-12 16:49:05,862,0,2232,김구라
73,2018-02-21 22:49:46,548,0,2229,김구라
74,2018-02-01 23:56:47,594,0,2218,김구라
75,2018-01-28 17:38:19,555,1,2216,김구라
76,2018-01-22 12:09:09,1264,0,2208,김구라
77,2018-01-07 17:09:20,432,1,2206,김구라
78,2018-01-05 03:41:50,268,1,2205,김구라
79,2017-12-18 01:38:51,669,10,2198,김구라
80,2017-12-14 12:25:05,407,0,2197,김구라
81,2017-11-23 09:12:57,288,0,2191,김구라
82,2017-11-23 07:24:49,420,0,2190,김구라
83,2017-11-22 11:23:13,503,0,2189,김구라
84,2017-11-21 03:10:28,593,1,2188,김구라
85,2017-11-21 00:16:48,760,1,2187,김구라
86,2017-11-18 19:19:56,399,0,2185,김구라
87,2017-11-05 08:28:23,447,0,2180,김구라
88,2017-10-29 21:34:05,1706,0,2178,김구라
89,2017-10-15 22:22:20,1934,0,2173,김구라
90,2017-10-09 08:58:02,523,0,2169,김구라
91,2017-10-05 07:08:52,671,0,2166,김구라
92,2017-10-05 03:41:08,1477,1,2165,김구라
93,2017-10-05 03:40:17,2569,1,2164,김구라
94,2017-09-24 01:37:18,2651,25,2159,김구라
95,2017-09-13 21:07:03,895,0,2158,김구라
96,2017-09-02 21:57:35,539,2,2155,김구라
97,2017-09-01 16:19:22,421,1,2154,김구라
98,2017-09-01 16:03:41,426,4,2153,김구라
