,date,views,recommend,number,singer
0,2020-04-24 16:06:21,92,5,21518,김민정
1,2020-04-23 23:42:31,95,5,21517,김민정
2,2020-04-08 16:29:29,79,0,21516,김민정
3,2020-03-15 18:22:40,113,2,21513,김민정
4,2020-01-30 12:13:50,266,7,21502,김민정
5,2020-01-20 21:08:42,386,20,21500,김민정
6,2020-01-01 11:03:47,205,6,21499,김민정
7,2019-12-31 08:49:41,218,3,21498,김민정
8,2019-12-12 08:17:42,158,1,21497,김민정
9,2019-12-05 09:10:12,260,7,21496,김민정
10,2019-11-28 18:55:13,394,15,21495,김민정
11,2019-11-27 11:47:55,252,5,21494,김민정
12,2019-11-26 15:41:21,153,0,21493,김민정
13,2019-11-11 10:49:13,271,3,21490,김민정
14,2019-10-17 15:44:26,197,1,21489,김민정
15,2019-10-09 16:39:01,615,16,21488,김민정
16,2019-10-02 23:18:24,610,12,21487,김민정
17,2019-09-29 18:30:07,361,16,21486,김민정
18,2019-09-27 16:09:01,396,5,21485,김민정
19,2019-09-26 22:18:00,304,7,21484,김민정
20,2019-09-16 12:36:31,319,3,21483,김민정
21,2019-09-05 13:59:00,332,1,21482,김민정
22,2019-09-01 21:12:10,525,1,21481,김민정
23,2019-09-01 21:02:46,327,2,21480,김민정
24,2019-09-01 20:21:50,372,1,21479,김민정
25,2019-09-01 18:11:59,312,1,21478,김민정
26,2019-08-29 20:40:39,590,12,21477,김민정
27,2019-08-20 14:33:19,354,6,21476,김민정
28,2019-08-14 22:13:09,346,1,21475,김민정
29,2019-08-13 07:41:08,364,2,21473,김민정
30,2019-08-12 10:04:44,446,4,21472,김민정
31,2019-08-11 08:50:29,224,0,21471,김민정
32,2019-08-01 14:21:11,468,4,21468,김민정
33,2019-07-30 12:26:02,398,8,21467,김민정
34,2019-07-24 10:21:34,364,4,21466,김민정
35,2019-07-12 10:26:26,454,10,21465,김민정
36,2019-07-04 10:58:08,347,1,21464,김민정
37,2019-06-14 22:14:57,359,0,21463,김민정
38,2019-06-03 12:01:55,517,3,21462,김민정
39,2019-05-28 11:22:01,454,5,21461,김민정
40,2019-05-27 17:19:37,489,4,21460,김민정
41,2019-05-19 12:47:35,582,3,21459,김민정
42,2019-05-09 22:35:14,440,1,21458,김민정
43,2019-05-04 09:32:03,536,6,21457,김민정
44,2019-05-02 07:55:08,539,5,21454,김민정
45,2019-05-01 22:50:16,510,5,21453,김민정
46,2019-05-01 15:48:18,341,0,21452,김민정
47,2019-04-30 16:08:15,468,0,21451,김민정
48,2019-04-30 16:05:33,477,1,21450,김민정
