,date,views,recommend,number,singer
0,2020-05-07 17:14:47,39,0,175656,김태희
1,2020-05-07 15:22:37,41,0,175655,김태희
2,2020-05-07 14:52:11,57,0,175654,김태희
3,2020-05-07 14:28:55,58,0,175653,김태희
4,2020-05-07 11:18:33,194,16,175644,김태희
5,2020-05-07 07:14:40,102,8,175643,김태희
6,2020-05-07 06:59:02,217,20,175642,김태희
7,2020-05-07 05:39:28,167,1,175641,김태희
8,2020-05-03 17:25:41,294,3,175583,김태희
9,2020-05-01 12:54:56,844,21,175572,김태희
10,2020-04-30 13:21:33,558,33,175567,김태희
11,2020-04-30 12:16:49,338,0,175566,김태희
12,2020-04-30 11:48:11,334,18,175565,김태희
13,2020-04-24 22:25:13,624,33,175535,김태희
14,2020-04-24 17:21:29,213,12,175533,김태희
15,2020-04-24 09:42:02,619,24,175528,김태희
16,2020-04-23 23:08:41,606,50,175527,김태희
17,2020-04-23 18:07:41,313,23,175523,김태희
18,2020-04-23 14:09:57,322,22,175519,김태희
19,2020-04-23 00:16:07,823,37,175512,김태희
20,2020-04-22 22:40:21,399,23,175510,김태희
21,2020-04-22 22:06:29,221,10,175508,김태희
22,2020-04-22 12:35:56,469,33,175497,김태희
23,2020-04-21 17:48:39,378,20,175491,김태희
24,2020-04-20 23:22:00,665,30,175485,김태희
25,2020-04-20 21:38:54,415,20,175483,김태희
26,2020-04-20 20:33:51,238,1,175482,김태희
27,2020-04-20 20:03:45,216,11,175481,김태희
28,2020-04-20 17:16:51,492,28,175478,김태희
29,2020-04-20 14:59:59,291,18,175476,김태희
30,2020-04-20 12:50:18,294,8,175473,김태희
31,2020-04-20 11:49:56,295,13,175472,김태희
32,2020-04-20 11:19:01,340,18,175471,김태희
33,2020-04-19 23:12:25,339,24,175467,김태희
34,2020-04-19 14:18:52,332,8,175464,김태희
35,2020-04-19 02:10:53,356,29,175463,김태희
36,2020-04-18 22:34:25,324,18,175459,김태희
37,2020-04-18 12:34:28,275,15,175458,김태희
38,2020-04-18 07:45:13,594,16,175457,김태희
39,2020-04-17 12:26:08,939,27,175454,김태희
40,2020-04-17 11:22:23,767,30,175453,김태희
41,2020-04-17 09:38:59,367,17,175452,김태희
42,2020-04-17 09:24:02,244,11,175451,김태희
43,2020-04-17 03:43:59,203,3,175450,김태희
44,2020-04-16 18:10:50,870,30,175446,김태희
45,2020-04-16 09:13:00,276,9,175439,김태희
46,2020-04-15 21:28:57,607,15,175434,김태희
47,2020-04-15 19:09:04,250,14,175429,김태희
48,2020-04-14 21:00:43,843,40,175423,김태희
49,2020-04-13 06:46:53,471,7,175404,김태희
50,2020-04-13 03:41:41,929,28,175402,김태희
