,date,views,recommend,number,singer
0,2016-01-19 00:31:10,58582,87,공지,딕펑스
1,2014-04-11 23:51:50,54507,241,공지,딕펑스
2,2013-03-13 10:44:22,87682,232,공지,딕펑스
3,2020-05-07 10:23:17,87,0,1638295,딕펑스
4,2020-05-07 01:58:28,87,0,1638294,딕펑스
5,2020-05-06 22:56:42,132,0,1638293,딕펑스
6,2020-05-06 13:30:07,158,0,1638292,딕펑스
7,2020-05-05 16:10:38,187,0,1638291,딕펑스
8,2020-05-05 15:35:08,197,12,1638290,딕펑스
9,2020-05-05 12:09:10,186,4,1638289,딕펑스
10,2020-05-05 09:06:21,191,10,1638288,딕펑스
11,2020-05-05 01:39:10,121,0,1638287,딕펑스
12,2020-05-05 00:43:48,151,0,1638286,딕펑스
13,2020-05-05 00:28:29,161,4,1638285,딕펑스
14,2020-05-04 19:37:15,233,12,1638284,딕펑스
15,2020-05-04 18:06:25,176,11,1638283,딕펑스
16,2020-05-04 16:07:35,235,11,1638282,딕펑스
17,2020-05-04 13:50:52,157,8,1638281,딕펑스
18,2020-05-04 09:22:53,139,0,1638280,딕펑스
19,2020-05-03 11:27:33,55,0,1638279,딕펑스
20,2020-05-03 00:29:35,246,2,1638278,딕펑스
21,2020-05-02 15:53:55,30,0,1638277,딕펑스
22,2020-05-02 05:11:32,203,0,1638276,딕펑스
23,2020-05-02 00:17:34,246,0,1638275,딕펑스
24,2020-05-01 22:54:21,259,0,1638274,딕펑스
25,2020-05-01 17:28:37,21,0,1638273,딕펑스
26,2020-04-30 21:27:35,241,0,1638272,딕펑스
27,2020-04-30 15:53:40,255,0,1638271,딕펑스
28,2020-04-29 22:46:09,154,0,1638270,딕펑스
29,2020-04-29 21:07:17,342,0,1638269,딕펑스
30,2020-04-29 20:16:15,228,0,1638268,딕펑스
31,2020-04-29 18:29:06,128,0,1638267,딕펑스
32,2020-04-29 18:21:00,116,0,1638266,딕펑스
33,2020-04-29 16:28:46,279,0,1638265,딕펑스
34,2020-04-29 11:27:43,53,0,1638264,딕펑스
35,2020-04-28 23:28:09,44,0,1638262,딕펑스
36,2020-04-28 15:31:01,367,11,1638260,딕펑스
37,2020-04-28 00:54:45,322,0,1638259,딕펑스
38,2020-04-28 00:54:15,132,0,1638258,딕펑스
39,2020-04-26 09:01:21,41,0,1638257,딕펑스
40,2020-04-26 02:05:08,260,0,1638256,딕펑스
41,2020-04-25 22:41:25,225,1,1638255,딕펑스
42,2020-04-25 14:04:54,45,0,1638254,딕펑스
43,2020-04-25 07:59:46,375,1,1638253,딕펑스
44,2020-04-24 22:05:21,314,0,1638252,딕펑스
45,2020-04-24 14:13:05,283,0,1638251,딕펑스
46,2020-04-24 10:20:36,286,0,1638250,딕펑스
47,2020-04-23 23:27:25,50,0,1638249,딕펑스
