,date,views,recommend,number,singer
0,2019-08-19 16:33:58,557,19,공지,류덕환
1,2019-02-28 21:40:57,3259,170,공지,류덕환
2,2016-06-14 11:37:24,5229,186,공지,류덕환
3,2020-05-06 01:21:58,86,0,84033,류덕환
4,2020-04-29 22:15:14,266,0,84031,류덕환
5,2020-04-27 20:56:10,175,0,84030,류덕환
6,2020-04-27 18:48:34,99,0,84029,류덕환
7,2020-04-25 18:27:55,107,0,84028,류덕환
8,2020-04-24 20:43:10,199,0,84027,류덕환
9,2020-04-24 18:18:19,123,0,84026,류덕환
10,2020-04-24 13:35:37,156,0,84025,류덕환
11,2020-04-22 23:04:09,271,5,84024,류덕환
12,2020-04-22 20:32:43,259,0,84023,류덕환
13,2020-04-22 20:13:11,231,0,84022,류덕환
14,2020-04-22 10:44:26,286,0,84021,류덕환
15,2020-04-21 23:26:27,143,0,84020,류덕환
16,2020-04-21 23:15:08,120,1,84019,류덕환
17,2020-04-21 23:12:47,174,1,84018,류덕환
18,2020-04-21 22:57:18,235,0,84017,류덕환
19,2020-04-21 12:41:26,180,0,84016,류덕환
20,2020-04-18 15:08:29,259,0,84015,류덕환
21,2020-04-16 22:39:08,191,0,84013,류덕환
22,2020-04-10 10:26:36,365,0,84012,류덕환
23,2020-04-06 15:38:03,242,0,84011,류덕환
24,2020-03-30 23:10:55,340,0,84010,류덕환
25,2020-03-30 22:27:19,462,0,84009,류덕환
26,2020-03-30 12:33:02,325,0,84008,류덕환
27,2020-03-19 18:26:55,385,3,84006,류덕환
28,2020-03-17 22:53:18,314,0,84003,류덕환
29,2020-03-17 10:21:39,298,0,84002,류덕환
30,2020-03-16 23:57:21,362,0,84001,류덕환
31,2020-03-16 22:34:10,547,0,84000,류덕환
32,2020-03-16 14:13:24,221,0,83999,류덕환
33,2020-03-13 11:25:42,345,2,83998,류덕환
34,2020-03-10 19:26:18,533,0,83997,류덕환
35,2020-03-09 18:43:42,430,0,83996,류덕환
36,2020-03-07 11:17:26,452,0,83995,류덕환
37,2020-03-02 23:14:20,584,5,83993,류덕환
38,2020-02-28 19:43:19,322,0,83991,류덕환
39,2020-02-26 17:47:47,492,4,83988,류덕환
40,2020-02-22 15:43:59,470,4,83986,류덕환
41,2020-02-13 15:22:17,466,1,83985,류덕환
42,2020-02-06 15:09:10,371,7,83984,류덕환
43,2020-02-05 11:56:00,257,0,83983,류덕환
44,2020-02-04 20:04:59,400,0,83982,류덕환
45,2020-02-04 20:00:25,355,1,83981,류덕환
46,2020-02-04 16:36:49,180,0,83980,류덕환
47,2020-02-03 23:20:19,231,2,83979,류덕환
48,2020-02-02 16:59:04,279,17,83978,류덕환
49,2020-01-19 21:39:39,447,0,83975,류덕환
50,2020-01-14 15:48:00,906,1,83974,류덕환
51,2020-01-13 22:43:01,927,5,83973,류덕환
52,2020-01-11 00:53:19,429,1,83972,류덕환
53,2020-01-10 22:10:00,372,0,83971,류덕환
54,2020-01-10 21:43:12,303,0,83970,류덕환
55,2020-01-10 20:52:56,250,1,83969,류덕환
56,2020-01-07 16:53:07,412,1,83968,류덕환
57,2020-01-05 16:15:03,349,1,83967,류덕환
58,2020-01-01 00:39:42,404,0,83965,류덕환
59,2020-01-01 00:13:30,252,0,83964,류덕환
60,2020-01-01 00:13:30,209,0,83963,류덕환
61,2019-12-31 23:19:25,290,0,83962,류덕환
62,2019-12-31 22:48:07,131,0,83961,류덕환
63,2019-12-31 21:28:58,242,0,83960,류덕환
64,2019-12-31 14:31:07,348,0,83959,류덕환
65,2019-12-30 23:57:17,413,1,83958,류덕환
66,2019-12-21 16:13:26,437,0,83957,류덕환
67,2019-12-18 14:48:56,325,0,83956,류덕환
68,2019-11-30 14:38:52,608,2,83955,류덕환
69,2019-11-27 19:18:33,194,0,83954,류덕환
70,2019-11-23 20:56:22,273,0,83953,류덕환
71,2019-11-04 19:40:38,501,0,83950,류덕환
72,2019-11-01 07:38:32,713,6,83949,류덕환
73,2019-11-01 01:11:51,708,8,83948,류덕환
74,2019-10-31 22:24:00,382,0,83947,류덕환
75,2019-10-31 16:32:43,393,0,83945,류덕환
76,2019-10-29 19:48:29,338,2,83944,류덕환
77,2019-10-29 19:44:44,365,0,83943,류덕환
78,2019-10-28 21:15:50,389,1,83941,류덕환
79,2019-10-28 21:10:03,190,0,83940,류덕환
80,2019-10-28 19:26:49,359,0,83939,류덕환
81,2019-10-27 22:19:18,218,0,83938,류덕환
82,2019-10-27 15:01:52,343,0,83937,류덕환
83,2019-10-26 19:49:32,253,0,83936,류덕환
84,2019-10-25 22:41:09,197,0,83934,류덕환
85,2019-10-25 12:46:38,404,3,83931,류덕환
86,2019-10-24 22:17:59,214,0,83930,류덕환
87,2019-10-24 17:17:31,315,0,83929,류덕환
88,2019-10-23 22:22:41,195,0,83928,류덕환
89,2019-10-22 22:24:23,215,0,83927,류덕환
90,2019-10-22 12:13:45,387,2,83926,류덕환
91,2019-10-22 12:11:50,455,0,83925,류덕환
92,2019-10-22 07:54:29,221,0,83924,류덕환
93,2019-10-22 07:42:45,175,0,83923,류덕환
94,2019-10-20 09:26:26,261,0,83922,류덕환
95,2019-10-19 23:05:49,481,8,83921,류덕환
96,2019-10-19 21:28:36,382,0,83920,류덕환
97,2019-10-18 04:02:49,969,15,83919,류덕환
98,2019-10-15 23:24:19,286,0,83918,류덕환
99,2019-10-15 18:29:10,234,0,83917,류덕환
100,2019-10-14 12:17:37,239,0,83915,류덕환
101,2019-10-14 11:29:05,587,0,83914,류덕환
102,2019-10-12 09:20:08,1018,18,83913,류덕환
103,2019-10-12 08:32:19,324,0,83912,류덕환
104,2019-10-10 23:17:20,333,0,83911,류덕환
105,2019-10-10 20:02:49,383,0,83910,류덕환
106,2019-10-10 18:20:45,223,0,83908,류덕환
107,2019-10-10 14:31:04,199,0,83907,류덕환
108,2019-10-10 13:34:10,302,2,83906,류덕환
109,2019-10-10 11:44:06,246,1,83904,류덕환
110,2019-10-08 10:30:25,232,0,83902,류덕환
