,date,views,recommend,number,singer
0,2020-04-11 08:23:44,94,0,7642,류승범
1,2020-04-06 19:38:54,77,0,7640,류승범
2,2020-03-16 12:59:33,173,0,7636,류승범
3,2020-03-02 22:57:33,163,1,7635,류승범
4,2020-02-14 18:46:30,190,2,7629,류승범
5,2020-01-25 19:27:58,168,0,7628,류승범
6,2020-01-07 22:30:00,242,1,7627,류승범
7,2020-01-01 19:09:28,129,0,7625,류승범
8,2020-01-01 13:56:11,176,1,7624,류승범
9,2019-12-27 14:03:22,356,0,7623,류승범
10,2019-11-27 19:11:29,136,0,7622,류승범
11,2019-11-23 20:28:13,240,0,7619,류승범
12,2019-11-22 21:54:08,276,0,7618,류승범
13,2019-11-20 13:11:02,331,1,7617,류승범
14,2019-11-17 23:24:51,327,0,7615,류승범
15,2019-11-17 23:13:41,242,0,7614,류승범
16,2019-11-17 23:10:08,139,0,7613,류승범
17,2019-10-24 13:56:32,227,0,7611,류승범
18,2019-10-14 16:39:04,155,0,7610,류승범
19,2019-10-12 20:14:21,345,0,7608,류승범
20,2019-10-11 22:32:11,466,0,7607,류승범
21,2019-10-07 02:11:36,183,0,7606,류승범
22,2019-10-03 15:35:38,370,0,7605,류승범
23,2019-09-24 08:45:50,304,0,7604,류승범
24,2019-09-16 10:45:03,266,0,7603,류승범
25,2019-09-13 00:08:19,477,0,7602,류승범
26,2019-09-11 21:45:56,360,3,7601,류승범
27,2019-08-21 15:34:43,730,0,7599,류승범
28,2019-08-06 20:57:01,355,0,7596,류승범
29,2019-07-18 21:53:53,371,0,7594,류승범
30,2019-07-10 12:36:32,940,2,7593,류승범
31,2019-07-09 23:06:01,605,2,7592,류승범
32,2019-06-25 18:03:00,997,2,7591,류승범
33,2019-06-16 23:46:43,401,0,7590,류승범
34,2019-05-09 19:58:28,767,1,7589,류승범
35,2019-05-04 20:25:43,292,0,7588,류승범
36,2019-03-11 23:47:09,855,0,7586,류승범
37,2019-02-14 23:29:34,860,0,7584,류승범
38,2019-02-14 12:03:22,679,0,7583,류승범
39,2019-01-01 02:26:51,685,0,7580,류승범
40,2018-12-27 06:34:57,426,0,7577,류승범
41,2018-12-19 03:09:01,364,0,7573,류승범
42,2018-12-16 10:26:41,537,1,7571,류승범
43,2018-12-13 22:51:53,590,0,7569,류승범
44,2018-11-19 15:23:24,502,0,7561,류승범
45,2018-11-15 16:56:25,1553,5,7560,류승범
46,2018-11-09 13:51:53,394,0,7547,류승범
47,2018-10-17 14:46:11,840,0,7546,류승범
48,2018-10-16 18:13:55,977,0,7545,류승범
49,2018-10-12 17:11:30,1388,0,7543,류승범
50,2018-10-09 23:29:08,1744,1,7542,류승범
51,2018-10-07 17:02:07,426,2,7540,류승범
52,2018-10-06 20:23:08,1438,1,7539,류승범
53,2018-09-21 18:52:33,640,0,7532,류승범
54,2018-09-09 21:36:19,529,0,7500,류승범
55,2018-08-18 19:24:37,1310,3,7496,류승범
56,2018-08-12 11:22:31,1233,1,7495,류승범
57,2018-08-09 03:55:20,417,0,7494,류승범
58,2018-08-07 09:59:59,794,2,7493,류승범
59,2018-07-19 22:11:10,557,0,7472,류승범
60,2018-07-16 03:07:44,730,0,7465,류승범
61,2018-07-13 10:31:12,835,1,7460,류승범
62,2018-07-12 18:03:12,406,0,7458,류승범
63,2018-07-12 15:11:18,675,4,7457,류승범
64,2018-07-06 20:52:25,478,0,7446,류승범
65,2018-06-29 10:10:50,1098,0,7421,류승범
66,2018-06-27 21:36:04,522,0,7420,류승범
67,2018-06-27 18:39:47,570,1,7419,류승범
68,2018-06-27 15:52:09,1019,5,7417,류승범
69,2018-06-27 10:46:48,551,1,7416,류승범
70,2018-06-17 20:22:41,965,1,7406,류승범
71,2018-06-09 23:27:07,524,0,7405,류승범
72,2018-05-28 16:56:10,1088,0,7404,류승범
73,2018-05-09 17:16:22,1029,0,7403,류승범
74,2018-04-23 11:08:39,532,4,7402,류승범
75,2018-04-23 10:33:34,1287,1,7401,류승범
76,2018-04-19 13:35:46,1159,0,7400,류승범
77,2018-04-19 13:34:57,1071,0,7399,류승범
78,2018-04-19 13:34:13,1478,0,7398,류승범
79,2018-04-14 16:35:30,347,1,7397,류승범
80,2018-04-04 18:58:44,566,0,7396,류승범
81,2018-03-27 13:50:10,716,0,7395,류승범
82,2018-03-25 14:46:22,1588,0,7394,류승범
83,2018-03-23 16:12:03,372,0,7393,류승범
84,2018-03-23 14:59:49,458,0,7392,류승범
85,2018-03-13 17:11:41,778,0,7391,류승범
86,2018-03-06 23:44:25,829,0,7389,류승범
87,2018-03-05 16:44:41,428,0,7388,류승범
88,2018-03-04 17:18:41,398,0,7387,류승범
89,2018-03-04 15:47:18,551,0,7386,류승범
90,2018-03-03 16:59:21,606,2,7384,류승범
91,2018-02-28 00:54:32,1292,0,7383,류승범
92,2018-02-27 20:58:53,684,0,7382,류승범
93,2018-02-26 09:39:53,144,0,7381,류승범
94,2018-02-25 20:56:02,451,2,7380,류승범
95,2018-02-21 03:10:17,720,0,7379,류승범
96,2018-02-10 00:28:26,736,0,7377,류승범
97,2018-02-08 02:01:10,598,0,7376,류승범
98,2018-01-23 02:09:28,686,0,7374,류승범
