,date,views,recommend,number,singer
0,2008-01-08 21:41:03,75224,57,공지,박진영
1,2007-11-26 14:12:31,167497,113,공지,박진영
2,2020-05-06 06:21:20,15,0,65590,박진영
3,2020-05-04 17:52:58,32,0,65589,박진영
4,2020-05-03 22:08:57,30,0,65588,박진영
5,2020-05-03 14:13:35,36,0,65587,박진영
6,2020-04-28 23:02:20,18,0,65586,박진영
7,2020-04-28 22:48:04,30,0,65585,박진영
8,2020-04-28 22:45:00,25,0,65584,박진영
9,2020-04-28 22:40:49,21,0,65583,박진영
10,2020-04-28 22:39:10,21,0,65582,박진영
11,2020-04-28 22:37:27,21,0,65581,박진영
12,2020-04-28 14:32:56,37,1,65580,박진영
13,2020-04-28 10:31:05,28,0,65579,박진영
14,2020-04-22 23:01:02,68,1,65578,박진영
15,2020-04-12 02:58:41,51,0,65574,박진영
16,2020-04-06 18:41:30,65,2,65573,박진영
17,2020-04-05 20:49:52,84,3,65572,박진영
18,2020-04-05 02:29:31,56,2,65571,박진영
19,2020-03-29 20:51:36,127,1,65570,박진영
20,2020-03-21 21:52:58,67,0,65568,박진영
21,2020-03-20 23:24:52,92,0,65567,박진영
22,2020-03-10 15:31:16,102,0,65563,박진영
23,2020-03-09 19:27:50,132,0,65562,박진영
24,2020-03-09 14:16:51,81,0,65561,박진영
25,2020-03-05 19:49:52,103,0,65560,박진영
26,2020-02-29 10:35:46,139,7,65558,박진영
27,2020-02-23 23:23:34,99,3,65546,박진영
28,2020-02-23 20:57:14,163,2,65545,박진영
29,2020-02-16 03:36:56,148,0,65544,박진영
30,2020-02-12 02:41:09,107,1,65543,박진영
31,2020-02-05 09:27:14,147,0,65538,박진영
32,2020-02-04 06:52:41,217,0,65537,박진영
33,2020-01-13 08:10:00,198,0,65535,박진영
34,2020-01-12 00:12:26,247,0,65534,박진영
35,2020-01-11 12:29:45,224,1,65533,박진영
36,2019-12-31 23:38:56,159,0,65531,박진영
37,2019-12-30 13:50:20,175,0,65530,박진영
38,2019-12-25 10:07:52,227,0,65529,박진영
39,2019-12-23 16:33:16,188,0,65528,박진영
40,2019-12-21 23:30:06,231,0,65527,박진영
