,date,views,recommend,number,singer
0,2020-05-07 17:58:08,6,0,10326,방예담
1,2020-05-03 10:20:42,135,8,10324,방예담
2,2020-04-29 14:29:02,151,7,10323,방예담
3,2020-04-27 12:12:37,220,14,10321,방예담
4,2020-04-27 02:52:40,236,46,10319,방예담
5,2020-04-27 02:39:54,185,42,10317,방예담
6,2020-04-27 02:39:01,203,42,10316,방예담
7,2020-04-24 13:58:21,192,20,10315,방예담
8,2020-04-24 09:53:10,171,17,10314,방예담
9,2020-04-24 09:46:48,154,19,10313,방예담
10,2020-04-18 16:23:04,249,36,10312,방예담
11,2020-04-15 13:37:45,365,46,10311,방예담
12,2020-04-14 00:15:51,146,14,10309,방예담
13,2020-04-14 00:05:47,153,1,10308,방예담
14,2020-04-13 23:46:57,115,0,10306,방예담
15,2020-04-13 23:38:44,71,0,10300,방예담
16,2020-04-13 23:37:11,109,0,10299,방예담
17,2020-04-13 23:33:38,170,6,10295,방예담
18,2020-04-13 23:33:12,54,0,10294,방예담
19,2020-04-13 23:31:51,239,2,10289,방예담
20,2020-04-13 23:27:27,48,0,10286,방예담
21,2020-04-13 23:23:43,50,0,10284,방예담
22,2020-04-13 23:22:27,43,0,10281,방예담
23,2020-04-13 23:09:50,55,1,10276,방예담
24,2020-04-13 22:59:17,50,0,10271,방예담
25,2020-04-13 22:53:35,116,6,10267,방예담
26,2020-04-13 22:39:51,90,7,10256,방예담
27,2020-04-13 22:39:14,88,0,10255,방예담
28,2020-04-13 22:35:25,117,14,10253,방예담
29,2020-04-13 22:34:01,76,3,10250,방예담
30,2020-04-13 22:21:53,2050,12,10244,방예담
31,2020-04-13 13:54:01,21665,20,10242,방예담
32,2020-04-12 19:52:34,178,15,10239,방예담
33,2020-04-12 00:32:19,216,20,10238,방예담
34,2020-04-10 13:24:38,167,24,10237,방예담
35,2020-04-10 00:26:38,146,25,10236,방예담
36,2020-04-09 12:17:45,200,19,10234,방예담
37,2020-04-09 10:19:22,202,25,10233,방예담
38,2020-04-09 07:05:03,94,11,10232,방예담
39,2020-04-09 00:28:00,147,11,10231,방예담
40,2020-04-08 12:35:48,271,16,10226,방예담
41,2020-04-07 23:21:18,143,26,10224,방예담
42,2020-04-07 23:16:41,125,25,10223,방예담
43,2020-04-07 23:12:14,121,25,10222,방예담
44,2020-04-07 22:55:01,83,23,10221,방예담
45,2020-04-07 22:51:59,96,23,10220,방예담
46,2020-03-20 00:06:02,505,62,10215,방예담
47,2020-03-17 12:13:46,376,35,10212,방예담
48,2020-03-17 06:25:18,215,13,10211,방예담
49,2020-03-15 14:15:59,341,14,10210,방예담
50,2020-03-15 14:05:37,247,35,10209,방예담
51,2020-03-15 06:57:37,311,35,10208,방예담
52,2020-03-05 22:54:01,240,37,10206,방예담
53,2020-03-05 21:03:19,258,38,10205,방예담
54,2020-03-05 09:57:32,498,40,10204,방예담
55,2020-03-05 01:43:45,328,40,10203,방예담
56,2020-02-29 15:15:38,92,1,10201,방예담
57,2020-02-15 14:27:21,455,39,10195,방예담
58,2020-02-04 13:36:08,443,35,10194,방예담
59,2020-02-03 12:57:24,358,21,10193,방예담
60,2020-01-30 12:22:22,318,24,10192,방예담
61,2020-01-15 17:44:58,340,11,10191,방예담
62,2020-01-09 12:31:41,423,18,10190,방예담
63,2020-01-08 19:17:31,341,12,10189,방예담
64,2020-01-08 15:39:52,179,5,10188,방예담
65,2020-01-08 12:32:20,153,4,10187,방예담
66,2020-01-06 20:00:57,553,14,10186,방예담
67,2019-12-31 17:42:10,381,3,10185,방예담
68,2019-11-27 19:24:58,214,2,10183,방예담
69,2019-11-16 22:52:47,762,9,10182,방예담
70,2019-10-25 20:19:01,816,12,10181,방예담
71,2019-10-19 17:13:13,501,2,10180,방예담
72,2019-09-28 18:44:23,1533,15,10179,방예담
73,2019-09-15 00:28:07,899,10,10178,방예담
74,2019-09-12 21:06:23,522,8,10177,방예담
75,2019-09-12 15:31:11,780,14,10176,방예담
76,2019-08-22 20:21:02,2213,13,10175,방예담
77,2019-08-09 13:08:15,1412,6,10173,방예담
78,2019-08-06 10:17:43,656,6,10172,방예담
79,2019-07-20 11:32:55,1309,12,10171,방예담
80,2019-07-19 17:32:51,678,13,10170,방예담
81,2019-07-09 03:14:34,1379,5,10169,방예담
82,2019-07-02 11:53:39,563,3,10168,방예담
83,2019-07-01 17:03:21,974,19,10167,방예담
84,2019-06-30 23:42:36,567,2,10166,방예담
85,2019-06-29 21:49:39,892,0,10165,방예담
86,2019-06-28 13:21:58,726,0,10164,방예담
87,2019-06-23 16:26:49,538,4,10163,방예담
88,2019-06-18 22:14:32,489,4,10162,방예담
89,2019-06-18 22:07:25,467,1,10161,방예담
90,2019-06-17 11:56:00,965,8,10160,방예담
91,2019-06-17 07:09:15,264,1,10159,방예담
92,2019-06-16 16:45:34,888,3,10158,방예담
93,2019-06-16 00:53:39,436,1,10157,방예담
94,2019-06-16 00:24:59,484,2,10156,방예담
95,2019-06-15 19:17:46,479,2,10155,방예담
96,2019-06-14 18:19:04,529,3,10154,방예담
97,2019-06-13 20:40:54,503,5,10153,방예담
98,2019-06-13 15:54:42,610,2,10152,방예담
99,2019-06-11 14:11:52,519,1,10151,방예담
100,2019-06-11 10:27:27,455,4,10150,방예담
101,2019-06-09 23:27:51,417,4,10149,방예담
102,2019-06-09 01:30:40,552,2,10148,방예담
103,2019-06-08 16:02:23,557,2,10147,방예담
104,2019-06-08 11:17:46,465,1,10146,방예담
105,2019-06-06 01:56:33,696,1,10145,방예담
106,2019-06-06 00:25:37,460,3,10144,방예담
107,2019-06-05 23:57:31,1078,15,10143,방예담
108,2019-06-04 17:46:45,417,3,10141,방예담
109,2019-05-30 18:12:04,978,19,10140,방예담
