,date,views,recommend,number,singer
0,2012-05-08 00:48:12,3656,26,공지,배두나
1,2006-08-18 16:41:25,10008,0,공지,배두나
2,2020-04-07 04:36:46,160,4,16193,배두나
3,2020-04-03 21:34:50,118,2,16192,배두나
4,2020-03-26 00:40:18,70,0,16191,배두나
5,2020-03-24 19:57:52,43,0,16189,배두나
6,2020-03-16 16:20:36,64,2,16186,배두나
7,2020-03-01 22:09:25,216,1,16185,배두나
8,2019-11-27 19:25:50,120,0,16174,배두나
9,2019-11-27 00:59:11,260,0,16173,배두나
10,2019-10-31 02:22:16,405,3,16170,배두나
11,2019-07-03 15:04:19,322,0,16165,배두나
12,2019-06-03 01:58:15,282,0,16161,배두나
13,2019-04-28 09:01:00,774,1,16160,배두나
14,2019-04-14 04:37:15,403,4,16159,배두나
15,2019-04-10 21:39:49,492,0,16158,배두나
16,2019-03-06 20:53:42,325,0,16157,배두나
17,2019-03-04 21:23:14,504,3,16156,배두나
18,2019-02-05 09:13:58,619,5,16155,배두나
19,2019-01-27 16:20:34,791,4,16154,배두나
20,2019-01-23 11:05:49,953,4,16150,배두나
21,2019-01-21 23:27:50,725,5,16133,배두나
22,2019-01-21 22:59:37,586,4,16131,배두나
23,2019-01-21 09:24:58,663,2,16130,배두나
24,2019-01-20 22:21:38,300,0,16129,배두나
25,2019-01-07 13:09:39,449,3,16126,배두나
26,2019-01-03 15:30:55,1079,2,16121,배두나
27,2019-01-02 22:45:04,432,1,16120,배두나
28,2019-01-02 22:44:50,581,5,16119,배두나
29,2019-01-01 18:51:44,572,5,16117,배두나
30,2018-12-22 23:48:37,581,3,16114,배두나
31,2018-12-21 17:39:35,499,2,16110,배두나
32,2018-12-20 15:02:56,563,5,16109,배두나
33,2018-12-20 10:46:23,547,0,16108,배두나
34,2018-12-19 18:18:18,496,4,16105,배두나
35,2018-12-19 09:26:04,395,0,16104,배두나
36,2018-12-17 17:37:07,475,4,16099,배두나
37,2018-12-13 01:44:37,452,0,16089,배두나
38,2018-11-26 14:29:01,685,4,16080,배두나
39,2018-11-17 09:04:38,674,1,16079,배두나
40,2018-11-16 19:23:10,572,2,16078,배두나
41,2018-11-08 23:30:29,559,2,16077,배두나
42,2018-10-28 08:51:03,706,7,16076,배두나
43,2018-10-26 18:58:21,611,5,16075,배두나
44,2018-10-23 20:14:24,434,4,16074,배두나
45,2018-10-22 03:17:47,615,10,16073,배두나
46,2018-10-22 00:53:09,411,0,16072,배두나
47,2018-10-14 11:24:23,710,1,16071,배두나
48,2018-10-08 23:53:40,453,3,16070,배두나
49,2018-10-07 22:16:08,586,1,16069,배두나
50,2018-10-05 19:36:26,665,6,16068,배두나
51,2018-09-28 19:46:08,416,0,16067,배두나
52,2018-09-21 19:23:01,678,6,16064,배두나
53,2018-09-21 13:18:20,463,0,16063,배두나
54,2018-09-13 10:42:42,597,0,16062,배두나
55,2018-09-07 17:09:17,887,7,16061,배두나
56,2018-09-05 19:53:17,515,0,16060,배두나
57,2018-09-01 20:00:12,528,0,16058,배두나
58,2018-09-01 16:40:01,325,0,16056,배두나
59,2018-08-31 00:58:23,483,1,16054,배두나
60,2018-08-30 23:50:25,358,1,16053,배두나
61,2018-08-30 03:05:23,253,0,16052,배두나
62,2018-08-28 09:53:31,268,0,16051,배두나
63,2018-08-19 14:32:14,254,0,16050,배두나
64,2018-08-12 19:53:47,348,0,16049,배두나
65,2018-08-10 22:24:07,211,0,16048,배두나
66,2018-08-10 08:51:54,384,2,16047,배두나
67,2018-08-10 00:28:03,302,0,16046,배두나
68,2018-08-09 22:52:24,407,0,16045,배두나
69,2018-08-09 15:37:41,632,0,16044,배두나
70,2018-07-14 21:02:49,295,0,16024,배두나
71,2018-07-14 20:59:59,518,0,16023,배두나
72,2018-07-14 20:43:35,336,0,16022,배두나
73,2018-07-11 03:05:34,610,1,16017,배두나
74,2018-06-28 03:36:26,374,0,15982,배두나
75,2018-06-22 19:49:34,463,0,15969,배두나
76,2018-06-16 00:46:08,352,0,15967,배두나
77,2018-06-05 23:39:55,557,0,15964,배두나
78,2018-05-31 21:22:51,455,0,15963,배두나
79,2018-05-24 12:23:07,697,0,15960,배두나
80,2018-05-21 21:20:05,465,0,15959,배두나
81,2018-05-19 09:10:37,885,0,15958,배두나
82,2018-05-16 00:40:40,340,0,15957,배두나
83,2018-05-09 16:47:53,720,3,15956,배두나
84,2018-05-08 20:56:31,672,0,15955,배두나
85,2018-04-27 23:13:25,519,0,15954,배두나
86,2018-04-25 16:48:10,412,0,15953,배두나
87,2018-04-24 00:26:32,464,1,15952,배두나
88,2018-04-18 01:59:53,495,0,15950,배두나
89,2018-04-15 22:29:59,291,0,15949,배두나
90,2018-04-15 04:35:11,319,0,15948,배두나
91,2018-04-14 02:15:59,448,0,15947,배두나
92,2018-04-14 02:10:17,319,0,15946,배두나
93,2018-04-13 12:22:30,194,0,15945,배두나
94,2018-04-12 22:41:36,304,0,15944,배두나
95,2018-04-12 22:29:12,262,2,15943,배두나
96,2018-04-12 22:20:41,281,1,15942,배두나
97,2018-04-12 03:10:25,245,0,15941,배두나
98,2018-04-09 01:38:47,345,0,15940,배두나
99,2018-04-08 17:37:08,464,0,15939,배두나
100,2018-04-07 22:44:41,254,0,15938,배두나
101,2018-04-07 22:43:31,433,0,15937,배두나
102,2018-04-05 22:40:16,327,0,15936,배두나
103,2018-04-05 22:35:43,249,0,15935,배두나
104,2018-04-04 20:35:06,262,0,15934,배두나
105,2018-04-03 20:07:16,403,0,15933,배두나
106,2018-04-02 17:54:13,888,1,15932,배두나
107,2018-03-31 20:03:39,291,1,15931,배두나
108,2018-03-31 09:13:24,543,1,15930,배두나
109,2018-03-25 12:10:50,474,2,15929,배두나
110,2018-03-14 14:02:05,376,0,15927,배두나
111,2018-01-26 22:52:45,335,0,15921,배두나
112,2018-01-15 00:03:17,404,2,15920,배두나
