,date,views,recommend,number,singer
0,2009-11-17 20:05:13,3959,0,공지,선우선
1,2009-09-25 02:29:32,6457,0,공지,선우선
2,2009-05-23 03:14:53,20947,4,공지,선우선
3,2020-05-07 15:26:44,32,2,16698,선우선
4,2020-05-07 01:12:05,74,1,16697,선우선
5,2020-05-07 00:26:54,28,1,16696,선우선
6,2020-05-06 23:25:47,87,2,16695,선우선
7,2020-05-06 12:13:07,80,1,16694,선우선
8,2020-05-05 19:19:27,116,6,16693,선우선
9,2020-05-05 18:47:48,123,3,16692,선우선
10,2020-05-05 18:39:39,135,6,16691,선우선
11,2020-05-05 18:30:25,156,13,16690,선우선
12,2020-05-03 22:15:12,228,6,16689,선우선
13,2020-05-03 18:40:48,134,3,16688,선우선
14,2020-05-03 01:03:56,124,0,16687,선우선
15,2020-05-02 19:16:42,71,0,16686,선우선
16,2020-05-02 12:43:42,50,0,16685,선우선
17,2020-05-02 04:30:10,159,4,16684,선우선
18,2020-05-02 01:21:17,97,0,16683,선우선
19,2020-05-02 00:57:55,96,0,16682,선우선
20,2020-05-02 00:13:04,129,3,16681,선우선
21,2020-05-01 01:53:30,151,0,16679,선우선
22,2020-04-30 16:22:49,446,11,16678,선우선
23,2020-04-30 13:38:55,66,0,16677,선우선
24,2020-04-30 13:09:15,124,0,16676,선우선
25,2020-04-30 01:40:25,119,0,16674,선우선
26,2020-04-30 01:21:22,124,2,16671,선우선
27,2020-04-30 01:19:24,92,0,16670,선우선
28,2020-04-30 00:46:35,64,0,16668,선우선
29,2020-04-30 00:40:06,62,1,16666,선우선
30,2020-04-30 00:08:22,108,0,16665,선우선
31,2020-04-29 19:45:25,105,0,16663,선우선
32,2020-04-28 22:06:49,244,1,16661,선우선
33,2020-04-28 20:30:51,256,10,16660,선우선
34,2020-04-28 19:20:32,83,3,16659,선우선
35,2020-04-28 14:22:13,162,6,16658,선우선
36,2020-04-27 21:47:18,81,4,16656,선우선
37,2020-04-27 09:37:11,139,0,16655,선우선
38,2020-04-27 05:06:44,364,17,16653,선우선
39,2020-04-27 04:03:28,101,1,16652,선우선
40,2020-04-27 02:44:16,135,3,16650,선우선
41,2020-04-27 02:39:11,117,0,16649,선우선
42,2020-04-27 01:47:26,125,1,16645,선우선
43,2020-04-27 01:42:49,112,3,16644,선우선
44,2020-04-26 23:13:51,102,1,16643,선우선
45,2020-04-26 19:03:24,420,17,16642,선우선
46,2020-04-26 19:02:18,67,1,16641,선우선
47,2020-04-26 16:04:12,163,0,16640,선우선
48,2020-04-26 05:18:29,150,0,16637,선우선
49,2020-04-25 22:49:42,78,0,16636,선우선
50,2020-04-25 15:13:21,155,0,16635,선우선
51,2020-04-25 07:31:00,189,1,16634,선우선
52,2020-04-25 05:01:31,126,0,16633,선우선
53,2020-04-25 01:17:50,217,3,16632,선우선
54,2020-04-25 01:09:28,233,0,16631,선우선
55,2020-04-25 00:59:19,117,0,16630,선우선
56,2020-04-25 00:50:55,143,0,16629,선우선
57,2020-04-25 00:43:55,181,0,16628,선우선
58,2020-04-25 00:29:35,313,0,16626,선우선
59,2020-04-25 00:23:05,91,0,16623,선우선
60,2020-04-25 00:11:46,188,0,16622,선우선
61,2020-04-25 00:08:22,104,0,16621,선우선
62,2020-04-25 00:04:12,67,0,16620,선우선
63,2020-04-25 00:03:29,60,0,16619,선우선
64,2020-04-25 00:01:45,138,0,16618,선우선
65,2020-04-24 23:54:32,110,0,16617,선우선
66,2020-04-24 23:51:12,58,0,16615,선우선
67,2020-04-24 23:48:57,90,0,16614,선우선
68,2020-04-24 23:47:37,113,0,16613,선우선
69,2020-04-24 23:45:27,81,1,16612,선우선
70,2020-04-24 23:43:36,106,0,16611,선우선
71,2020-04-24 23:41:18,60,0,16609,선우선
