,date,views,recommend,number,singer
0,2020-05-01 23:27:17,55,11,203042,송일국
1,2020-04-27 13:21:13,65,14,203041,송일국
2,2020-04-18 01:34:46,84,1,203040,송일국
3,2020-04-07 14:33:38,51,0,203038,송일국
4,2020-03-23 21:10:39,66,0,203036,송일국
5,2020-03-05 07:20:39,147,4,203032,송일국
6,2020-03-01 21:09:52,83,0,203030,송일국
7,2020-03-01 19:17:34,73,0,203029,송일국
8,2020-03-01 18:45:36,70,0,203028,송일국
9,2020-02-21 14:26:20,71,0,203025,송일국
10,2020-02-21 13:28:21,73,0,203024,송일국
11,2020-02-20 17:51:25,73,0,203023,송일국
12,2020-02-20 16:23:27,80,0,203022,송일국
13,2020-02-17 21:00:36,98,1,203021,송일국
14,2020-02-16 22:45:31,135,3,203020,송일국
15,2020-01-26 13:38:58,210,0,203019,송일국
16,2020-01-21 11:08:41,139,0,203015,송일국
17,2020-01-20 18:26:49,129,0,203014,송일국
18,2020-01-20 15:28:03,115,0,203013,송일국
19,2020-01-20 14:28:31,143,0,203012,송일국
20,2020-01-20 12:38:33,120,0,203011,송일국
21,2020-01-19 20:36:18,118,0,203010,송일국
22,2020-01-19 19:27:40,116,0,203009,송일국
23,2020-01-19 18:40:54,121,0,203008,송일국
24,2020-01-19 17:11:49,117,0,203007,송일국
25,2020-01-19 16:58:51,124,0,203005,송일국
26,2020-01-19 16:58:38,115,0,203004,송일국
27,2020-01-19 16:53:51,116,0,203001,송일국
28,2020-01-19 16:53:18,115,0,203000,송일국
29,2020-01-19 16:52:35,130,0,202999,송일국
30,2020-01-19 16:52:24,126,0,202998,송일국
31,2020-01-19 16:52:11,115,0,202997,송일국
32,2020-01-19 16:49:35,114,0,202996,송일국
33,2020-01-19 16:45:32,117,0,202995,송일국
34,2020-01-19 16:45:22,115,0,202994,송일국
35,2020-01-19 16:22:00,115,0,202993,송일국
36,2020-01-19 16:01:33,117,0,202992,송일국
37,2020-01-19 16:00:36,111,0,202990,송일국
38,2020-01-19 15:59:55,115,0,202989,송일국
39,2020-01-19 15:59:17,112,0,202988,송일국
40,2020-01-19 15:57:51,115,0,202987,송일국
41,2020-01-19 15:57:03,122,0,202985,송일국
42,2020-01-19 15:56:24,111,0,202984,송일국
43,2020-01-19 15:55:47,127,0,202983,송일국
44,2020-01-19 15:53:49,113,0,202982,송일국
45,2020-01-19 15:52:51,110,0,202980,송일국
46,2020-01-19 15:46:42,100,0,202977,송일국
47,2020-01-19 15:34:12,105,0,202976,송일국
48,2020-01-18 18:29:05,116,0,202975,송일국
49,2020-01-17 19:16:34,117,0,202970,송일국
50,2020-01-16 20:52:55,116,0,202966,송일국
51,2019-12-16 02:39:26,244,7,202955,송일국
52,2019-11-27 19:23:26,144,0,202954,송일국
53,2019-10-01 10:12:42,479,5,202953,송일국
54,2019-07-08 22:40:24,371,0,202949,송일국
55,2019-06-27 16:52:34,366,1,202948,송일국
56,2018-02-26 11:40:51,576,0,202809,송일국
57,2018-02-04 13:36:55,674,5,202808,송일국
58,2017-11-23 15:15:58,859,3,202805,송일국
59,2017-10-09 13:07:59,862,0,202801,송일국
60,2017-08-19 18:23:48,1300,23,202800,송일국
61,2017-07-03 11:32:27,850,5,202798,송일국
62,2017-06-29 00:38:56,1291,40,202796,송일국
63,2017-04-24 16:31:59,978,0,202791,송일국
64,2017-04-10 10:36:13,1492,77,202789,송일국
65,2017-04-10 02:29:37,686,1,202788,송일국
66,2017-01-01 16:05:10,931,21,202760,송일국
67,2017-01-01 00:50:34,1195,46,202759,송일국
68,2016-12-17 18:21:51,1393,11,202746,송일국
69,2016-10-25 22:32:32,2125,93,202692,송일국
70,2016-10-08 18:01:05,1554,17,202665,송일국
71,2016-10-02 15:10:29,1585,42,202657,송일국
72,2016-10-02 15:08:43,1967,36,202656,송일국
73,2016-10-01 11:24:39,1495,53,202653,송일국
74,2016-09-14 15:57:43,3672,106,202636,송일국
75,2016-09-12 10:17:46,908,0,202635,송일국
76,2016-09-01 16:11:51,697,2,202634,송일국
77,2016-08-25 21:21:22,1768,56,202629,송일국
78,2016-08-23 14:32:36,1179,3,202628,송일국
79,2016-08-22 23:51:16,1377,37,202627,송일국
80,2016-08-22 09:04:16,1052,15,202626,송일국
81,2016-08-19 17:15:08,1295,43,202625,송일국
82,2016-08-18 01:27:06,1718,3,202624,송일국
83,2016-08-12 14:29:15,1567,58,202623,송일국
84,2016-08-07 19:24:38,1517,48,202622,송일국
85,2016-08-03 01:13:21,1553,60,202621,송일국
86,2016-07-24 13:09:46,1530,50,202619,송일국
87,2016-07-22 02:18:05,1159,28,202618,송일국
88,2016-07-21 12:39:56,1690,26,202617,송일국
89,2016-07-17 20:28:37,833,21,202615,송일국
90,2016-07-08 12:54:51,1421,64,202613,송일국
91,2016-07-06 01:48:02,735,33,202612,송일국
92,2016-07-05 19:57:52,1378,28,202611,송일국
93,2016-07-01 22:55:24,1604,79,202610,송일국
94,2016-07-01 16:28:28,1824,65,202609,송일국
95,2016-06-30 15:20:51,1370,13,202608,송일국
96,2016-06-30 01:21:45,1521,62,202607,송일국
97,2016-06-30 00:42:34,1508,62,202605,송일국
98,2016-06-24 00:40:12,2058,113,202604,송일국
