,date,views,recommend,number,singer
0,2011-01-01 03:01:25,5679,6,공지,슈프림팀
1,2020-03-09 00:51:36,57,0,32123,슈프림팀
2,2020-02-09 14:04:16,87,0,32119,슈프림팀
3,2020-02-09 02:33:23,74,0,32118,슈프림팀
4,2020-01-29 03:23:52,116,0,32117,슈프림팀
5,2020-01-16 02:06:19,132,0,32113,슈프림팀
6,2020-01-14 19:33:06,160,1,32112,슈프림팀
7,2020-01-11 13:41:33,165,1,32111,슈프림팀
8,2019-12-16 17:58:29,188,0,32109,슈프림팀
9,2019-11-27 19:16:58,137,0,32107,슈프림팀
10,2019-11-21 10:25:33,236,0,32106,슈프림팀
11,2019-11-12 12:55:47,215,0,32105,슈프림팀
12,2019-11-09 15:53:16,153,0,32104,슈프림팀
13,2019-10-26 18:14:04,186,0,32103,슈프림팀
14,2019-10-26 18:12:38,185,0,32102,슈프림팀
15,2019-10-26 18:11:45,188,0,32101,슈프림팀
16,2019-10-26 18:09:57,216,0,32100,슈프림팀
17,2019-10-11 13:11:28,157,0,32096,슈프림팀
18,2019-09-18 20:31:29,189,0,32094,슈프림팀
19,2019-08-24 01:10:00,218,0,32093,슈프림팀
20,2019-07-27 15:33:32,218,0,32092,슈프림팀
21,2019-07-25 22:11:04,280,0,32091,슈프림팀
22,2019-07-25 09:55:23,376,0,32090,슈프림팀
23,2019-07-24 17:17:00,314,0,32089,슈프림팀
24,2019-07-23 20:41:09,303,0,32088,슈프림팀
25,2019-07-23 20:39:59,345,0,32087,슈프림팀
26,2019-07-23 16:39:07,339,0,32086,슈프림팀
27,2019-07-23 16:34:36,230,0,32085,슈프림팀
28,2019-07-23 02:02:30,272,0,32084,슈프림팀
29,2019-07-22 20:12:44,280,0,32083,슈프림팀
30,2019-07-22 19:23:59,278,0,32082,슈프림팀
31,2019-07-22 19:23:22,275,0,32081,슈프림팀
32,2019-07-22 19:16:43,280,0,32080,슈프림팀
33,2019-07-22 14:38:59,293,0,32078,슈프림팀
34,2019-07-22 14:22:19,273,0,32077,슈프림팀
