,date,views,recommend,number,singer
0,2020-03-27 17:16:21,70,0,33486,시나위
1,2020-03-27 13:09:23,66,0,33485,시나위
2,2020-03-27 13:03:10,73,0,33484,시나위
3,2020-03-27 03:07:58,54,0,33482,시나위
4,2020-03-27 02:57:32,52,0,33481,시나위
5,2020-03-27 02:56:11,58,0,33480,시나위
6,2020-03-22 12:53:12,65,0,33478,시나위
7,2020-03-15 21:46:09,58,0,33472,시나위
8,2020-02-16 19:05:11,130,2,33469,시나위
9,2020-01-18 18:28:08,89,0,33468,시나위
10,2019-11-04 03:24:23,255,0,33465,시나위
11,2019-10-15 21:52:16,192,0,33464,시나위
12,2019-09-09 02:30:31,865,3,33459,시나위
13,2019-09-06 23:11:45,221,0,33458,시나위
14,2019-08-21 23:28:37,251,0,33456,시나위
15,2019-07-24 12:47:25,426,0,33452,시나위
16,2019-07-05 08:59:49,333,0,33449,시나위
17,2019-07-04 00:13:37,621,1,33448,시나위
18,2019-06-30 01:43:23,459,0,33445,시나위
19,2019-06-30 00:07:37,516,1,33444,시나위
20,2019-06-14 22:38:27,263,0,33436,시나위
21,2019-06-01 14:25:47,382,0,33435,시나위
22,2019-05-18 01:37:50,389,0,33434,시나위
23,2019-05-14 20:11:17,413,0,33433,시나위
24,2019-05-14 20:02:43,353,0,33432,시나위
25,2019-05-04 22:56:24,307,0,33431,시나위
26,2019-04-21 12:57:31,386,0,33430,시나위
27,2019-03-21 07:00:13,646,5,33428,시나위
28,2019-03-15 13:33:37,383,1,33427,시나위
29,2019-03-13 20:29:19,347,0,33425,시나위
30,2019-03-08 22:24:59,521,0,33423,시나위
31,2019-03-06 20:16:14,475,1,33422,시나위
32,2019-02-09 04:20:05,591,0,33419,시나위
33,2019-02-03 05:38:18,718,1,33418,시나위
34,2019-01-13 09:36:13,320,0,33397,시나위
35,2019-01-08 15:23:39,719,0,33395,시나위
36,2018-12-28 10:44:14,416,0,33394,시나위
37,2018-12-28 10:16:11,346,0,33393,시나위
38,2018-12-16 01:57:36,485,0,33390,시나위
39,2018-11-12 12:46:51,678,3,33361,시나위
40,2018-10-16 00:26:31,611,1,33357,시나위
41,2018-10-08 22:25:38,1873,0,33355,시나위
42,2018-09-20 18:24:24,623,0,33344,시나위
43,2018-09-20 12:18:24,1113,5,33343,시나위
44,2018-09-10 20:55:25,400,0,33305,시나위
45,2018-09-10 01:10:17,370,0,33303,시나위
46,2018-09-08 02:17:43,669,0,33301,시나위
47,2018-09-06 10:16:58,580,0,33300,시나위
48,2018-09-05 14:02:03,587,0,33299,시나위
49,2018-08-29 02:14:02,711,0,33298,시나위
50,2018-08-28 01:52:26,488,0,33296,시나위
51,2018-08-23 13:38:40,570,0,33295,시나위
52,2018-08-17 13:00:28,580,0,33294,시나위
53,2018-08-12 23:59:20,580,0,33293,시나위
54,2018-08-11 18:01:40,506,0,33292,시나위
55,2018-08-11 08:08:44,488,1,33291,시나위
56,2018-08-11 06:36:15,584,2,33290,시나위
57,2018-08-06 22:06:14,772,0,33289,시나위
58,2018-08-04 11:00:40,454,0,33288,시나위
59,2018-08-03 00:34:34,541,0,33286,시나위
60,2018-07-25 00:41:42,567,1,33280,시나위
61,2018-07-24 17:28:02,489,0,33278,시나위
62,2018-07-22 17:31:04,557,0,33272,시나위
63,2018-07-19 09:38:59,431,0,33258,시나위
64,2018-07-15 11:08:48,370,0,33251,시나위
65,2018-07-07 11:47:58,270,4,33238,시나위
66,2018-07-06 21:50:51,320,0,33234,시나위
67,2018-07-06 01:13:51,438,2,33231,시나위
68,2018-07-05 03:11:14,215,0,33223,시나위
69,2018-07-04 00:07:39,219,0,33215,시나위
70,2018-07-03 01:52:52,417,1,33214,시나위
71,2018-07-01 23:52:42,356,0,33213,시나위
72,2018-07-01 02:50:53,507,0,33206,시나위
73,2018-06-30 10:08:22,342,0,33205,시나위
74,2018-06-29 09:23:28,329,0,33202,시나위
75,2018-06-28 20:08:16,210,0,33201,시나위
76,2018-06-24 22:39:38,304,0,33192,시나위
77,2018-06-24 15:06:28,319,0,33191,시나위
78,2018-06-24 01:35:42,241,1,33190,시나위
79,2018-06-18 12:24:30,526,0,33189,시나위
80,2018-06-14 15:42:30,355,0,33188,시나위
81,2018-06-12 23:44:34,534,1,33187,시나위
82,2018-06-12 23:43:00,226,0,33186,시나위
83,2018-06-12 23:42:40,209,2,33185,시나위
84,2018-06-12 23:41:25,192,0,33184,시나위
85,2018-06-12 23:39:37,231,0,33183,시나위
86,2018-06-12 23:35:53,263,2,33182,시나위
87,2018-06-12 23:31:03,171,0,33181,시나위
88,2018-05-30 22:46:50,187,0,33180,시나위
89,2018-05-30 19:37:52,193,0,33179,시나위
90,2018-05-28 22:42:10,195,0,33178,시나위
91,2018-05-26 15:47:05,230,0,33177,시나위
92,2018-05-07 11:39:15,318,0,33176,시나위
93,2018-04-28 15:21:37,647,0,33175,시나위
94,2018-03-24 08:05:20,453,1,33172,시나위
95,2018-03-21 19:03:37,296,0,33171,시나위
96,2018-03-20 23:35:09,174,0,33170,시나위
97,2018-03-06 10:48:10,342,0,33168,시나위
98,2018-02-04 00:11:59,1328,0,33164,시나위
