,date,views,recommend,number,singer
0,2020-05-01 18:16:34,55,13,517895,씨스타
1,2020-04-26 18:36:39,42,4,517894,씨스타
2,2020-04-21 17:47:33,35,0,517893,씨스타
3,2020-03-24 04:10:22,55,1,517891,씨스타
4,2020-03-24 04:09:52,52,1,517890,씨스타
5,2020-03-24 04:09:13,62,1,517889,씨스타
6,2020-03-21 18:02:04,93,0,517887,씨스타
7,2020-03-04 10:46:34,178,3,517883,씨스타
8,2020-02-08 23:59:43,134,0,517881,씨스타
9,2020-01-29 11:05:39,283,22,517877,씨스타
10,2020-01-27 03:25:36,107,1,517876,씨스타
11,2020-01-21 00:00:11,654,4,517875,씨스타
12,2020-01-06 13:37:19,232,10,517873,씨스타
13,2020-01-06 00:06:37,206,0,517872,씨스타
14,2019-12-23 23:32:07,141,5,517869,씨스타
15,2019-12-21 20:54:25,149,1,517867,씨스타
16,2019-12-18 03:08:45,215,6,517866,씨스타
17,2019-12-18 03:05:34,169,3,517865,씨스타
18,2019-12-13 16:48:06,215,4,517864,씨스타
19,2019-11-28 23:52:15,159,0,517861,씨스타
20,2019-11-27 19:21:40,113,1,517860,씨스타
21,2019-11-16 01:20:17,199,3,517859,씨스타
22,2019-10-23 18:12:46,200,2,517858,씨스타
23,2019-10-22 02:52:19,279,8,517857,씨스타
24,2019-10-14 14:15:59,422,14,517854,씨스타
25,2019-10-14 14:10:37,326,17,517853,씨스타
26,2019-09-12 10:13:38,259,2,517851,씨스타
27,2019-08-27 10:26:34,434,15,517850,씨스타
28,2019-08-09 16:02:41,413,16,517846,씨스타
29,2019-07-20 21:11:30,482,66,517844,씨스타
30,2019-06-18 12:17:11,664,14,517836,씨스타
31,2019-06-16 20:17:28,281,3,517835,씨스타
32,2019-06-16 20:12:09,236,1,517834,씨스타
33,2019-06-16 20:09:44,222,1,517833,씨스타
34,2019-06-16 20:09:03,263,1,517832,씨스타
35,2019-06-16 20:06:46,190,1,517831,씨스타
36,2019-06-16 20:05:20,215,1,517830,씨스타
37,2019-06-16 20:04:35,201,1,517829,씨스타
38,2019-06-16 20:03:38,191,1,517828,씨스타
39,2019-06-16 20:03:01,195,1,517827,씨스타
40,2019-06-16 20:02:21,210,3,517826,씨스타
41,2019-06-16 20:00:49,193,1,517825,씨스타
42,2019-06-16 19:59:51,189,1,517824,씨스타
43,2019-06-16 19:59:22,208,1,517823,씨스타
44,2019-06-16 19:58:43,192,1,517822,씨스타
45,2019-06-16 19:57:44,183,1,517821,씨스타
46,2019-06-16 19:57:02,174,1,517820,씨스타
47,2019-06-16 19:56:21,196,2,517819,씨스타
48,2019-06-16 19:55:47,188,1,517818,씨스타
49,2019-06-16 19:55:16,179,1,517817,씨스타
50,2019-06-16 19:54:35,186,1,517816,씨스타
51,2019-06-16 19:54:05,172,1,517815,씨스타
52,2019-06-16 19:53:36,181,1,517814,씨스타
53,2019-06-16 19:52:54,186,1,517813,씨스타
54,2019-06-16 19:51:48,181,1,517812,씨스타
55,2019-06-16 19:50:37,163,1,517811,씨스타
56,2019-06-16 19:49:59,171,1,517810,씨스타
57,2019-06-16 19:48:55,155,1,517809,씨스타
58,2019-06-16 19:48:09,167,1,517808,씨스타
59,2019-06-16 19:44:28,153,1,517807,씨스타
60,2019-06-16 19:43:32,142,1,517806,씨스타
61,2019-06-16 19:42:54,132,1,517805,씨스타
62,2019-06-16 19:42:14,137,1,517804,씨스타
63,2019-06-16 19:41:33,123,1,517803,씨스타
64,2019-06-16 19:41:03,126,1,517802,씨스타
65,2019-06-16 19:40:32,134,1,517801,씨스타
66,2019-06-16 19:40:00,127,1,517800,씨스타
67,2019-06-16 19:39:27,153,1,517799,씨스타
68,2019-06-16 19:38:56,113,1,517798,씨스타
69,2019-06-16 19:38:12,109,1,517797,씨스타
70,2019-06-16 19:37:29,103,1,517796,씨스타
71,2019-06-16 19:36:51,98,4,517795,씨스타
72,2019-06-16 19:36:02,91,2,517794,씨스타
73,2019-06-16 19:33:37,104,1,517793,씨스타
74,2019-06-16 19:32:58,64,1,517792,씨스타
75,2019-06-16 19:32:34,53,1,517791,씨스타
76,2019-06-16 19:32:04,48,1,517790,씨스타
77,2019-06-16 19:31:34,38,1,517789,씨스타
78,2019-06-16 19:31:00,61,2,517788,씨스타
79,2019-06-16 19:30:19,33,2,517787,씨스타
80,2019-06-13 04:46:03,352,4,517786,씨스타
81,2019-06-10 23:11:40,60,0,517785,씨스타
82,2019-06-07 22:06:18,56,1,517784,씨스타
83,2019-06-02 15:25:33,400,4,517782,씨스타
84,2019-06-02 00:37:47,505,9,517780,씨스타
85,2019-05-30 16:34:03,1373,376,517777,씨스타
86,2019-05-29 23:19:30,193,18,517776,씨스타
87,2019-05-28 23:16:28,213,9,517772,씨스타
88,2019-05-28 13:09:24,237,10,517767,씨스타
89,2019-05-28 12:30:28,1066,156,517766,씨스타
90,2019-05-28 08:55:44,253,3,517765,씨스타
91,2019-05-27 18:50:33,354,8,517762,씨스타
92,2019-05-27 16:37:05,338,8,517759,씨스타
93,2019-05-27 13:29:04,561,3,517756,씨스타
94,2019-05-27 10:34:24,523,1,517753,씨스타
95,2019-05-27 09:52:52,115,0,517752,씨스타
96,2019-05-27 08:10:42,198,2,517751,씨스타
97,2019-05-27 08:05:01,403,10,517750,씨스타
98,2019-05-26 23:21:44,492,2,517749,씨스타
99,2019-05-26 22:35:10,1262,19,517748,씨스타
100,2019-05-26 21:08:56,548,7,517746,씨스타
101,2019-05-26 19:24:30,201,1,517744,씨스타
102,2019-05-26 18:22:28,740,17,517743,씨스타
103,2019-05-26 18:10:54,369,2,517742,씨스타
104,2019-05-26 17:52:40,257,5,517739,씨스타
105,2019-05-26 17:30:09,714,2,517738,씨스타
106,2019-05-26 16:26:05,357,11,517736,씨스타
107,2019-05-26 15:38:21,560,3,517735,씨스타
108,2019-05-26 11:59:07,387,17,517731,씨스타
109,2019-05-26 11:33:07,868,5,517730,씨스타
110,2019-05-26 11:16:27,146,0,517728,씨스타
111,2019-05-26 10:47:48,585,20,517727,씨스타
112,2019-05-25 20:56:37,62,0,517726,씨스타
113,2019-05-25 17:09:33,57,0,517724,씨스타
114,2019-05-25 15:19:15,44,0,517723,씨스타
115,2019-05-25 12:59:01,38,0,517722,씨스타
116,2019-05-24 21:25:35,77,0,517720,씨스타
117,2019-05-24 15:36:16,48,0,517719,씨스타
118,2019-05-24 00:04:30,54,0,517718,씨스타
119,2019-05-24 00:04:13,45,0,517717,씨스타
120,2019-05-24 00:03:58,52,0,517716,씨스타
121,2019-05-23 18:16:27,67,0,517715,씨스타
122,2019-05-22 18:26:56,260,0,517714,씨스타
123,2019-05-22 18:25:47,81,0,517713,씨스타
124,2019-05-22 15:04:47,100,0,517712,씨스타
125,2019-05-21 12:20:10,55,0,517710,씨스타
126,2019-05-21 12:19:49,72,0,517709,씨스타
127,2019-05-21 12:14:13,41,0,517708,씨스타
128,2019-05-20 23:52:18,50,0,517707,씨스타
