,date,views,recommend,number,singer
0,2010-08-22 03:57:34,3189,5,공지,오지호
1,2020-03-01 23:37:44,46,0,10956,오지호
2,2019-11-27 19:35:08,96,0,10950,오지호
3,2019-09-25 22:06:20,189,1,10945,오지호
4,2019-09-17 17:33:49,148,0,10943,오지호
5,2019-09-15 16:59:30,142,0,10942,오지호
6,2019-09-10 15:05:48,149,1,10941,오지호
7,2019-09-08 18:12:01,222,2,10940,오지호
8,2019-03-09 01:56:09,295,4,10933,오지호
9,2018-04-13 05:15:57,527,7,10781,오지호
10,2017-06-25 15:03:05,962,0,10710,오지호
11,2017-05-26 08:35:42,502,1,10705,오지호
12,2017-05-26 08:34:01,582,2,10704,오지호
13,2017-05-14 04:12:10,625,6,10701,오지호
14,2017-04-21 18:49:48,727,8,10697,오지호
15,2017-04-19 23:00:31,757,1,10696,오지호
16,2017-04-14 16:45:13,477,2,10694,오지호
17,2017-03-31 09:43:36,497,2,10692,오지호
18,2017-03-30 22:29:43,497,1,10691,오지호
19,2017-03-02 10:19:28,537,6,10689,오지호
20,2017-02-24 18:12:45,882,9,10687,오지호
21,2017-02-20 17:05:15,435,3,10685,오지호
22,2017-02-09 12:13:27,600,1,10678,오지호
23,2017-02-09 12:11:19,481,5,10677,오지호
24,2017-02-03 13:22:28,2956,12,10670,오지호
25,2017-01-11 21:24:16,549,6,10652,오지호
26,2016-12-02 15:02:53,846,33,10610,오지호
27,2016-11-22 08:22:41,816,17,10594,오지호
28,2016-11-18 20:47:31,631,5,10588,오지호
29,2016-11-17 10:31:17,680,13,10586,오지호
30,2016-10-31 09:32:46,1580,16,10571,오지호
31,2016-10-29 00:05:11,536,0,10562,오지호
32,2016-10-07 13:42:42,832,16,10527,오지호
33,2016-10-06 21:49:09,563,6,10526,오지호
34,2016-10-03 10:07:08,542,6,10519,오지호
35,2016-09-26 20:32:11,558,10,10511,오지호
36,2016-09-20 06:58:25,668,15,10502,오지호
37,2016-09-15 23:37:57,668,12,10500,오지호
38,2016-09-08 17:27:28,645,8,10499,오지호
39,2016-08-24 21:48:13,689,8,10495,오지호
40,2016-08-14 19:27:34,767,8,10494,오지호
41,2016-08-14 19:15:22,512,0,10493,오지호
42,2016-08-13 15:54:52,721,0,10492,오지호
43,2016-08-10 09:01:42,702,0,10489,오지호
44,2016-07-16 16:34:26,617,8,10486,오지호
45,2016-07-16 09:39:14,557,7,10485,오지호
46,2016-07-16 09:36:02,856,7,10484,오지호
47,2016-07-16 07:51:59,522,6,10482,오지호
48,2016-07-10 09:57:35,581,7,10480,오지호
