,date,views,recommend,number,singer
0,2019-02-18 01:25:43,4119,80,공지,유인나
1,2020-05-06 19:22:01,106,1,107710,유인나
2,2020-05-05 22:40:20,70,1,107709,유인나
3,2020-05-05 03:43:28,69,5,107708,유인나
4,2020-05-04 23:01:42,120,2,107707,유인나
5,2020-05-04 11:29:56,95,2,107705,유인나
6,2020-05-04 10:23:52,75,3,107704,유인나
7,2020-05-04 10:23:00,63,4,107703,유인나
8,2020-05-03 20:06:40,73,1,107702,유인나
9,2020-05-01 22:27:03,131,1,107701,유인나
10,2020-05-01 11:27:55,93,1,107700,유인나
11,2020-05-01 11:12:39,71,1,107699,유인나
12,2020-05-01 11:07:39,58,0,107698,유인나
13,2020-04-30 12:06:11,81,0,107697,유인나
14,2020-04-28 16:51:09,169,5,107696,유인나
15,2020-04-27 23:33:49,155,2,107695,유인나
16,2020-04-27 23:05:01,167,1,107694,유인나
17,2020-04-27 15:44:18,121,4,107693,유인나
18,2020-04-27 00:43:22,84,1,107692,유인나
19,2020-04-25 23:48:10,119,1,107691,유인나
20,2020-04-23 00:11:06,241,2,107690,유인나
21,2020-04-23 00:10:17,134,2,107689,유인나
22,2020-04-22 21:23:07,125,2,107688,유인나
23,2020-04-22 21:21:17,108,1,107687,유인나
24,2020-04-21 00:32:13,190,3,107686,유인나
25,2020-04-21 00:29:22,174,2,107685,유인나
26,2020-04-21 00:18:30,182,3,107684,유인나
27,2020-04-20 10:02:17,332,12,107683,유인나
28,2020-04-19 18:14:29,116,2,107682,유인나
29,2020-04-17 18:17:44,184,5,107681,유인나
30,2020-04-16 23:50:55,119,1,107680,유인나
31,2020-04-15 03:35:51,220,0,107679,유인나
32,2020-04-14 23:44:19,176,1,107678,유인나
33,2020-04-13 23:47:28,136,5,107677,유인나
34,2020-04-13 14:14:42,325,2,107676,유인나
35,2020-04-13 12:41:04,165,7,107675,유인나
36,2020-04-13 08:30:28,258,5,107674,유인나
37,2020-04-13 08:19:39,197,2,107673,유인나
38,2020-04-12 17:19:05,244,3,107672,유인나
39,2020-04-11 16:16:08,162,1,107671,유인나
40,2020-04-11 03:05:46,181,1,107670,유인나
41,2020-04-10 22:52:40,223,3,107669,유인나
42,2020-04-10 19:27:33,163,0,107668,유인나
43,2020-04-09 15:43:51,279,3,107667,유인나
44,2020-04-09 15:37:00,126,0,107666,유인나
45,2020-04-08 23:00:57,144,1,107664,유인나
46,2020-04-07 23:53:22,205,0,107663,유인나
47,2020-04-07 17:50:16,179,1,107662,유인나
48,2020-04-07 14:13:00,128,0,107661,유인나
49,2020-04-06 08:32:57,388,14,107658,유인나
50,2020-04-05 22:36:38,245,0,107657,유인나
51,2020-04-05 12:11:34,332,11,107656,유인나
52,2020-04-05 00:24:54,245,3,107655,유인나
53,2020-04-03 21:38:15,366,11,107654,유인나
54,2020-04-03 13:59:00,124,0,107653,유인나
55,2020-04-03 07:38:14,203,0,107652,유인나
56,2020-04-02 20:23:59,161,0,107651,유인나
57,2020-04-01 16:14:52,137,0,107650,유인나
58,2020-04-01 15:15:23,238,1,107649,유인나
59,2020-03-31 23:14:48,353,12,107648,유인나
60,2020-03-31 21:34:16,136,0,107647,유인나
61,2020-03-30 08:47:54,155,1,107645,유인나
62,2020-03-29 23:22:01,143,1,107644,유인나
