,date,views,recommend,number,singer
0,2015-05-10 01:47:48,11225,3597,공지,은정
1,2012-03-29 01:17:16,25144,11472,공지,은정
2,2012-03-19 20:15:04,4279,36,공지,은정
3,2012-02-14 00:41:53,5027,27,공지,은정
4,2011-04-01 01:59:29,50986,11466,공지,은정
5,2020-04-21 19:46:50,135,0,173295,은정
6,2020-04-19 22:40:47,167,0,173293,은정
7,2020-04-16 22:41:48,119,0,173292,은정
8,2020-04-16 22:41:39,95,0,173291,은정
9,2020-04-16 22:28:49,76,0,173290,은정
10,2020-04-16 22:28:40,62,0,173289,은정
11,2020-04-16 22:28:31,60,0,173288,은정
12,2020-04-16 22:28:21,56,0,173287,은정
13,2020-04-16 22:27:58,55,0,173286,은정
14,2020-04-16 22:26:02,60,0,173285,은정
15,2020-04-14 11:57:02,135,0,173284,은정
16,2020-03-29 09:35:46,198,0,173282,은정
17,2020-03-11 00:29:21,338,3,173278,은정
18,2020-03-02 23:52:32,415,0,173277,은정
19,2020-02-13 23:35:57,424,1,173272,은정
20,2020-02-13 23:31:40,429,1,173271,은정
21,2020-01-19 22:27:45,401,0,173270,은정
22,2020-01-02 19:31:44,367,0,173269,은정
23,2020-01-02 19:30:42,304,0,173268,은정
24,2020-01-02 19:29:14,284,0,173267,은정
25,2020-01-02 19:27:10,258,0,173266,은정
26,2019-12-26 00:12:00,292,0,173264,은정
27,2019-12-19 19:47:40,403,0,173263,은정
28,2019-12-08 23:06:48,541,0,173262,은정
29,2019-12-06 19:54:01,478,1,173261,은정
30,2019-11-27 19:17:50,229,0,173258,은정
31,2019-11-23 00:13:46,309,0,173257,은정
32,2019-11-19 23:48:55,522,0,173256,은정
33,2019-11-09 23:57:49,402,0,173255,은정
34,2019-10-22 23:59:24,545,0,173254,은정
35,2019-10-13 12:04:27,337,0,173253,은정
36,2019-10-03 00:28:57,599,0,173252,은정
37,2019-10-02 17:49:02,394,0,173251,은정
38,2019-09-21 17:16:10,487,1,173250,은정
39,2019-09-08 00:06:44,488,0,173246,은정
40,2019-08-24 15:16:38,545,0,173245,은정
41,2019-08-22 23:37:23,766,0,173244,은정
42,2019-08-13 23:31:54,626,1,173243,은정
43,2019-08-13 23:16:54,545,3,173242,은정
44,2019-08-03 17:08:35,546,0,173240,은정
45,2019-07-29 15:50:59,441,0,173239,은정
46,2019-07-28 00:16:30,531,0,173238,은정
47,2019-07-16 22:59:30,474,0,173237,은정
48,2019-07-13 00:44:18,573,1,173236,은정
49,2019-07-13 00:33:00,425,0,173235,은정
50,2019-07-10 23:39:45,427,0,173234,은정
51,2019-07-01 20:31:41,447,0,173233,은정
52,2019-06-16 18:47:55,427,0,173232,은정
53,2019-06-15 17:51:08,367,0,173231,은정
54,2019-06-14 15:29:45,388,0,173230,은정
55,2019-06-10 23:41:12,420,0,173229,은정
56,2019-05-20 19:10:34,511,2,173228,은정
57,2019-05-16 23:09:22,413,1,173227,은정
58,2019-05-13 20:25:50,496,1,173226,은정
59,2019-05-07 23:57:09,410,1,173225,은정
60,2019-05-06 19:56:30,386,2,173224,은정
61,2019-05-06 19:25:30,320,1,173223,은정
62,2019-05-06 19:24:19,316,2,173222,은정
63,2019-04-30 23:25:12,552,0,173221,은정
64,2019-04-15 20:25:31,385,6,173220,은정
65,2019-04-13 02:04:40,396,4,173219,은정
66,2019-04-07 00:02:44,382,6,173218,은정
67,2019-04-01 21:59:04,345,5,173217,은정
68,2019-04-01 21:23:54,472,2,173216,은정
69,2019-04-01 17:26:58,463,7,173215,은정
70,2019-03-27 18:26:44,353,9,173214,은정
71,2019-03-24 00:37:53,330,2,173213,은정
72,2019-03-20 11:01:01,380,5,173212,은정
73,2019-03-12 23:31:20,404,4,173211,은정
74,2019-03-12 22:13:46,408,2,173210,은정
75,2019-02-27 22:17:34,328,8,173209,은정
76,2019-02-27 13:22:09,297,7,173208,은정
77,2019-02-26 12:09:32,338,3,173207,은정
78,2019-02-26 12:04:22,289,3,173206,은정
79,2019-02-23 17:58:16,273,4,173205,은정
80,2019-02-22 21:21:11,338,4,173204,은정
81,2019-02-20 23:07:39,312,3,173203,은정
82,2019-02-14 17:53:24,307,5,173202,은정
83,2019-01-19 00:10:17,351,8,173179,은정
84,2019-01-16 12:59:02,254,2,173178,은정
85,2019-01-13 00:53:54,513,4,173176,은정
86,2019-01-05 16:31:43,319,3,173174,은정
87,2019-01-05 00:07:25,305,6,173172,은정
88,2019-01-04 06:57:44,217,2,173171,은정
89,2019-01-03 23:04:44,261,3,173169,은정
90,2019-01-03 17:37:07,299,8,173168,은정
91,2018-12-29 17:35:21,184,4,173167,은정
92,2018-12-28 00:20:40,239,7,173163,은정
93,2018-12-28 00:19:05,253,2,173162,은정
94,2018-11-29 04:25:06,415,11,173152,은정
95,2018-11-18 18:25:58,271,4,173151,은정
96,2018-11-17 21:58:13,236,4,173150,은정
97,2018-11-12 23:52:04,281,2,173149,은정
98,2018-11-12 13:42:50,286,7,173148,은정
99,2018-11-11 17:09:16,240,3,173147,은정
100,2018-11-06 02:27:15,327,4,173146,은정
101,2018-11-06 02:25:13,211,3,173145,은정
102,2018-11-01 22:24:09,243,5,173144,은정
103,2018-10-30 23:52:52,170,2,173143,은정
104,2018-10-30 10:49:49,218,3,173141,은정
105,2018-10-29 22:29:00,207,2,173140,은정
106,2018-10-20 20:27:25,235,6,173139,은정
107,2018-10-20 20:25:07,183,4,173138,은정
108,2018-10-20 20:24:09,176,4,173137,은정
109,2018-10-20 20:23:23,138,5,173136,은정
110,2018-10-19 22:50:41,143,4,173135,은정
111,2018-10-19 22:49:31,151,3,173134,은정
112,2018-10-19 18:37:03,207,4,173133,은정
113,2018-10-18 22:14:16,152,5,173132,은정
114,2018-10-18 20:19:27,158,4,173131,은정
115,2018-10-18 18:56:06,162,5,173130,은정
116,2018-10-17 21:42:46,150,5,173129,은정
117,2018-10-17 20:41:44,178,6,173128,은정
118,2018-10-17 17:06:02,132,4,173127,은정
119,2018-10-17 00:01:13,126,4,173126,은정
120,2018-10-17 00:00:09,144,4,173125,은정
121,2018-10-15 18:41:31,184,7,173124,은정
122,2018-10-14 23:18:30,313,5,173123,은정
123,2018-10-13 11:54:00,155,2,173122,은정
124,2018-10-12 15:35:58,612,14,173121,은정
125,2018-10-11 20:31:55,136,3,173119,은정
126,2018-10-11 20:31:27,173,3,173118,은정
127,2018-10-11 16:01:04,132,2,173117,은정
128,2018-10-11 14:47:49,162,2,173116,은정
129,2018-10-11 12:37:12,126,2,173115,은정
130,2018-10-11 12:33:14,120,3,173114,은정
131,2018-10-08 19:09:28,191,5,173113,은정
132,2018-10-08 19:08:09,123,2,173112,은정
133,2018-10-08 19:06:19,164,3,173111,은정
134,2018-10-03 00:27:35,281,9,173110,은정
135,2018-10-01 23:24:52,173,1,173109,은정
136,2018-10-01 22:51:37,136,1,173108,은정
137,2018-10-01 22:23:20,168,2,173107,은정
138,2018-09-30 23:27:24,168,0,173106,은정
139,2018-09-29 19:40:03,123,5,173105,은정
140,2018-09-29 18:27:11,152,3,173104,은정
141,2018-09-28 22:54:18,188,11,173103,은정
142,2018-09-28 22:53:28,92,5,173102,은정
143,2018-09-28 22:47:35,123,5,173101,은정
144,2018-09-20 22:19:57,163,14,173100,은정
145,2018-09-20 22:19:17,168,12,173099,은정
146,2018-09-19 12:14:59,166,3,173097,은정
147,2018-09-18 23:53:13,164,4,173095,은정
148,2018-09-18 23:16:28,126,2,173094,은정
149,2018-09-18 23:15:41,183,1,173093,은정
150,2018-09-18 23:13:27,117,1,173092,은정
151,2018-09-18 23:12:09,151,1,173091,은정
152,2018-09-18 23:05:53,148,1,173090,은정
153,2018-09-17 20:22:38,192,5,173089,은정
154,2018-09-13 19:17:58,163,3,173088,은정
155,2018-09-13 19:11:50,239,4,173087,은정
156,2018-09-13 19:00:18,150,3,173086,은정
157,2018-09-13 18:05:34,137,1,173084,은정
158,2018-09-13 15:35:22,165,0,173083,은정
159,2018-09-13 14:06:23,167,0,173082,은정
160,2018-09-12 20:43:55,148,3,173081,은정
161,2018-09-11 13:05:01,195,3,173079,은정
162,2018-09-07 13:04:44,191,3,173078,은정
163,2018-09-01 17:51:07,209,13,173076,은정
164,2018-09-01 00:25:17,181,19,173075,은정
165,2018-08-31 19:39:22,198,19,173073,은정
166,2018-08-30 21:42:46,206,17,173072,은정
167,2018-08-30 21:30:38,141,1,173071,은정
168,2018-08-30 21:14:17,172,1,173070,은정
169,2018-08-30 18:49:13,163,3,173067,은정
170,2018-08-30 13:38:59,150,3,173065,은정
171,2018-08-30 13:12:47,113,4,173064,은정
172,2018-08-28 23:45:45,196,13,173063,은정
173,2018-08-27 23:38:06,155,15,173062,은정
174,2018-08-27 23:06:07,227,16,173061,은정
175,2018-08-27 12:54:08,440,29,173060,은정
176,2018-08-27 12:32:38,180,13,173059,은정
177,2018-08-24 18:12:57,819,31,173058,은정
178,2018-08-24 13:25:17,215,22,173057,은정
179,2018-08-22 23:51:14,366,30,173056,은정
180,2018-08-22 16:34:38,165,12,173055,은정
181,2018-08-22 12:22:24,122,12,173054,은정
182,2018-08-21 23:21:39,200,20,173051,은정
183,2018-08-21 23:15:11,174,1,173050,은정
184,2018-08-21 01:27:32,411,50,173048,은정
185,2018-08-21 01:13:12,131,1,173047,은정
186,2018-08-20 23:36:36,177,1,173046,은정
187,2018-08-20 22:57:20,175,2,173044,은정
188,2018-08-20 21:58:45,147,1,173040,은정
189,2018-08-20 16:06:52,141,1,173039,은정
190,2018-08-20 14:15:40,103,1,173038,은정
191,2018-08-20 03:22:53,153,2,173037,은정
192,2018-08-14 23:42:59,217,2,173034,은정
193,2018-08-14 23:27:18,232,24,173033,은정
194,2018-08-14 23:16:30,155,1,173032,은정
195,2018-08-14 23:11:48,170,1,173031,은정
196,2018-08-14 23:07:37,168,1,173030,은정
197,2018-08-14 23:05:02,117,2,173029,은정
198,2018-08-14 22:59:44,156,1,173028,은정
199,2018-08-14 22:40:10,156,0,173026,은정
200,2018-08-14 22:29:09,176,2,173025,은정
201,2018-08-14 22:22:08,141,1,173024,은정
202,2018-08-14 21:48:09,148,2,173023,은정
203,2018-08-14 20:13:49,180,5,173022,은정
204,2018-08-14 19:18:45,110,1,173021,은정
205,2018-08-13 23:30:01,163,11,173020,은정
206,2018-08-13 22:57:33,140,0,173018,은정
207,2018-08-13 22:41:14,88,0,173017,은정
208,2018-08-13 22:39:22,179,5,173016,은정
209,2018-08-13 22:31:29,98,1,173015,은정
210,2018-08-13 22:09:06,100,0,173014,은정
211,2018-08-13 22:02:30,76,0,173013,은정
212,2018-08-13 21:59:32,127,0,173012,은정
213,2018-08-13 03:02:41,132,6,173008,은정
214,2018-08-13 02:59:10,132,5,173007,은정
215,2018-08-09 22:49:31,158,3,173006,은정
216,2018-08-09 21:49:19,351,6,173005,은정
217,2018-08-09 16:13:01,671,123,173004,은정
218,2018-08-07 20:20:16,226,5,173002,은정
219,2018-08-07 20:19:04,175,2,173001,은정
220,2018-08-07 20:06:10,150,2,173000,은정
221,2018-08-06 20:00:04,233,2,172999,은정
222,2018-08-06 13:00:29,203,2,172998,은정
223,2018-08-06 11:49:38,312,64,172997,은정
224,2018-08-06 08:44:45,292,36,172996,은정
225,2018-08-05 16:21:15,173,1,172995,은정
226,2018-08-05 13:16:41,181,1,172994,은정
227,2018-08-05 10:00:47,238,22,172993,은정
228,2018-08-05 09:40:58,126,2,172992,은정
229,2018-08-05 09:36:05,252,14,172991,은정
230,2018-08-04 12:58:40,238,4,172990,은정
231,2018-08-04 11:00:38,142,5,172987,은정
232,2018-08-04 09:48:34,287,16,172986,은정
233,2018-07-31 23:10:20,164,3,172984,은정
234,2018-07-31 18:18:57,164,3,172983,은정
235,2018-07-28 08:25:01,301,20,172982,은정
236,2018-07-27 17:14:30,139,1,172981,은정
237,2018-07-22 20:02:36,187,4,172978,은정
238,2018-07-22 18:11:44,289,17,172977,은정
239,2018-07-22 14:21:02,191,4,172976,은정
240,2018-07-15 12:14:14,227,2,172958,은정
241,2018-07-13 12:55:14,279,12,172954,은정
242,2018-07-08 02:51:50,330,10,172940,은정
243,2018-07-08 02:18:46,561,14,172939,은정
244,2018-07-03 13:18:30,146,4,172918,은정
245,2018-07-02 23:52:56,143,5,172917,은정
246,2018-07-01 17:37:57,149,2,172916,은정
247,2018-06-27 09:21:56,217,5,172911,은정
248,2018-06-26 14:35:31,185,3,172908,은정
249,2018-06-24 17:56:46,346,12,172896,은정
250,2018-06-22 02:48:36,144,2,172895,은정
251,2018-06-22 01:01:24,286,0,172894,은정
252,2018-06-21 23:21:39,326,12,172893,은정
253,2018-06-21 13:04:50,180,1,172892,은정
254,2018-06-21 11:44:20,148,1,172891,은정
255,2018-06-20 00:13:09,145,1,172890,은정
256,2018-06-19 19:03:57,156,0,172889,은정
257,2018-06-17 10:37:28,171,0,172886,은정
258,2018-06-16 12:31:54,220,2,172885,은정
259,2018-06-16 12:15:04,176,2,172884,은정
260,2018-06-16 11:47:26,169,2,172883,은정
261,2018-06-16 11:27:29,167,1,172882,은정
262,2018-06-16 11:10:05,197,0,172881,은정
263,2018-06-16 10:54:11,191,0,172880,은정
264,2018-06-16 10:49:42,106,0,172879,은정
265,2018-06-15 23:56:21,177,1,172878,은정
266,2018-06-15 23:14:04,149,0,172877,은정
267,2018-06-15 21:11:49,142,0,172876,은정
268,2018-06-15 19:16:02,209,0,172875,은정
269,2018-06-15 12:19:49,135,1,172874,은정
270,2018-06-14 15:55:20,125,1,172873,은정
271,2018-06-14 11:50:22,101,0,172872,은정
272,2018-06-13 22:51:56,150,0,172871,은정
273,2018-06-13 22:47:50,105,1,172870,은정
274,2018-06-12 22:08:14,146,1,172868,은정
275,2018-06-12 20:03:58,187,0,172867,은정
276,2018-06-12 19:31:14,130,1,172866,은정
277,2018-06-12 19:14:17,192,1,172865,은정
278,2018-06-11 10:31:30,144,1,172862,은정
279,2018-06-09 22:18:19,120,1,172861,은정
280,2018-06-08 17:08:43,276,2,172860,은정
281,2018-06-08 13:15:44,271,16,172859,은정
282,2018-06-08 11:19:20,246,3,172858,은정
283,2018-06-06 15:28:37,209,17,172857,은정
284,2018-06-06 10:25:40,126,1,172855,은정
285,2018-06-05 20:08:22,147,0,172854,은정
286,2018-06-05 18:06:42,129,2,172853,은정
287,2018-06-04 18:44:06,188,3,172852,은정
288,2018-06-01 17:18:09,217,1,172850,은정
289,2018-06-01 17:09:03,159,1,172849,은정
290,2018-06-01 17:01:14,267,0,172848,은정
291,2018-06-01 16:32:33,121,0,172847,은정
292,2018-06-01 16:12:51,148,0,172846,은정
293,2018-06-01 16:04:37,133,1,172845,은정
294,2018-06-01 00:15:50,158,3,172844,은정
295,2018-05-27 12:11:59,154,1,172842,은정
296,2018-05-25 19:40:39,494,0,172841,은정
297,2018-05-25 19:24:39,354,0,172840,은정
298,2018-05-25 19:18:54,119,1,172839,은정
299,2018-05-25 12:16:07,282,0,172838,은정
300,2018-05-25 12:10:48,150,0,172837,은정
301,2018-05-24 17:13:59,161,0,172834,은정
302,2018-05-24 17:01:31,172,0,172833,은정
303,2018-05-24 16:29:44,172,0,172832,은정
304,2018-05-24 14:39:09,150,0,172830,은정
305,2018-05-24 12:34:25,189,1,172829,은정
306,2018-05-24 12:20:27,140,1,172828,은정
307,2018-05-24 11:34:01,174,0,172827,은정
308,2018-05-24 11:27:42,138,1,172826,은정
309,2018-05-24 11:25:47,218,1,172825,은정
310,2018-05-19 15:49:07,202,2,172824,은정
311,2018-05-19 08:34:35,213,6,172823,은정
312,2018-05-18 20:01:38,183,2,172822,은정
313,2018-05-17 20:16:40,107,2,172821,은정
314,2018-05-17 20:05:39,155,1,172820,은정
315,2018-05-17 18:13:26,117,1,172819,은정
316,2018-05-16 12:29:04,143,2,172818,은정
317,2018-05-16 11:53:47,166,1,172817,은정
318,2018-05-14 22:16:17,129,1,172816,은정
319,2018-05-14 22:13:55,138,0,172815,은정
320,2018-05-08 00:59:22,185,5,172814,은정
321,2018-05-07 02:30:56,178,1,172813,은정
322,2018-05-06 22:53:17,133,0,172812,은정
323,2018-05-03 22:08:25,180,5,172811,은정
324,2018-05-03 17:25:51,104,4,172810,은정
325,2018-05-03 15:33:19,155,0,172809,은정
326,2018-04-30 21:28:53,168,0,172808,은정
327,2018-04-25 15:41:29,199,3,172807,은정
328,2018-04-25 00:46:06,220,2,172806,은정
329,2018-04-22 20:34:51,145,2,172805,은정
330,2018-04-22 17:29:38,156,1,172803,은정
331,2018-04-15 20:20:52,141,1,172801,은정
332,2018-04-09 18:17:54,190,1,172798,은정
333,2018-04-09 18:16:25,147,4,172797,은정
334,2018-04-09 18:14:12,127,2,172796,은정
335,2018-04-08 18:49:33,127,2,172795,은정
336,2018-04-08 18:49:19,150,2,172794,은정
337,2018-04-08 13:04:24,126,1,172792,은정
338,2018-04-02 20:06:04,148,1,172790,은정
339,2018-03-30 12:43:33,220,0,172788,은정
340,2018-03-30 12:39:35,183,0,172787,은정
341,2018-03-30 11:28:14,196,3,172786,은정
342,2018-03-30 11:27:35,123,1,172785,은정
343,2018-03-29 13:27:52,225,5,172784,은정
344,2018-03-27 22:22:05,115,0,172783,은정
345,2018-03-24 23:05:58,129,3,172782,은정
346,2018-03-24 22:34:36,165,1,172781,은정
347,2018-03-24 20:32:41,118,1,172780,은정
348,2018-03-24 20:20:29,175,0,172779,은정
