,date,views,recommend,number,singer
0,2017-05-25 21:20:02,9536,560,공지,이동욱
1,2020-05-06 11:34:51,178,17,41559,이동욱
2,2020-05-03 16:37:00,321,0,41558,이동욱
3,2020-05-03 04:11:15,144,0,41556,이동욱
4,2020-04-30 11:08:55,243,0,41555,이동욱
5,2020-04-27 15:22:43,249,3,41554,이동욱
6,2020-04-25 20:38:50,399,3,41553,이동욱
7,2020-04-22 15:39:05,331,3,41552,이동욱
8,2020-04-14 21:18:13,233,0,41551,이동욱
9,2020-04-14 11:31:16,531,12,41549,이동욱
10,2020-03-30 22:14:52,573,0,41548,이동욱
11,2020-03-30 18:56:48,332,1,41547,이동욱
12,2020-03-24 23:31:30,507,10,41545,이동욱
13,2020-03-23 17:39:43,340,15,41544,이동욱
14,2020-03-16 15:42:48,780,36,41535,이동욱
15,2020-03-06 01:28:28,244,0,41534,이동욱
16,2020-03-04 00:47:34,265,7,41532,이동욱
17,2020-03-03 19:10:13,489,1,41531,이동욱
18,2020-02-26 23:19:31,688,13,41527,이동욱
19,2020-02-26 21:29:47,273,0,41526,이동욱
20,2020-02-20 21:21:31,309,0,41522,이동욱
21,2020-02-18 19:43:15,216,0,41520,이동욱
22,2020-02-13 00:49:20,760,1,41519,이동욱
23,2020-02-12 23:02:37,542,0,41518,이동욱
24,2020-02-11 13:42:36,519,1,41517,이동욱
25,2020-02-08 15:33:00,719,22,41516,이동욱
26,2020-02-07 11:47:58,370,6,41515,이동욱
27,2020-02-06 12:15:53,367,15,41514,이동욱
28,2020-02-05 22:37:30,327,5,41513,이동욱
29,2020-01-23 00:30:03,415,11,41511,이동욱
30,2020-01-22 22:58:21,504,19,41510,이동욱
31,2020-01-21 14:38:50,763,19,41509,이동욱
32,2020-01-21 08:47:51,845,18,41508,이동욱
33,2020-01-16 12:09:20,635,31,41506,이동욱
34,2020-01-15 22:32:11,811,12,41504,이동욱
35,2020-01-12 21:48:56,521,0,41503,이동욱
36,2020-01-09 00:52:59,558,0,41502,이동욱
37,2020-01-01 23:50:41,403,4,41501,이동욱
38,2019-12-31 19:56:18,384,0,41500,이동욱
39,2019-12-28 17:29:34,445,0,41498,이동욱
40,2019-12-26 12:05:06,1169,17,41497,이동욱
41,2019-12-24 03:14:05,392,0,41494,이동욱
42,2019-12-22 11:43:07,527,1,41493,이동욱
43,2019-12-21 09:26:46,552,18,41492,이동욱
44,2019-12-21 09:07:11,364,5,41491,이동욱
45,2019-12-16 17:52:45,869,27,41490,이동욱
46,2019-12-13 12:37:44,575,3,41488,이동욱
47,2019-12-12 16:50:51,667,4,41487,이동욱
48,2019-12-12 12:16:46,623,14,41486,이동욱
49,2019-12-12 02:41:43,773,4,41485,이동욱
50,2019-12-12 02:40:31,456,3,41484,이동욱
51,2019-12-11 14:09:05,523,13,41483,이동욱
52,2019-12-11 13:33:24,384,1,41482,이동욱
53,2019-12-10 23:00:00,600,12,41481,이동욱
54,2019-12-10 22:42:12,516,6,41480,이동욱
55,2019-12-10 09:50:06,855,1,41479,이동욱
56,2019-12-09 23:28:27,514,7,41477,이동욱
57,2019-12-09 18:52:33,436,6,41476,이동욱
58,2019-12-08 16:57:32,714,14,41475,이동욱
