,date,views,recommend,number,singer
0,2014-12-31 20:21:29,11395,62,공지,이상윤
1,2015-01-07 07:47:36,8526,12,공지,이상윤
2,2020-05-05 13:59:20,111,2,12272,이상윤
3,2020-04-24 02:22:06,180,3,12271,이상윤
4,2020-04-15 10:42:40,202,13,12270,이상윤
5,2020-04-11 23:34:13,206,15,12269,이상윤
6,2020-04-11 12:33:39,129,8,12268,이상윤
7,2020-04-01 12:11:08,323,15,12267,이상윤
8,2020-03-26 11:26:20,245,3,12266,이상윤
9,2020-03-19 01:56:44,442,3,12262,이상윤
10,2020-03-16 00:10:26,363,10,12260,이상윤
11,2020-03-13 04:25:12,604,25,12258,이상윤
12,2020-03-08 20:47:22,375,1,12256,이상윤
13,2020-03-08 18:08:29,118,0,12255,이상윤
14,2020-03-07 01:45:55,329,3,12254,이상윤
15,2020-02-18 22:53:11,587,0,12249,이상윤
16,2020-02-17 11:55:51,618,8,12248,이상윤
17,2020-02-08 15:56:33,305,10,12246,이상윤
18,2020-01-21 22:34:16,499,10,12244,이상윤
19,2020-01-20 13:11:33,858,32,12243,이상윤
20,2020-01-18 19:30:54,942,1,12240,이상윤
21,2020-01-18 16:12:15,749,12,12239,이상윤
22,2019-12-31 23:34:58,697,30,12237,이상윤
23,2019-12-29 16:46:57,698,32,12236,이상윤
24,2019-12-24 21:44:39,684,46,12235,이상윤
25,2019-12-20 16:49:45,779,43,12234,이상윤
26,2019-12-20 15:26:15,542,17,12233,이상윤
27,2019-12-14 19:55:07,874,17,12231,이상윤
28,2019-12-12 02:38:52,831,50,12230,이상윤
29,2019-11-27 19:15:58,221,1,12228,이상윤
30,2019-11-19 14:27:48,637,1,12227,이상윤
31,2019-11-05 02:22:39,789,12,12225,이상윤
32,2019-10-31 21:01:55,1418,8,12223,이상윤
33,2019-10-29 21:39:55,829,13,12222,이상윤
34,2019-10-27 20:04:51,340,8,12221,이상윤
35,2019-10-18 20:16:19,1527,28,12220,이상윤
36,2019-10-16 02:28:35,775,10,12219,이상윤
37,2019-09-17 07:20:10,778,8,12218,이상윤
38,2019-09-03 08:22:37,413,1,12216,이상윤
39,2019-09-01 22:37:29,2107,18,12215,이상윤
40,2019-08-26 20:18:30,776,10,12214,이상윤
41,2019-08-16 02:19:40,396,16,12213,이상윤
42,2019-08-15 02:31:26,490,12,12212,이상윤
43,2019-08-05 21:32:51,717,10,12211,이상윤
44,2019-07-28 22:41:27,741,10,12210,이상윤
45,2019-07-02 21:32:20,1669,3,12208,이상윤
46,2019-07-02 08:00:19,2614,20,12207,이상윤
47,2019-06-25 22:28:08,810,0,12206,이상윤
48,2019-06-20 22:34:26,1840,20,12205,이상윤
49,2019-05-31 14:34:49,2141,13,12204,이상윤
50,2019-05-31 00:47:48,1222,15,12203,이상윤
51,2019-05-29 21:59:46,1149,12,12202,이상윤
52,2019-05-28 00:14:19,876,1,12201,이상윤
53,2019-05-28 00:13:01,1128,30,12200,이상윤
54,2019-05-27 09:09:32,478,12,12199,이상윤
55,2019-05-27 08:12:14,562,10,12198,이상윤
56,2019-05-24 12:55:01,421,10,12197,이상윤
57,2019-05-21 07:59:23,634,3,12196,이상윤
58,2019-05-11 22:22:09,1543,20,12195,이상윤
59,2019-05-05 20:19:02,1308,13,12194,이상윤
60,2019-05-01 18:49:00,756,3,12193,이상윤
61,2019-04-21 18:39:54,802,0,12192,이상윤
62,2019-04-19 15:49:50,1444,8,12191,이상윤
63,2019-04-15 13:19:12,1344,12,12190,이상윤
64,2019-04-12 18:54:40,963,20,12189,이상윤
65,2019-04-12 15:45:03,538,10,12188,이상윤
66,2019-04-07 20:50:33,713,8,12185,이상윤
67,2019-04-07 14:41:32,944,13,12184,이상윤
68,2019-04-04 00:26:52,757,3,12182,이상윤
69,2019-04-03 22:27:50,1013,8,12181,이상윤
70,2019-04-02 12:55:14,917,7,12180,이상윤
71,2019-04-01 17:22:10,445,3,12179,이상윤
72,2019-03-31 22:56:33,1116,12,12178,이상윤
73,2019-03-31 22:41:53,961,8,12177,이상윤
74,2019-03-31 20:22:55,612,8,12176,이상윤
75,2019-03-30 18:49:40,664,10,12175,이상윤
76,2019-03-29 11:44:44,362,0,12174,이상윤
77,2019-03-26 18:06:17,928,10,12173,이상윤
78,2019-03-26 14:24:52,503,8,12172,이상윤
79,2019-03-26 11:06:45,710,8,12171,이상윤
80,2019-03-25 11:06:15,517,10,12170,이상윤
81,2019-03-25 11:00:53,333,8,12169,이상윤
82,2019-03-24 16:54:08,715,10,12168,이상윤
83,2019-03-22 20:39:40,533,8,12167,이상윤
84,2019-03-22 13:35:23,493,9,12166,이상윤
85,2019-03-21 13:15:24,348,3,12165,이상윤
86,2019-03-21 12:56:56,308,3,12164,이상윤
87,2019-03-21 00:22:42,340,8,12163,이상윤
88,2019-03-20 01:00:53,285,3,12162,이상윤
89,2019-03-18 17:27:31,476,10,12161,이상윤
90,2019-03-18 04:11:56,625,10,12160,이상윤
91,2019-03-18 01:32:18,402,8,12159,이상윤
92,2019-03-17 20:31:48,316,8,12158,이상윤
93,2019-03-17 19:45:21,243,9,12157,이상윤
94,2019-03-17 19:36:20,219,8,12156,이상윤
95,2019-03-17 19:10:00,272,8,12155,이상윤
96,2019-03-17 11:44:06,408,11,12154,이상윤
97,2019-03-16 17:50:39,182,10,12153,이상윤
98,2019-03-16 00:37:15,320,9,12152,이상윤
99,2019-03-15 15:01:53,298,10,12151,이상윤
100,2019-03-14 14:37:06,312,9,12150,이상윤
101,2019-03-12 23:35:21,318,8,12149,이상윤
102,2019-03-12 01:05:15,358,8,12148,이상윤
103,2019-03-11 11:37:34,502,10,12147,이상윤
104,2019-03-10 14:36:01,385,9,12145,이상윤
105,2019-03-09 15:58:30,292,8,12144,이상윤
106,2019-03-08 15:47:30,498,10,12143,이상윤
107,2019-03-07 01:49:00,284,3,12142,이상윤
