,date,views,recommend,number,singer
0,2014-04-29 23:46:37,58144,50,공지,이적
1,2014-04-27 22:23:25,7860,51,공지,이적
2,2020-05-07 02:25:58,49,2,29286,이적
3,2020-05-06 21:06:23,44,3,29285,이적
4,2020-05-06 09:29:23,53,2,29283,이적
5,2020-05-06 08:55:43,100,0,29281,이적
6,2020-05-03 23:08:07,156,1,29280,이적
7,2020-05-03 21:56:07,128,4,29279,이적
8,2020-05-03 21:48:51,112,2,29278,이적
9,2020-05-03 20:47:34,104,1,29277,이적
10,2020-05-02 20:27:01,174,0,29276,이적
11,2020-05-02 20:15:35,161,0,29274,이적
12,2020-05-02 20:15:01,110,0,29273,이적
13,2020-04-30 17:37:46,229,1,29272,이적
14,2020-04-30 01:47:10,178,2,29271,이적
15,2020-04-29 19:37:38,169,0,29270,이적
16,2020-04-29 19:25:09,268,0,29269,이적
17,2020-04-28 22:46:07,241,1,29267,이적
18,2020-04-27 23:44:17,121,0,29266,이적
19,2020-04-27 15:23:35,136,6,29265,이적
20,2020-04-27 12:33:31,150,0,29264,이적
21,2020-04-27 08:18:10,76,1,29263,이적
22,2020-04-25 12:15:50,87,0,29262,이적
23,2020-04-23 09:28:26,87,2,29261,이적
24,2020-04-22 18:54:06,218,10,29260,이적
25,2020-04-22 14:39:52,173,7,29259,이적
26,2020-04-20 20:09:45,305,5,29256,이적
27,2020-04-20 18:39:06,160,3,29255,이적
28,2020-04-19 21:33:46,223,6,29252,이적
29,2020-04-19 19:09:32,193,0,29250,이적
30,2020-04-19 16:59:25,253,3,29247,이적
31,2020-04-19 16:34:57,372,5,29246,이적
32,2020-04-19 16:10:23,152,3,29245,이적
33,2020-04-18 14:38:12,103,1,29239,이적
34,2020-04-17 21:57:42,173,0,29236,이적
35,2020-04-17 11:26:26,189,4,29235,이적
36,2020-04-15 17:40:35,403,0,29233,이적
37,2020-04-15 13:31:27,210,4,29231,이적
38,2020-04-15 01:17:10,145,3,29230,이적
39,2020-04-14 21:47:34,317,7,29229,이적
40,2020-04-14 08:54:37,131,0,29228,이적
41,2020-04-14 00:47:29,203,4,29226,이적
42,2020-04-13 23:47:55,126,3,29225,이적
43,2020-04-13 22:47:03,331,1,29224,이적
44,2020-04-13 18:23:54,139,3,29220,이적
45,2020-04-12 15:07:15,166,0,29217,이적
46,2020-04-11 20:54:14,181,4,29216,이적
47,2020-04-11 13:12:59,127,0,29214,이적
48,2020-04-11 12:16:58,143,1,29213,이적
49,2020-04-10 19:15:16,167,7,29211,이적
50,2020-04-10 11:35:41,181,8,29210,이적
51,2020-04-10 08:26:43,132,1,29208,이적
52,2020-04-08 23:33:55,133,0,29207,이적
53,2020-04-07 23:02:46,128,0,29206,이적
54,2020-04-07 19:22:47,245,5,29205,이적
55,2020-04-07 14:28:06,381,14,29204,이적
56,2020-04-07 02:20:00,180,7,29202,이적
57,2020-04-05 21:23:54,182,0,29199,이적
58,2020-04-05 19:26:55,226,4,29198,이적
59,2020-04-04 18:47:27,152,0,29195,이적
60,2020-04-04 18:23:58,117,0,29194,이적
61,2020-04-03 22:35:11,231,3,29193,이적
62,2020-04-03 21:10:53,163,2,29192,이적
63,2020-04-03 20:47:03,181,1,29191,이적
64,2020-04-02 10:55:18,368,11,29187,이적
65,2020-04-01 22:50:51,100,1,29186,이적
66,2020-04-01 12:37:01,128,0,29181,이적
67,2020-03-31 21:42:02,157,4,29180,이적
68,2020-03-31 03:48:52,152,1,29178,이적
69,2020-03-30 10:51:44,420,12,29175,이적
70,2020-03-29 19:33:15,166,4,29172,이적
71,2020-03-28 22:14:28,263,1,29170,이적
72,2020-03-28 19:46:30,151,3,29169,이적
73,2020-03-28 15:05:57,239,11,29167,이적
74,2020-03-28 12:08:05,279,20,29164,이적
75,2020-03-28 11:11:59,296,12,29161,이적
76,2020-03-28 10:20:53,137,4,29160,이적
77,2020-03-26 21:43:48,205,6,29158,이적
78,2020-03-26 11:48:35,285,8,29157,이적
79,2020-03-25 16:04:44,186,11,29156,이적
80,2020-03-24 00:20:55,219,6,29153,이적
81,2020-03-23 20:26:55,192,12,29152,이적
82,2020-03-23 20:05:39,137,2,29151,이적
83,2020-03-22 09:34:20,227,6,29149,이적
84,2020-03-22 00:13:28,140,2,29148,이적
85,2020-03-22 00:11:33,148,2,29147,이적
86,2020-03-21 17:39:45,189,1,29144,이적
87,2020-03-20 20:38:56,335,30,29142,이적
88,2020-03-20 14:06:34,169,4,29139,이적
89,2020-03-18 10:45:58,171,7,29135,이적
90,2020-03-17 21:41:13,163,1,29134,이적
91,2020-03-17 20:41:32,152,12,29133,이적
92,2020-03-16 17:01:43,353,12,29131,이적
93,2020-03-16 12:27:46,164,7,29130,이적
94,2020-03-16 11:52:07,150,0,29129,이적
95,2020-03-16 02:32:17,170,2,29128,이적
96,2020-03-15 12:23:07,290,11,29126,이적
97,2020-03-15 11:15:34,183,3,29125,이적
98,2020-03-14 21:20:51,122,3,29123,이적
99,2020-03-14 16:15:24,146,0,29122,이적
100,2020-03-14 10:55:55,203,12,29121,이적
101,2020-03-14 09:58:45,126,0,29120,이적
102,2020-03-13 17:41:09,223,8,29118,이적
103,2020-03-12 19:47:36,194,6,29116,이적
104,2020-03-12 14:37:47,198,14,29112,이적
105,2020-03-11 22:32:35,213,19,29111,이적
106,2020-03-10 15:30:37,173,8,29108,이적
107,2020-03-06 17:29:51,319,8,29105,이적
108,2020-03-05 09:38:50,267,16,29104,이적
109,2020-03-03 07:20:23,317,6,29102,이적
110,2020-03-01 14:36:58,267,19,29100,이적
111,2020-03-01 08:41:43,319,20,29099,이적
112,2020-02-29 21:33:15,176,2,29098,이적
113,2020-02-29 20:40:52,209,8,29097,이적
114,2020-02-29 18:54:49,143,2,29095,이적
115,2020-02-28 21:36:27,259,20,29093,이적
116,2020-02-28 20:12:23,149,6,29092,이적
117,2020-02-28 08:52:35,158,7,29090,이적
118,2020-02-28 00:35:38,206,11,29089,이적
119,2020-02-26 14:07:01,152,2,29087,이적
120,2020-02-25 21:16:44,187,5,29086,이적
121,2020-02-25 15:02:19,166,1,29085,이적
122,2020-02-21 19:48:13,135,5,29082,이적
123,2020-02-19 21:59:41,204,0,29080,이적
124,2020-02-19 09:49:07,133,1,29079,이적
125,2020-02-17 13:38:44,244,3,29078,이적
126,2020-02-15 09:22:31,288,5,29077,이적
127,2020-02-14 20:17:43,184,5,29076,이적
128,2020-02-14 15:19:07,199,0,29075,이적
129,2020-02-13 20:41:58,202,0,29074,이적
130,2020-02-13 19:58:36,291,6,29073,이적
131,2020-02-12 17:43:04,125,2,29072,이적
132,2020-02-05 21:42:29,321,6,29071,이적
133,2020-02-04 01:11:11,168,4,29070,이적
134,2020-01-29 13:41:48,548,15,29069,이적
135,2020-01-28 21:03:26,234,3,29068,이적
136,2020-01-21 01:18:06,258,2,29067,이적
137,2020-01-15 20:31:59,391,2,29066,이적
138,2020-01-14 21:28:26,309,0,29065,이적
139,2020-01-14 12:18:41,199,6,29064,이적
140,2020-01-05 21:52:17,469,3,29063,이적
141,2020-01-02 13:39:08,198,0,29061,이적
142,2020-01-02 13:14:09,301,9,29060,이적
143,2020-01-01 00:16:21,208,6,29059,이적
144,2019-12-30 00:22:57,332,2,29058,이적
145,2019-12-30 00:22:55,183,0,29057,이적
146,2019-12-19 01:49:50,315,1,29054,이적
147,2019-12-18 17:08:36,195,2,29053,이적
148,2019-12-16 21:12:48,468,1,29052,이적
149,2019-12-15 02:17:38,265,0,29051,이적
150,2019-12-10 01:17:10,265,2,29050,이적
151,2019-12-06 21:19:45,467,7,29049,이적
152,2019-12-05 22:19:43,670,31,29048,이적
153,2019-11-29 02:52:33,370,2,29047,이적
154,2019-11-27 19:15:21,128,0,29046,이적
155,2019-11-19 21:32:14,418,10,29044,이적
156,2019-11-19 16:21:07,368,1,29043,이적
157,2019-11-11 20:47:39,368,5,29041,이적
158,2019-11-10 23:33:59,256,3,29040,이적
159,2019-11-10 22:25:27,248,0,29039,이적
160,2019-11-10 17:08:59,166,0,29037,이적
161,2019-11-09 13:47:12,358,3,29036,이적
162,2019-11-09 13:22:52,367,11,29035,이적
163,2019-11-09 11:50:24,608,14,29034,이적
164,2019-11-09 00:00:20,287,7,29032,이적
165,2019-11-08 23:16:25,358,2,29031,이적
166,2019-11-08 22:51:31,505,0,29030,이적
167,2019-11-08 19:02:18,330,0,29029,이적
168,2019-11-03 01:58:23,396,0,29027,이적
169,2019-11-02 15:15:08,213,0,29026,이적
170,2019-11-02 15:10:09,236,4,29025,이적
171,2019-11-02 12:59:17,328,10,29024,이적
172,2019-11-01 22:43:57,253,0,29023,이적
173,2019-11-01 21:19:18,265,1,29022,이적
174,2019-10-30 15:57:45,274,0,29021,이적
175,2019-10-28 10:43:37,540,12,29020,이적
176,2019-10-26 23:53:33,470,23,29019,이적
177,2019-10-26 22:30:43,431,12,29018,이적
178,2019-10-26 21:30:48,618,23,29017,이적
179,2019-10-25 23:40:19,169,0,29016,이적
180,2019-10-25 23:11:47,243,6,29015,이적
181,2019-10-25 22:22:41,201,0,29014,이적
182,2019-10-25 22:17:24,130,0,29013,이적
183,2019-10-25 22:15:30,230,1,29012,이적
184,2019-10-25 13:53:58,265,0,29011,이적
185,2019-10-23 17:43:49,335,7,29010,이적
186,2019-10-23 16:33:49,550,16,29009,이적
187,2019-10-21 18:06:43,544,21,29008,이적
188,2019-10-21 17:57:39,275,0,29007,이적
189,2019-10-19 19:33:22,562,8,29006,이적
190,2019-10-19 19:27:49,456,1,29005,이적
191,2019-10-19 19:27:20,189,0,29004,이적
192,2019-10-19 19:27:17,258,0,29003,이적
193,2019-10-17 18:52:49,216,5,29002,이적
194,2019-10-17 02:04:29,276,4,29001,이적
195,2019-10-17 01:10:20,194,2,29000,이적
196,2019-10-16 22:53:29,318,1,28999,이적
197,2019-10-16 00:30:41,178,0,28998,이적
198,2019-10-15 19:07:36,308,4,28997,이적
199,2019-10-13 23:02:48,236,5,28996,이적
200,2019-10-13 01:49:32,215,0,28995,이적
201,2019-10-12 19:55:33,293,0,28994,이적
202,2019-10-12 19:49:05,204,0,28993,이적
203,2019-10-12 19:48:14,287,5,28992,이적
204,2019-10-12 12:50:39,222,0,28991,이적
205,2019-10-11 20:36:59,369,8,28990,이적
206,2019-10-09 00:53:46,374,3,28989,이적
207,2019-10-08 21:39:15,279,3,28988,이적
208,2019-10-08 17:05:41,453,15,28987,이적
209,2019-10-08 16:08:56,498,13,28986,이적
210,2019-10-07 23:49:45,350,14,28985,이적
211,2019-10-07 19:14:38,190,1,28984,이적
212,2019-10-07 16:00:29,414,12,28983,이적
213,2019-10-07 12:04:31,353,1,28982,이적
214,2019-10-07 01:10:30,478,14,28981,이적
215,2019-10-06 22:53:27,407,8,28980,이적
216,2019-10-06 21:54:40,326,3,28979,이적
217,2019-10-06 12:13:54,196,1,28978,이적
218,2019-10-05 22:30:52,212,0,28977,이적
219,2019-10-05 19:23:08,171,0,28976,이적
220,2019-10-05 14:22:28,124,0,28975,이적
221,2019-10-05 01:36:17,216,2,28974,이적
222,2019-10-04 17:52:06,177,8,28973,이적
223,2019-10-04 10:13:54,102,0,28972,이적
224,2019-10-01 21:35:00,366,3,28971,이적
225,2019-09-30 18:32:12,228,4,28970,이적
226,2019-09-29 03:32:12,327,3,28969,이적
227,2019-09-28 19:12:10,217,0,28968,이적
228,2019-09-28 16:57:05,207,0,28967,이적
229,2019-09-28 15:33:03,266,4,28966,이적
230,2019-09-27 19:05:21,535,11,28965,이적
231,2019-09-24 21:46:44,378,6,28964,이적
232,2019-09-24 16:22:42,266,4,28963,이적
233,2019-09-24 09:05:45,441,5,28962,이적
234,2019-09-23 12:15:30,314,0,28960,이적
235,2019-09-21 16:03:49,238,0,28959,이적
236,2019-09-21 14:56:30,414,18,28958,이적
237,2019-09-20 23:17:26,359,6,28957,이적
238,2019-09-20 22:42:56,315,2,28956,이적
239,2019-09-20 22:42:03,224,0,28955,이적
240,2019-09-20 22:28:53,183,0,28954,이적
241,2019-09-20 21:36:21,303,2,28953,이적
242,2019-09-20 21:02:16,160,1,28952,이적
243,2019-09-18 22:03:05,233,3,28951,이적
244,2019-09-18 20:39:01,190,0,28950,이적
245,2019-09-18 09:32:14,164,0,28949,이적
246,2019-09-17 17:33:07,267,4,28948,이적
247,2019-09-17 15:18:17,226,0,28947,이적
248,2019-09-15 19:46:45,244,6,28946,이적
249,2019-09-14 00:04:07,530,7,28945,이적
250,2019-09-13 18:48:48,229,5,28944,이적
251,2019-09-13 17:40:34,514,12,28943,이적
252,2019-09-11 18:04:08,365,12,28942,이적
253,2019-09-11 13:59:19,398,13,28941,이적
254,2019-09-10 18:47:19,298,5,28940,이적
255,2019-09-10 17:49:32,456,12,28939,이적
256,2019-09-10 09:16:46,151,1,28938,이적
257,2019-09-10 00:06:20,200,0,28937,이적
258,2019-09-09 23:24:13,142,1,28936,이적
259,2019-09-09 14:48:32,235,1,28935,이적
260,2019-09-08 16:40:24,258,2,28934,이적
261,2019-09-07 14:59:35,312,12,28933,이적
262,2019-09-07 14:40:14,223,2,28932,이적
263,2019-09-07 14:26:10,345,10,28931,이적
264,2019-09-07 00:15:33,226,8,28929,이적
265,2019-09-06 22:51:22,457,9,28928,이적
266,2019-09-06 22:38:33,242,4,28927,이적
267,2019-09-06 21:58:47,152,0,28926,이적
268,2019-09-06 21:50:59,463,4,28925,이적
269,2019-09-06 21:17:59,160,0,28924,이적
270,2019-09-06 21:16:15,181,3,28923,이적
271,2019-09-06 21:07:01,216,0,28922,이적
272,2019-09-06 19:15:41,152,4,28921,이적
273,2019-09-06 17:49:49,102,0,28920,이적
274,2019-09-06 14:32:07,167,4,28919,이적
275,2019-09-05 22:00:13,244,6,28918,이적
276,2019-09-05 21:48:06,193,5,28917,이적
277,2019-09-05 15:25:50,146,5,28916,이적
278,2019-09-05 12:11:27,184,4,28915,이적
279,2019-09-04 15:41:45,218,5,28914,이적
280,2019-09-01 23:36:32,376,5,28913,이적
281,2019-09-01 18:09:18,135,0,28912,이적
282,2019-08-31 20:48:21,520,17,28911,이적
283,2019-08-30 23:47:15,232,5,28910,이적
284,2019-08-30 22:58:07,310,10,28909,이적
285,2019-08-30 22:37:58,142,0,28908,이적
286,2019-08-30 22:16:38,452,2,28907,이적
287,2019-08-30 22:10:19,167,0,28906,이적
288,2019-08-30 21:59:00,284,0,28905,이적
289,2019-08-30 21:58:09,157,0,28904,이적
290,2019-08-30 21:13:24,121,1,28903,이적
291,2019-08-30 21:02:34,178,0,28902,이적
292,2019-08-30 19:57:13,157,1,28901,이적
293,2019-08-30 18:39:53,297,10,28899,이적
294,2019-08-30 13:59:04,181,9,28898,이적
295,2019-08-29 22:38:31,135,0,28897,이적
296,2019-08-29 22:01:50,143,3,28896,이적
297,2019-08-29 11:14:11,161,11,28895,이적
298,2019-08-28 18:55:44,172,9,28894,이적
299,2019-08-26 16:32:05,371,6,28893,이적
300,2019-08-26 11:27:13,303,17,28892,이적
301,2019-08-25 16:54:21,288,0,28891,이적
302,2019-08-24 11:51:23,352,14,28890,이적
303,2019-08-23 22:48:01,224,13,28889,이적
304,2019-08-21 13:28:44,265,6,28888,이적
305,2019-08-20 16:37:47,241,4,28887,이적
306,2019-08-19 23:19:48,419,11,28886,이적
307,2019-08-19 15:40:36,331,15,28883,이적
308,2019-08-17 19:58:51,342,4,28882,이적
309,2019-08-17 00:56:48,191,10,28878,이적
310,2019-08-16 12:43:24,236,9,28876,이적
311,2019-08-15 21:15:16,217,2,28875,이적
312,2019-08-15 20:03:48,441,4,28874,이적
313,2019-08-15 16:44:07,166,4,28872,이적
314,2019-08-13 17:18:08,199,2,28870,이적
315,2019-08-12 18:46:53,325,0,28868,이적
316,2019-08-11 21:37:51,310,3,28866,이적
317,2019-08-11 16:16:57,386,1,28865,이적
318,2019-08-10 20:20:39,306,6,28864,이적
319,2019-08-10 19:49:25,223,5,28863,이적
320,2019-08-09 11:50:17,282,7,28860,이적
321,2019-08-04 23:12:56,253,0,28859,이적
322,2019-07-30 20:01:36,341,0,28857,이적
323,2019-07-24 13:26:43,359,0,28856,이적
324,2019-07-20 12:38:17,337,1,28854,이적
325,2019-07-20 12:12:43,293,3,28853,이적
326,2019-07-19 17:55:22,421,19,28852,이적
327,2019-07-19 12:03:34,663,18,28851,이적
328,2019-07-19 12:03:25,216,0,28850,이적
329,2019-07-19 09:11:10,277,6,28849,이적
330,2019-07-18 22:21:23,554,19,28848,이적
331,2019-07-18 22:16:15,301,7,28847,이적
332,2019-07-18 22:13:55,275,6,28846,이적
333,2019-07-17 19:41:25,576,13,28843,이적
334,2019-07-17 14:47:22,432,10,28842,이적
335,2019-07-15 21:46:47,374,0,28841,이적
336,2019-07-13 01:20:03,192,1,28840,이적
337,2019-07-12 17:26:45,384,0,28839,이적
338,2019-07-11 16:02:49,196,0,28838,이적
339,2019-07-11 15:54:24,178,0,28837,이적
340,2019-07-01 12:29:40,429,0,28835,이적
341,2019-06-27 19:07:28,242,0,28834,이적
342,2019-06-26 10:46:23,377,5,28833,이적
343,2019-06-22 02:22:03,845,15,28831,이적
344,2019-06-19 22:20:46,405,0,28830,이적
345,2019-06-17 22:27:31,325,6,28828,이적
346,2019-06-13 16:37:47,386,0,28827,이적
347,2019-06-12 19:20:47,618,12,28825,이적
348,2019-06-09 23:15:24,608,14,28824,이적
349,2019-06-02 23:14:30,650,7,28823,이적
350,2019-05-30 20:57:22,610,1,28821,이적
351,2019-05-26 11:36:25,338,2,28819,이적
352,2019-05-24 01:27:53,522,0,28818,이적
353,2019-05-22 15:28:24,901,22,28817,이적
354,2019-05-22 10:47:34,226,0,28814,이적
355,2019-05-21 19:37:26,306,12,28812,이적
356,2019-05-20 23:26:46,574,21,28811,이적
357,2019-05-17 19:05:07,283,8,28809,이적
358,2019-05-15 20:28:06,368,1,28808,이적
359,2019-05-14 03:10:55,243,0,28807,이적
360,2019-05-12 00:23:39,210,3,28806,이적
361,2019-05-07 11:51:11,400,2,28805,이적
362,2019-05-07 02:05:23,181,0,28804,이적
363,2019-05-05 14:39:34,311,2,28803,이적
364,2019-05-02 14:51:18,221,8,28802,이적
365,2019-04-30 15:46:47,295,6,28799,이적
366,2019-04-30 15:03:51,281,7,28798,이적
