,date,views,recommend,number,singer
0,2017-09-30 15:20:36,2580,35,공지,이진욱
1,2017-07-23 23:30:01,1748,12,공지,이진욱
2,2014-12-05 14:27:27,13881,104,공지,이진욱
3,2014-06-03 15:23:41,17143,67,공지,이진욱
4,2014-05-19 18:19:22,12198,44,공지,이진욱
5,2013-11-21 02:12:35,10990,63,공지,이진욱
6,2013-08-16 14:48:22,28724,258,공지,이진욱
7,2013-05-15 14:32:54,26122,227,공지,이진욱
8,2020-04-16 18:16:50,244,0,59114,이진욱
9,2020-04-11 01:24:42,304,2,59107,이진욱
10,2020-04-10 22:43:43,212,2,59106,이진욱
11,2020-04-06 21:31:51,344,1,59098,이진욱
12,2020-03-21 11:05:03,377,40,59091,이진욱
13,2020-03-18 13:17:13,160,0,59087,이진욱
14,2020-03-08 22:01:05,485,3,59086,이진욱
15,2020-03-05 13:38:13,251,0,59084,이진욱
16,2020-03-05 13:36:17,180,0,59083,이진욱
17,2020-03-05 13:34:45,201,0,59082,이진욱
18,2020-02-25 01:47:48,184,0,59076,이진욱
19,2020-02-18 23:04:42,173,0,59075,이진욱
20,2020-02-18 22:54:51,274,0,59074,이진욱
21,2020-02-18 22:04:52,240,0,59073,이진욱
22,2020-02-14 07:06:11,260,0,59072,이진욱
23,2020-02-05 02:00:07,371,3,59062,이진욱
24,2020-01-23 00:19:33,355,4,59058,이진욱
25,2020-01-23 00:15:42,342,1,59057,이진욱
26,2020-01-05 12:03:09,402,1,59051,이진욱
27,2020-01-03 00:06:32,668,2,59050,이진욱
28,2020-01-01 00:11:27,374,6,59049,이진욱
29,2019-12-28 10:19:12,512,1,59047,이진욱
30,2019-12-26 18:25:26,264,0,59046,이진욱
31,2019-12-25 06:59:14,322,5,59045,이진욱
32,2019-12-24 16:39:16,392,2,59044,이진욱
33,2019-12-23 22:54:31,356,2,59042,이진욱
34,2019-12-19 00:01:00,607,3,59040,이진욱
35,2019-12-16 12:43:01,632,0,59038,이진욱
36,2019-12-12 22:31:57,417,1,59035,이진욱
37,2019-12-12 13:42:17,554,3,59034,이진욱
38,2019-12-12 13:16:20,586,1,59033,이진욱
39,2019-12-12 09:14:10,485,0,59030,이진욱
40,2019-12-11 21:37:13,518,0,59029,이진욱
41,2019-12-11 01:53:05,541,0,59027,이진욱
42,2019-12-10 13:14:59,518,0,59026,이진욱
43,2019-12-08 20:49:20,506,1,59025,이진욱
44,2019-11-27 18:15:57,533,0,59015,이진욱
45,2019-11-24 07:58:54,740,4,59012,이진욱
46,2019-11-22 21:47:30,533,0,59011,이진욱
47,2019-11-17 17:58:50,682,1,59008,이진욱
48,2019-11-16 23:21:05,564,0,59005,이진욱
49,2019-11-15 17:10:12,555,5,59001,이진욱
50,2019-11-12 22:25:06,359,0,58993,이진욱
51,2019-11-12 21:45:45,459,3,58992,이진욱
52,2019-11-06 21:52:39,542,1,58988,이진욱
53,2019-11-01 10:03:02,492,1,58982,이진욱
54,2019-10-31 22:56:05,500,0,58981,이진욱
55,2019-10-31 22:55:31,542,2,58980,이진욱
56,2019-10-31 19:31:59,1684,8,58979,이진욱
57,2019-10-31 17:33:41,495,1,58978,이진욱
58,2019-10-31 16:40:46,307,0,58977,이진욱
59,2019-10-28 02:26:02,954,14,58976,이진욱
60,2019-10-28 00:38:57,333,3,58975,이진욱
61,2019-10-27 21:27:50,630,10,58972,이진욱
62,2019-10-26 16:02:47,313,5,58971,이진욱
63,2019-10-26 08:50:56,313,0,58970,이진욱
64,2019-10-25 20:34:17,497,3,58967,이진욱
65,2019-10-24 17:34:23,643,7,58965,이진욱
66,2019-10-24 08:29:00,347,0,58964,이진욱
67,2019-10-23 16:24:56,255,1,58963,이진욱
68,2019-10-23 15:30:54,313,0,58962,이진욱
69,2019-10-23 14:42:30,406,1,58960,이진욱
70,2019-10-21 23:28:05,277,0,58956,이진욱
71,2019-10-20 21:05:07,297,0,58955,이진욱
72,2019-10-20 21:03:06,267,0,58954,이진욱
73,2019-10-20 12:45:25,237,0,58951,이진욱
74,2019-10-20 10:39:45,225,0,58950,이진욱
75,2019-10-20 10:37:38,219,0,58949,이진욱
76,2019-10-20 10:31:42,180,0,58948,이진욱
77,2019-10-20 10:25:15,181,0,58947,이진욱
78,2019-10-20 10:20:36,174,0,58946,이진욱
79,2019-10-20 10:17:44,173,0,58945,이진욱
80,2019-10-20 10:16:31,174,0,58944,이진욱
81,2019-10-20 10:15:45,166,0,58943,이진욱
82,2019-10-20 10:15:06,174,0,58942,이진욱
83,2019-10-20 10:14:17,157,0,58941,이진욱
84,2019-10-20 10:04:26,198,0,58940,이진욱
85,2019-10-19 23:09:21,259,0,58939,이진욱
86,2019-10-19 22:15:42,137,0,58938,이진욱
87,2019-10-19 01:17:25,329,0,58936,이진욱
88,2019-10-18 00:05:20,229,0,58933,이진욱
89,2019-10-17 21:20:00,193,0,58931,이진욱
90,2019-10-17 19:40:06,129,0,58930,이진욱
91,2019-10-17 17:51:55,214,0,58929,이진욱
92,2019-10-17 13:27:54,144,0,58928,이진욱
93,2019-10-17 11:08:28,147,0,58927,이진욱
94,2019-10-17 11:04:06,133,0,58926,이진욱
95,2019-10-17 11:01:02,140,0,58925,이진욱
96,2019-10-17 10:24:50,169,0,58924,이진욱
97,2019-10-17 10:11:05,118,0,58923,이진욱
98,2019-10-17 10:08:04,136,0,58922,이진욱
99,2019-10-17 10:01:41,200,0,58921,이진욱
100,2019-10-17 09:58:01,132,0,58920,이진욱
101,2019-10-17 09:47:55,106,0,58919,이진욱
102,2019-10-17 09:40:21,109,0,58918,이진욱
103,2019-10-17 09:27:51,104,0,58917,이진욱
104,2019-10-17 09:26:42,128,0,58916,이진욱
105,2019-10-17 09:26:10,105,0,58915,이진욱
106,2019-10-17 09:25:39,121,0,58914,이진욱
107,2019-10-16 23:57:33,137,0,58913,이진욱
108,2019-10-15 23:40:14,151,0,58912,이진욱
109,2019-10-15 23:05:57,117,0,58911,이진욱
110,2019-10-14 23:20:56,182,0,58910,이진욱
111,2019-10-14 21:56:54,225,0,58909,이진욱
112,2019-10-14 16:50:10,235,0,58907,이진욱
113,2019-10-13 23:20:06,516,0,58906,이진욱
114,2019-10-13 18:30:11,194,1,58905,이진욱
115,2019-10-08 03:07:40,182,5,58901,이진욱
116,2019-10-05 15:36:00,146,0,58900,이진욱
117,2019-10-02 21:28:03,236,0,58898,이진욱
118,2019-10-01 19:05:32,448,0,58894,이진욱
119,2019-10-01 18:10:58,151,0,58893,이진욱
120,2019-09-28 19:30:24,287,1,58891,이진욱
121,2019-09-27 06:38:50,342,4,58890,이진욱
122,2019-09-27 06:18:02,190,0,58889,이진욱
123,2019-09-27 00:27:06,260,2,58885,이진욱
124,2019-09-26 22:29:04,203,0,58884,이진욱
125,2019-09-16 23:56:50,220,5,58881,이진욱
126,2019-09-16 07:41:36,250,5,58880,이진욱
127,2019-09-16 00:33:24,229,5,58879,이진욱
128,2019-09-13 11:18:51,251,1,58878,이진욱
129,2019-09-10 02:55:59,518,11,58876,이진욱
130,2019-09-09 23:01:03,401,0,58875,이진욱
131,2019-09-09 13:24:06,503,0,58874,이진욱
132,2019-09-08 07:03:20,297,0,58872,이진욱
133,2019-09-06 18:52:41,320,1,58869,이진욱
134,2019-09-03 10:24:28,260,0,58868,이진욱
135,2019-09-01 18:01:13,227,0,58867,이진욱
136,2019-08-27 21:32:15,360,0,58866,이진욱
137,2019-08-20 22:41:25,522,5,58864,이진욱
138,2019-08-16 13:14:55,460,1,58862,이진욱
139,2019-08-15 00:47:34,509,0,58861,이진욱
140,2019-08-08 21:34:35,605,9,58858,이진욱
141,2019-08-06 21:12:44,463,0,58857,이진욱
142,2019-08-04 16:09:32,468,0,58856,이진욱
143,2019-08-03 20:40:57,302,0,58855,이진욱
144,2019-08-02 08:33:46,340,0,58854,이진욱
145,2019-08-02 08:12:01,563,1,58852,이진욱
146,2019-07-31 15:26:15,652,2,58851,이진욱
147,2019-07-30 18:57:00,765,1,58850,이진욱
148,2019-07-29 10:39:01,448,1,58849,이진욱
149,2019-07-26 23:12:05,518,6,58848,이진욱
150,2019-07-26 22:30:59,428,1,58847,이진욱
151,2019-07-26 14:19:16,481,0,58846,이진욱
152,2019-07-20 17:38:13,1023,8,58843,이진욱
153,2019-07-13 06:16:47,496,9,58839,이진욱
154,2019-07-05 17:23:37,1454,23,58837,이진욱
155,2019-07-05 03:06:09,457,7,58836,이진욱
156,2019-07-05 02:58:19,328,7,58835,이진욱
157,2019-07-04 15:38:16,1113,15,58833,이진욱
158,2019-07-02 02:05:24,1254,16,58832,이진욱
159,2019-07-02 00:36:26,690,3,58831,이진욱
160,2019-06-30 19:37:16,1037,16,58830,이진욱
161,2019-06-26 23:21:30,1294,7,58828,이진욱
162,2019-06-19 10:52:56,402,0,58826,이진욱
163,2019-06-12 12:12:50,683,4,58819,이진욱
164,2019-06-04 15:05:13,943,1,58814,이진욱
165,2019-06-03 13:33:54,581,3,58813,이진욱
166,2019-06-02 21:23:41,1518,1,58812,이진욱
167,2019-05-30 20:13:13,851,9,58811,이진욱
168,2019-05-25 10:24:22,1790,19,58810,이진욱
169,2019-05-22 22:43:25,893,1,58805,이진욱
170,2019-05-19 09:05:15,1475,2,58802,이진욱
171,2019-05-15 22:13:15,816,2,58800,이진욱
172,2019-05-13 08:11:34,708,5,58799,이진욱
173,2019-05-12 22:20:56,749,0,58798,이진욱
174,2019-05-12 21:59:17,684,3,58797,이진욱
175,2019-05-12 21:50:18,601,1,58796,이진욱
176,2019-05-12 10:13:28,931,9,58795,이진욱
177,2019-05-12 08:43:25,381,0,58794,이진욱
178,2019-05-12 05:29:38,466,0,58793,이진욱
179,2019-05-11 21:28:31,377,2,58792,이진욱
180,2019-05-11 15:24:31,615,2,58790,이진욱
181,2019-05-10 13:21:56,848,2,58789,이진욱
182,2019-05-08 23:19:40,342,4,58788,이진욱
183,2019-05-08 07:19:14,313,0,58787,이진욱
184,2019-05-03 20:56:07,235,0,58786,이진욱
185,2019-05-02 06:54:24,432,5,58784,이진욱
186,2019-04-30 08:25:04,586,0,58782,이진욱
187,2019-04-26 19:45:53,409,0,58781,이진욱
188,2019-04-25 17:01:52,334,0,58779,이진욱
189,2019-04-25 16:24:35,514,1,58778,이진욱
190,2019-04-25 16:09:10,556,1,58777,이진욱
191,2019-04-21 22:23:35,453,2,58772,이진욱
192,2019-04-21 22:14:48,378,4,58771,이진욱
193,2019-04-21 21:56:58,529,1,58770,이진욱
194,2019-04-21 21:46:51,336,1,58769,이진욱
195,2019-04-20 18:17:10,387,0,58767,이진욱
196,2019-04-20 17:01:51,419,0,58766,이진욱
197,2019-04-20 15:07:27,373,0,58765,이진욱
198,2019-04-19 23:06:21,437,0,58763,이진욱
199,2019-04-19 22:37:58,486,0,58762,이진욱
200,2019-04-19 18:12:12,395,1,58760,이진욱
201,2019-04-19 17:59:00,476,1,58759,이진욱
202,2019-04-19 17:56:55,328,2,58758,이진욱
203,2019-04-19 17:44:55,344,0,58757,이진욱
204,2019-04-19 08:11:38,417,0,58756,이진욱
205,2019-04-18 07:15:41,249,1,58755,이진욱
206,2019-04-17 23:45:24,326,1,58754,이진욱
207,2019-04-17 15:18:19,227,0,58753,이진욱
208,2019-04-17 06:43:47,397,1,58752,이진욱
209,2019-04-17 06:19:21,326,0,58751,이진욱
210,2019-04-15 05:21:11,413,1,58750,이진욱
211,2019-04-14 09:25:33,331,0,58748,이진욱
212,2019-04-10 18:02:56,423,1,58747,이진욱
213,2019-04-09 23:16:12,261,2,58746,이진욱
214,2019-04-09 23:07:38,393,1,58745,이진욱
215,2019-04-08 20:44:45,495,2,58744,이진욱
216,2019-04-05 08:22:32,365,3,58743,이진욱
217,2019-04-04 20:19:49,368,0,58742,이진욱
218,2019-03-26 23:52:32,438,0,58740,이진욱
219,2019-03-24 01:02:40,324,0,58739,이진욱
220,2019-03-22 13:17:45,280,1,58737,이진욱
221,2019-03-16 16:57:57,717,5,58736,이진욱
222,2019-03-15 07:47:22,694,9,58734,이진욱
223,2019-03-14 17:36:13,300,1,58733,이진욱
224,2019-03-11 21:11:19,298,1,58731,이진욱
225,2019-03-05 06:22:36,629,2,58730,이진욱
226,2019-03-03 08:48:59,426,1,58729,이진욱
227,2019-02-28 21:49:58,340,0,58728,이진욱
228,2019-02-25 17:53:29,535,1,58727,이진욱
229,2019-02-21 16:32:26,420,4,58726,이진욱
230,2019-02-21 13:37:29,388,4,58724,이진욱
231,2019-02-19 20:19:48,589,1,58721,이진욱
232,2019-02-17 23:01:33,380,2,58720,이진욱
233,2019-02-15 10:24:45,374,0,58719,이진욱
234,2019-02-14 14:22:00,466,1,58718,이진욱
235,2019-02-12 23:12:53,671,0,58717,이진욱
236,2019-02-11 10:07:35,469,0,58716,이진욱
237,2019-02-08 13:35:32,349,1,58715,이진욱
238,2019-02-06 22:44:14,249,2,58714,이진욱
239,2019-02-02 22:47:32,240,0,58713,이진욱
240,2019-01-30 21:30:27,356,0,58712,이진욱
241,2019-01-30 20:34:44,485,0,58711,이진욱
242,2019-01-30 20:18:54,164,0,58710,이진욱
243,2019-01-30 13:05:56,572,1,58709,이진욱
244,2019-01-30 12:29:11,518,1,58708,이진욱
245,2019-01-29 23:42:22,475,0,58707,이진욱
246,2019-01-29 22:00:11,385,0,58706,이진욱
247,2019-01-29 21:45:23,416,1,58705,이진욱
248,2019-01-29 10:39:54,408,0,58704,이진욱
249,2019-01-29 10:32:18,315,2,58703,이진욱
250,2019-01-29 10:26:01,436,0,58702,이진욱
251,2019-01-28 19:20:05,251,0,58701,이진욱
252,2019-01-23 22:36:31,313,0,58700,이진욱
253,2019-01-18 00:48:46,413,0,58699,이진욱
254,2019-01-17 20:03:36,225,0,58698,이진욱
255,2019-01-17 14:29:50,372,0,58697,이진욱
256,2019-01-15 22:40:06,288,0,58694,이진욱
257,2019-01-15 20:07:26,483,17,58693,이진욱
258,2019-01-15 19:55:00,231,2,58692,이진욱
259,2019-01-13 20:28:47,360,0,58691,이진욱
260,2019-01-11 06:44:13,365,3,58690,이진욱
261,2019-01-10 23:06:55,470,3,58689,이진욱
262,2019-01-07 21:21:22,341,0,58686,이진욱
263,2019-01-05 20:26:41,398,0,58684,이진욱
264,2019-01-05 18:37:58,249,0,58683,이진욱
265,2019-01-03 10:02:55,289,0,58682,이진욱
266,2019-01-01 22:04:58,302,1,58681,이진욱
267,2019-01-01 21:59:35,201,0,58680,이진욱
268,2018-12-31 18:38:06,314,4,58678,이진욱
269,2018-12-31 11:44:41,248,4,58677,이진욱
270,2018-12-30 06:19:32,384,0,58676,이진욱
271,2018-12-27 16:09:55,212,1,58674,이진욱
272,2018-12-26 07:42:30,392,3,58672,이진욱
273,2018-12-25 16:26:41,260,12,58668,이진욱
274,2018-12-25 00:55:03,250,8,58667,이진욱
275,2018-12-24 09:24:17,257,0,58665,이진욱
276,2018-12-24 02:29:09,195,0,58664,이진욱
277,2018-12-21 21:35:47,417,11,58662,이진욱
278,2018-12-21 20:49:24,281,0,58661,이진욱
279,2018-12-21 08:09:23,539,12,58660,이진욱
280,2018-12-21 04:53:00,185,0,58659,이진욱
