,date,views,recommend,number,singer
0,2010-06-27 10:11:40,25785,400,공지,이효리
1,2020-04-11 08:25:24,92,0,159459,이효리
2,2020-04-03 14:45:00,147,0,159454,이효리
3,2020-03-12 01:56:23,110,0,159445,이효리
4,2020-03-09 02:52:58,299,0,159444,이효리
5,2020-02-22 17:46:53,351,0,159438,이효리
6,2020-02-07 15:51:07,199,1,159435,이효리
7,2020-01-13 15:23:06,278,3,159421,이효리
8,2019-12-29 03:26:00,340,0,159411,이효리
9,2019-12-11 17:37:56,267,1,159405,이효리
10,2019-12-10 14:12:41,323,1,159400,이효리
11,2019-11-27 19:03:00,295,1,159395,이효리
12,2019-11-19 22:59:10,466,0,159388,이효리
13,2019-11-06 21:15:08,1616,32,159357,이효리
14,2019-10-26 21:48:49,392,0,159342,이효리
15,2019-10-25 19:10:04,528,0,159340,이효리
16,2019-10-16 10:53:46,512,3,159320,이효리
17,2019-10-08 23:30:00,419,0,159313,이효리
18,2019-10-02 21:08:17,579,0,159308,이효리
19,2019-09-25 14:05:46,596,0,159299,이효리
20,2019-09-25 13:27:11,740,0,159298,이효리
21,2019-09-25 12:47:31,853,0,159297,이효리
22,2019-09-24 23:55:12,532,0,159296,이효리
23,2019-09-24 23:53:24,1215,2,159295,이효리
24,2019-09-23 20:07:10,894,1,159289,이효리
25,2019-09-21 20:10:46,908,0,159286,이효리
26,2019-09-17 04:02:59,451,0,159283,이효리
27,2019-08-30 03:35:07,681,0,159274,이효리
28,2019-08-29 18:14:19,768,2,159273,이효리
29,2019-08-28 02:50:52,994,0,159272,이효리
30,2019-08-24 09:53:35,787,3,159264,이효리
31,2019-08-20 18:04:20,613,2,159261,이효리
32,2019-08-08 20:44:07,734,2,159250,이효리
33,2019-08-08 15:04:06,611,1,159249,이효리
34,2019-08-04 21:44:24,468,0,159248,이효리
35,2019-08-03 16:06:55,560,2,159244,이효리
36,2019-07-30 23:30:54,529,1,159223,이효리
37,2019-07-27 09:44:22,463,0,159218,이효리
38,2019-07-26 23:31:07,936,2,159217,이효리
39,2019-07-25 03:42:21,492,0,159216,이효리
40,2019-07-20 16:42:19,673,0,159209,이효리
41,2019-07-19 11:30:09,1236,11,159207,이효리
42,2019-07-19 11:26:48,1080,0,159206,이효리
43,2019-07-19 11:23:38,549,0,159205,이효리
44,2019-07-15 10:06:41,790,4,159191,이효리
45,2019-07-15 01:53:53,626,3,159186,이효리
46,2019-07-14 22:32:54,605,4,159185,이효리
47,2019-07-10 21:23:39,734,0,159169,이효리
48,2019-07-08 19:56:32,404,0,159148,이효리
49,2019-06-30 09:54:08,696,2,159139,이효리
50,2019-06-22 12:16:39,819,0,159137,이효리
51,2019-06-19 22:21:29,891,9,159136,이효리
52,2019-06-19 20:46:26,1208,16,159135,이효리
53,2019-06-18 00:11:59,1351,15,159134,이효리
54,2019-06-05 14:42:14,392,7,159098,이효리
55,2019-06-03 10:42:26,311,2,159094,이효리
56,2019-05-31 11:10:40,381,0,159074,이효리
57,2019-05-31 11:09:57,752,1,159073,이효리
58,2019-05-24 04:55:59,445,0,159043,이효리
59,2019-05-17 10:32:36,396,7,159040,이효리
60,2019-05-14 11:04:53,349,0,159038,이효리
61,2019-05-13 01:48:32,542,2,159029,이효리
62,2019-05-13 01:47:40,1102,13,159028,이효리
63,2019-05-12 13:34:26,611,6,159027,이효리
64,2019-05-10 13:23:51,216,0,159025,이효리
65,2019-05-10 09:19:50,688,6,159024,이효리
66,2019-05-10 00:11:25,197,2,159023,이효리
67,2019-05-08 21:02:52,519,4,159019,이효리
68,2019-05-08 14:45:03,341,11,159018,이효리
69,2019-05-08 00:56:46,334,2,159017,이효리
70,2019-05-07 09:25:57,191,4,159015,이효리
71,2019-05-07 08:03:15,228,2,159014,이효리
72,2019-05-06 13:56:55,375,1,159012,이효리
73,2019-05-05 19:37:02,403,1,159011,이효리
74,2019-05-05 15:02:06,380,5,159010,이효리
75,2019-05-05 12:38:37,160,1,159009,이효리
76,2019-05-05 04:05:44,400,3,159008,이효리
77,2019-05-04 23:43:28,323,2,159007,이효리
78,2019-05-04 20:07:36,247,4,159005,이효리
79,2019-05-04 18:33:19,387,2,159004,이효리
80,2019-05-04 15:21:52,537,0,159003,이효리
81,2019-05-04 14:21:08,238,0,159002,이효리
82,2019-05-04 10:48:23,186,2,159001,이효리
83,2019-05-03 18:09:19,466,2,159000,이효리
84,2019-05-03 17:27:13,500,8,158999,이효리
85,2019-05-03 17:19:46,372,0,158998,이효리
86,2019-05-03 17:16:21,197,1,158997,이효리
87,2019-05-03 16:26:28,480,3,158996,이효리
88,2019-05-03 15:14:02,526,3,158995,이효리
89,2019-05-03 14:42:31,345,2,158994,이효리
90,2019-05-03 12:16:13,678,14,158992,이효리
91,2019-05-03 12:14:28,261,2,158991,이효리
92,2019-05-03 12:12:44,143,1,158990,이효리
93,2019-05-03 12:06:56,177,1,158989,이효리
94,2019-05-03 12:02:47,96,1,158988,이효리
95,2019-05-03 11:48:11,234,2,158987,이효리
96,2019-05-03 11:20:06,326,9,158986,이효리
97,2019-05-03 11:16:36,122,2,158985,이효리
98,2019-05-03 11:03:55,179,1,158984,이효리
99,2019-05-03 10:56:11,100,1,158983,이효리
100,2019-05-03 10:52:39,607,14,158982,이효리
101,2019-05-03 10:36:38,652,13,158981,이효리
102,2019-05-01 15:52:28,303,12,158980,이효리
103,2019-04-30 12:23:54,112,3,158977,이효리
104,2019-04-30 10:33:12,343,5,158976,이효리
105,2019-04-30 08:39:02,110,5,158975,이효리
106,2019-04-29 21:34:30,105,1,158963,이효리
107,2019-04-29 20:05:09,537,1,158960,이효리
108,2019-04-29 19:43:26,250,2,158959,이효리
109,2019-04-29 11:50:58,626,19,158958,이효리
110,2019-04-27 22:19:29,445,9,158956,이효리
111,2019-04-18 08:54:58,216,1,158918,이효리
112,2019-04-12 22:04:40,435,0,158904,이효리
113,2019-04-12 20:51:56,118,0,158903,이효리
114,2019-04-10 18:11:42,147,0,158902,이효리
115,2019-04-07 20:12:28,458,2,158901,이효리
116,2019-04-07 15:35:07,195,2,158900,이효리
117,2019-04-03 21:36:53,344,0,158899,이효리
118,2019-04-03 18:10:28,186,2,158898,이효리
119,2019-04-02 10:51:48,227,0,158897,이효리
120,2019-04-01 20:42:48,311,3,158896,이효리
121,2019-03-27 11:42:46,253,2,158895,이효리
122,2019-03-26 22:48:20,233,2,158894,이효리
123,2019-03-26 15:03:34,1022,11,158893,이효리
124,2019-03-26 14:38:46,175,0,158892,이효리
125,2019-03-26 08:46:13,284,1,158891,이효리
126,2019-03-25 11:35:19,127,1,158890,이효리
127,2019-03-18 21:21:42,549,11,158889,이효리
128,2019-03-10 13:12:43,576,0,158887,이효리
129,2019-03-08 03:24:11,127,0,158886,이효리
130,2019-03-07 10:29:32,407,22,158885,이효리
131,2019-02-27 16:36:48,241,3,158883,이효리
132,2019-02-27 11:20:42,952,12,158882,이효리
133,2019-02-24 23:50:43,364,15,158881,이효리
134,2019-02-24 23:47:07,302,10,158880,이효리
135,2019-02-24 10:46:00,312,15,158879,이효리
136,2019-02-23 22:05:26,567,16,158878,이효리
137,2019-02-23 20:24:08,137,0,158877,이효리
138,2019-02-23 04:14:01,376,5,158876,이효리
139,2019-02-23 00:40:32,284,23,158875,이효리
140,2019-02-22 16:52:36,388,0,158873,이효리
141,2019-02-22 13:44:13,514,2,158872,이효리
142,2019-02-22 09:28:57,809,13,158871,이효리
143,2019-02-21 16:32:02,1166,12,158870,이효리
144,2019-02-20 10:54:42,139,0,158869,이효리
145,2019-02-19 18:49:31,921,17,158868,이효리
146,2019-02-19 17:02:10,346,1,158867,이효리
147,2019-02-19 15:54:13,276,1,158866,이효리
148,2019-02-19 15:12:10,219,1,158865,이효리
149,2019-02-18 23:41:52,802,16,158864,이효리
150,2019-02-16 23:45:47,266,16,158863,이효리
151,2019-02-13 20:01:29,298,20,158862,이효리
152,2019-02-09 22:12:21,639,6,158861,이효리
153,2019-02-09 14:12:04,204,2,158860,이효리
154,2019-02-07 21:26:02,221,8,158859,이효리
155,2019-02-05 01:27:50,289,15,158858,이효리
156,2019-02-01 02:54:28,747,20,158856,이효리
157,2019-01-31 03:50:07,683,12,158855,이효리
158,2019-01-31 01:48:47,483,0,158854,이효리
159,2019-01-30 23:48:09,376,4,158853,이효리
160,2019-01-30 13:36:34,490,8,158852,이효리
161,2019-01-28 14:25:44,382,0,158851,이효리
162,2019-01-27 12:18:48,207,4,158850,이효리
163,2019-01-23 20:09:47,297,3,158849,이효리
164,2019-01-23 19:55:03,122,0,158848,이효리
165,2019-01-23 19:50:32,138,0,158847,이효리
166,2019-01-23 19:43:36,548,25,158846,이효리
167,2019-01-23 12:39:59,171,0,158843,이효리
168,2019-01-23 11:42:36,107,0,158842,이효리
169,2019-01-22 20:12:17,267,0,158824,이효리
170,2019-01-22 18:17:43,215,3,158822,이효리
171,2019-01-21 22:56:07,239,1,158819,이효리
172,2019-01-21 22:30:33,384,3,158818,이효리
173,2019-01-21 18:45:41,177,6,158817,이효리
174,2019-01-21 12:01:23,368,2,158816,이효리
175,2019-01-21 09:58:07,158,0,158815,이효리
