,date,views,recommend,number,singer
0,2020-01-06 18:29:51,69,2,24612,임주은
1,2019-11-27 19:33:48,88,0,24610,임주은
2,2019-03-13 00:15:06,391,1,24548,임주은
3,2019-01-10 19:54:15,289,0,24525,임주은
4,2018-12-10 20:48:04,326,1,24512,임주은
5,2018-12-09 18:29:08,269,0,24510,임주은
6,2018-09-27 00:30:46,289,0,24506,임주은
7,2018-09-21 00:49:17,278,0,24505,임주은
8,2018-08-07 20:45:35,586,1,24504,임주은
9,2018-08-07 20:41:34,417,1,24503,임주은
10,2018-08-01 01:55:54,343,0,24502,임주은
11,2018-03-09 19:11:03,491,1,24428,임주은
12,2018-02-23 21:51:12,395,5,24427,임주은
13,2018-02-07 22:57:55,393,0,24426,임주은
14,2017-10-26 22:54:45,661,2,24424,임주은
15,2017-09-30 17:06:12,1172,0,24422,임주은
16,2017-09-11 20:50:44,435,0,24420,임주은
17,2017-09-02 22:31:54,408,0,24419,임주은
18,2017-08-14 00:47:07,493,4,24418,임주은
19,2017-06-13 06:54:23,904,16,24404,임주은
20,2017-06-07 08:27:41,1155,2,24403,임주은
21,2017-05-31 16:24:19,991,5,24397,임주은
22,2017-05-30 00:51:30,580,0,24395,임주은
23,2017-05-29 08:26:41,579,0,24393,임주은
24,2017-05-29 01:20:52,550,1,24392,임주은
25,2017-05-24 07:04:46,481,4,24390,임주은
26,2017-05-12 22:51:56,752,5,24380,임주은
27,2017-03-28 07:31:01,417,0,24365,임주은
28,2017-03-25 03:55:50,818,14,24362,임주은
29,2017-03-10 10:19:22,858,8,24354,임주은
30,2017-02-24 01:07:31,545,1,24351,임주은
31,2017-02-19 23:14:47,752,3,24349,임주은
32,2017-02-16 03:14:51,493,1,24347,임주은
33,2017-02-14 16:38:29,399,1,24344,임주은
34,2017-02-13 14:50:04,523,3,24343,임주은
35,2017-02-12 17:04:31,303,0,24342,임주은
36,2017-02-12 13:58:55,400,0,24341,임주은
37,2017-02-12 13:11:54,181,0,24340,임주은
38,2017-02-03 00:24:36,296,0,24334,임주은
39,2017-01-26 23:09:03,263,0,24326,임주은
40,2017-01-19 08:09:16,286,0,24321,임주은
41,2017-01-14 02:32:56,331,0,24317,임주은
42,2017-01-14 02:32:06,232,0,24316,임주은
43,2017-01-14 02:30:27,312,0,24315,임주은
44,2017-01-09 16:02:03,192,0,24311,임주은
45,2017-01-07 01:02:08,204,0,24307,임주은
46,2017-01-07 01:01:23,239,0,24306,임주은
47,2017-01-07 01:00:48,188,0,24305,임주은
48,2017-01-07 01:00:29,140,0,24304,임주은
