,date,views,recommend,number,singer
0,2015-04-23 01:21:49,5873,55,공지,장기하와 얼굴들
1,2013-03-24 21:50:08,6172,57,공지,장기하와 얼굴들
2,2020-04-28 12:42:16,48,0,22035,장기하와 얼굴들
3,2020-03-07 18:02:33,171,0,22029,장기하와 얼굴들
4,2020-02-24 23:45:18,152,0,22023,장기하와 얼굴들
5,2020-02-22 01:06:54,184,0,22022,장기하와 얼굴들
6,2020-02-20 23:53:52,159,0,22021,장기하와 얼굴들
7,2020-02-12 19:57:30,149,0,22020,장기하와 얼굴들
8,2020-02-11 21:23:36,140,0,22019,장기하와 얼굴들
9,2020-02-08 09:19:33,164,0,22018,장기하와 얼굴들
10,2020-01-25 23:48:58,183,0,22016,장기하와 얼굴들
11,2020-01-24 15:23:25,155,0,22015,장기하와 얼굴들
12,2020-01-24 03:01:55,179,0,22014,장기하와 얼굴들
13,2020-01-18 15:28:58,178,0,22013,장기하와 얼굴들
14,2020-01-09 15:53:43,224,0,22011,장기하와 얼굴들
15,2020-01-07 17:42:52,209,0,22010,장기하와 얼굴들
16,2020-01-01 00:26:22,198,0,22008,장기하와 얼굴들
17,2019-12-26 12:16:21,198,0,22006,장기하와 얼굴들
18,2019-12-21 00:44:34,372,0,22004,장기하와 얼굴들
19,2019-12-14 01:38:41,213,3,22003,장기하와 얼굴들
20,2019-12-11 01:26:24,312,0,22002,장기하와 얼굴들
21,2019-11-29 06:46:01,242,1,22001,장기하와 얼굴들
22,2019-11-27 19:17:08,220,0,22000,장기하와 얼굴들
23,2019-11-24 06:32:12,278,1,21999,장기하와 얼굴들
24,2019-11-19 20:14:31,338,0,21998,장기하와 얼굴들
25,2019-11-05 21:25:38,408,0,21996,장기하와 얼굴들
26,2019-10-27 00:30:59,523,3,21994,장기하와 얼굴들
27,2019-10-17 12:16:34,565,2,21993,장기하와 얼굴들
28,2019-10-12 23:37:12,471,0,21992,장기하와 얼굴들
29,2019-10-02 19:57:41,745,4,21991,장기하와 얼굴들
30,2019-09-28 12:07:00,482,0,21990,장기하와 얼굴들
31,2019-08-20 19:31:52,400,0,21988,장기하와 얼굴들
32,2019-08-07 13:50:57,596,0,21986,장기하와 얼굴들
33,2019-08-04 22:39:42,401,0,21985,장기하와 얼굴들
34,2019-07-04 02:58:56,416,0,21983,장기하와 얼굴들
35,2019-06-22 22:59:25,476,0,21982,장기하와 얼굴들
36,2019-06-21 19:00:33,725,0,21981,장기하와 얼굴들
37,2019-06-15 01:45:03,504,0,21980,장기하와 얼굴들
38,2019-06-08 09:24:01,487,6,21978,장기하와 얼굴들
39,2019-06-07 00:48:26,445,0,21977,장기하와 얼굴들
40,2019-06-05 06:18:37,409,0,21976,장기하와 얼굴들
41,2019-05-30 13:23:58,546,0,21974,장기하와 얼굴들
42,2019-05-28 23:45:48,585,0,21973,장기하와 얼굴들
43,2019-05-23 22:18:47,502,2,21972,장기하와 얼굴들
44,2019-05-21 01:52:21,581,0,21971,장기하와 얼굴들
45,2019-05-17 19:57:25,450,4,21970,장기하와 얼굴들
46,2019-05-09 23:56:38,434,1,21966,장기하와 얼굴들
47,2019-04-29 18:51:46,1123,14,21965,장기하와 얼굴들
48,2019-04-29 02:05:23,419,2,21964,장기하와 얼굴들
49,2019-04-20 21:57:58,645,8,21962,장기하와 얼굴들
50,2019-04-17 00:55:08,522,1,21961,장기하와 얼굴들
51,2019-04-11 05:32:25,674,29,21960,장기하와 얼굴들
52,2019-04-03 20:49:01,388,0,21959,장기하와 얼굴들
53,2019-03-24 19:24:25,425,0,21958,장기하와 얼굴들
54,2019-03-20 13:38:14,408,1,21957,장기하와 얼굴들
55,2019-03-14 21:13:18,548,1,21956,장기하와 얼굴들
56,2019-03-11 21:35:15,493,1,21954,장기하와 얼굴들
57,2019-03-02 02:45:44,469,1,21953,장기하와 얼굴들
58,2019-02-20 17:56:43,390,1,21951,장기하와 얼굴들
59,2019-02-20 09:34:37,337,1,21950,장기하와 얼굴들
60,2019-02-20 01:30:32,449,1,21949,장기하와 얼굴들
61,2019-02-18 01:34:38,520,0,21948,장기하와 얼굴들
62,2019-02-14 17:59:28,451,2,21947,장기하와 얼굴들
63,2019-02-14 01:06:17,318,1,21946,장기하와 얼굴들
64,2019-02-07 19:40:57,531,1,21944,장기하와 얼굴들
65,2019-02-06 20:57:31,650,0,21943,장기하와 얼굴들
66,2019-02-04 22:56:19,363,4,21942,장기하와 얼굴들
67,2019-01-29 00:53:14,397,5,21939,장기하와 얼굴들
68,2019-01-21 01:32:58,790,7,21938,장기하와 얼굴들
69,2019-01-18 11:55:10,429,0,21937,장기하와 얼굴들
70,2019-01-12 20:41:03,617,3,21934,장기하와 얼굴들
71,2019-01-11 16:10:55,464,0,21933,장기하와 얼굴들
72,2019-01-10 10:28:07,268,0,21932,장기하와 얼굴들
73,2019-01-10 01:43:30,305,1,21931,장기하와 얼굴들
74,2019-01-07 12:00:54,509,0,21930,장기하와 얼굴들
75,2019-01-06 22:04:15,797,5,21929,장기하와 얼굴들
76,2019-01-06 17:09:53,385,0,21928,장기하와 얼굴들
77,2019-01-06 16:11:25,479,0,21926,장기하와 얼굴들
