,date,views,recommend,number,singer
0,2014-09-24 18:08:07,30166,2393,공지,장나라
1,2016-12-14 18:24:20,15585,540,공지,장나라
2,2015-05-03 18:58:33,27959,1623,공지,장나라
3,2015-01-28 13:35:59,13324,256,공지,장나라
4,2015-01-27 18:03:27,14684,201,공지,장나라
5,2012-04-01 18:40:39,13109,140,공지,장나라
6,2020-05-07 15:23:00,298,18,129512,장나라
7,2020-05-07 14:13:12,419,20,129511,장나라
8,2020-05-07 13:50:36,311,15,129510,장나라
9,2020-05-07 13:11:39,394,27,129509,장나라
10,2020-05-07 13:09:06,286,0,129508,장나라
11,2020-05-07 13:07:28,186,5,129507,장나라
12,2020-05-07 12:58:14,255,3,129506,장나라
13,2020-05-07 11:30:56,208,0,129505,장나라
14,2020-05-07 08:59:10,289,7,129504,장나라
15,2020-05-07 08:47:44,591,31,129503,장나라
16,2020-05-07 06:02:43,93,0,129502,장나라
17,2020-05-06 22:33:30,401,5,129501,장나라
18,2020-05-06 22:20:47,150,0,129500,장나라
19,2020-05-06 21:40:22,197,12,129499,장나라
20,2020-05-06 21:00:32,458,5,129498,장나라
21,2020-05-06 20:35:52,389,0,129496,장나라
22,2020-05-06 20:25:38,233,0,129495,장나라
23,2020-05-06 19:25:32,231,0,129494,장나라
24,2020-05-06 17:36:10,808,27,129493,장나라
25,2020-05-06 16:24:21,291,0,129492,장나라
26,2020-05-06 14:05:16,386,15,129490,장나라
27,2020-05-06 13:45:21,369,12,129489,장나라
28,2020-05-06 13:36:02,211,0,129487,장나라
29,2020-05-06 12:23:30,127,0,129486,장나라
30,2020-05-06 10:56:39,279,0,129485,장나라
31,2020-05-06 10:43:24,124,0,129484,장나라
32,2020-05-06 10:26:54,423,1,129483,장나라
33,2020-05-06 08:45:49,659,20,129482,장나라
34,2020-05-06 08:40:50,384,1,129481,장나라
35,2020-05-06 08:24:13,153,0,129480,장나라
36,2020-05-06 06:13:59,123,0,129479,장나라
37,2020-05-05 23:35:21,396,13,129478,장나라
38,2020-05-05 20:23:37,534,5,129477,장나라
39,2020-05-05 18:32:19,833,13,129476,장나라
40,2020-05-05 13:20:30,816,36,129475,장나라
41,2020-05-05 10:13:49,859,27,129474,장나라
42,2020-05-05 06:55:33,165,0,129473,장나라
43,2020-05-04 22:58:09,1061,0,129472,장나라
44,2020-05-04 21:36:21,210,0,129471,장나라
45,2020-05-04 20:55:23,445,16,129470,장나라
46,2020-05-04 19:42:00,292,0,129469,장나라
47,2020-05-04 19:15:02,271,13,129468,장나라
48,2020-05-04 06:45:43,205,0,129467,장나라
49,2020-05-04 04:40:14,249,7,129466,장나라
50,2020-05-03 21:05:32,410,5,129464,장나라
51,2020-05-03 20:30:36,789,22,129463,장나라
52,2020-05-03 15:15:57,1047,4,129462,장나라
53,2020-05-03 14:57:34,349,0,129461,장나라
54,2020-05-03 06:55:53,187,0,129460,장나라
55,2020-05-03 01:24:29,684,4,129459,장나라
56,2020-05-03 01:05:47,538,0,129458,장나라
57,2020-05-02 21:16:10,201,0,129457,장나라
58,2020-05-02 21:10:07,140,5,129456,장나라
59,2020-05-02 19:29:07,1093,37,129455,장나라
60,2020-05-02 17:00:50,638,15,129454,장나라
61,2020-05-02 15:51:05,476,4,129453,장나라
62,2020-05-02 14:25:01,384,7,129452,장나라
63,2020-05-02 14:14:27,765,30,129451,장나라
64,2020-05-02 12:47:50,62,1,129450,장나라
65,2020-05-02 11:46:22,94,0,129449,장나라
66,2020-05-02 09:48:10,72,0,129448,장나라
67,2020-05-02 09:35:00,106,0,129447,장나라
68,2020-05-02 08:02:39,1122,50,129446,장나라
69,2020-05-02 07:10:31,92,0,129445,장나라
70,2020-05-02 07:09:39,78,0,129444,장나라
71,2020-05-02 06:25:58,94,0,129443,장나라
72,2020-05-02 04:13:50,68,1,129441,장나라
73,2020-05-02 02:14:35,143,6,129440,장나라
74,2020-05-02 01:55:25,54,1,129439,장나라
75,2020-05-02 01:35:51,79,0,129438,장나라
76,2020-05-02 01:32:59,75,0,129437,장나라
77,2020-05-02 01:24:22,68,0,129436,장나라
78,2020-05-02 01:16:26,86,0,129435,장나라
79,2020-05-02 01:15:52,252,5,129434,장나라
80,2020-05-02 01:06:27,91,0,129433,장나라
81,2020-05-02 00:57:30,79,0,129432,장나라
82,2020-05-02 00:57:02,65,0,129431,장나라
83,2020-05-02 00:53:14,77,0,129430,장나라
84,2020-05-02 00:47:27,77,0,129429,장나라
85,2020-05-02 00:32:18,73,0,129428,장나라
86,2020-05-02 00:21:53,55,0,129427,장나라
87,2020-05-02 00:15:19,81,0,129426,장나라
88,2020-05-02 00:09:52,74,0,129425,장나라
89,2020-05-02 00:09:09,80,0,129424,장나라
90,2020-05-02 00:05:59,51,1,129423,장나라
91,2020-05-02 00:00:02,99,2,129422,장나라
92,2020-05-01 23:36:27,82,1,129420,장나라
93,2020-05-01 21:39:32,290,7,129419,장나라
94,2020-05-01 18:32:22,224,12,129418,장나라
95,2020-05-01 17:10:32,685,21,129417,장나라
96,2020-05-01 16:31:34,348,8,129416,장나라
97,2020-05-01 15:18:06,133,3,129415,장나라
98,2020-05-01 10:09:35,954,38,129412,장나라
99,2020-05-01 08:56:56,736,32,129411,장나라
100,2020-05-01 05:58:22,409,11,129410,장나라
101,2020-05-01 02:48:53,381,17,129409,장나라
102,2020-05-01 02:17:04,416,4,129408,장나라
103,2020-05-01 00:33:09,493,20,129407,장나라
104,2020-04-30 19:16:50,799,29,129406,장나라
105,2020-04-30 12:18:45,538,0,129405,장나라
106,2020-04-30 11:37:07,518,6,129404,장나라
107,2020-04-30 08:09:41,96,0,129402,장나라
108,2020-04-30 07:58:54,122,1,129401,장나라
109,2020-04-30 03:18:34,115,0,129400,장나라
110,2020-04-30 00:21:58,114,0,129399,장나라
111,2020-04-29 21:26:48,294,5,129398,장나라
112,2020-04-29 20:56:42,283,0,129397,장나라
113,2020-04-29 19:16:49,333,13,129396,장나라
114,2020-04-29 18:38:38,880,32,129395,장나라
115,2020-04-29 18:08:19,295,12,129394,장나라
116,2020-04-29 16:03:02,563,13,129393,장나라
117,2020-04-29 13:29:22,372,0,129392,장나라
118,2020-04-29 12:49:32,343,5,129391,장나라
119,2020-04-29 08:59:19,1038,33,129390,장나라
120,2020-04-29 05:56:57,159,0,129389,장나라
121,2020-04-28 23:47:49,633,14,129388,장나라
122,2020-04-28 21:48:27,653,24,129387,장나라
123,2020-04-28 21:40:24,382,18,129386,장나라
124,2020-04-28 19:04:53,869,47,129385,장나라
125,2020-04-28 18:59:53,295,0,129384,장나라
126,2020-04-28 18:51:46,280,7,129383,장나라
127,2020-04-28 18:18:47,519,16,129382,장나라
128,2020-04-28 17:52:50,940,34,129381,장나라
129,2020-04-28 13:49:05,319,7,129380,장나라
130,2020-04-28 09:48:01,817,26,129379,장나라
131,2020-04-28 09:09:08,313,5,129378,장나라
132,2020-04-28 08:46:27,818,43,129377,장나라
133,2020-04-28 06:12:38,142,0,129376,장나라
134,2020-04-28 01:20:50,286,12,129374,장나라
135,2020-04-28 00:07:18,352,17,129373,장나라
136,2020-04-27 18:55:38,727,21,129372,장나라
137,2020-04-27 18:45:55,522,23,129371,장나라
138,2020-04-27 17:54:37,551,17,129370,장나라
139,2020-04-27 17:54:11,1016,40,129369,장나라
140,2020-04-27 17:31:02,487,30,129368,장나라
141,2020-04-27 16:19:19,407,5,129367,장나라
142,2020-04-27 12:56:01,411,11,129365,장나라
143,2020-04-27 11:04:28,853,6,129364,장나라
144,2020-04-27 05:57:16,197,0,129363,장나라
145,2020-04-27 05:00:05,270,0,129362,장나라
146,2020-04-26 17:42:37,748,20,129361,장나라
147,2020-04-26 17:11:57,294,12,129360,장나라
148,2020-04-26 16:56:11,637,33,129359,장나라
149,2020-04-26 16:21:04,414,4,129358,장나라
150,2020-04-26 13:34:04,434,14,129357,장나라
151,2020-04-26 11:22:01,540,4,129356,장나라
152,2020-04-26 07:19:11,153,0,129355,장나라
153,2020-04-25 19:49:05,712,23,129353,장나라
154,2020-04-25 15:47:45,867,28,129352,장나라
155,2020-04-25 14:08:12,434,6,129351,장나라
156,2020-04-25 13:14:27,871,24,129350,장나라
157,2020-04-25 08:38:37,1026,14,129349,장나라
158,2020-04-25 06:00:22,205,0,129347,장나라
159,2020-04-25 03:23:43,344,3,129346,장나라
160,2020-04-24 23:20:44,415,0,129345,장나라
161,2020-04-24 23:12:08,306,2,129344,장나라
162,2020-04-24 22:52:08,379,5,129343,장나라
163,2020-04-24 20:29:50,234,0,129341,장나라
164,2020-04-24 20:15:23,305,1,129340,장나라
165,2020-04-24 19:51:06,549,1,129339,장나라
166,2020-04-24 19:43:22,889,27,129338,장나라
167,2020-04-24 19:42:29,295,3,129337,장나라
168,2020-04-24 19:36:03,848,31,129336,장나라
169,2020-04-24 15:07:37,234,6,129334,장나라
170,2020-04-24 10:23:29,283,0,129333,장나라
171,2020-04-24 05:59:37,216,0,129332,장나라
172,2020-04-23 23:39:23,1123,43,129331,장나라
173,2020-04-23 22:20:05,708,6,129330,장나라
174,2020-04-23 20:36:24,311,9,129328,장나라
175,2020-04-23 20:19:02,426,3,129327,장나라
176,2020-04-23 19:12:03,203,0,129326,장나라
177,2020-04-23 18:25:02,650,1,129325,장나라
178,2020-04-23 16:30:27,752,16,129324,장나라
179,2020-04-23 13:28:55,624,1,129323,장나라
180,2020-04-23 13:18:55,204,0,129322,장나라
181,2020-04-23 09:58:40,1379,0,129320,장나라
182,2020-04-23 06:25:31,177,0,129319,장나라
183,2020-04-23 05:32:05,366,8,129318,장나라
184,2020-04-23 03:18:09,121,0,129317,장나라
185,2020-04-22 23:36:16,593,12,129316,장나라
186,2020-04-22 20:06:43,366,15,129313,장나라
187,2020-04-22 18:10:29,416,4,129311,장나라
188,2020-04-22 16:41:56,868,22,129309,장나라
189,2020-04-22 14:06:19,1569,57,129308,장나라
190,2020-04-22 14:00:56,212,0,129307,장나라
191,2020-04-22 13:13:39,547,0,129306,장나라
192,2020-04-22 06:04:33,248,0,129305,장나라
193,2020-04-22 03:11:49,221,0,129304,장나라
194,2020-04-22 01:29:23,762,30,129303,장나라
195,2020-04-22 00:22:56,387,0,129302,장나라
196,2020-04-21 23:39:39,638,21,129300,장나라
197,2020-04-21 22:21:42,281,1,129299,장나라
198,2020-04-21 21:35:19,290,11,129298,장나라
199,2020-04-21 21:22:50,182,1,129296,장나라
200,2020-04-21 21:08:13,451,7,129295,장나라
201,2020-04-21 20:52:32,458,12,129294,장나라
202,2020-04-21 19:51:30,725,6,129292,장나라
203,2020-04-21 18:52:01,502,7,129291,장나라
204,2020-04-21 18:51:10,548,0,129290,장나라
205,2020-04-21 18:47:03,348,0,129289,장나라
206,2020-04-21 18:43:53,282,6,129288,장나라
207,2020-04-21 18:36:15,599,25,129287,장나라
208,2020-04-21 18:20:49,533,0,129286,장나라
209,2020-04-21 18:11:41,485,0,129285,장나라
210,2020-04-21 18:02:01,902,50,129283,장나라
