,date,views,recommend,number,singer
0,2020-05-02 23:32:49,11,0,22097,장진영
1,2020-04-29 17:39:18,12,0,22096,장진영
2,2020-04-27 21:21:06,14,0,22095,장진영
3,2020-04-11 01:46:21,25,0,22094,장진영
4,2020-04-02 20:09:48,29,0,22093,장진영
5,2020-03-27 23:43:50,38,0,22092,장진영
6,2020-03-13 14:05:11,52,0,22089,장진영
7,2020-03-06 00:29:54,43,0,22088,장진영
8,2020-02-25 19:30:51,57,0,22083,장진영
9,2020-01-29 05:45:53,58,0,22081,장진영
10,2020-01-07 00:23:23,78,0,22080,장진영
11,2019-12-20 07:02:43,87,0,22079,장진영
12,2019-12-02 23:23:27,84,0,22078,장진영
13,2019-11-27 23:23:07,107,0,22077,장진영
14,2019-11-08 05:36:42,144,0,22076,장진영
15,2019-10-18 00:18:14,174,0,22074,장진영
16,2019-10-09 23:09:25,145,0,22073,장진영
17,2019-10-01 21:02:34,128,0,22072,장진영
18,2019-10-01 20:45:33,122,0,22071,장진영
19,2019-09-25 01:07:18,157,0,22069,장진영
20,2019-09-04 05:31:22,160,0,22068,장진영
21,2019-09-01 00:04:31,210,0,22067,장진영
22,2019-08-31 12:54:04,148,0,22066,장진영
23,2019-08-19 08:58:53,160,0,22065,장진영
24,2019-08-07 20:24:36,154,0,22062,장진영
25,2019-08-03 08:41:49,165,0,22061,장진영
26,2019-07-21 12:05:41,165,0,22060,장진영
27,2019-07-06 23:04:27,278,0,22059,장진영
28,2019-06-26 10:29:10,204,0,22058,장진영
29,2019-06-19 20:39:00,194,0,22057,장진영
30,2019-06-17 20:52:30,196,0,22056,장진영
31,2019-06-08 12:15:12,265,0,22055,장진영
32,2019-06-05 00:01:14,279,0,22054,장진영
33,2019-06-01 13:50:06,196,0,22053,장진영
34,2019-05-27 14:45:29,209,0,22052,장진영
35,2019-05-18 15:52:53,220,0,22051,장진영
36,2019-05-01 00:55:41,236,0,22050,장진영
37,2019-04-23 21:06:29,237,0,22049,장진영
38,2019-04-13 15:04:37,235,0,22048,장진영
39,2019-04-10 03:24:32,340,0,22047,장진영
40,2019-04-08 17:56:54,235,0,22046,장진영
41,2019-04-06 03:39:32,251,0,22045,장진영
42,2019-04-05 22:55:06,229,0,22044,장진영
43,2019-03-27 02:33:53,247,0,22043,장진영
44,2019-03-20 00:53:26,238,0,22041,장진영
45,2019-03-17 02:53:35,318,0,22040,장진영
46,2019-03-11 00:50:56,370,0,22039,장진영
47,2019-03-08 23:16:24,317,0,22038,장진영
48,2019-03-07 21:39:52,344,0,22037,장진영
49,2019-03-06 22:41:17,340,0,22036,장진영
50,2019-03-06 01:26:20,343,0,22035,장진영
51,2019-03-03 01:38:06,344,0,22034,장진영
52,2019-03-02 21:54:08,332,0,22033,장진영
53,2019-03-02 14:59:53,351,0,22032,장진영
54,2019-03-02 05:12:51,242,0,22031,장진영
55,2019-03-02 05:02:38,333,0,22030,장진영
56,2019-03-02 04:51:13,303,0,22029,장진영
57,2019-03-02 04:45:58,309,0,22028,장진영
58,2019-03-02 04:38:42,270,0,22027,장진영
59,2019-03-02 04:34:32,281,0,22026,장진영
60,2019-03-02 04:30:52,267,0,22025,장진영
61,2019-03-02 04:22:36,239,0,22024,장진영
62,2019-03-02 03:04:37,246,0,22023,장진영
63,2019-02-25 21:40:25,174,0,22022,장진영
64,2019-02-23 13:00:23,189,0,22021,장진영
65,2019-02-22 15:28:57,219,0,22020,장진영
66,2019-02-22 01:42:30,155,0,22019,장진영
67,2019-02-22 01:34:28,150,0,22018,장진영
68,2019-02-17 09:03:27,137,0,22017,장진영
69,2019-02-05 10:08:58,139,0,22016,장진영
70,2019-02-04 12:23:30,128,0,22015,장진영
71,2019-01-31 22:38:02,119,0,22014,장진영
72,2019-01-28 18:31:42,116,0,22013,장진영
73,2019-01-20 05:52:01,159,0,21994,장진영
74,2019-01-20 02:03:13,201,0,21993,장진영
75,2019-01-15 22:02:31,119,0,21992,장진영
76,2019-01-08 21:29:36,100,0,21991,장진영
77,2019-01-03 20:12:09,96,0,21989,장진영
78,2019-01-01 01:39:50,154,0,21988,장진영
79,2018-12-31 11:14:21,133,0,21987,장진영
80,2018-12-30 06:46:55,107,0,21985,장진영
81,2018-12-30 00:00:05,83,0,21984,장진영
82,2018-12-26 22:14:13,94,0,21979,장진영
83,2018-12-25 18:21:26,84,0,21977,장진영
84,2018-12-24 21:08:24,80,0,21975,장진영
85,2018-12-20 12:15:01,91,0,21971,장진영
86,2018-12-19 08:47:54,94,0,21970,장진영
87,2018-12-19 06:58:50,70,0,21969,장진영
88,2018-12-18 22:52:06,72,0,21968,장진영
89,2018-12-16 16:26:09,101,0,21965,장진영
90,2018-12-14 12:54:35,54,0,21964,장진영
91,2018-12-10 08:55:20,67,0,21962,장진영
92,2018-12-09 11:16:13,85,0,21961,장진영
93,2018-12-09 07:45:46,54,0,21960,장진영
94,2018-12-08 12:20:18,74,0,21959,장진영
95,2018-12-05 20:19:01,66,0,21958,장진영
96,2018-12-04 10:44:18,52,0,21957,장진영
97,2018-12-02 15:42:55,38,0,21955,장진영
98,2018-11-14 06:54:37,69,0,21954,장진영
99,2018-11-12 00:14:06,65,0,21953,장진영
100,2018-11-06 22:41:03,113,0,21952,장진영
101,2018-11-04 23:53:30,49,0,21951,장진영
102,2018-11-02 05:05:52,63,0,21950,장진영
103,2018-10-14 14:25:02,86,0,21949,장진영
104,2018-10-13 15:17:30,56,0,21948,장진영
105,2018-10-09 01:22:06,92,0,21947,장진영
106,2018-09-30 23:37:41,121,0,21946,장진영
107,2018-09-25 17:19:16,83,0,21945,장진영
108,2018-09-23 08:22:24,106,0,21944,장진영
109,2018-09-19 21:39:30,108,0,21943,장진영
110,2018-09-16 22:46:13,93,1,21942,장진영
111,2018-09-16 03:12:02,108,0,21941,장진영
112,2018-09-16 03:01:32,163,1,21940,장진영
113,2018-09-07 07:20:39,210,0,21939,장진영
114,2018-08-23 23:00:45,151,0,21938,장진영
115,2018-08-20 17:57:39,100,0,21937,장진영
116,2018-08-12 08:41:00,129,0,21935,장진영
117,2018-08-04 16:06:29,107,0,21934,장진영
118,2018-07-24 23:25:47,118,0,21932,장진영
119,2018-07-15 05:37:48,103,0,21916,장진영
120,2018-07-14 08:49:51,107,0,21913,장진영
121,2018-06-23 23:49:46,159,0,21867,장진영
122,2018-06-22 19:57:21,119,0,21866,장진영
123,2018-06-17 12:15:15,109,0,21865,장진영
124,2018-06-08 23:32:23,114,0,21864,장진영
125,2018-05-23 18:24:28,132,0,21863,장진영
126,2018-05-22 09:20:27,101,0,21862,장진영
127,2018-05-19 02:49:13,124,0,21861,장진영
128,2018-05-14 23:08:17,104,0,21860,장진영
129,2018-05-07 09:34:25,125,0,21859,장진영
130,2018-05-01 19:07:18,114,0,21858,장진영
131,2018-05-01 00:45:04,112,0,21857,장진영
132,2018-04-29 11:00:24,104,0,21856,장진영
133,2018-04-22 11:03:20,116,0,21855,장진영
134,2018-04-21 22:32:08,125,1,21854,장진영
135,2018-04-21 22:29:35,125,0,21853,장진영
136,2018-04-21 07:26:30,101,0,21852,장진영
137,2018-04-05 20:52:18,111,0,21851,장진영
138,2018-04-03 21:25:33,98,0,21850,장진영
