,date,views,recommend,number,singer
0,2019-04-14 22:39:55,2200,241,공지,정유미
1,2017-12-16 01:19:09,4971,284,공지,정유미
2,2013-04-19 22:26:39,26685,597,공지,정유미
3,2007-05-30 16:40:20,12610,146,공지,정유미
4,2020-05-07 20:21:03,24,2,16187,정유미
5,2020-05-06 02:22:31,181,11,16186,정유미
6,2020-05-06 01:32:14,129,5,16185,정유미
7,2020-05-04 22:03:32,180,2,16184,정유미
8,2020-05-03 16:56:24,268,9,16183,정유미
9,2020-04-29 13:03:09,576,9,16180,정유미
10,2020-04-29 00:55:03,294,4,16179,정유미
11,2020-04-28 00:38:36,573,21,16178,정유미
12,2020-04-27 22:21:10,129,2,16177,정유미
13,2020-04-14 15:57:32,1059,53,16175,정유미
14,2020-04-12 16:05:25,299,6,16174,정유미
15,2020-04-07 20:28:16,733,25,16172,정유미
16,2020-04-06 00:35:12,762,17,16171,정유미
17,2020-04-06 00:23:25,818,21,16170,정유미
18,2020-04-06 00:18:07,598,14,16169,정유미
19,2020-04-01 08:14:17,962,25,16167,정유미
20,2020-03-30 19:47:41,513,22,16166,정유미
21,2020-03-30 10:05:06,529,17,16165,정유미
22,2020-03-29 10:19:01,729,27,16164,정유미
23,2020-03-24 21:20:27,392,11,16163,정유미
24,2020-03-14 17:25:58,655,7,16159,정유미
25,2020-03-03 19:57:23,769,7,16157,정유미
26,2020-03-03 15:55:13,986,20,16156,정유미
27,2020-03-03 14:16:46,463,12,16155,정유미
28,2020-03-02 21:45:13,1147,20,16153,정유미
29,2020-03-02 00:01:02,681,18,16152,정유미
30,2020-03-01 21:13:10,674,21,16151,정유미
31,2020-03-01 18:37:21,323,5,16150,정유미
32,2020-02-22 00:59:06,624,4,16146,정유미
33,2020-02-22 00:14:51,652,8,16145,정유미
34,2020-02-19 12:54:41,691,13,16144,정유미
35,2020-02-18 21:34:02,416,7,16143,정유미
36,2020-02-13 17:17:38,475,3,16141,정유미
37,2020-02-07 20:18:26,459,10,16140,정유미
38,2020-02-06 18:54:49,712,11,16137,정유미
39,2020-02-03 16:28:22,1112,24,16134,정유미
40,2020-02-01 19:46:41,605,10,16133,정유미
41,2020-01-30 23:02:57,582,5,16132,정유미
42,2020-01-28 20:03:14,1051,21,16131,정유미
43,2020-01-28 18:03:11,379,6,16130,정유미
44,2020-01-28 03:14:29,569,20,16129,정유미
45,2020-01-25 08:51:37,323,7,16127,정유미
46,2020-01-25 08:48:33,419,2,16126,정유미
47,2020-01-24 00:08:02,590,11,16125,정유미
48,2020-01-23 12:58:59,376,5,16124,정유미
49,2020-01-22 22:08:20,392,15,16123,정유미
50,2020-01-20 07:58:52,1186,47,16121,정유미
51,2020-01-19 03:14:30,1745,44,16120,정유미
52,2020-01-19 03:12:32,895,36,16119,정유미
53,2020-01-18 16:51:59,679,31,16118,정유미
54,2020-01-18 11:59:35,1071,63,16117,정유미
55,2020-01-18 11:38:49,380,12,16116,정유미
56,2020-01-18 01:17:04,389,14,16115,정유미
57,2020-01-18 00:51:15,437,20,16114,정유미
58,2020-01-17 14:56:30,809,31,16113,정유미
59,2020-01-17 10:53:52,721,28,16112,정유미
60,2020-01-16 12:01:29,779,37,16111,정유미
61,2020-01-15 20:02:03,352,10,16110,정유미
62,2020-01-15 17:23:47,611,37,16109,정유미
63,2020-01-15 15:56:07,543,31,16108,정유미
64,2020-01-14 18:06:41,618,27,16107,정유미
65,2020-01-13 23:05:37,610,34,16106,정유미
66,2020-01-13 19:23:19,295,13,16104,정유미
67,2020-01-13 15:41:28,273,13,16103,정유미
68,2020-01-12 12:43:10,377,12,16102,정유미
69,2020-01-12 00:12:44,554,25,16101,정유미
70,2020-01-10 22:53:29,373,5,16100,정유미
71,2020-01-10 16:47:47,311,15,16099,정유미
72,2020-01-09 17:49:39,800,14,16098,정유미
73,2020-01-09 13:11:42,898,37,16097,정유미
74,2020-01-09 08:52:13,264,12,16096,정유미
75,2020-01-08 21:08:33,336,5,16095,정유미
76,2020-01-08 08:55:10,257,7,16094,정유미
77,2020-01-08 08:40:20,275,8,16093,정유미
78,2020-01-06 14:44:22,684,26,16092,정유미
79,2020-01-05 22:30:37,635,27,16091,정유미
80,2020-01-05 17:15:12,400,10,16090,정유미
81,2020-01-04 23:57:31,470,17,16089,정유미
82,2020-01-04 18:08:07,431,4,16087,정유미
83,2020-01-04 14:28:49,649,13,16086,정유미
84,2020-01-03 12:03:18,730,22,16085,정유미
85,2020-01-01 09:11:15,260,2,16084,정유미
86,2019-12-31 19:07:33,419,7,16083,정유미
87,2019-12-30 16:29:59,253,6,16082,정유미
88,2019-12-30 13:25:14,578,13,16081,정유미
89,2019-12-30 10:45:41,534,11,16080,정유미
90,2019-12-29 11:21:41,221,8,16078,정유미
91,2019-12-29 11:18:22,190,7,16077,정유미
92,2019-12-27 22:44:02,270,7,16076,정유미
93,2019-12-27 18:07:47,298,11,16075,정유미
94,2019-12-27 14:43:07,590,27,16074,정유미
95,2019-12-27 14:40:51,176,6,16073,정유미
96,2019-12-27 09:58:14,185,6,16072,정유미
97,2019-12-26 14:52:00,163,6,16070,정유미
98,2019-12-25 18:42:40,1042,21,16069,정유미
99,2019-12-25 18:38:25,484,12,16068,정유미
100,2019-12-23 22:15:32,299,13,16067,정유미
101,2019-12-23 21:43:54,204,10,16066,정유미
102,2019-12-23 21:34:59,262,11,16065,정유미
103,2019-12-22 01:01:40,566,1,16064,정유미
104,2019-12-21 10:07:28,375,10,16063,정유미
105,2019-12-18 18:20:01,360,12,16062,정유미
106,2019-12-18 12:06:13,326,11,16061,정유미
107,2019-12-18 11:49:03,276,9,16060,정유미
