,date,views,recommend,number,singer
0,2014-12-31 23:56:45,16888,105,공지,제국의 아이들
1,2014-08-08 02:21:35,29410,172,공지,제국의 아이들
2,2014-06-17 12:36:44,20827,235,공지,제국의 아이들
3,2020-05-07 18:24:25,15,1,507477,제국의 아이들
4,2020-05-07 18:15:25,33,6,507476,제국의 아이들
5,2020-05-05 20:17:24,87,2,507473,제국의 아이들
6,2020-05-05 18:56:42,114,10,507472,제국의 아이들
7,2020-05-05 17:19:10,56,0,507471,제국의 아이들
8,2020-05-05 00:01:53,63,4,507470,제국의 아이들
9,2020-05-03 17:56:33,275,20,507469,제국의 아이들
10,2020-05-03 05:10:14,420,39,507467,제국의 아이들
11,2020-05-02 00:41:05,476,21,507466,제국의 아이들
12,2020-04-29 13:43:09,219,12,507465,제국의 아이들
13,2020-04-29 01:09:05,440,15,507464,제국의 아이들
14,2020-04-28 00:52:24,324,18,507463,제국의 아이들
15,2020-04-27 17:21:58,483,17,507462,제국의 아이들
16,2020-04-27 13:48:51,837,80,507461,제국의 아이들
17,2020-04-26 23:20:02,415,21,507460,제국의 아이들
18,2020-04-25 13:23:20,754,19,507459,제국의 아이들
19,2020-04-24 14:18:18,499,28,507457,제국의 아이들
20,2020-04-21 15:55:07,553,20,507456,제국의 아이들
21,2020-04-20 20:17:59,453,18,507455,제국의 아이들
22,2020-04-18 16:47:48,680,36,507453,제국의 아이들
23,2020-04-18 15:08:20,125,0,507452,제국의 아이들
24,2020-04-18 14:34:07,267,25,507451,제국의 아이들
25,2020-04-18 04:21:36,285,3,507450,제국의 아이들
26,2020-04-15 17:59:07,68,0,507448,제국의 아이들
27,2020-04-15 13:42:40,233,13,507447,제국의 아이들
28,2020-04-14 22:36:30,118,5,507446,제국의 아이들
29,2020-04-12 20:10:02,375,10,507443,제국의 아이들
30,2020-04-12 12:57:20,443,27,507442,제국의 아이들
31,2020-04-08 10:33:26,227,19,507441,제국의 아이들
32,2020-04-03 17:37:28,267,2,507440,제국의 아이들
33,2020-04-01 20:55:29,312,39,507439,제국의 아이들
34,2020-04-01 19:15:06,216,36,507438,제국의 아이들
35,2020-04-01 19:08:38,291,36,507437,제국의 아이들
36,2020-03-30 23:30:58,327,3,507435,제국의 아이들
37,2020-03-30 23:30:24,124,1,507434,제국의 아이들
38,2020-03-28 19:55:22,52,0,507433,제국의 아이들
39,2020-03-27 23:36:06,48,0,507432,제국의 아이들
40,2020-03-27 23:35:06,83,0,507431,제국의 아이들
41,2020-03-27 23:34:25,40,0,507429,제국의 아이들
42,2020-03-27 23:33:44,41,0,507428,제국의 아이들
43,2020-03-27 23:28:13,56,0,507427,제국의 아이들
44,2020-03-27 23:24:26,258,0,507426,제국의 아이들
45,2020-03-27 23:22:36,55,0,507425,제국의 아이들
46,2020-03-27 23:20:10,116,0,507424,제국의 아이들
47,2020-03-27 23:10:42,54,0,507423,제국의 아이들
48,2020-03-27 23:10:08,38,0,507422,제국의 아이들
49,2020-03-27 23:03:35,56,0,507421,제국의 아이들
50,2020-03-27 23:03:08,50,0,507420,제국의 아이들
51,2020-03-27 23:02:22,46,0,507419,제국의 아이들
52,2020-03-27 23:00:05,36,0,507418,제국의 아이들
53,2020-03-27 22:56:55,49,0,507417,제국의 아이들
54,2020-03-27 22:56:37,68,0,507416,제국의 아이들
55,2020-03-27 22:56:10,38,0,507415,제국의 아이들
56,2020-03-27 22:55:37,49,0,507414,제국의 아이들
57,2020-03-27 22:54:46,36,0,507413,제국의 아이들
58,2020-03-27 22:54:29,54,0,507412,제국의 아이들
59,2020-03-27 20:33:53,173,0,507411,제국의 아이들
60,2020-03-27 20:31:39,185,0,507410,제국의 아이들
61,2020-03-27 20:29:00,56,0,507409,제국의 아이들
62,2020-03-27 20:28:14,60,0,507408,제국의 아이들
63,2020-03-27 20:27:13,115,0,507407,제국의 아이들
64,2020-03-27 14:40:57,81,0,507406,제국의 아이들
65,2020-03-26 19:51:46,261,12,507405,제국의 아이들
66,2020-03-26 19:38:09,342,6,507404,제국의 아이들
67,2020-03-26 19:32:50,668,21,507403,제국의 아이들
68,2020-03-25 23:45:34,66,1,507401,제국의 아이들
69,2020-03-25 23:37:44,92,2,507400,제국의 아이들
70,2020-03-25 23:14:17,40,0,507399,제국의 아이들
71,2020-03-25 19:49:09,28,0,507398,제국의 아이들
72,2020-03-25 15:47:26,44,0,507397,제국의 아이들
73,2020-03-25 15:45:47,31,0,507396,제국의 아이들
74,2020-03-25 15:44:30,32,0,507395,제국의 아이들
