,date,views,recommend,number,singer
0,2015-03-29 11:22:16,3382,23,공지,조재현
1,2019-08-09 08:29:07,419,1,2995,조재현
2,2019-02-05 23:00:36,1283,6,2990,조재현
3,2019-01-30 00:41:13,540,0,2989,조재현
4,2018-12-31 21:37:43,777,6,2980,조재현
5,2018-10-06 00:04:04,1784,5,2947,조재현
6,2018-09-12 13:12:26,541,0,2916,조재현
7,2018-08-21 10:03:13,719,0,2908,조재현
8,2018-08-10 21:05:55,1293,21,2906,조재현
9,2018-08-08 18:26:58,2157,11,2905,조재현
10,2018-08-08 15:41:42,433,0,2903,조재현
11,2018-08-08 14:09:05,877,0,2901,조재현
12,2018-08-08 09:29:02,1232,6,2900,조재현
13,2018-08-07 23:55:24,829,3,2897,조재현
14,2018-08-07 23:53:02,1152,2,2896,조재현
15,2018-06-21 16:51:21,1591,0,2814,조재현
16,2018-06-21 10:51:39,867,2,2813,조재현
17,2018-06-21 02:16:54,2229,15,2810,조재현
18,2018-06-20 19:25:29,752,0,2809,조재현
19,2018-06-20 18:30:11,829,0,2808,조재현
20,2018-06-20 18:01:23,1569,14,2807,조재현
21,2018-06-20 16:31:42,4191,2,2806,조재현
22,2018-06-20 16:29:09,577,0,2805,조재현
23,2018-06-14 02:32:24,721,0,2802,조재현
24,2018-05-17 09:22:03,529,1,2801,조재현
25,2018-04-06 03:13:18,2156,7,2798,조재현
26,2018-04-04 16:17:45,1892,3,2796,조재현
27,2018-04-04 10:15:08,1254,1,2794,조재현
28,2018-04-04 09:25:11,804,1,2793,조재현
29,2018-03-23 20:10:26,2040,10,2790,조재현
30,2018-03-13 17:08:18,2628,12,2785,조재현
31,2018-03-13 00:41:55,955,12,2621,조재현
32,2018-03-12 23:35:16,1846,27,2620,조재현
33,2018-03-12 14:19:53,2628,1,2619,조재현
34,2018-03-11 17:29:40,1189,0,2618,조재현
35,2018-03-11 17:10:36,2517,11,2617,조재현
36,2018-03-11 00:36:44,692,3,2612,조재현
37,2018-03-10 22:44:40,1228,7,2611,조재현
38,2018-03-10 13:37:12,1256,20,2606,조재현
39,2018-03-10 13:23:52,845,8,2605,조재현
40,2018-03-10 10:08:50,1634,4,2603,조재현
41,2018-03-10 09:13:50,637,0,2602,조재현
42,2018-03-10 03:01:04,489,2,2600,조재현
43,2018-03-09 20:34:06,626,0,2596,조재현
44,2018-03-09 18:42:37,529,9,2595,조재현
45,2018-03-09 18:40:41,444,4,2594,조재현
46,2018-03-09 17:41:51,719,1,2593,조재현
47,2018-03-09 17:20:11,2408,34,2592,조재현
48,2018-03-09 09:28:36,238,3,2591,조재현
