,date,views,recommend,number,singer
0,2015-02-09 23:30:10,42070,873,공지,주원
1,2013-12-14 14:26:17,91585,3224,공지,주원
2,2012-10-12 16:22:40,40209,421,공지,주원
3,2020-05-06 15:48:43,223,2,320753,주원
4,2020-05-06 12:21:26,384,10,320752,주원
5,2020-05-04 22:28:31,183,0,320751,주원
6,2020-05-04 11:38:51,361,0,320750,주원
7,2020-05-04 08:13:33,334,1,320749,주원
8,2020-05-01 17:36:43,440,5,320747,주원
9,2020-04-25 10:31:35,459,0,320746,주원
10,2020-04-25 01:42:44,188,0,320745,주원
11,2020-04-21 22:25:20,613,5,320744,주원
12,2020-04-21 18:04:06,388,0,320743,주원
13,2020-04-20 20:00:34,331,0,320742,주원
14,2020-04-18 16:47:40,626,11,320741,주원
15,2020-04-17 10:03:07,788,0,320740,주원
16,2020-04-08 01:10:02,1145,23,320737,주원
17,2020-04-05 17:58:39,1206,3,320735,주원
18,2020-03-28 02:25:25,509,0,320734,주원
19,2020-03-25 19:17:20,591,4,320733,주원
20,2020-03-23 00:32:37,1003,15,320731,주원
21,2020-03-20 23:14:37,847,0,320729,주원
22,2020-03-17 22:20:59,1090,11,320723,주원
23,2020-03-13 20:48:42,1615,21,320720,주원
24,2020-03-12 10:53:39,960,9,320719,주원
25,2020-03-12 03:34:01,553,4,320718,주원
26,2020-03-12 02:40:53,595,8,320717,주원
27,2020-03-11 17:13:28,562,8,320716,주원
28,2020-03-11 17:06:05,628,10,320715,주원
29,2020-03-11 14:06:50,968,28,320714,주원
30,2020-03-10 03:24:47,411,0,320713,주원
31,2020-03-08 16:00:39,677,15,320711,주원
32,2020-03-07 21:22:13,1047,7,320710,주원
33,2020-03-07 19:47:42,501,2,320708,주원
34,2020-03-05 03:28:30,629,3,320707,주원
35,2020-03-04 18:41:23,879,5,320706,주원
36,2020-03-03 14:16:32,431,2,320704,주원
37,2020-02-29 00:31:25,448,0,320699,주원
38,2020-02-28 21:03:32,837,13,320698,주원
39,2020-02-28 09:36:57,432,5,320697,주원
40,2020-02-28 09:32:46,464,2,320696,주원
41,2020-02-27 20:04:26,503,5,320695,주원
42,2020-02-25 22:08:36,688,10,320693,주원
43,2020-02-24 16:27:44,506,5,320691,주원
44,2020-02-24 16:25:56,618,0,320690,주원
45,2020-02-24 12:56:30,312,0,320689,주원
46,2020-02-24 00:00:33,299,1,320688,주원
47,2020-02-23 18:24:23,715,0,320687,주원
48,2020-02-23 12:58:49,699,13,320686,주원
49,2020-02-22 02:45:12,462,0,320685,주원
50,2020-02-19 22:17:22,474,2,320684,주원
51,2020-02-17 22:18:21,876,29,320683,주원
52,2020-02-17 15:17:00,530,0,320682,주원
53,2020-02-14 02:55:08,1043,27,320681,주원
54,2020-02-12 17:43:24,593,0,320680,주원
55,2020-02-10 08:46:21,493,4,320679,주원
56,2020-02-10 07:05:26,311,0,320678,주원
57,2020-02-09 19:43:23,860,7,320677,주원
58,2020-02-09 16:46:55,387,0,320676,주원
59,2020-02-08 23:10:18,425,1,320675,주원
60,2020-02-08 03:01:22,406,2,320673,주원
61,2020-02-06 14:19:39,626,2,320672,주원
62,2020-02-03 22:35:17,829,9,320671,주원
63,2020-02-03 22:34:19,861,23,320670,주원
64,2020-02-02 18:59:12,916,2,320669,주원
65,2020-01-30 20:44:58,1221,10,320668,주원
66,2020-01-30 18:21:32,603,0,320667,주원
67,2020-01-30 04:16:53,924,0,320666,주원
68,2020-01-27 04:57:36,513,5,320665,주원
69,2020-01-27 00:23:32,432,0,320664,주원
70,2020-01-26 00:17:03,478,0,320663,주원
71,2020-01-25 02:06:55,419,1,320661,주원
72,2020-01-24 23:05:29,349,1,320660,주원
73,2020-01-24 22:05:40,341,0,320659,주원
74,2020-01-22 21:20:04,839,7,320657,주원
75,2020-01-20 17:31:49,731,0,320654,주원
76,2020-01-16 12:42:05,863,9,320653,주원
77,2020-01-15 22:02:49,484,0,320652,주원
78,2020-01-13 15:43:59,1190,9,320651,주원
79,2020-01-11 17:25:49,759,3,320650,주원
80,2020-01-09 07:05:56,583,0,320648,주원
81,2020-01-08 20:02:46,886,0,320647,주원
82,2020-01-08 07:29:12,645,2,320646,주원
83,2020-01-08 01:08:26,609,0,320644,주원
84,2020-01-08 01:03:53,547,0,320630,주원
85,2020-01-07 18:48:03,886,0,320629,주원
86,2020-01-07 17:23:30,924,0,320628,주원
87,2020-01-07 16:15:50,730,8,320627,주원
88,2020-01-07 10:00:05,716,0,320626,주원
89,2020-01-07 00:47:48,569,1,320625,주원
90,2020-01-06 08:10:18,937,11,320623,주원
91,2020-01-05 21:08:08,854,7,320622,주원
92,2020-01-05 00:59:12,804,11,320620,주원
93,2020-01-04 20:08:39,604,0,320618,주원
94,2020-01-04 20:07:16,627,1,320617,주원
95,2020-01-04 20:04:49,536,0,320616,주원
96,2020-01-04 19:23:36,578,0,320615,주원
97,2020-01-04 18:45:04,613,0,320614,주원
98,2020-01-04 15:29:29,518,0,320613,주원
99,2020-01-04 01:51:48,565,4,320612,주원
100,2020-01-03 20:39:48,622,0,320611,주원
101,2020-01-03 01:18:38,282,1,320610,주원
102,2020-01-03 01:18:22,474,1,320609,주원
103,2020-01-02 18:34:34,347,2,320608,주원
