,date,views,recommend,number,singer
0,2012-02-06 15:18:28,3019,30,공지,최정원
1,2012-06-12 15:52:49,1975,2,공지,최정원
2,2012-04-22 22:26:44,2586,16,공지,최정원
3,2019-11-27 19:29:19,80,1,16712,최정원
4,2019-07-23 10:28:49,161,1,16709,최정원
5,2018-04-09 14:40:07,668,2,16594,최정원
6,2017-12-29 20:42:52,374,2,16592,최정원
7,2017-12-08 22:55:29,764,2,16591,최정원
8,2017-10-02 10:31:51,952,2,16583,최정원
9,2017-09-12 23:51:51,621,0,16582,최정원
10,2017-06-03 10:48:34,818,0,16573,최정원
11,2017-05-14 01:44:24,508,3,16568,최정원
12,2017-04-14 20:14:24,467,1,16562,최정원
13,2016-12-08 19:33:38,662,1,16516,최정원
14,2016-10-27 19:07:35,1032,4,16472,최정원
15,2016-10-23 03:12:57,658,1,16463,최정원
16,2016-10-21 22:22:10,571,2,16460,최정원
17,2016-10-21 04:21:25,554,2,16458,최정원
18,2016-10-19 06:59:19,752,1,16454,최정원
19,2016-10-18 22:51:39,449,0,16452,최정원
20,2016-10-09 23:06:24,403,1,16442,최정원
21,2016-07-12 18:05:52,986,1,16395,최정원
22,2016-07-07 01:50:38,1073,1,16392,최정원
23,2016-05-19 18:48:29,820,0,16380,최정원
24,2016-03-15 02:10:45,727,1,16355,최정원
25,2016-02-27 14:00:41,27519,3,16340,최정원
26,2016-02-15 14:10:05,1163,1,16336,최정원
27,2016-02-08 03:35:05,633,1,16335,최정원
28,2016-02-04 17:25:23,781,0,16334,최정원
29,2016-02-02 20:38:36,741,0,16333,최정원
30,2016-01-17 07:13:42,684,1,16328,최정원
31,2016-01-04 03:50:45,699,0,16327,최정원
32,2015-12-25 02:39:42,723,1,16322,최정원
33,2015-12-20 02:21:19,760,0,16320,최정원
34,2015-12-17 03:44:47,786,1,16316,최정원
35,2015-12-16 21:19:20,699,1,16315,최정원
36,2015-12-16 01:07:21,703,0,16314,최정원
37,2015-11-24 10:34:07,697,4,16309,최정원
38,2015-10-26 21:02:03,477,0,16291,최정원
39,2015-09-07 23:10:22,828,1,16290,최정원
40,2015-08-11 00:16:10,729,4,16221,최정원
41,2015-07-30 10:48:11,562,0,16210,최정원
42,2015-07-29 20:31:17,988,4,16209,최정원
43,2015-07-29 20:25:35,769,3,16208,최정원
44,2015-07-29 20:23:18,767,2,16207,최정원
45,2015-07-29 20:21:15,692,2,16206,최정원
46,2015-07-29 20:19:23,730,2,16205,최정원
47,2015-07-25 14:15:54,494,0,16204,최정원
48,2015-07-04 09:15:34,503,0,16187,최정원
