,date,views,recommend,number,singer
0,2015-01-28 23:48:07,12485,62,공지,크레용팝
1,2020-05-07 14:07:54,19,0,1099813,크레용팝
2,2020-05-04 07:45:01,32,0,1099812,크레용팝
3,2020-05-04 05:22:20,26,0,1099811,크레용팝
4,2020-04-18 10:26:08,97,4,1099810,크레용팝
5,2020-04-04 21:37:00,219,20,1099807,크레용팝
6,2020-04-03 19:39:21,101,7,1099805,크레용팝
7,2020-03-30 08:38:43,255,25,1099804,크레용팝
8,2020-03-21 19:57:26,250,21,1099802,크레용팝
9,2020-03-18 21:50:22,252,21,1099800,크레용팝
10,2020-03-05 00:15:26,180,7,1099796,크레용팝
11,2020-03-02 05:17:28,205,6,1099792,크레용팝
12,2020-03-02 00:43:29,266,4,1099791,크레용팝
13,2020-03-01 20:31:27,231,0,1099790,크레용팝
14,2020-02-25 05:01:19,155,1,1099785,크레용팝
15,2020-02-23 21:45:35,276,3,1099783,크레용팝
16,2020-02-23 18:32:57,119,0,1099782,크레용팝
17,2020-02-22 19:44:58,191,0,1099780,크레용팝
18,2020-02-16 15:04:46,235,5,1099779,크레용팝
19,2020-02-12 19:37:33,250,10,1099777,크레용팝
20,2020-02-10 05:17:35,149,0,1099776,크레용팝
21,2020-02-10 05:15:39,119,0,1099775,크레용팝
22,2020-02-09 20:23:25,228,10,1099773,크레용팝
23,2020-02-09 19:13:52,457,23,1099772,크레용팝
24,2020-02-06 22:59:55,336,9,1099771,크레용팝
25,2020-02-02 20:33:57,163,0,1099769,크레용팝
26,2020-02-02 20:19:21,215,4,1099768,크레용팝
27,2020-02-02 11:34:19,269,4,1099767,크레용팝
28,2020-02-01 03:13:41,181,5,1099766,크레용팝
29,2020-01-31 23:52:05,297,15,1099765,크레용팝
30,2020-01-28 20:18:49,156,0,1099764,크레용팝
31,2020-01-27 03:37:56,290,6,1099763,크레용팝
32,2020-01-24 21:11:43,179,9,1099762,크레용팝
33,2020-01-19 13:59:41,137,0,1099761,크레용팝
34,2020-01-18 21:04:16,298,1,1099760,크레용팝
35,2020-01-18 17:55:22,230,10,1099759,크레용팝
36,2020-01-18 17:19:12,141,4,1099758,크레용팝
37,2020-01-18 17:15:54,174,5,1099757,크레용팝
38,2020-01-18 09:14:40,204,5,1099756,크레용팝
39,2020-01-16 20:24:29,206,0,1099754,크레용팝
40,2020-01-15 15:34:49,107,0,1099751,크레용팝
41,2020-01-09 04:11:03,230,0,1099748,크레용팝
42,2020-01-08 00:18:59,265,14,1099746,크레용팝
43,2020-01-03 07:55:22,345,4,1099743,크레용팝
44,2020-01-02 05:58:58,390,7,1099742,크레용팝
45,2020-01-01 18:27:10,223,4,1099741,크레용팝
46,2019-12-31 09:58:17,233,1,1099740,크레용팝
47,2019-12-28 23:51:33,222,10,1099737,크레용팝
48,2019-12-28 22:49:01,967,23,1099736,크레용팝
49,2019-12-25 21:00:24,329,8,1099735,크레용팝
50,2019-12-25 12:42:20,272,10,1099734,크레용팝
51,2019-12-25 05:11:49,157,5,1099733,크레용팝
52,2019-12-24 13:41:24,300,9,1099732,크레용팝
53,2019-12-23 09:41:03,282,11,1099729,크레용팝
54,2019-12-22 23:38:42,335,6,1099728,크레용팝
55,2019-12-22 22:40:02,252,0,1099727,크레용팝
56,2019-12-22 10:46:47,308,1,1099726,크레용팝
57,2019-12-20 15:42:29,138,0,1099725,크레용팝
58,2019-12-11 14:25:41,241,0,1099720,크레용팝
59,2019-11-27 19:17:25,111,0,1099718,크레용팝
60,2019-11-26 21:58:51,169,1,1099717,크레용팝
61,2019-11-22 02:16:18,274,8,1099716,크레용팝
62,2019-11-21 19:42:08,221,0,1099715,크레용팝
63,2019-11-16 16:50:06,297,1,1099713,크레용팝
64,2019-11-13 03:19:08,404,1,1099711,크레용팝
65,2019-11-11 17:05:04,934,18,1099710,크레용팝
66,2019-11-11 09:03:28,339,0,1099709,크레용팝
67,2019-11-10 08:52:31,322,0,1099708,크레용팝
68,2019-11-09 23:14:51,454,2,1099707,크레용팝
69,2019-11-09 23:12:18,348,3,1099706,크레용팝
70,2019-11-09 20:03:55,385,0,1099705,크레용팝
71,2019-11-09 19:37:08,480,1,1099704,크레용팝
72,2019-11-09 19:35:47,256,0,1099703,크레용팝
73,2019-11-09 14:20:26,344,4,1099702,크레용팝
74,2019-11-08 23:44:11,272,2,1099701,크레용팝
75,2019-11-08 20:21:41,251,2,1099697,크레용팝
76,2019-11-08 16:19:11,468,2,1099696,크레용팝
77,2019-11-08 14:54:21,258,1,1099695,크레용팝
78,2019-11-08 12:19:45,297,3,1099694,크레용팝
79,2019-11-08 07:17:58,211,0,1099693,크레용팝
80,2019-11-06 03:24:22,286,1,1099691,크레용팝
81,2019-11-05 12:17:38,230,9,1099690,크레용팝
82,2019-11-05 02:10:52,531,6,1099689,크레용팝
83,2019-11-04 21:13:17,859,18,1099687,크레용팝
84,2019-11-04 09:55:43,871,6,1099685,크레용팝
85,2019-11-03 21:59:38,978,35,1099684,크레용팝
86,2019-11-03 21:58:46,357,16,1099683,크레용팝
87,2019-11-03 19:49:35,307,1,1099682,크레용팝
88,2019-11-03 17:16:22,355,14,1099681,크레용팝
89,2019-11-03 16:22:32,313,8,1099680,크레용팝
90,2019-11-03 08:39:27,200,5,1099679,크레용팝
91,2019-11-02 23:45:01,356,0,1099678,크레용팝
92,2019-11-02 23:33:12,413,2,1099677,크레용팝
93,2019-11-02 23:31:51,103,0,1099676,크레용팝
94,2019-11-02 20:08:15,196,1,1099675,크레용팝
95,2019-11-02 18:13:13,270,8,1099674,크레용팝
96,2019-11-02 14:45:10,170,0,1099673,크레용팝
97,2019-11-02 14:02:17,221,0,1099672,크레용팝
98,2019-11-02 14:01:05,459,3,1099671,크레용팝
99,2019-11-02 10:38:02,2034,33,1099667,크레용팝
100,2019-11-02 10:00:11,359,1,1099666,크레용팝
101,2019-11-01 16:20:34,1013,47,1099665,크레용팝
102,2019-10-23 22:06:28,239,0,1099662,크레용팝
103,2019-10-20 20:59:45,188,5,1099661,크레용팝
104,2019-10-17 15:57:44,95,3,1099660,크레용팝
105,2019-10-15 21:13:54,275,0,1099659,크레용팝
106,2019-10-15 18:47:09,65,1,1099658,크레용팝
107,2019-10-10 01:07:14,132,0,1099655,크레용팝
108,2019-10-09 17:14:50,71,1,1099654,크레용팝
109,2019-10-08 20:45:46,71,1,1099653,크레용팝
110,2019-10-08 13:03:04,78,1,1099652,크레용팝
111,2019-10-08 00:08:02,187,0,1099651,크레용팝
112,2019-09-25 14:16:43,92,1,1099649,크레용팝
113,2019-09-03 01:59:29,198,10,1099587,크레용팝
114,2019-08-28 16:04:11,361,7,1099579,크레용팝
115,2019-08-13 19:06:10,299,2,1099563,크레용팝
116,2019-08-11 18:31:08,280,2,1099561,크레용팝
117,2019-08-09 17:02:17,536,3,1099560,크레용팝
118,2019-08-04 18:52:00,494,0,1099554,크레용팝
119,2019-07-30 20:37:06,423,0,1099550,크레용팝
120,2019-07-10 01:22:44,387,0,1099546,크레용팝
121,2019-07-04 14:04:05,538,1,1099544,크레용팝
122,2019-06-27 13:16:33,757,3,1099539,크레용팝
123,2019-06-23 23:38:11,1012,3,1099538,크레용팝
124,2019-06-22 09:34:20,229,0,1099535,크레용팝
125,2019-06-22 09:33:50,186,0,1099534,크레용팝
126,2019-06-22 09:33:16,167,0,1099533,크레용팝
127,2019-06-22 09:33:01,156,0,1099532,크레용팝
128,2019-06-22 09:32:43,209,0,1099531,크레용팝
129,2019-06-21 22:04:26,660,4,1099527,크레용팝
130,2019-06-21 21:21:15,313,0,1099526,크레용팝
131,2019-06-13 18:36:19,199,0,1099479,크레용팝
132,2019-06-11 18:46:53,400,1,1099466,크레용팝
133,2019-06-10 14:34:40,888,1,1099447,크레용팝
134,2019-06-10 14:32:25,582,2,1099446,크레용팝
135,2019-06-09 22:21:52,438,5,1099445,크레용팝
136,2019-06-09 19:43:12,606,4,1099438,크레용팝
137,2019-06-09 18:49:05,624,2,1099434,크레용팝
138,2019-06-03 18:57:34,448,7,1099409,크레용팝
139,2019-06-03 14:41:54,620,7,1099404,크레용팝
140,2019-06-02 19:47:21,398,0,1099399,크레용팝
141,2019-06-02 19:46:14,637,4,1099398,크레용팝
142,2019-05-20 04:45:04,356,0,1099336,크레용팝
143,2019-05-17 18:27:06,456,1,1099316,크레용팝
144,2019-05-15 17:18:33,436,0,1099313,크레용팝
145,2019-05-10 16:30:08,479,3,1099294,크레용팝
146,2019-05-01 07:11:25,434,2,1099280,크레용팝
147,2019-04-18 03:05:06,456,0,1099244,크레용팝
148,2019-04-15 00:11:07,1062,5,1099238,크레용팝
149,2019-04-14 18:44:23,452,0,1099237,크레용팝
150,2019-04-08 21:39:23,627,11,1099221,크레용팝
151,2019-04-04 15:20:14,447,1,1099208,크레용팝
152,2019-03-31 14:50:09,5063,0,1099204,크레용팝
153,2019-03-31 14:48:31,3937,0,1099203,크레용팝
154,2019-03-31 14:18:54,5490,0,1099202,크레용팝
155,2019-03-22 19:16:20,370,3,1099178,크레용팝
