,date,views,recommend,number,singer
0,2013-06-23 00:27:47,3916,16,공지,톡식
1,2020-05-05 23:28:58,9,0,9367,톡식
2,2020-04-17 00:19:24,42,0,9365,톡식
3,2020-04-08 10:11:04,44,1,9364,톡식
4,2020-03-05 20:12:04,112,0,9357,톡식
5,2020-02-27 17:08:23,70,0,9353,톡식
6,2019-12-16 01:56:53,158,0,9349,톡식
7,2019-11-27 19:22:37,99,0,9348,톡식
8,2019-11-10 18:58:23,115,0,9346,톡식
9,2019-10-18 09:40:32,109,0,9344,톡식
10,2019-10-16 10:05:30,114,0,9343,톡식
11,2019-10-15 00:59:31,134,0,9342,톡식
12,2019-10-14 22:13:55,103,0,9341,톡식
13,2019-10-11 22:59:15,114,0,9340,톡식
14,2019-10-03 05:56:25,255,0,9339,톡식
15,2019-09-30 00:44:57,137,0,9338,톡식
16,2019-09-28 13:34:26,124,0,9336,톡식
17,2019-09-27 12:25:32,125,0,9335,톡식
18,2019-09-23 01:30:50,312,3,9334,톡식
19,2019-09-16 12:05:58,140,0,9333,톡식
20,2019-09-13 04:12:39,142,0,9332,톡식
21,2019-09-09 09:31:25,146,0,9331,톡식
22,2019-09-09 04:17:09,139,0,9330,톡식
23,2019-09-01 03:50:44,150,0,9327,톡식
24,2019-08-29 00:46:11,148,0,9323,톡식
25,2019-08-27 22:18:36,143,0,9322,톡식
26,2019-08-26 12:08:21,144,0,9321,톡식
27,2019-08-26 12:08:07,141,0,9320,톡식
28,2019-08-25 18:56:08,143,0,9319,톡식
29,2019-08-24 20:17:24,149,0,9318,톡식
30,2019-08-24 08:24:52,147,0,9317,톡식
31,2019-08-23 13:45:26,148,0,9316,톡식
32,2019-07-05 18:18:48,192,0,9315,톡식
33,2019-06-18 12:36:32,554,0,9314,톡식
34,2019-06-17 08:38:08,170,0,9313,톡식
35,2019-06-01 19:25:44,182,0,9312,톡식
36,2019-05-31 01:45:48,186,0,9311,톡식
37,2019-05-28 08:43:38,174,0,9310,톡식
38,2019-04-15 19:10:08,210,0,9307,톡식
39,2019-04-12 08:40:07,306,0,9306,톡식
40,2019-01-27 22:20:42,228,0,9288,톡식
41,2018-12-21 16:14:50,252,0,9277,톡식
42,2018-12-19 19:37:01,295,0,9276,톡식
43,2018-08-15 18:34:40,314,0,9211,톡식
44,2018-08-12 23:11:10,309,0,9210,톡식
45,2018-08-04 23:30:31,301,0,9209,톡식
46,2018-07-27 23:01:18,315,0,9208,톡식
47,2018-07-26 22:09:59,309,0,9206,톡식
48,2018-07-18 00:56:12,415,0,9184,톡식
49,2018-07-10 00:25:56,898,0,9173,톡식
50,2018-07-07 03:34:23,310,0,9166,톡식
51,2018-07-05 02:26:18,321,0,9154,톡식
52,2018-06-28 01:51:39,305,0,9140,톡식
53,2018-06-23 00:40:57,276,0,9129,톡식
54,2018-06-20 22:38:32,246,0,9128,톡식
55,2018-06-20 00:46:22,218,0,9127,톡식
56,2018-06-17 20:11:32,243,0,9126,톡식
57,2018-06-16 01:20:01,227,0,9125,톡식
58,2018-06-09 21:43:33,202,0,9124,톡식
59,2018-06-07 00:27:03,219,0,9123,톡식
60,2018-06-04 01:54:15,216,0,9122,톡식
61,2018-05-31 14:38:11,440,0,9120,톡식
62,2018-05-28 02:32:10,208,0,9119,톡식
63,2018-05-26 21:52:33,224,0,9118,톡식
64,2018-05-22 13:38:37,228,0,9116,톡식
65,2018-05-19 20:37:19,196,0,9115,톡식
66,2018-05-18 01:30:18,183,0,9114,톡식
67,2018-05-13 18:12:03,183,0,9113,톡식
68,2018-05-12 13:21:21,184,0,9112,톡식
69,2018-05-11 06:42:08,185,0,9111,톡식
70,2018-05-09 18:53:21,172,0,9110,톡식
71,2018-05-08 23:51:49,158,0,9109,톡식
72,2018-05-08 23:48:03,210,0,9108,톡식
73,2018-05-08 23:47:02,165,0,9107,톡식
74,2018-05-08 23:44:29,180,0,9106,톡식
75,2018-05-08 23:42:15,163,0,9105,톡식
76,2018-05-08 23:41:51,127,0,9104,톡식
77,2018-05-08 23:41:18,128,0,9103,톡식
78,2018-05-08 23:40:14,127,0,9102,톡식
79,2018-05-03 22:12:49,118,0,9100,톡식
80,2018-05-02 10:30:12,122,0,9099,톡식
81,2018-04-29 20:25:53,110,0,9098,톡식
82,2018-04-26 01:38:13,114,0,9097,톡식
83,2018-04-20 23:09:18,109,0,9096,톡식
84,2018-04-18 22:22:42,132,0,9095,톡식
85,2018-04-17 23:32:12,94,0,9094,톡식
86,2018-04-13 22:21:50,84,0,9093,톡식
87,2018-04-12 02:05:51,74,0,9092,톡식
88,2018-04-05 21:44:41,115,0,9091,톡식
89,2018-04-04 22:43:30,85,0,9090,톡식
90,2018-04-04 01:45:56,77,0,9089,톡식
91,2018-04-02 01:46:10,67,0,9088,톡식
92,2018-04-01 05:43:32,98,0,9087,톡식
93,2018-03-30 01:26:19,139,0,9086,톡식
94,2018-03-29 03:53:27,78,0,9085,톡식
95,2018-03-28 01:56:35,98,0,9084,톡식
96,2018-03-24 19:05:54,67,0,9051,톡식
97,2018-03-22 15:07:51,111,0,9050,톡식
98,2018-03-20 18:46:28,78,0,9049,톡식
