,date,views,recommend,number,singer
0,2020-04-15 20:17:17,51,0,268031,포미닛
1,2020-02-24 03:24:30,123,1,268022,포미닛
2,2020-01-31 19:59:37,207,0,268017,포미닛
3,2020-01-27 04:59:26,338,1,268016,포미닛
4,2020-01-21 15:29:49,172,0,268015,포미닛
5,2020-01-14 02:28:49,160,0,268014,포미닛
6,2019-11-27 19:27:44,153,1,268009,포미닛
7,2019-11-16 20:29:27,197,0,268007,포미닛
8,2019-11-05 16:16:31,325,0,268004,포미닛
9,2019-09-21 21:52:13,554,9,268001,포미닛
10,2019-08-21 00:17:25,321,0,267999,포미닛
11,2019-08-11 21:57:59,609,1,267998,포미닛
12,2019-08-02 19:06:38,373,0,267997,포미닛
13,2019-08-02 14:37:22,490,15,267996,포미닛
14,2019-07-07 14:36:55,723,11,267994,포미닛
15,2019-07-03 00:28:07,407,0,267993,포미닛
16,2019-07-02 21:41:01,365,0,267992,포미닛
17,2019-06-22 13:46:36,494,0,267991,포미닛
18,2019-06-18 10:24:08,433,1,267990,포미닛
19,2019-06-16 20:07:16,389,1,267989,포미닛
20,2019-06-11 22:28:11,312,0,267988,포미닛
21,2019-05-13 23:05:08,823,1,267986,포미닛
22,2019-05-07 21:06:41,302,0,267985,포미닛
23,2019-05-05 13:22:34,542,1,267984,포미닛
24,2019-04-30 16:53:52,524,0,267983,포미닛
25,2019-03-24 22:15:20,432,0,267981,포미닛
26,2019-03-24 15:14:39,730,14,267980,포미닛
27,2019-03-22 13:17:27,709,2,267979,포미닛
28,2019-02-12 13:05:12,461,1,267978,포미닛
29,2019-02-10 15:19:57,611,0,267977,포미닛
30,2019-02-05 12:19:10,584,0,267976,포미닛
31,2019-02-05 12:18:28,334,0,267975,포미닛
32,2019-02-04 11:54:49,332,0,267974,포미닛
33,2019-02-03 09:54:00,633,1,267973,포미닛
34,2019-01-29 20:41:58,348,0,267972,포미닛
35,2019-01-20 22:19:31,446,0,267951,포미닛
36,2019-01-20 12:17:39,363,2,267949,포미닛
37,2019-01-13 09:25:38,628,0,267948,포미닛
38,2019-01-08 21:15:26,458,1,267947,포미닛
39,2019-01-04 16:34:24,381,0,267946,포미닛
