,date,views,recommend,number,singer
0,2015-08-04 02:24:04,31410,1731,공지,하정우
1,2020-05-08 01:12:49,2,0,175779,하정우
2,2020-05-08 01:01:37,3,0,175778,하정우
3,2020-05-08 00:33:31,9,0,175767,하정우
4,2020-05-05 09:36:49,390,5,175625,하정우
5,2020-04-22 17:08:06,966,2,175432,하정우
6,2020-04-22 12:08:47,657,5,175416,하정우
7,2020-04-21 11:21:37,1931,14,175352,하정우
8,2020-04-20 20:02:08,1201,6,175310,하정우
9,2020-04-20 19:54:48,321,0,175309,하정우
10,2020-04-20 19:19:17,1094,15,175308,하정우
11,2020-04-20 19:06:01,627,3,175305,하정우
12,2020-04-20 18:09:20,861,15,175301,하정우
13,2020-04-20 17:19:32,1113,0,175298,하정우
14,2020-04-20 16:32:17,490,2,175295,하정우
15,2020-04-20 14:43:58,1398,18,175284,하정우
16,2020-04-20 14:11:20,814,5,175282,하정우
17,2020-04-20 14:08:43,1000,16,175281,하정우
18,2020-04-20 14:05:51,435,7,175280,하정우
19,2020-04-20 12:43:27,873,3,175275,하정우
20,2020-04-20 12:22:11,487,1,175269,하정우
21,2020-04-18 19:00:45,556,9,175232,하정우
22,2020-04-01 22:46:21,887,0,174737,하정우
23,2020-03-17 16:08:13,988,0,174418,하정우
24,2020-03-17 15:06:51,1272,1,174416,하정우
25,2020-03-12 16:28:34,2967,1,174386,하정우
26,2020-03-07 23:21:57,2604,8,173989,하정우
27,2020-03-03 18:51:26,481,4,173754,하정우
28,2020-03-02 13:07:37,2184,1,173699,하정우
29,2020-03-02 13:06:03,1909,0,173697,하정우
30,2020-03-02 13:03:33,1514,3,173696,하정우
31,2020-03-02 13:02:44,1299,1,173695,하정우
32,2020-02-29 19:30:59,2169,8,173630,하정우
33,2020-02-28 23:51:09,889,7,173606,하정우
34,2020-02-25 22:22:31,1209,1,173425,하정우
35,2020-02-25 11:13:00,4938,40,173422,하정우
36,2020-02-24 23:08:00,1347,2,173392,하정우
37,2020-02-22 17:23:29,1339,2,173241,하정우
38,2020-02-22 11:16:05,802,0,173177,하정우
39,2020-02-21 20:38:49,3700,72,173137,하정우
40,2020-02-21 17:08:58,1753,3,173122,하정우
41,2020-02-21 14:46:08,3226,38,173099,하정우
42,2020-02-19 21:04:53,2818,62,172905,하정우
43,2020-02-19 20:20:24,4499,88,172893,하정우
44,2020-02-19 20:16:57,417,7,172892,하정우
45,2020-02-19 19:04:06,746,1,172869,하정우
46,2020-02-19 18:40:33,565,1,172863,하정우
47,2020-02-19 17:08:25,3129,77,172853,하정우
48,2020-02-19 14:06:54,864,10,172840,하정우
49,2020-02-19 12:16:36,1210,1,172825,하정우
50,2020-02-19 12:10:58,892,5,172824,하정우
51,2020-02-19 11:14:29,623,13,172820,하정우
52,2020-02-19 11:08:05,1364,0,172819,하정우
53,2020-02-19 08:53:57,1643,6,172811,하정우
54,2020-02-19 07:01:43,2614,69,172810,하정우
55,2020-02-19 06:54:48,1155,5,172808,하정우
56,2020-02-19 03:57:13,1555,1,172799,하정우
57,2020-02-19 02:54:26,908,19,172795,하정우
58,2020-02-19 02:40:17,467,24,172791,하정우
59,2020-02-19 01:11:50,2216,42,172785,하정우
60,2020-02-19 00:54:22,2052,29,172783,하정우
61,2020-02-18 23:50:35,3659,116,172778,하정우
62,2020-02-18 23:00:08,1105,2,172774,하정우
63,2020-02-18 22:58:58,456,9,172773,하정우
64,2020-02-18 22:11:18,1485,18,172766,하정우
65,2020-02-18 22:09:47,570,12,172765,하정우
66,2020-02-18 19:36:48,788,2,172727,하정우
67,2020-02-18 19:25:03,910,12,172725,하정우
68,2020-02-18 19:16:06,761,12,172723,하정우
69,2020-02-18 18:44:17,318,7,172710,하정우
70,2020-02-18 18:37:29,471,0,172709,하정우
71,2020-02-18 18:36:05,1078,19,172707,하정우
72,2020-02-18 18:22:04,957,5,172703,하정우
