,date,views,recommend,number,singer
0,2010-09-29 17:49:00,16842,37,공지,효연
1,2020-05-06 08:26:41,40,0,87070,효연
2,2020-05-04 21:22:43,9,0,87069,효연
3,2020-05-03 23:45:39,40,0,87068,효연
4,2020-05-03 21:22:44,8,0,87067,효연
5,2020-05-03 10:24:49,10,0,87066,효연
6,2020-05-02 00:32:24,84,11,87065,효연
7,2020-05-01 12:32:38,49,0,87064,효연
8,2020-05-01 09:22:05,16,0,87063,효연
9,2020-05-01 09:21:39,15,0,87062,효연
10,2020-04-30 21:22:02,19,0,87061,효연
11,2020-04-30 09:22:12,18,0,87060,효연
12,2020-04-30 03:16:45,33,0,87059,효연
13,2020-04-29 21:22:23,16,0,87058,효연
14,2020-04-29 08:29:40,67,0,87057,효연
15,2020-04-28 09:22:03,20,0,87056,효연
16,2020-04-28 08:22:38,53,0,87055,효연
17,2020-04-27 11:40:53,41,0,87052,효연
18,2020-04-24 08:46:11,64,0,87051,효연
19,2020-04-23 16:52:52,116,8,87050,효연
20,2020-04-22 13:23:06,115,9,87049,효연
21,2020-04-22 08:54:57,33,0,87048,효연
22,2020-04-21 08:26:48,83,1,87047,효연
23,2020-04-20 21:22:15,35,0,87046,효연
24,2020-04-20 07:54:48,40,0,87045,효연
25,2020-04-19 21:22:21,37,0,87044,효연
26,2020-04-18 10:01:54,42,0,87043,효연
27,2020-04-17 21:22:00,35,0,87042,효연
28,2020-04-17 09:04:30,79,2,87041,효연
29,2020-04-14 08:46:19,125,1,87040,효연
30,2020-04-13 19:55:49,52,0,87039,효연
31,2020-04-13 05:59:38,48,0,87038,효연
32,2020-04-12 21:23:32,118,14,87037,효연
33,2020-04-12 21:22:29,45,0,87036,효연
34,2020-04-12 09:19:15,84,1,87035,효연
35,2020-04-12 00:11:30,116,12,87034,효연
36,2020-04-11 21:22:12,45,0,87033,효연
37,2020-04-11 20:58:58,54,0,87032,효연
38,2020-04-11 11:24:47,49,0,87031,효연
39,2020-04-11 09:22:34,43,0,87030,효연
40,2020-04-11 08:09:10,88,5,87029,효연
41,2020-04-09 07:53:47,54,0,87027,효연
42,2020-04-08 21:22:02,55,0,87026,효연
43,2020-04-08 09:22:24,51,0,87025,효연
44,2020-04-08 08:08:07,50,0,87024,효연
45,2020-04-07 21:22:00,46,0,87023,효연
46,2020-04-05 09:11:19,46,0,87022,효연
47,2020-04-04 21:22:06,41,0,87021,효연
48,2020-04-03 09:22:14,45,0,87020,효연
49,2020-04-02 07:55:56,43,0,87019,효연
50,2020-04-01 23:28:13,88,0,87018,효연
51,2020-03-31 08:10:08,54,0,87017,효연
52,2020-03-30 07:46:29,53,0,87016,효연
53,2020-03-28 22:03:12,56,0,87015,효연
54,2020-03-28 21:59:34,119,12,87014,효연
55,2020-03-27 21:22:19,56,0,87013,효연
56,2020-03-27 09:47:42,63,0,87012,효연
57,2020-03-26 21:22:04,63,0,87011,효연
58,2020-03-26 10:16:50,59,0,87010,효연
59,2020-03-25 21:22:11,59,0,87009,효연
60,2020-03-25 09:06:15,61,0,87007,효연
61,2020-03-24 17:22:54,96,2,87006,효연
62,2020-03-24 09:22:08,54,0,87005,효연
63,2020-03-23 23:05:57,77,0,87004,효연
64,2020-03-23 09:38:44,63,0,87003,효연
65,2020-03-23 09:38:36,74,0,87002,효연
66,2020-03-22 14:17:48,117,2,87001,효연
67,2020-03-22 09:28:04,57,0,87000,효연
