"","X1","artist","name","previous_song_rank","rank_g","year","month","day","sex","song_type","genre","runtime","active_type","top_freq","gg_score","nv_score","ndc_t_numb","ndc_t_rec","ndc_t_view","season","you_rank","조회수","previous_song_rank_g","you_rank_g"
"1",0,"(여자)아이들","LATATA",200,4,18,5,6,"female","K_POP","댄스",203,"Group",24,59,64.3,0,0,0,"spring",4,19600000,10,1
"2",1,"(여자)아이들","LATATA",200,2,18,5,13,"female","K_POP","댄스",203,"Group",24,59,34.9,0,0,0,"spring",100,0,10,10
"3",2,"(여자)아이들","LATATA",200,2,18,5,20,"female","K_POP","댄스",203,"Group",24,23,38.1,0,0,0,"spring",100,0,10,10
"4",3,"(여자)아이들","LATATA",200,2,18,5,27,"female","K_POP","댄스",203,"Group",24,40,23.2,0,0,0,"spring",100,0,10,10
"5",4,"(여자)아이들","LATATA",200,2,18,6,3,"female","K_POP","댄스",203,"Group",24,60,30.3,0,0,0,"summer",100,0,10,10
"6",5,"(여자)아이들","LATATA",200,2,18,6,10,"female","K_POP","댄스",203,"Group",24,46,19.2,0,0,0,"summer",100,0,10,10
"7",6,"(여자)아이들","LATATA",200,2,18,6,17,"female","K_POP","댄스",203,"Group",24,37,12.1,0,0,0,"summer",100,0,10,10
"8",7,"(여자)아이들","LATATA",200,2,18,6,24,"female","K_POP","댄스",203,"Group",24,20,12,0,0,0,"summer",100,0,10,10
"9",8,"(여자)아이들","LATATA",200,2,18,7,1,"female","K_POP","댄스",203,"Group",24,20,9.2,0,0,0,"summer",100,0,10,10
"10",9,"(여자)아이들","LATATA",200,3,18,7,8,"female","K_POP","댄스",203,"Group",24,30,7.9,0,0,0,"summer",10,11100000,10,1
"11",10,"(여자)아이들","LATATA",200,3,18,7,15,"female","K_POP","댄스",203,"Group",24,41,7,0,0,0,"summer",12,10500000,10,2
"12",11,"(여자)아이들","LATATA",200,3,18,7,22,"female","K_POP","댄스",203,"Group",24,20,7,0,0,0,"summer",18,8300000,10,2
"13",12,"(여자)아이들","LATATA",200,4,18,7,29,"female","K_POP","댄스",203,"Group",24,26,30.4,0,0,0,"summer",14,8410000,10,2
"14",13,"(여자)아이들","LATATA",200,4,18,8,5,"female","K_POP","댄스",203,"Group",24,19,14.2,0,0,0,"summer",11,1e+07,10,2
"15",14,"(여자)아이들","LATATA",200,7,18,9,23,"female","K_POP","댄스",203,"Group",24,25,14.5,0,0,0,"fall",37,3900000,10,4
"16",15,"(여자)아이들","LATATA",200,4,18,8,12,"female","K_POP","댄스",203,"Group",24,80,100,0,0,0,"summer",13,8730000,10,2
"17",16,"(여자)아이들","LATATA",200,8,18,9,30,"female","K_POP","댄스",203,"Group",24,46,8.7,0,0,0,"fall",34,4390000,10,4
"18",17,"(여자)아이들","LATATA",200,5,18,8,19,"female","K_POP","댄스",203,"Group",24,88,65.2,0,0,0,"summer",16,6760000,10,2
"19",18,"(여자)아이들","LATATA",200,10,18,10,7,"female","K_POP","댄스",203,"Group",24,35,8.5,0,0,0,"fall",36,4070000,10,4
"20",19,"(여자)아이들","LATATA",200,6,18,8,26,"female","K_POP","댄스",203,"Group",24,62,31.8,0,0,0,"summer",23,5620000,10,3
"21",20,"(여자)아이들","LATATA",200,6,18,9,2,"female","K_POP","댄스",203,"Group",24,66,24.4,0,0,0,"fall",21,5580000,10,3
"22",21,"(여자)아이들","LATATA",200,10,18,12,30,"female","K_POP","댄스",203,"Group",24,25,7.3,0,0,0,"winter",100,0,10,10
"23",22,"(여자)아이들","LATATA",200,6,18,9,9,"female","K_POP","댄스",203,"Group",24,53,27.4,0,0,0,"fall",29,4640000,10,3
"24",23,"(여자)아이들","LATATA",200,7,18,9,16,"female","K_POP","댄스",203,"Group",24,58,11.1,0,0,0,"fall",34,4310000,10,4
"25",24,"(여자)아이들","LION",12,10,19,10,27,"female","K_POP","전체",211,"Group",26,57,9.3,0,0,0,"fall",2,20500000,2,1
"26",25,"(여자)아이들","LION",12,2,19,11,3,"female","K_POP","전체",211,"Group",26,97,9.2,0,0,0,"fall",2,12600000,2,1
"27",26,"(여자)아이들","LION",12,3,19,11,10,"female","K_POP","전체",211,"Group",26,79,5.2,0,0,0,"fall",4,15300000,2,1
"28",27,"(여자)아이들","LION",12,3,19,11,17,"female","K_POP","전체",211,"Group",26,55,4.3,0,0,0,"fall",6,13300000,2,1
"29",28,"(여자)아이들","LION",12,4,19,11,24,"female","K_POP","전체",211,"Group",26,60,3.7,0,0,0,"fall",10,9480000,2,1
"30",29,"(여자)아이들","LION",12,5,19,12,1,"female","K_POP","전체",211,"Group",26,64,3.5,0,0,0,"winter",12,7550000,2,2
"31",30,"(여자)아이들","LION",12,6,19,12,8,"female","K_POP","전체",211,"Group",26,53,2.5,0,0,0,"winter",13,6600000,2,2
"32",31,"(여자)아이들","LION",12,6,19,12,15,"female","K_POP","전체",211,"Group",26,37,1.8,0,0,0,"winter",13,5910000,2,2
"33",32,"(여자)아이들","LION",12,7,19,12,22,"female","K_POP","전체",211,"Group",26,45,2.3,0,0,0,"winter",9,6050000,2,1
"34",33,"(여자)아이들","LION",12,6,19,12,29,"female","K_POP","전체",211,"Group",26,59,4.9,0,0,0,"winter",7,7540000,2,1
"35",34,"(여자)아이들","LION",12,6,20,1,5,"female","K_POP","전체",211,"Group",26,58,5.5,0,0,0,"winter",10,6070000,2,1
"36",35,"(여자)아이들","LION",12,7,20,1,12,"female","K_POP","전체",211,"Group",26,74,3.3,0,0,0,"winter",11,5450000,2,2
"37",36,"(여자)아이들","LION",12,7,20,1,19,"female","K_POP","전체",211,"Group",26,60,2.9,0,0,0,"winter",17,4880000,2,2
"38",37,"(여자)아이들","LION",12,7,20,1,26,"female","K_POP","전체",211,"Group",26,85,3.3,0,0,0,"winter",21,5070000,2,3
"39",38,"(여자)아이들","LION",12,8,20,2,2,"female","K_POP","전체",211,"Group",26,61,2.2,0,0,0,"winter",20,4980000,2,2
"40",39,"(여자)아이들","LION",12,9,20,2,9,"female","K_POP","전체",211,"Group",26,51,2.3,0,0,0,"winter",25,4790000,2,3
"41",40,"(여자)아이들","LION",12,10,20,2,16,"female","K_POP","전체",211,"Group",26,59,3.4,0,0,0,"winter",27,4390000,2,3
"42",41,"(여자)아이들","LION",12,10,20,2,23,"female","K_POP","전체",211,"Group",26,43,3.1,0,0,0,"winter",38,3600000,2,4
"43",42,"(여자)아이들","LION",12,10,20,3,1,"female","K_POP","전체",211,"Group",26,60,3.5,0,0,0,"spring",42,3400000,2,5
"44",43,"(여자)아이들","LION",12,10,20,3,8,"female","K_POP","전체",211,"Group",26,41,2.5,0,0,0,"spring",46,3060000,2,5
"45",44,"(여자)아이들","LION",12,10,20,3,15,"female","K_POP","전체",211,"Group",26,38,2.2,0,0,0,"spring",48,3010000,2,5
"46",45,"(여자)아이들","LION",12,10,20,3,22,"female","K_POP","전체",211,"Group",26,44,3.3,0,0,0,"spring",100,0,2,10
"47",46,"(여자)아이들","LION",12,10,20,3,29,"female","K_POP","전체",211,"Group",26,40,4.8,0,0,0,"spring",25,5010000,2,3
"48",47,"(여자)아이들","LION",12,10,20,4,5,"female","K_POP","전체",211,"Group",26,78,12.4,0,0,0,"spring",28,4910000,2,3
"49",48,"(여자)아이들","LION",12,10,20,4,12,"female","K_POP","전체",211,"Group",26,65,8.2,0,0,0,"spring",33,3890000,2,4
"50",49,"(여자)아이들","LION",12,10,20,4,19,"female","K_POP","전체",211,"Group",26,70,7.3,0,0,0,"spring",100,0,2,10
"51",50,"(여자)아이들","Oh my god",19,2,20,4,5,"female","K_POP","댄스",196,"Group",3,78,12.4,0,0,0,"spring",3,16600000,2,1
"52",51,"(여자)아이들","Oh my god",19,2,20,4,12,"female","K_POP","댄스",196,"Group",3,65,8.2,0,0,0,"spring",6,13200000,2,1
"53",52,"(여자)아이들","Oh my god",19,3,20,4,19,"female","K_POP","댄스",196,"Group",3,70,7.3,0,0,0,"spring",100,0,2,10
"54",53,"(여자)아이들","Senorita",15,3,19,2,24,"female","K_POP","댄스",198,"Group",14,100,9.4,0,0,0,"winter",2,20900000,2,1
"55",54,"(여자)아이들","Senorita",15,2,19,3,3,"female","K_POP","댄스",198,"Group",14,21,4.1,0,0,0,"spring",3,14200000,2,1
"56",55,"(여자)아이들","Senorita",15,3,19,3,10,"female","K_POP","댄스",198,"Group",14,53,3.9,0,0,0,"spring",5,15100000,2,1
"57",56,"(여자)아이들","Senorita",15,4,19,3,17,"female","K_POP","댄스",198,"Group",14,37,2.1,0,0,0,"spring",6,14700000,2,1
"58",57,"(여자)아이들","Senorita",15,5,19,3,24,"female","K_POP","댄스",198,"Group",14,30,1.7,0,0,0,"spring",9,9260000,2,1
"59",58,"(여자)아이들","Senorita",15,6,19,3,31,"female","K_POP","댄스",198,"Group",14,7,1.8,0,0,0,"spring",13,7500000,2,2
