artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
10cm,폰서트,9,8,9,Indi,spring,male,K_POP,Solo,1,2018.4.29,0.50887574,0.240384615,0.31,0.478486836,0.797082921,0.513549813,0.770369495,0,0,0,0
BLACKPINK,마지막처럼,7,2,8,Dance,spring,female,K_POP,Group,1,2018.4.29,0.553254438,0.317307692,0.1,0.445085611,0.850261297,0.551930308,0.734790572,0,0,0,0
Camila Cabello,Havana,3,7,3,Pop,spring,female,POP,Solo,1,2018.4.29,0.565088757,0.855769231,0.24,0.866723603,0.80330663,0.529332838,0,0,0,0,0
Carla Bruni,Stand By Your Man,8,8,7,Pop,spring,female,POP,Solo,1,2018.4.29,0.408284024,0.038461538,0.71,0.889314781,0.794921122,0.529332838,0.85781218,0,0,0,0
DEAN,instagram,4,7,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.680473373,0.25,0.58,0.7806463,0.798706867,0.56680661,0,0,0,0,0
Ed Sheeran,Shape of You,5,10,4,Pop,spring,male,POP,Solo,1,2018.4.29,0.615384615,1,0.46,0.871045541,0,0.529332838,0,0,0,0,0
EXO-CBX,花요일,3,4,3,Dance,spring,male,K_POP,Group,1,2018.4.29,0.514792899,0.125,0,0.418520254,0.823294012,0.551930308,0.814973326,0,0,0,0
EXO,Universe,9,10,9,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.704142012,0.259615385,0.45,0.521534616,0,0.660567269,0.814973326,0.281445945,0.05145202,0.013512013,0
Fitz & The Tantrums,HandClap,3,5,3,Pop,spring,mixed,POP,Band,1,2018.4.29,0.49408284,0.740384615,0,0.927864459,0.818587194,0.529332838,0.746851113,0,0,0,0
iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.544378698,0.615384615,0.42,0.57642255,0,0.477571876,0.734790572,0.332159203,0.067461401,0.020226624,0
Imagine Dragons,Thunder,7,9,8,Rock,spring,male,POP,Group,1,2018.4.29,0.476331361,0.673076923,0.22,0.554097624,0.786166813,0.509299213,0.875664097,0,0,0,0
Shawn Mendes,There`s Nothing Holdin` Me Back,7,10,7,Pop,spring,male,POP,Solo,1,2018.4.29,0.514792899,0.548076923,0.16,0.806757021,0,0.529332838,0.916813273,0,0,0,0
Sondia,어른,8,5,9,Drama,spring,female,OST,Solo,1,2018.4.29,0.689349112,0.096153846,0.29,1,0.816485371,0.613522263,0.867515849,0,0,0,0.584841862
The Chainsmokers,Closer,9,10,9,Pop,spring,male,POP,Duet,1,2018.4.29,0.650887574,0.663461538,0,0.901142899,0,0.529332838,0.734790572,0,0,0,0
