rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
4,2,4,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.8,1,0.09065420560747664,0.39452528860234637,0.055999999999999994,0,0,0,0
2,10,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.6,0.303,0,0.39452528860234637,0.039,0,0,0,0
10,10,10,댄스,winter,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.25,0.073,0,0.6968535468484371,0.038,0,0,0,0
2,10,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.2,0.092,0,0.39452528860234637,0.034,0,0,0,0
8,4,7,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.46,0.087,0.04558670820353063,0.5031682970704731,0.032,0,0,0,0
2,10,2,댄스,spring,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.23,0.381,0,0.5519303086234274,0.039,0,0,0,0
2,10,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.2,0.12,0,0.39452528860234637,0.031,0,0,0,0
7,4,6,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.58,0.111,0.044755970924195226,0.5031682970704731,0.024,0,0,0,0
6,3,6,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.66,0.244,0.05794392523364486,0.5031682970704731,0.023,0,0,0,0
4,1,10,댄스,spring,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.59,0.643,0.2035306334371755,0.5519303086234274,0.028999999999999998,0,0,0,0
5,2,4,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.88,0.652,0.07019730010384216,0.39452528860234637,0.026000000000000002,0,0,0,0
6,3,5,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.62,0.318,0.05835929387331257,0.39452528860234637,0.023,0,0,0,0
4,2,3,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.26,0.304,0.087331256490135,0.39452528860234637,0.124,0,0,0,0
2,10,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.46,0.192,0,0.39452528860234637,0.047,0,0,0,0
3,2,3,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.2,0.07,0.08618899273104881,0.39452528860234637,0.031,0,0,0,0
10,4,8,댄스,fall,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.35,0.085,0.04226375908618899,0.5031682970704731,0.091,0,0,0,0
2,10,4,댄스,spring,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.59,0.349,0,0.5519303086234274,0.027000000000000003,0,0,0,0
2,10,2,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.37,0.121,0,0.39452528860234637,0.044000000000000004,0,0,0,0
3,2,3,댄스,summer,female,K_POP,Group,0.5236686390532544,0.22115384615384615,0.41,0.07,0.10903426791277258,0.39452528860234637,0.028999999999999998,0,0,0,0
