,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,artist,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
0,2,10,2,Dance,summer,female,K_POP,Group,1,2018.7.1,(여자)아이들,0.523668639053255,0.221153846153846,0.2,0.503212800579202,0.0,0.394525288674247,0.258698004551698,0.0,0.0,0.0,0.0,2
1,2,10,2,Dance,summer,female,K_POP,Group,1,2018.6.24,(여자)아이들,0.523668639053255,0.221153846153846,0.2,0.5557708294077379,0.0,0.394525288674247,0.265166516704467,0.0,0.0,0.0,0.0,2
2,2,10,4,Dance,spring,female,K_POP,Group,1,2018.5.13,(여자)아이들,0.523668639053255,0.221153846153846,0.59,0.77587081039977,0.0,0.551930308223071,0.344353998842983,0.0,0.0,0.0,0.0,4
3,7,4,6,Dance,fall,female,K_POP,Group,0,2018.9.16,(여자)아이들,0.523668639053255,0.221153846153846,0.58,0.5402254271594029,0.8310105118368392,0.503168297512131,0.37328745618981607,0.0,0.0,0.0,0.0,7
4,4,2,4,Dance,summer,female,K_POP,Group,0,2018.8.12,(여자)아이들,0.523668639053255,0.221153846153846,0.8,1.0,0.8694062121527509,0.394525288674247,0.501078014194522,0.0,0.0,0.0,0.0,4
5,3,2,3,Dance,summer,female,K_POP,Group,1,2018.7.15,(여자)아이들,0.523668639053255,0.221153846153846,0.41,0.45057144967106394,0.8794486470125091,0.394525288674247,0.277551548391368,0.0,0.0,0.0,0.0,3
6,3,1,2,Dance,summer,female,K_POP,Group,1,2018.7.8,(여자)아이들,0.523668639053255,0.221153846153846,0.3,0.47367154741915596,0.88247154370123,0.394525288674247,0.29489512747699603,0.0,0.0,0.0,0.0,2
7,2,10,2,Dance,summer,female,K_POP,Group,1,2018.6.17,(여자)아이들,0.523668639053255,0.221153846153846,0.37,0.557431213512033,0.0,0.394525288674247,0.30573133866415003,0.0,0.0,0.0,0.0,2
8,4,1,10,Dance,spring,female,K_POP,Group,1,2018.5.6,(여자)아이들,0.523668639053255,0.221153846153846,0.59,0.905500088466298,0.9134014828769681,0.551930308223071,0.408888487775386,0.0,0.0,0.0,0.0,1
9,2,10,2,Dance,spring,female,K_POP,Group,1,2018.5.27,(여자)아이들,0.523668639053255,0.221153846153846,0.4,0.6904159103830911,0.0,0.551930308223071,0.321032687124339,0.0,0.0,0.0,0.0,2
10,10,4,8,Dance,fall,female,K_POP,Group,0,2018.10.7,(여자)아이들,0.523668639053255,0.221153846153846,0.35,0.48780780271960295,0.827893775896968,0.503168297512131,0.29489512747699603,0.0,0.0,0.0,0.0,8
11,5,2,4,Dance,summer,female,K_POP,Group,0,2018.8.19,(여자)아이들,0.523668639053255,0.221153846153846,0.88,0.908466083961025,0.8554942967888101,0.394525288674247,0.365407349042416,0.0,0.0,0.0,0.0,4
12,10,10,10,Dance,winter,female,K_POP,Group,1,2018.12.30,(여자)아이들,0.523668639053255,0.221153846153846,0.25,0.45854826695858203,0.0,0.696853546999652,0.24515115203653898,0.0,0.0,0.0,0.0,10
13,4,2,3,Dance,summer,female,K_POP,Group,1,2018.7.29,(여자)아이들,0.523668639053255,0.221153846153846,0.26,0.746851112627784,0.8673747736281591,0.394525288674247,0.562337364211053,0.0,0.0,0.0,0.0,3
14,4,2,4,Dance,summer,female,K_POP,Group,1,2018.8.5,(여자)아이들,0.523668639053255,0.221153846153846,0.19,0.5896477498088771,0.8767945527165281,0.394525288674247,0.377122584012549,0.0,0.0,0.0,0.0,4
15,2,10,2,Dance,spring,female,K_POP,Group,1,2018.5.20,(여자)아이들,0.523668639053255,0.221153846153846,0.23,0.794371989553273,0.0,0.551930308223071,0.33988623096400894,0.0,0.0,0.0,0.0,2
16,7,4,7,Dance,fall,female,K_POP,Group,0,2018.9.23,(여자)아이들,0.523668639053255,0.221153846153846,0.25,0.593882654618329,0.825572800832437,0.503168297512131,0.30573133866415003,0.0,0.0,0.0,0.0,7
17,3,2,3,Dance,summer,female,K_POP,Group,1,2018.7.22,(여자)아이들,0.523668639053255,0.221153846153846,0.2,0.45057144967106394,0.8666585699221508,0.394525288674247,0.258698004551698,0.0,0.0,0.0,0.0,3
18,6,3,6,Dance,fall,female,K_POP,Group,0,2018.9.9,(여자)아이들,0.523668639053255,0.221153846153846,0.53,0.7250924722237891,0.8350238138198359,0.503168297512131,1.0,0.0,0.0,0.0,0.0,7
19,6,3,5,Dance,summer,female,K_POP,Group,0,2018.8.26,(여자)아이들,0.523668639053255,0.221153846153846,0.62,0.7563027883352141,0.8454474378288941,0.394525288674247,0.31095277361717605,0.0,0.0,0.0,0.0,5
20,2,10,2,Dance,summer,female,K_POP,Group,1,2018.6.3,(여자)아이들,0.523668639053255,0.221153846153846,0.6,0.7461599507488119,0.0,0.394525288674247,0.31095277361717605,0.0,0.0,0.0,0.0,2
21,8,4,7,Dance,fall,female,K_POP,Group,0,2018.9.30,(여자)아이들,0.523668639053255,0.221153846153846,0.46,0.49232211319683,0.8320109655095649,0.503168297512131,0.283488332509601,0.0,0.0,0.0,0.0,7
22,6,3,6,Dance,fall,female,K_POP,Group,0,2018.9.2,(여자)아이들,0.523668639053255,0.221153846153846,0.66,0.7009024276225101,0.845058878048638,0.503168297512131,0.289266783361501,0.0,0.0,0.0,0.0,6
23,2,10,2,Dance,summer,female,K_POP,Group,1,2018.6.10,(여자)아이들,0.523668639053255,0.221153846153846,0.46,0.65126849741821,0.0,0.394525288674247,0.344353998842983,0.0,0.0,0.0,0.0,2
24,10,4,10,All,winter,female,K_POP,Group,1,2020.2.23,(여자)아이들,0.547337278106509,0.240384615384615,0.43,0.30573133866415003,0.821218626963371,0.56525771462608,0.480854936714392,0.0,0.0,0.0,0.0,10
25,6,1,7,All,winter,female,K_POP,Group,1,2019.12.29,(여자)아이들,0.547337278106509,0.240384615384615,0.59,0.384595016410646,0.861434535165427,0.56525771462608,0.114976033480779,0.0,0.0,0.0,0.0,7
26,10,5,10,All,spring,female,K_POP,Group,1,2020.3.1,(여자)아이들,0.547337278106509,0.240384615384615,0.6,0.325902084525783,0.818109316015948,0.40323191326894997,0.527313067236237,0.0,0.0,0.0,0.0,10
