,artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
0,10cm,폰서트,10,6,9,Indi,spring,male,K_POP,Solo,1,2018.5.6,0.50887574,0.240384615,0.35,0.519573706,0.800945789,0.513549813,0.8623137009999999,0.0,0.0,0.0,0.0,8.641867107252637
1,BLACKPINK,마지막처럼,7,2,7,Dance,spring,female,K_POP,Group,1,2018.5.6,0.553254438,0.317307692,0.09,0.49232211299999995,0.847722256,0.551930308,0.607429507,0.0,0.0,0.0,0.0,7.177732280327319
2,Camila Cabello,Havana,3,6,3,Pop,spring,female,POP,Solo,1,2018.5.6,0.565088757,0.8557692309999999,0.39,0.8875195840000001,0.808890824,0.529332838,0.0,0.0,0.0,0.0,0.0,4.16325294560275
3,Carla Bruni,Stand By Your Man,8,8,8,Pop,spring,female,POP,Solo,1,2018.5.6,0.40828402399999997,0.038461537999999997,0.0,0.896350434,0.7864538740000001,0.529332838,0.659684276,0.0,0.0,0.0,0.0,8.227471408685801
4,DEAN,instagram,4,8,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.680473373,0.25,0.36,0.781823906,0.78897146,0.56680661,0.0,0.0,0.0,0.0,0.0,4.464440114556311
5,Ed Sheeran,Shape of You,4,10,5,Pop,spring,male,POP,Solo,1,2018.5.6,0.615384615,1.0,0.63,0.881302205,0.0,0.529332838,0.0,0.0,0.0,0.0,0.0,5.20392773934654
6,EXO-CBX,花요일,4,5,3,Dance,spring,male,K_POP,Group,1,2018.5.6,0.514792899,0.125,0.95,0.46370753600000003,0.8098303659999999,0.551930308,0.7296225129999999,0.0,0.0,0.0,0.0,4.267211388889251
7,EXO,Universe,9,10,9,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.704142012,0.259615385,0.5,0.582400283,0.0,0.660567269,0.7296225129999999,0.224475017,0.036572127,0.0109966,0.0,9.333521405764392
8,Fitz & The Tantrums,HandClap,3,4,3,Pop,spring,mixed,POP,Band,1,2018.5.6,0.49408284,0.740384615,0.0,0.949222417,0.8215200020000001,0.529332838,0.785895848,0.0,0.0,0.0,0.0,4.164436334515273
9,iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.5443786979999999,0.615384615,0.34,0.6007619329999999,0.0,0.477571876,0.607429507,0.42271112299999997,0.104239389,0.019982445,0.0,2.2243252531548876
10,Imagine Dragons,Thunder,7,8,7,Rock,spring,male,POP,Group,1,2018.5.6,0.476331361,0.673076923,0.33,0.582400283,0.788145144,0.5092992129999999,0.886435283,0.0,0.0,0.0,0.0,7.079874634918951
11,Shawn Mendes,There`s Nothing Holdin` Me Back,7,10,7,Pop,spring,male,POP,Solo,1,2018.5.6,0.514792899,0.548076923,0.41,0.8561517959999999,0.0,0.529332838,0.9293557170000001,0.0,0.0,0.0,0.0,7.71134201595612
12,Sondia,어른,6,3,8,Drama,spring,female,OST,Solo,1,2018.5.6,0.689349112,0.096153846,0.27,0.9284621940000001,0.826127889,0.613522263,0.876803517,0.0,0.0,0.0,0.0,7.0288081648027685
13,The Chainsmokers,Closer,9,10,9,Pop,spring,male,POP,Duet,1,2018.5.6,0.650887574,0.663461538,0.25,0.8846159690000001,0.0,0.529332838,0.7582756009999999,0.0,0.0,0.0,0.0,9.229979158094208
14,TWICE,What is Love?,1,1,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.538461538,0.5,0.63,0.618937294,0.953150128,0.551930308,0.529205473,0.0,0.0,0.0,0.0,1.1321383374031768
