,date,views,recommend,number,singer
0,2016-10-27 17:54:17,3643,8,공지,I.B.I
1,2016-10-27 17:32:53,4801,31,공지,I.B.I
2,2020-04-17 08:29:55,46,1,32793,I.B.I
3,2020-03-15 21:24:13,76,0,32787,I.B.I
4,2020-02-20 01:49:59,155,0,32781,I.B.I
5,2020-02-05 00:58:29,94,0,32779,I.B.I
6,2020-02-05 00:57:32,80,0,32778,I.B.I
7,2019-12-31 13:13:01,302,5,32776,I.B.I
8,2019-12-28 20:57:28,225,10,32775,I.B.I
9,2019-12-04 19:57:10,255,8,32774,I.B.I
10,2019-11-30 23:09:22,157,0,32773,I.B.I
11,2019-11-27 19:18:11,229,7,32771,I.B.I
12,2019-11-21 17:49:14,281,10,32769,I.B.I
13,2019-11-18 18:35:56,258,2,32768,I.B.I
14,2019-11-16 20:21:31,369,6,32766,I.B.I
15,2019-11-14 19:51:34,405,7,32765,I.B.I
16,2019-11-14 18:35:33,323,10,32764,I.B.I
17,2019-11-14 15:10:03,371,10,32763,I.B.I
18,2019-11-07 07:56:55,374,12,32761,I.B.I
19,2019-10-21 00:42:26,393,4,32759,I.B.I
20,2019-10-19 23:41:16,244,1,32758,I.B.I
21,2019-10-18 19:10:32,435,6,32757,I.B.I
22,2019-10-16 01:20:52,393,4,32756,I.B.I
23,2019-10-09 23:25:25,399,4,32755,I.B.I
24,2019-10-09 22:10:35,259,2,32754,I.B.I
25,2019-10-09 00:55:26,387,4,32753,I.B.I
26,2019-10-08 09:28:19,499,5,32752,I.B.I
27,2019-10-08 08:40:43,396,0,32751,I.B.I
28,2019-09-16 01:07:01,277,2,32747,I.B.I
29,2019-09-14 00:36:29,257,0,32746,I.B.I
30,2019-09-08 15:54:37,317,5,32745,I.B.I
31,2019-09-08 13:47:07,292,2,32744,I.B.I
32,2019-09-05 15:36:03,247,1,32743,I.B.I
33,2019-09-03 01:01:17,512,8,32742,I.B.I
34,2019-08-30 01:18:37,448,3,32741,I.B.I
35,2019-08-27 18:12:59,224,0,32740,I.B.I
36,2019-08-27 18:12:51,237,0,32739,I.B.I
37,2019-08-24 03:44:51,549,0,32737,I.B.I
38,2019-08-23 23:20:06,249,0,32736,I.B.I
39,2019-08-22 23:45:24,308,1,32735,I.B.I
40,2019-08-22 23:18:21,426,0,32734,I.B.I
41,2019-08-22 04:26:41,290,0,32733,I.B.I
42,2019-08-22 00:51:02,313,0,32732,I.B.I
43,2019-08-21 18:38:29,326,0,32731,I.B.I
44,2019-08-21 18:17:03,325,0,32730,I.B.I
45,2019-08-19 23:24:02,496,1,32729,I.B.I
46,2019-08-19 01:23:23,240,1,32728,I.B.I
47,2019-08-19 00:17:46,228,1,32727,I.B.I
48,2019-08-19 00:07:41,231,1,32726,I.B.I
49,2019-08-18 23:38:06,187,1,32725,I.B.I
50,2019-08-18 23:34:13,180,1,32724,I.B.I
51,2019-08-18 23:14:33,179,1,32723,I.B.I
52,2019-08-18 23:04:48,147,1,32722,I.B.I
53,2019-08-18 22:56:08,168,2,32721,I.B.I
54,2019-08-18 22:53:57,124,1,32720,I.B.I
55,2019-08-18 22:51:50,146,1,32719,I.B.I
56,2019-08-18 22:50:30,112,1,32718,I.B.I
57,2019-08-18 22:49:50,112,1,32717,I.B.I
58,2019-08-18 22:49:38,101,1,32716,I.B.I
59,2019-08-18 22:45:23,101,1,32715,I.B.I
60,2019-08-18 22:42:59,94,1,32714,I.B.I
61,2019-08-18 22:41:21,91,1,32713,I.B.I
62,2019-08-18 22:39:57,103,1,32711,I.B.I
63,2019-08-18 22:39:43,93,1,32710,I.B.I
64,2019-08-18 22:39:28,86,1,32709,I.B.I
65,2019-08-18 22:39:24,69,1,32708,I.B.I
66,2019-08-18 22:39:22,70,1,32707,I.B.I
67,2019-08-18 22:39:19,70,1,32706,I.B.I
68,2019-08-18 22:39:20,63,1,32705,I.B.I
69,2019-08-18 22:39:20,56,1,32704,I.B.I
70,2019-08-18 22:39:19,58,1,32703,I.B.I
71,2019-08-18 22:39:17,59,0,32702,I.B.I
72,2019-08-18 22:39:16,53,1,32701,I.B.I
73,2019-08-18 22:39:14,57,1,32700,I.B.I
74,2019-08-18 22:39:14,45,1,32699,I.B.I
75,2019-08-18 22:39:12,37,1,32698,I.B.I
76,2019-08-18 22:39:06,36,1,32697,I.B.I
77,2019-08-18 22:39:03,33,1,32696,I.B.I
78,2019-08-18 22:39:03,38,1,32695,I.B.I
79,2019-08-18 22:39:02,27,1,32694,I.B.I
80,2019-08-18 22:39:02,30,1,32692,I.B.I
81,2019-08-18 22:39:01,23,1,32693,I.B.I
82,2019-08-18 22:39:01,24,1,32691,I.B.I
83,2019-08-18 22:38:59,22,1,32690,I.B.I
84,2019-08-18 22:38:59,31,2,32689,I.B.I
85,2019-08-18 22:38:16,22,1,32688,I.B.I
86,2019-08-18 22:36:32,19,1,32687,I.B.I
87,2019-08-18 22:35:24,21,1,32686,I.B.I
88,2019-08-18 22:35:15,18,1,32685,I.B.I
89,2019-08-18 22:34:59,18,1,32684,I.B.I
90,2019-08-18 22:34:45,18,1,32683,I.B.I
91,2019-08-18 22:34:37,19,1,32682,I.B.I
92,2019-08-18 22:34:32,18,1,32681,I.B.I
93,2019-08-18 22:34:21,19,1,32680,I.B.I
94,2019-08-18 22:34:14,17,1,32679,I.B.I
95,2019-08-18 22:34:08,16,1,32678,I.B.I
96,2019-08-18 22:34:06,17,1,32677,I.B.I
97,2019-08-18 22:34:02,18,2,32676,I.B.I
98,2019-08-18 22:32:22,16,1,32675,I.B.I
99,2019-08-18 22:32:10,15,1,32674,I.B.I
100,2019-08-18 22:32:05,24,1,32673,I.B.I
101,2019-08-18 22:31:55,18,1,32672,I.B.I
102,2019-08-18 22:30:10,14,1,32671,I.B.I
103,2019-08-18 22:30:04,10,1,32670,I.B.I
104,2019-08-18 22:30:02,12,1,32669,I.B.I
105,2019-08-18 22:30:01,14,1,32668,I.B.I
106,2019-08-18 22:30:01,19,1,32667,I.B.I
107,2019-08-18 22:30:01,20,2,32666,I.B.I
108,2019-08-18 22:29:11,15,2,32665,I.B.I
109,2019-08-18 22:28:07,14,1,32664,I.B.I
110,2019-08-18 22:19:00,11,1,32663,I.B.I
111,2019-08-18 22:13:13,15,1,32662,I.B.I
112,2019-08-18 22:11:03,13,2,32661,I.B.I
113,2019-08-18 22:06:53,22,1,32660,I.B.I
114,2019-08-18 22:06:40,14,1,32659,I.B.I
115,2019-08-18 22:05:03,23,2,32658,I.B.I
116,2019-08-18 22:03:14,18,2,32657,I.B.I
117,2019-08-18 22:00:20,22,1,32656,I.B.I
118,2019-08-18 21:58:35,19,1,32655,I.B.I
119,2019-08-18 21:56:53,16,1,32654,I.B.I
120,2019-08-18 21:54:22,13,1,32653,I.B.I
121,2019-08-18 21:54:02,13,1,32652,I.B.I
122,2019-08-18 21:51:31,23,2,32651,I.B.I
123,2019-08-18 21:50:01,14,1,32649,I.B.I
124,2019-08-18 21:48:55,13,1,32648,I.B.I
125,2019-08-18 21:48:28,15,1,32647,I.B.I
126,2019-08-18 21:47:23,15,1,32646,I.B.I
127,2019-08-18 21:47:12,18,1,32645,I.B.I
128,2019-08-18 21:47:09,14,1,32644,I.B.I
129,2019-08-18 21:46:32,15,1,32643,I.B.I
130,2019-08-18 21:45:24,13,1,32642,I.B.I
131,2019-08-18 21:45:19,16,1,32641,I.B.I
132,2019-08-18 21:44:44,11,1,32640,I.B.I
133,2019-08-18 21:44:44,16,1,32639,I.B.I
134,2019-08-18 21:44:34,17,1,32638,I.B.I
135,2019-08-18 21:44:23,13,1,32637,I.B.I
136,2019-08-18 21:44:19,16,1,32636,I.B.I
137,2019-08-18 21:44:08,13,1,32635,I.B.I
138,2019-08-18 21:43:46,15,1,32634,I.B.I
139,2019-08-18 21:43:40,14,1,32633,I.B.I
140,2019-08-18 21:43:29,16,1,32632,I.B.I
141,2019-08-18 21:41:48,18,2,32631,I.B.I
142,2019-08-18 21:41:42,16,1,32630,I.B.I
143,2019-08-18 21:40:21,10,1,32628,I.B.I
144,2019-08-18 21:40:05,13,1,32627,I.B.I
145,2019-08-18 21:40:03,13,1,32626,I.B.I
146,2019-08-18 21:39:55,13,1,32625,I.B.I
147,2019-08-18 21:39:42,14,1,32624,I.B.I
148,2019-08-18 21:39:31,12,1,32623,I.B.I
149,2019-08-18 21:39:27,12,1,32622,I.B.I
150,2019-08-18 21:39:10,11,1,32621,I.B.I
151,2019-08-18 21:38:56,12,1,32620,I.B.I
152,2019-08-18 21:38:55,14,1,32619,I.B.I
153,2019-08-18 21:38:51,15,1,32618,I.B.I
154,2019-08-18 21:38:49,14,1,32617,I.B.I
155,2019-08-18 21:38:50,12,1,32616,I.B.I
156,2019-08-18 21:38:37,10,1,32615,I.B.I
157,2019-08-18 21:38:36,11,1,32614,I.B.I
158,2019-08-18 21:38:32,11,1,32613,I.B.I
159,2019-08-18 21:38:29,11,1,32612,I.B.I
160,2019-08-18 21:38:28,11,1,32611,I.B.I
161,2019-08-18 21:38:17,19,1,32610,I.B.I
162,2019-08-18 21:38:17,10,1,32609,I.B.I
163,2019-08-18 21:38:11,12,1,32608,I.B.I
164,2019-08-18 21:38:15,10,1,32607,I.B.I
165,2019-08-18 21:38:14,13,1,32606,I.B.I
166,2019-08-18 21:38:09,11,1,32605,I.B.I
167,2019-08-18 21:38:11,13,1,32604,I.B.I
168,2019-08-18 21:38:10,16,1,32603,I.B.I
169,2019-08-18 21:38:09,9,1,32602,I.B.I
170,2019-08-18 21:38:08,12,1,32601,I.B.I
171,2019-08-18 21:38:07,13,1,32600,I.B.I
172,2019-08-18 21:38:07,8,1,32599,I.B.I
173,2019-08-18 21:38:06,13,1,32598,I.B.I
174,2019-08-18 21:38:05,10,1,32597,I.B.I
175,2019-08-18 21:38:04,13,1,32596,I.B.I
176,2019-08-18 21:38:03,11,1,32594,I.B.I
177,2019-08-18 21:38:02,16,1,32595,I.B.I
178,2019-08-18 21:38:02,10,1,32593,I.B.I
179,2019-08-18 21:38:02,14,1,32592,I.B.I
180,2019-08-18 21:38:02,9,1,32591,I.B.I
181,2019-08-18 21:38:02,11,1,32590,I.B.I
182,2019-08-18 21:38:01,14,1,32589,I.B.I
183,2019-08-18 21:38:01,9,1,32588,I.B.I
184,2019-08-18 21:38:00,11,1,32587,I.B.I
185,2019-08-18 21:38:00,8,1,32586,I.B.I
186,2019-08-18 21:38:00,8,1,32585,I.B.I
187,2019-08-18 21:38:00,10,1,32584,I.B.I
188,2019-08-18 21:37:59,13,1,32583,I.B.I
189,2019-08-18 21:37:59,10,1,32582,I.B.I
190,2019-08-18 21:37:58,9,1,32581,I.B.I
191,2019-08-18 21:37:58,13,2,32580,I.B.I
192,2019-08-18 20:50:05,10,1,32579,I.B.I
193,2019-08-18 19:26:45,15,1,32578,I.B.I
194,2019-08-18 18:11:50,24,1,32577,I.B.I
195,2019-08-18 12:01:04,83,6,32576,I.B.I
196,2019-08-18 09:42:06,24,1,32575,I.B.I
197,2019-08-18 02:31:24,37,1,32574,I.B.I
198,2019-08-18 00:10:26,28,1,32573,I.B.I
