,date,views,recommend,number,singer
0,2020-05-07 14:25:35,54,8,2107155,JYJ
1,2020-05-06 20:49:27,117,2,2107154,JYJ
2,2020-05-05 06:43:40,78,15,2107152,JYJ
3,2020-05-05 06:41:07,88,15,2107151,JYJ
4,2020-05-05 06:30:09,47,17,2107150,JYJ
5,2020-05-05 06:25:08,71,16,2107149,JYJ
6,2020-05-05 06:21:16,49,15,2107148,JYJ
7,2020-05-05 06:18:31,46,16,2107147,JYJ
8,2020-05-05 06:09:02,58,16,2107146,JYJ
9,2020-05-05 06:01:57,43,15,2107145,JYJ
10,2020-05-05 05:57:42,48,15,2107144,JYJ
11,2020-05-05 05:51:03,44,15,2107143,JYJ
12,2020-05-05 05:49:30,65,16,2107142,JYJ
13,2020-04-25 14:46:35,45,0,2107132,JYJ
14,2020-04-23 17:11:23,40,0,2107131,JYJ
15,2020-04-21 16:18:33,75,0,2107129,JYJ
16,2020-04-14 03:32:42,290,36,2107128,JYJ
17,2020-04-09 00:13:11,369,5,2107127,JYJ
18,2020-04-09 00:10:32,184,0,2107126,JYJ
19,2020-04-08 00:48:03,1287,48,2107124,JYJ
20,2020-04-04 08:48:33,79,6,2107123,JYJ
21,2020-04-03 20:13:12,147,14,2107121,JYJ
22,2020-04-03 16:36:32,319,17,2107120,JYJ
23,2020-04-03 10:20:01,87,3,2107119,JYJ
24,2020-04-02 20:10:57,180,0,2107115,JYJ
25,2020-04-02 20:03:38,709,6,2107114,JYJ
26,2020-04-02 19:33:51,169,1,2107111,JYJ
27,2020-04-02 19:17:24,138,1,2107110,JYJ
28,2020-04-02 19:00:14,196,1,2107108,JYJ
29,2020-04-02 18:50:54,832,21,2107107,JYJ
30,2020-04-02 18:24:15,145,4,2107103,JYJ
31,2020-04-02 15:42:43,47,1,2107101,JYJ
32,2020-04-02 14:27:31,588,4,2107100,JYJ
33,2020-04-02 11:30:07,576,21,2107098,JYJ
34,2020-04-02 09:33:04,303,11,2107096,JYJ
35,2020-04-02 08:56:17,321,6,2107095,JYJ
