,date,views,recommend,number,singer
0,2020-05-07 01:05:05,22,0,6785,V.O.S
1,2020-04-29 12:05:24,39,0,6784,V.O.S
2,2020-04-26 12:32:04,29,0,6783,V.O.S
3,2020-04-23 11:01:25,43,1,6782,V.O.S
4,2020-04-11 08:44:08,44,1,6781,V.O.S
5,2020-04-07 07:46:59,59,0,6780,V.O.S
6,2020-03-19 22:58:11,87,0,6776,V.O.S
7,2020-03-18 08:39:34,70,0,6773,V.O.S
8,2020-03-14 15:30:35,74,0,6772,V.O.S
9,2020-03-13 16:28:47,76,0,6771,V.O.S
10,2020-03-12 07:49:37,70,0,6770,V.O.S
11,2020-03-12 00:11:26,80,0,6769,V.O.S
12,2020-03-08 16:35:56,78,0,6768,V.O.S
13,2020-03-08 15:45:31,67,0,6767,V.O.S
14,2020-03-07 20:42:27,106,0,6766,V.O.S
15,2020-03-06 19:20:32,91,1,6765,V.O.S
16,2020-03-05 22:27:53,94,2,6764,V.O.S
17,2020-02-21 11:39:26,99,2,6759,V.O.S
18,2020-02-21 02:27:13,95,0,6758,V.O.S
19,2020-02-21 02:22:17,84,0,6757,V.O.S
20,2020-02-21 02:20:15,76,0,6756,V.O.S
21,2020-02-21 02:19:11,83,0,6755,V.O.S
22,2020-02-21 02:17:22,80,0,6754,V.O.S
23,2020-02-21 02:16:38,81,0,6753,V.O.S
24,2020-02-21 02:16:08,79,0,6752,V.O.S
25,2020-02-21 02:16:05,79,0,6751,V.O.S
26,2020-02-21 02:14:12,78,0,6750,V.O.S
27,2020-02-21 02:13:40,88,0,6749,V.O.S
28,2020-02-21 02:13:38,80,0,6748,V.O.S
29,2020-02-21 02:12:52,82,0,6747,V.O.S
30,2020-02-21 02:11:50,86,0,6746,V.O.S
31,2020-02-21 02:11:49,86,0,6745,V.O.S
32,2020-02-21 02:10:51,81,0,6744,V.O.S
33,2020-02-21 02:10:45,81,0,6743,V.O.S
34,2020-02-21 02:10:44,78,0,6742,V.O.S
35,2020-02-21 02:10:39,81,0,6741,V.O.S
36,2020-02-21 02:10:27,83,0,6740,V.O.S
37,2020-02-21 02:10:25,80,0,6739,V.O.S
38,2020-02-21 02:10:09,79,0,6738,V.O.S
39,2020-02-21 02:10:08,77,0,6737,V.O.S
40,2020-02-21 02:10:05,82,0,6736,V.O.S
41,2020-02-21 02:10:05,120,0,6735,V.O.S
42,2020-02-19 13:41:22,91,0,6734,V.O.S
43,2020-02-18 13:33:32,96,1,6733,V.O.S
44,2020-02-12 23:39:29,136,1,6732,V.O.S
45,2020-02-11 16:27:12,116,0,6731,V.O.S
46,2020-02-11 00:18:06,111,0,6730,V.O.S
47,2020-02-10 19:45:14,118,0,6729,V.O.S
48,2020-02-09 23:06:16,108,0,6728,V.O.S
49,2020-02-09 22:53:04,105,0,6727,V.O.S
50,2020-02-07 09:38:51,110,0,6726,V.O.S
51,2020-02-06 19:01:26,109,0,6725,V.O.S
52,2020-02-05 12:28:12,122,0,6724,V.O.S
53,2020-02-04 18:44:42,130,0,6723,V.O.S
54,2020-01-31 18:18:42,169,2,6721,V.O.S
55,2020-01-14 19:42:00,231,0,6716,V.O.S
56,2020-01-08 02:12:48,135,0,6714,V.O.S
57,2020-01-07 19:33:02,175,0,6713,V.O.S
58,2020-01-02 15:18:58,198,0,6689,V.O.S
59,2019-12-22 20:00:08,200,0,6682,V.O.S
60,2019-12-20 14:40:34,188,0,6680,V.O.S
61,2019-12-19 15:07:26,281,0,6679,V.O.S
62,2019-12-19 14:33:54,201,0,6678,V.O.S
63,2019-12-19 14:27:12,167,0,6677,V.O.S
64,2019-12-19 14:06:08,166,0,6676,V.O.S
65,2019-12-19 14:00:37,159,0,6675,V.O.S
