,date,views,recommend,number,singer
0,2020-05-07 20:32:41,8,1,82365,고현정
1,2020-05-07 15:47:17,11,1,82364,고현정
2,2020-05-07 09:45:39,8,1,82363,고현정
3,2020-05-07 08:30:50,14,1,82362,고현정
4,2020-05-07 08:01:20,6,1,82361,고현정
5,2020-05-07 03:49:31,11,1,82360,고현정
6,2020-05-06 22:16:40,12,1,82359,고현정
7,2020-05-06 10:58:58,19,1,82358,고현정
8,2020-05-06 10:39:33,14,1,82357,고현정
9,2020-05-06 10:30:44,18,1,82356,고현정
10,2020-05-06 05:11:23,13,1,82355,고현정
11,2020-05-06 05:07:15,16,1,82354,고현정
12,2020-05-05 22:25:49,23,1,82353,고현정
13,2020-05-05 22:17:25,11,1,82352,고현정
14,2020-05-05 21:12:43,16,1,82351,고현정
15,2020-05-05 21:06:17,16,1,82350,고현정
16,2020-05-05 19:04:41,14,1,82349,고현정
17,2020-05-05 18:31:27,24,1,82348,고현정
18,2020-05-05 18:11:06,12,1,82347,고현정
19,2020-05-05 18:02:50,12,1,82346,고현정
20,2020-05-05 18:00:14,16,1,82345,고현정
21,2020-05-05 11:29:14,19,1,82344,고현정
22,2020-05-05 08:26:36,13,1,82343,고현정
23,2020-05-05 08:19:09,13,1,82342,고현정
24,2020-05-05 05:53:17,22,1,82341,고현정
25,2020-05-04 23:40:04,15,1,82340,고현정
26,2020-05-04 22:28:18,23,1,82339,고현정
27,2020-05-04 20:02:26,17,1,82338,고현정
28,2020-05-04 18:29:38,14,1,82337,고현정
29,2020-05-04 18:21:37,14,1,82336,고현정
30,2020-05-04 08:31:07,16,1,82335,고현정
31,2020-05-04 08:26:12,13,0,82334,고현정
32,2020-05-04 08:05:48,14,1,82333,고현정
33,2020-05-04 08:01:56,13,1,82332,고현정
34,2020-05-04 07:58:52,19,1,82331,고현정
35,2020-05-04 07:54:09,25,1,82330,고현정
36,2020-05-04 06:43:39,26,0,82329,고현정
37,2020-05-04 06:42:03,25,1,82328,고현정
