,date,views,recommend,number,singer
0,2020-05-07 15:32:24,6,1,313480,구하라
1,2020-05-07 13:48:03,7,1,313479,구하라
2,2020-05-07 11:53:12,8,1,313478,구하라
3,2020-05-07 10:41:33,8,1,313477,구하라
4,2020-05-07 10:25:09,9,1,313476,구하라
5,2020-05-07 10:05:02,9,1,313475,구하라
6,2020-05-07 08:51:38,9,1,313474,구하라
7,2020-05-07 08:41:30,8,1,313473,구하라
8,2020-05-07 07:36:19,10,2,313472,구하라
9,2020-05-06 21:29:27,26,2,313471,구하라
10,2020-05-06 19:38:04,28,2,313470,구하라
11,2020-05-06 19:03:31,15,2,313469,구하라
12,2020-05-06 18:19:44,27,2,313468,구하라
13,2020-05-06 18:17:07,18,2,313467,구하라
14,2020-05-06 17:39:54,19,2,313466,구하라
15,2020-05-06 16:22:28,11,2,313465,구하라
16,2020-05-06 11:34:01,17,2,313464,구하라
17,2020-05-06 08:41:07,17,2,313463,구하라
18,2020-05-06 07:11:25,17,2,313462,구하라
19,2020-05-05 20:50:43,31,2,313461,구하라
20,2020-05-05 17:41:47,20,2,313460,구하라
21,2020-05-05 15:32:08,23,2,313459,구하라
22,2020-05-05 11:40:29,21,2,313458,구하라
23,2020-05-05 10:56:46,29,3,313457,구하라
24,2020-05-05 09:09:31,63,2,313456,구하라
25,2020-05-05 08:10:27,21,2,313455,구하라
26,2020-05-05 07:47:36,49,3,313454,구하라
27,2020-05-05 07:01:26,25,2,313453,구하라
28,2020-05-05 05:14:29,39,3,313452,구하라
29,2020-05-05 00:18:19,25,2,313451,구하라
30,2020-05-04 20:24:08,99,2,313450,구하라
31,2020-05-04 19:03:12,27,2,313449,구하라
32,2020-05-04 11:00:20,27,2,313448,구하라
33,2020-05-04 09:53:19,29,2,313447,구하라
34,2020-05-04 09:34:03,19,2,313446,구하라
35,2020-05-04 08:05:57,34,2,313445,구하라
36,2020-05-04 00:45:27,36,3,313444,구하라
37,2020-05-04 00:39:38,15,2,313443,구하라
38,2020-05-03 20:45:53,20,2,313442,구하라
39,2020-05-03 19:08:52,19,2,313441,구하라
40,2020-05-03 16:01:17,26,2,313440,구하라
41,2020-05-03 15:35:01,23,2,313439,구하라
42,2020-05-03 13:16:27,22,2,313438,구하라
43,2020-05-03 13:01:43,18,2,313437,구하라
44,2020-05-03 12:06:05,24,2,313436,구하라
45,2020-05-03 09:29:45,20,2,313435,구하라
46,2020-05-03 02:36:48,23,2,313434,구하라
47,2020-05-02 18:48:07,34,2,313433,구하라
48,2020-05-02 18:10:03,41,5,313432,구하라
49,2020-05-02 18:08:03,27,2,313431,구하라
50,2020-05-02 15:57:22,24,2,313430,구하라
51,2020-05-02 13:51:41,139,4,313429,구하라
52,2020-05-02 12:13:05,26,2,313428,구하라
53,2020-05-02 11:27:05,18,2,313427,구하라
54,2020-05-02 10:38:36,19,2,313426,구하라
55,2020-05-02 09:20:02,18,2,313425,구하라
56,2020-05-02 08:36:11,20,2,313424,구하라
57,2020-05-02 03:13:45,27,2,313423,구하라
58,2020-05-01 20:28:44,24,2,313422,구하라
59,2020-05-01 20:22:47,26,2,313421,구하라
60,2020-05-01 19:34:00,29,3,313420,구하라
61,2020-05-01 18:41:26,22,2,313419,구하라
62,2020-05-01 18:27:59,33,2,313418,구하라
63,2020-05-01 17:14:38,25,3,313408,구하라
64,2020-05-01 16:56:17,49,4,313407,구하라
65,2020-05-01 13:48:23,22,2,313406,구하라
66,2020-05-01 12:16:27,32,2,313405,구하라
67,2020-05-01 11:22:10,44,2,313404,구하라
68,2020-04-30 22:17:06,21,2,313403,구하라
69,2020-04-30 15:28:39,25,2,313401,구하라
70,2020-04-30 15:17:05,23,2,313400,구하라
71,2020-04-30 14:50:13,20,2,313399,구하라
72,2020-04-30 08:42:38,31,2,313398,구하라
73,2020-04-30 07:35:06,27,3,313397,구하라
74,2020-04-30 06:01:55,25,2,313396,구하라
75,2020-04-29 18:48:51,34,2,313395,구하라
76,2020-04-29 18:43:19,66,6,313394,구하라
77,2020-04-29 18:22:17,75,3,313393,구하라
78,2020-04-29 18:12:17,58,2,313392,구하라
79,2020-04-29 18:01:58,60,2,313391,구하라
80,2020-04-29 15:31:50,37,2,313390,구하라
81,2020-04-29 13:09:48,84,3,313389,구하라
82,2020-04-29 12:39:13,28,2,313388,구하라
83,2020-04-29 08:36:23,28,2,313387,구하라
84,2020-04-28 23:03:06,29,2,313386,구하라
85,2020-04-28 20:05:47,33,2,313385,구하라
86,2020-04-28 18:20:24,26,2,313384,구하라
87,2020-04-28 15:49:22,38,2,313383,구하라
88,2020-04-28 09:44:35,28,2,313382,구하라
89,2020-04-28 08:52:37,26,2,313381,구하라
90,2020-04-28 07:35:38,31,2,313380,구하라
91,2020-04-28 06:21:52,28,2,313379,구하라
92,2020-04-27 21:01:58,36,2,313378,구하라
93,2020-04-27 18:41:12,35,2,313377,구하라
94,2020-04-27 18:26:24,28,2,313376,구하라
95,2020-04-27 15:55:02,39,2,313374,구하라
96,2020-04-27 15:00:28,31,2,313373,구하라
97,2020-04-27 13:45:07,28,2,313372,구하라
98,2020-04-27 10:21:18,33,2,313371,구하라
99,2020-04-27 08:54:12,31,2,313370,구하라
100,2020-04-27 07:41:27,29,2,313369,구하라
101,2020-04-27 05:51:08,27,2,313368,구하라
102,2020-04-26 19:33:14,86,9,313367,구하라
103,2020-04-26 19:03:11,34,2,313366,구하라
104,2020-04-26 17:55:05,31,2,313365,구하라
105,2020-04-26 16:48:50,35,2,313364,구하라
106,2020-04-26 15:05:10,32,2,313363,구하라
107,2020-04-26 13:16:49,33,2,313362,구하라
108,2020-04-26 10:42:35,32,2,313361,구하라
109,2020-04-26 08:59:08,34,2,313360,구하라
110,2020-04-26 06:54:36,38,2,313359,구하라
111,2020-04-26 03:26:07,34,3,313358,구하라
112,2020-04-25 17:23:31,48,2,313357,구하라
113,2020-04-25 13:26:45,35,2,313356,구하라
114,2020-04-25 12:30:07,40,2,313355,구하라
115,2020-04-25 08:37:33,43,2,313354,구하라
116,2020-04-25 07:57:12,38,2,313353,구하라
117,2020-04-25 07:09:35,44,2,313352,구하라
118,2020-04-25 06:35:38,35,2,313351,구하라
119,2020-04-25 06:26:05,50,2,313350,구하라
120,2020-04-25 06:07:04,38,3,313349,구하라
121,2020-04-25 05:42:27,36,2,313348,구하라
122,2020-04-25 05:09:50,53,2,313347,구하라
123,2020-04-24 18:41:50,59,2,313346,구하라
124,2020-04-24 16:19:28,41,2,313345,구하라
125,2020-04-24 14:25:17,65,2,313344,구하라
126,2020-04-24 12:33:10,43,2,313343,구하라
127,2020-04-24 11:52:24,45,2,313342,구하라
128,2020-04-24 11:27:18,41,3,313341,구하라
129,2020-04-24 08:22:01,38,2,313340,구하라
130,2020-04-24 05:38:50,40,2,313339,구하라
131,2020-04-24 05:25:26,39,2,313338,구하라
132,2020-04-24 03:25:31,41,2,313337,구하라
133,2020-04-24 01:41:56,34,2,313336,구하라
134,2020-04-23 15:41:51,39,2,313335,구하라
135,2020-04-23 13:37:10,38,2,313334,구하라
136,2020-04-23 11:39:53,41,2,313333,구하라
137,2020-04-23 09:32:54,56,2,313332,구하라
138,2020-04-23 05:47:02,38,2,313331,구하라
139,2020-04-23 03:22:16,40,2,313330,구하라
140,2020-04-22 21:28:31,45,2,313329,구하라
141,2020-04-22 13:37:28,48,4,313328,구하라
142,2020-04-22 12:51:41,46,2,313327,구하라
143,2020-04-22 12:41:28,43,2,313326,구하라
144,2020-04-22 12:15:36,35,2,313325,구하라
145,2020-04-22 11:32:32,45,2,313324,구하라
146,2020-04-22 11:16:38,45,2,313323,구하라
147,2020-04-22 11:07:40,38,2,313322,구하라
148,2020-04-22 10:19:41,41,3,313321,구하라
149,2020-04-22 10:02:50,41,2,313320,구하라
150,2020-04-22 07:40:53,45,2,313319,구하라
151,2020-04-22 07:29:11,39,2,313318,구하라
152,2020-04-22 07:24:19,45,2,313317,구하라
153,2020-04-22 07:10:55,42,2,313316,구하라
154,2020-04-22 06:49:17,38,2,313315,구하라
155,2020-04-22 06:42:45,36,2,313314,구하라
156,2020-04-22 06:36:59,42,2,313313,구하라
157,2020-04-22 06:26:13,34,2,313312,구하라
158,2020-04-22 06:17:59,40,3,313311,구하라
159,2020-04-22 05:36:10,35,2,313310,구하라
160,2020-04-22 04:04:07,36,2,313309,구하라
161,2020-04-22 03:55:19,30,2,313308,구하라
162,2020-04-22 03:39:53,39,2,313307,구하라
163,2020-04-22 03:30:56,44,3,313306,구하라
164,2020-04-22 03:12:21,32,2,313305,구하라
165,2020-04-22 03:07:00,30,2,313304,구하라
166,2020-04-22 03:00:56,38,2,313303,구하라
167,2020-04-22 02:53:18,31,2,313302,구하라
168,2020-04-22 02:43:25,29,2,313301,구하라
169,2020-04-22 02:37:36,28,2,313300,구하라
170,2020-04-22 02:31:59,39,3,313299,구하라
171,2020-04-22 02:18:39,33,2,313298,구하라
172,2020-04-22 02:09:08,33,2,313297,구하라
173,2020-04-22 01:49:14,37,3,313296,구하라
174,2020-04-22 01:33:21,39,2,313295,구하라
175,2020-04-22 01:29:08,31,2,313294,구하라
176,2020-04-22 01:20:43,44,2,313293,구하라
177,2020-04-22 00:29:34,34,2,313292,구하라
178,2020-04-22 00:25:27,31,2,313291,구하라
179,2020-04-21 23:30:33,30,2,313290,구하라
180,2020-04-21 21:17:08,123,4,313289,구하라
181,2020-04-21 16:10:07,37,3,313286,구하라
182,2020-04-21 14:50:00,38,2,313285,구하라
183,2020-04-21 13:37:39,46,2,313284,구하라
184,2020-04-21 13:26:39,37,2,313283,구하라
