,date,views,recommend,number,singer
0,2013-12-31 19:35:27,25532,558,공지,김범수
1,2013-12-31 15:31:28,23442,505,공지,김범수
2,2011-06-17 01:00:46,108810,1331,공지,김범수
3,2011-06-13 15:23:54,74970,951,공지,김범수
4,2020-05-07 19:09:01,2,0,217172,김범수
5,2020-05-07 19:08:22,3,0,217171,김범수
6,2020-05-07 15:14:21,46,0,217170,김범수
7,2020-05-05 22:19:29,80,0,217169,김범수
8,2020-05-05 16:33:49,87,0,217168,김범수
9,2020-05-05 16:24:55,55,0,217167,김범수
10,2020-05-05 12:09:54,85,0,217166,김범수
11,2020-05-04 08:41:57,73,1,217164,김범수
12,2020-05-03 23:22:50,164,4,217163,김범수
13,2020-05-03 19:07:20,74,0,217162,김범수
14,2020-05-02 10:59:18,98,0,217161,김범수
15,2020-05-02 10:34:11,107,0,217160,김범수
16,2020-05-02 10:00:26,33,0,217159,김범수
17,2020-05-02 09:56:52,51,0,217158,김범수
18,2020-05-02 09:55:26,59,1,217157,김범수
19,2020-05-02 09:53:42,68,0,217156,김범수
20,2020-05-02 09:52:03,64,0,217155,김범수
21,2020-05-02 09:51:06,35,0,217154,김범수
22,2020-05-02 09:49:58,31,1,217153,김범수
23,2020-05-02 09:49:24,42,0,217152,김범수
24,2020-05-02 09:48:37,44,1,217151,김범수
25,2020-05-02 09:46:52,46,2,217150,김범수
26,2020-05-01 12:00:46,63,0,217149,김범수
27,2020-04-30 23:54:43,77,3,217148,김범수
28,2020-04-30 04:42:25,139,0,217147,김범수
29,2020-04-29 18:12:29,64,1,217145,김범수
30,2020-04-29 18:09:51,73,0,217144,김범수
31,2020-04-29 18:08:19,72,0,217143,김범수
32,2020-04-29 18:05:29,51,0,217142,김범수
33,2020-04-29 18:04:26,90,0,217141,김범수
34,2020-04-29 18:03:04,78,0,217140,김범수
35,2020-04-29 18:02:08,46,0,217139,김범수
36,2020-04-29 18:00:54,63,0,217138,김범수
37,2020-04-29 17:59:10,63,0,217137,김범수
38,2020-04-29 17:57:39,40,0,217136,김범수
39,2020-04-29 17:56:16,48,0,217135,김범수
40,2020-04-29 17:55:10,46,0,217134,김범수
41,2020-04-29 17:53:42,38,0,217133,김범수
42,2020-04-29 17:41:31,36,1,217132,김범수
43,2020-04-29 17:38:17,60,0,217131,김범수
44,2020-04-29 07:56:01,54,1,217130,김범수
45,2020-04-28 15:45:45,53,1,217129,김범수
46,2020-04-28 15:45:21,66,0,217128,김범수
47,2020-04-28 15:44:55,53,0,217127,김범수
48,2020-04-26 17:05:33,109,0,217126,김범수
49,2020-04-26 16:10:56,115,0,217125,김범수
50,2020-04-26 12:18:29,98,0,217124,김범수
51,2020-04-25 17:44:51,80,0,217123,김범수
52,2020-04-25 05:56:37,89,0,217122,김범수
53,2020-04-24 22:11:45,51,0,217121,김범수
54,2020-04-24 18:15:46,76,0,217120,김범수
55,2020-04-24 18:12:48,81,0,217119,김범수
56,2020-04-24 18:11:54,72,1,217118,김범수
57,2020-04-21 20:19:41,153,0,217113,김범수
58,2020-04-21 19:47:28,90,0,217112,김범수
59,2020-04-20 15:19:42,114,9,217108,김범수
60,2020-04-18 15:50:17,118,3,217101,김범수
61,2020-04-15 12:41:28,223,0,217095,김범수
62,2020-04-08 12:25:03,309,1,217066,김범수
63,2020-04-07 14:18:41,373,1,217058,김범수
64,2020-04-04 18:38:35,155,0,217040,김범수
65,2020-04-04 09:59:11,127,1,217039,김범수
66,2020-04-04 08:56:06,96,1,217038,김범수
67,2020-03-31 16:31:44,167,0,216877,김범수
68,2020-03-28 21:54:56,115,0,216768,김범수
69,2020-03-28 15:47:56,166,0,216764,김범수
70,2020-03-28 00:38:07,176,6,216763,김범수
71,2020-03-27 16:52:35,140,1,216749,김범수
72,2020-03-27 15:53:59,63,0,216748,김범수
73,2020-03-26 18:16:08,158,0,216726,김범수
74,2020-03-26 11:07:08,190,5,216721,김범수
75,2020-03-23 22:38:11,183,1,216685,김범수
76,2020-03-21 17:47:35,318,0,216666,김범수
77,2020-03-21 13:20:53,262,2,216655,김범수
78,2020-03-21 12:44:10,104,0,216654,김범수
79,2020-03-20 14:15:09,103,1,216624,김범수
80,2020-03-18 04:24:23,252,0,216575,김범수
81,2020-03-15 09:58:16,101,0,216563,김범수
82,2020-03-14 16:27:46,145,0,216556,김범수
83,2020-03-12 10:28:08,182,0,216469,김범수
84,2020-03-11 12:56:45,262,0,216454,김범수
85,2020-03-10 06:13:09,77,0,216406,김범수
86,2020-03-08 21:26:34,109,2,216239,김범수
87,2020-03-07 21:17:56,137,0,216238,김범수
88,2020-03-07 21:17:21,120,0,216237,김범수
89,2020-03-07 21:16:41,96,0,216236,김범수
90,2020-03-07 18:15:53,129,0,216235,김범수
91,2020-03-05 00:09:16,127,0,216219,김범수
92,2020-03-04 21:19:15,102,0,216218,김범수
93,2020-03-03 17:28:35,152,0,216217,김범수
94,2020-03-03 14:52:41,100,0,216216,김범수
95,2020-03-03 14:51:17,92,0,216215,김범수
96,2020-03-03 14:48:58,118,0,216214,김범수
97,2020-03-03 14:47:24,172,0,216213,김범수
98,2020-03-02 13:20:31,312,10,216204,김범수
99,2020-02-17 23:54:28,254,0,216060,김범수
100,2020-02-14 16:25:21,123,0,216052,김범수
101,2020-02-14 16:11:44,135,4,216051,김범수
102,2020-02-14 16:04:04,109,0,216050,김범수
103,2020-02-14 15:43:42,188,2,216049,김범수
104,2020-02-14 12:08:40,150,0,216048,김범수
105,2020-02-11 08:30:47,159,3,216038,김범수
106,2020-02-10 04:34:02,173,0,216037,김범수
107,2020-02-09 22:22:12,104,1,216035,김범수
108,2020-02-09 11:46:37,92,0,215996,김범수
109,2020-02-08 12:10:48,292,0,215995,김범수
110,2020-02-08 01:34:35,126,0,215994,김범수
111,2020-02-08 01:34:31,90,0,215993,김범수
112,2020-02-08 01:34:26,114,0,215992,김범수
113,2020-02-08 01:34:20,113,3,215991,김범수
114,2020-02-08 01:31:37,100,0,215990,김범수
115,2020-02-08 01:30:58,86,0,215989,김범수
116,2020-02-08 01:30:02,66,0,215988,김범수
117,2020-02-08 01:27:08,93,0,215987,김범수
118,2020-02-08 01:26:34,72,0,215986,김범수
119,2020-02-08 01:25:40,71,0,215985,김범수
120,2020-02-08 01:24:56,80,0,215984,김범수
121,2020-02-06 21:04:41,122,0,215964,김범수
122,2020-02-06 21:04:01,95,1,215963,김범수
123,2020-02-06 20:30:22,82,0,215962,김범수
124,2020-02-06 18:43:44,88,0,215958,김범수
125,2020-02-06 01:05:37,466,13,215947,김범수
126,2020-02-05 21:04:51,111,2,215946,김범수
127,2020-02-05 16:33:56,104,3,215945,김범수
128,2020-02-05 14:01:18,97,1,215944,김범수
129,2020-02-05 12:48:59,118,2,215942,김범수
130,2020-02-03 14:38:33,111,1,215935,김범수
131,2020-02-03 08:32:27,120,0,215934,김범수
132,2020-02-03 00:51:36,190,1,215917,김범수
133,2020-02-02 01:00:43,286,1,215905,김범수
134,2020-02-01 21:37:02,188,0,215898,김범수
135,2020-02-01 21:33:09,276,1,215897,김범수
136,2020-02-01 20:13:00,153,0,215894,김범수
137,2020-02-01 18:47:19,137,0,215892,김범수
138,2020-02-01 18:11:19,123,0,215891,김범수
139,2020-02-01 17:55:41,109,0,215890,김범수
140,2020-02-01 13:00:18,75,0,215888,김범수
141,2020-02-01 10:12:02,70,0,215887,김범수
142,2020-01-31 00:57:14,229,3,215877,김범수
143,2020-01-29 14:00:40,200,1,215866,김범수
144,2020-01-29 01:13:39,167,0,215858,김범수
145,2020-01-29 00:47:48,124,1,215857,김범수
146,2020-01-28 13:04:41,202,0,215849,김범수
147,2020-01-28 11:28:17,117,0,215848,김범수
148,2020-01-28 11:04:11,170,0,215847,김범수
149,2020-01-28 04:09:33,125,0,215846,김범수
150,2020-01-28 01:37:54,54,0,215839,김범수
151,2020-01-28 01:37:14,71,1,215838,김범수
152,2020-01-28 01:35:58,52,0,215835,김범수
153,2020-01-28 01:35:52,51,0,215834,김범수
154,2020-01-28 01:35:47,49,1,215833,김범수
155,2020-01-28 01:34:24,39,0,215831,김범수
156,2020-01-26 20:40:08,143,1,215815,김범수
157,2020-01-24 00:03:48,149,1,215807,김범수
158,2020-01-22 20:02:10,226,0,215793,김범수
159,2020-01-22 15:47:44,221,2,215786,김범수
160,2020-01-22 01:35:28,131,0,215784,김범수
161,2020-01-21 22:00:30,107,1,215730,김범수
162,2020-01-20 23:24:23,188,1,215724,김범수
163,2020-01-20 19:17:33,158,0,215722,김범수
164,2020-01-20 13:18:49,213,1,215720,김범수
165,2020-01-19 22:26:57,122,1,215712,김범수
166,2020-01-18 13:22:00,182,2,215709,김범수
167,2020-01-18 00:37:32,199,0,215708,김범수
168,2020-01-18 00:14:11,144,0,215707,김범수
169,2020-01-18 00:13:35,113,0,215706,김범수
170,2020-01-18 00:12:41,101,0,215705,김범수
171,2020-01-18 00:12:09,88,0,215704,김범수
172,2020-01-18 00:10:03,72,0,215703,김범수
173,2020-01-18 00:09:32,78,0,215702,김범수
174,2020-01-18 00:08:43,102,1,215701,김범수
