,date,views,recommend,number,singer
0,2017-03-22 16:33:22,28550,339,공지,김재욱
1,2011-04-28 17:49:32,9887,43,공지,김재욱
2,2020-05-07 20:05:29,28,0,45098,김재욱
3,2020-05-05 13:12:54,690,0,45096,김재욱
4,2020-05-04 21:25:30,326,0,45095,김재욱
5,2020-05-03 18:03:43,439,0,45094,김재욱
6,2020-05-02 20:52:22,509,0,45093,김재욱
7,2020-04-29 22:11:00,546,1,45092,김재욱
8,2020-04-25 13:01:04,799,3,45090,김재욱
9,2020-04-24 19:44:42,611,0,45088,김재욱
10,2020-04-24 13:29:48,542,0,45086,김재욱
11,2020-04-22 12:14:02,544,1,45081,김재욱
12,2020-04-22 02:57:49,543,0,45080,김재욱
13,2020-04-19 17:02:42,727,2,45079,김재욱
14,2020-04-19 16:36:46,621,0,45078,김재욱
15,2020-04-19 16:28:54,738,1,45077,김재욱
16,2020-04-17 12:04:54,1834,24,45076,김재욱
17,2020-04-16 15:44:44,1530,17,45075,김재욱
18,2020-04-16 11:12:49,532,1,45074,김재욱
19,2020-04-16 01:58:45,782,0,45073,김재욱
20,2020-04-13 19:40:47,545,1,45071,김재욱
21,2020-04-12 14:43:43,1224,15,45070,김재욱
22,2020-04-11 20:20:33,1741,24,45068,김재욱
23,2020-04-09 18:18:50,607,0,45066,김재욱
24,2020-04-09 09:20:22,718,6,45063,김재욱
25,2020-04-08 21:36:37,1438,15,45062,김재욱
26,2020-04-08 20:30:50,587,0,45061,김재욱
27,2020-04-08 17:25:55,457,0,45059,김재욱
28,2020-04-07 13:29:02,1893,25,45058,김재욱
29,2020-04-06 13:59:10,1006,2,45057,김재욱
30,2020-04-06 13:36:45,1097,10,45056,김재욱
31,2020-04-05 23:15:51,570,0,45055,김재욱
32,2020-04-05 22:25:36,1431,0,45054,김재욱
33,2020-04-05 12:29:22,632,1,45052,김재욱
34,2020-04-05 12:23:18,529,1,45051,김재욱
35,2020-04-05 10:28:31,745,14,45050,김재욱
36,2020-04-05 08:51:31,500,7,45049,김재욱
37,2020-04-04 23:41:11,1372,12,45048,김재욱
38,2020-04-04 23:26:45,552,0,45047,김재욱
39,2020-04-04 23:24:49,457,0,45046,김재욱
40,2020-04-04 10:35:12,463,1,45042,김재욱
41,2020-04-04 09:20:48,666,0,45041,김재욱
42,2020-04-02 23:08:42,567,0,45037,김재욱
43,2020-04-02 21:27:00,1628,47,45034,김재욱
44,2020-04-02 19:31:47,718,0,45033,김재욱
45,2020-04-02 16:50:23,841,1,45031,김재욱
46,2020-04-02 16:39:02,1156,28,45030,김재욱
47,2020-04-02 16:27:01,614,2,45029,김재욱
48,2020-04-02 15:05:56,625,0,45028,김재욱
49,2020-04-02 14:28:35,547,2,45027,김재욱
50,2020-04-02 13:02:56,350,0,45026,김재욱
51,2020-04-02 10:20:25,393,2,45025,김재욱
52,2020-04-02 07:49:15,326,1,45024,김재욱
53,2020-04-02 04:46:22,422,1,45023,김재욱
54,2020-04-02 04:44:32,273,1,45022,김재욱
55,2020-04-02 02:46:10,395,0,45021,김재욱
56,2020-04-02 01:14:15,274,2,45020,김재욱
57,2020-04-02 00:00:52,608,7,45019,김재욱
58,2020-04-01 22:47:30,745,0,45018,김재욱
59,2020-04-01 21:31:57,1144,15,45017,김재욱
60,2020-04-01 21:19:59,357,0,45016,김재욱
61,2020-04-01 19:54:51,415,0,45015,김재욱
62,2020-04-01 05:30:52,603,3,45014,김재욱
63,2020-04-01 05:17:39,383,0,45013,김재욱
64,2020-03-31 21:47:44,356,0,45012,김재욱
65,2020-03-31 20:50:31,642,0,45011,김재욱
66,2020-03-31 14:42:35,249,0,45009,김재욱
67,2020-03-31 12:39:53,514,0,45008,김재욱
68,2020-03-31 11:50:20,457,0,45007,김재욱
69,2020-03-31 08:49:30,311,0,45006,김재욱
70,2020-03-30 23:56:53,420,0,45005,김재욱
71,2020-03-30 18:43:11,467,0,45004,김재욱
72,2020-03-30 18:24:29,298,0,45003,김재욱
73,2020-03-30 14:44:21,269,1,45002,김재욱
74,2020-03-30 11:17:48,322,2,45001,김재욱
75,2020-03-29 19:35:21,758,1,45000,김재욱
76,2020-03-29 18:09:17,614,0,44999,김재욱
77,2020-03-29 17:33:55,441,0,44997,김재욱
78,2020-03-29 17:22:00,493,1,44996,김재욱
79,2020-03-29 16:49:50,519,1,44991,김재욱
80,2020-03-29 16:45:29,503,0,44989,김재욱
81,2020-03-29 14:05:26,521,0,44988,김재욱
82,2020-03-29 09:54:31,690,1,44986,김재욱
83,2020-03-29 00:11:01,307,0,44985,김재욱
84,2020-03-28 22:37:11,417,0,44984,김재욱
85,2020-03-28 21:47:00,521,2,44983,김재욱
86,2020-03-28 21:31:25,540,0,44982,김재욱
