,date,views,recommend,number,singer
0,2012-05-26 14:23:35,9662,27,공지,대성
1,2010-12-31 09:54:19,14014,67,공지,대성
2,2020-05-07 00:10:19,101,1,135218,대성
3,2020-05-03 02:02:04,144,14,135217,대성
4,2020-04-28 13:15:47,266,19,135216,대성
5,2020-04-27 15:17:41,123,2,135215,대성
6,2020-04-27 12:14:43,181,13,135214,대성
7,2020-04-27 10:52:47,208,16,135213,대성
8,2020-04-27 10:01:51,168,13,135212,대성
9,2020-04-26 14:09:30,180,12,135211,대성
10,2020-04-26 13:31:44,134,13,135210,대성
11,2020-04-26 00:34:10,226,12,135209,대성
12,2020-04-26 00:21:00,181,6,135208,대성
13,2020-04-26 00:05:39,247,16,135207,대성
14,2020-04-25 09:46:05,188,5,135206,대성
15,2020-04-22 11:28:05,330,13,135205,대성
16,2020-04-20 08:07:07,248,14,135204,대성
17,2020-04-09 05:57:38,378,13,135203,대성
18,2020-03-29 21:27:34,476,24,135202,대성
19,2020-03-23 11:51:53,571,26,135200,대성
20,2020-03-17 04:19:52,421,23,135196,대성
21,2020-03-02 08:14:34,594,14,135194,대성
22,2020-02-27 19:24:28,493,15,135190,대성
23,2020-02-25 20:32:22,504,16,135187,대성
24,2020-02-23 22:14:05,768,16,135185,대성
25,2020-02-23 10:13:21,577,25,135184,대성
26,2020-02-19 22:47:01,400,7,135183,대성
27,2020-02-19 21:45:29,471,5,135182,대성
28,2020-02-19 21:15:12,435,7,135181,대성
29,2020-02-19 18:38:24,725,12,135180,대성
30,2020-02-19 09:07:06,603,13,135179,대성
31,2020-02-15 08:35:26,262,6,135178,대성
32,2020-02-07 22:56:54,679,21,135176,대성
33,2020-01-27 10:28:41,275,1,135175,대성
34,2020-01-25 20:05:02,800,24,135174,대성
35,2020-01-25 19:04:42,562,17,135173,대성
36,2020-01-25 00:48:33,376,8,135172,대성
37,2020-01-22 18:17:28,338,8,135171,대성
38,2020-01-22 18:12:48,336,9,135170,대성
39,2020-01-21 11:57:02,770,0,135146,대성
40,2020-01-20 21:27:54,554,12,135141,대성
41,2020-01-20 14:40:30,321,9,135138,대성
42,2020-01-20 14:35:11,287,9,135136,대성
43,2020-01-20 14:32:49,284,6,135135,대성
44,2020-01-20 14:31:14,284,9,135134,대성
45,2020-01-20 13:08:01,289,6,135132,대성
46,2020-01-20 12:57:54,292,10,135131,대성
47,2020-01-20 12:55:45,289,7,135130,대성
48,2020-01-20 11:32:35,486,15,135128,대성
49,2020-01-16 12:42:45,942,24,135111,대성
50,2020-01-16 00:04:49,530,11,135110,대성
51,2020-01-06 16:21:10,709,0,135109,대성
52,2020-01-03 14:34:58,1075,86,135107,대성
53,2020-01-03 13:46:55,467,10,135106,대성
54,2020-01-03 13:21:02,539,9,135105,대성
55,2020-01-02 20:44:32,628,32,135104,대성
56,2020-01-01 00:10:45,681,16,135103,대성
57,2019-12-25 20:48:53,593,16,135101,대성
58,2019-12-14 13:49:28,1024,1,135100,대성
59,2019-12-01 13:57:32,693,15,135096,대성
60,2019-11-30 22:36:30,1138,32,135095,대성
61,2019-11-27 19:13:23,273,0,135094,대성
62,2019-11-22 20:32:47,671,29,135093,대성
63,2019-11-19 20:07:49,668,19,135092,대성
64,2019-11-16 18:55:01,1031,51,135088,대성
65,2019-11-13 19:16:55,742,42,135087,대성
66,2019-11-12 13:30:39,510,8,135086,대성
67,2019-11-10 22:37:01,644,6,135084,대성
68,2019-11-10 16:20:21,708,13,135083,대성
69,2019-11-10 16:17:43,640,19,135082,대성
70,2019-11-10 15:43:36,590,20,135081,대성
71,2019-11-10 15:37:22,453,2,135080,대성
72,2019-11-10 14:07:38,468,6,135079,대성
73,2019-11-10 14:04:17,440,13,135078,대성
74,2019-11-10 10:31:55,592,17,135077,대성
75,2019-11-10 10:28:51,457,12,135076,대성
76,2019-11-10 10:08:47,417,6,135075,대성
77,2019-11-10 09:55:41,465,9,135074,대성
78,2019-11-10 00:10:58,522,13,135073,대성
79,2019-11-10 00:09:41,419,8,135072,대성
80,2019-11-09 22:19:30,512,17,135071,대성
81,2019-11-09 17:19:40,453,8,135070,대성
82,2019-11-09 00:42:06,530,19,135069,대성
83,2019-11-08 15:56:02,382,9,135068,대성
84,2019-11-07 18:37:32,365,9,135067,대성
85,2019-11-06 17:52:47,378,11,135065,대성
86,2019-11-05 14:09:50,389,11,135064,대성
87,2019-11-04 14:36:29,629,27,135063,대성
88,2019-11-04 14:27:33,373,8,135062,대성
89,2019-11-03 20:21:40,376,9,135061,대성
90,2019-11-03 01:34:34,683,60,135060,대성
91,2019-11-02 17:45:12,374,8,135059,대성
92,2019-11-01 14:52:21,391,10,135058,대성
93,2019-10-31 20:14:44,369,10,135057,대성
94,2019-10-30 17:30:08,713,39,135056,대성
95,2019-10-30 12:35:09,383,6,135055,대성
96,2019-10-30 12:33:28,778,39,135054,대성
97,2019-10-29 15:34:18,366,10,135053,대성
98,2019-10-28 21:50:32,991,77,135052,대성
99,2019-10-28 18:41:29,363,5,135051,대성
100,2019-10-27 13:36:22,360,12,135050,대성
101,2019-10-26 15:10:41,381,7,135048,대성
102,2019-10-25 17:15:46,373,12,135047,대성
103,2019-10-24 14:02:20,518,14,135046,대성
104,2019-10-24 09:10:14,552,13,135045,대성
105,2019-10-23 14:45:52,329,10,135044,대성
106,2019-10-22 17:14:35,326,9,135043,대성
107,2019-10-21 15:27:15,333,8,135042,대성
108,2019-10-20 09:52:22,326,9,135041,대성
109,2019-10-19 13:54:13,304,8,135040,대성
110,2019-10-18 15:55:53,305,7,135039,대성
111,2019-10-17 13:05:42,305,8,135038,대성
112,2019-10-16 17:42:26,303,4,135037,대성
113,2019-10-16 13:30:07,365,12,135036,대성
114,2019-10-15 17:12:09,287,8,135035,대성
115,2019-10-14 19:39:25,310,11,135034,대성
116,2019-10-13 13:55:50,329,7,135033,대성
117,2019-10-12 10:52:58,326,10,135032,대성
118,2019-10-11 14:49:00,338,11,135031,대성
119,2019-10-10 09:38:17,371,15,135030,대성
120,2019-10-09 02:41:29,469,4,135029,대성
121,2019-10-07 00:30:13,693,28,135028,대성
122,2019-10-06 19:15:57,406,18,135027,대성
123,2019-10-05 06:01:43,471,22,135026,대성
124,2019-09-26 20:44:58,800,48,135025,대성
125,2019-09-26 20:24:31,515,18,135024,대성
126,2019-09-26 20:09:37,623,31,135023,대성
127,2019-09-26 00:05:33,522,20,135022,대성
128,2019-09-24 22:54:39,535,12,135021,대성
129,2019-09-24 00:41:42,456,16,135019,대성
130,2019-09-23 19:14:23,674,65,135018,대성
131,2019-09-22 22:02:17,689,68,135017,대성
132,2019-09-22 20:19:04,525,10,135016,대성
133,2019-09-21 20:13:21,604,43,135015,대성
134,2019-09-20 23:25:57,600,48,135014,대성
135,2019-09-20 14:48:41,579,70,135013,대성
136,2019-09-19 22:26:13,492,21,135011,대성
137,2019-09-19 20:14:42,524,40,135010,대성
138,2019-09-19 14:08:13,663,44,135009,대성
139,2019-09-14 20:58:14,430,21,135008,대성
140,2019-09-11 15:59:13,691,55,135007,대성
141,2019-09-03 23:14:43,659,31,135006,대성
142,2019-09-01 12:02:40,514,44,135005,대성
143,2019-08-24 16:10:36,634,6,135004,대성
144,2019-08-19 00:47:42,430,22,135003,대성
145,2019-08-09 18:47:37,510,40,135002,대성
146,2019-08-02 01:21:27,650,53,135000,대성
147,2019-08-02 00:30:00,1225,152,134999,대성
148,2019-07-27 16:41:23,558,4,134991,대성
149,2019-07-26 11:42:59,910,131,134980,대성
150,2019-07-26 11:10:41,912,135,134979,대성
151,2019-07-26 10:53:38,757,37,134977,대성
152,2019-07-26 10:51:38,605,8,134975,대성
153,2019-07-26 04:30:47,1759,25,134970,대성
154,2019-07-25 20:17:46,506,7,134959,대성
155,2019-07-25 20:13:25,338,5,134958,대성
156,2019-07-15 20:58:56,880,2,134954,대성
157,2019-07-13 15:32:12,909,0,134953,대성
158,2019-07-13 14:23:56,551,0,134952,대성
159,2019-06-21 19:40:31,773,18,134950,대성
160,2019-06-15 17:36:04,1246,81,134947,대성
161,2019-06-13 14:14:42,1186,75,134946,대성
162,2019-05-30 22:08:00,1373,78,134944,대성
163,2019-05-28 11:00:10,785,0,134943,대성
164,2019-05-27 18:27:11,770,13,134942,대성
165,2019-05-27 17:50:51,1014,42,134941,대성
166,2019-05-26 19:34:47,783,47,134940,대성
167,2019-05-15 23:37:47,989,53,134939,대성
168,2019-05-12 05:43:11,925,10,134938,대성
169,2019-05-11 12:52:48,511,15,134937,대성
170,2019-05-09 07:11:29,609,9,134936,대성
171,2019-05-07 22:45:03,801,30,134935,대성
172,2019-05-05 01:56:17,528,4,134934,대성
173,2019-05-01 16:35:21,959,45,134932,대성
174,2019-05-01 09:51:02,823,33,134931,대성
175,2019-04-30 23:14:50,613,17,134930,대성
176,2019-04-27 21:41:42,627,27,134929,대성
177,2019-04-27 00:38:45,203,1,134928,대성
178,2019-04-27 00:35:25,576,14,134927,대성
179,2019-04-27 00:07:47,521,12,134924,대성
180,2019-04-27 00:03:42,795,21,134922,대성
181,2019-04-26 23:52:33,157,0,134921,대성
182,2019-04-26 23:42:06,151,1,134920,대성
183,2019-04-26 23:30:54,624,2,134918,대성
184,2019-04-26 23:23:08,182,0,134917,대성
185,2019-04-26 23:15:45,146,0,134915,대성
186,2019-04-26 23:15:39,152,0,134914,대성
187,2019-04-26 23:15:39,154,0,134913,대성
188,2019-04-26 23:15:20,116,0,134912,대성
189,2019-04-26 23:15:19,124,0,134911,대성
190,2019-04-26 23:15:14,106,0,134910,대성
191,2019-04-26 23:15:08,124,0,134909,대성
192,2019-04-26 23:15:03,114,0,134908,대성
193,2019-04-26 23:01:42,97,0,134906,대성
194,2019-04-26 23:01:37,107,0,134905,대성
195,2019-04-26 23:01:32,84,0,134904,대성
196,2019-04-26 23:01:30,113,0,134903,대성
197,2019-04-26 23:01:21,98,0,134902,대성
198,2019-04-26 23:01:19,101,0,134901,대성
199,2019-04-26 22:53:10,93,0,134900,대성
200,2019-04-26 22:49:55,278,0,134899,대성
201,2019-04-26 22:41:49,103,0,134898,대성
202,2019-04-26 22:37:40,89,0,134897,대성
203,2019-04-26 22:37:09,98,0,134896,대성
204,2019-04-26 22:36:27,78,0,134894,대성
205,2019-04-26 22:36:24,80,0,134893,대성
206,2019-04-26 22:36:23,89,0,134892,대성
207,2019-04-26 22:36:20,65,0,134891,대성
208,2019-04-26 22:36:15,48,0,134890,대성
209,2019-04-26 22:36:08,85,0,134889,대성
210,2019-04-26 22:36:07,56,0,134888,대성
211,2019-04-26 22:36:07,51,0,134887,대성
212,2019-04-26 22:36:07,51,0,134886,대성
213,2019-04-26 22:36:03,201,0,134885,대성
214,2019-04-26 22:36:02,59,0,134884,대성
215,2019-04-26 22:36:01,56,0,134883,대성
216,2019-04-26 22:36:00,53,0,134882,대성
217,2019-04-26 22:36:00,47,0,134881,대성
218,2019-04-26 22:25:48,28,0,134879,대성
219,2019-04-26 22:25:38,49,0,134878,대성
220,2019-04-26 22:25:37,49,0,134877,대성
221,2019-04-26 22:25:30,44,0,134876,대성
222,2019-04-26 22:25:29,56,0,134875,대성
223,2019-04-26 22:25:24,28,0,134874,대성
224,2019-04-26 22:25:21,23,0,134873,대성
225,2019-04-26 22:25:21,39,0,134872,대성
226,2019-04-26 22:25:21,32,0,134871,대성
227,2019-04-26 22:25:19,35,0,134870,대성
228,2019-04-26 22:25:17,32,0,134869,대성
229,2019-04-26 22:25:14,28,0,134868,대성
230,2019-04-26 22:25:14,28,0,134867,대성
231,2019-04-26 22:25:12,63,0,134866,대성
232,2019-04-26 22:25:07,25,0,134865,대성
233,2019-04-26 22:25:06,29,0,134864,대성
234,2019-04-26 22:25:05,22,0,134863,대성
235,2019-04-26 22:25:05,26,0,134862,대성
236,2019-04-26 22:25:03,70,0,134861,대성
237,2019-04-26 22:24:58,35,0,134860,대성
238,2019-04-26 19:58:24,40,1,134859,대성
239,2019-04-26 19:36:50,40,1,134858,대성
240,2019-04-26 17:43:01,389,18,134857,대성
241,2019-04-26 17:36:26,178,0,134856,대성
242,2019-04-26 16:09:52,58,4,134855,대성
243,2019-04-26 14:44:44,95,5,134854,대성
244,2019-04-26 08:06:10,158,12,134853,대성
245,2019-04-26 06:37:45,513,30,134852,대성
246,2019-04-26 02:44:44,130,10,134851,대성
247,2019-04-26 00:57:23,193,9,134849,대성
248,2019-04-26 00:29:21,105,7,134848,대성
249,2019-04-26 00:27:48,199,20,134847,대성
250,2019-04-26 00:12:51,101,6,134846,대성
251,2019-04-26 00:06:22,97,5,134845,대성
252,2019-04-26 00:01:22,114,4,134844,대성
253,2019-04-26 00:00:59,131,8,134843,대성
254,2019-04-24 21:41:26,489,25,134842,대성
255,2019-04-23 19:15:41,422,17,134841,대성
256,2019-04-23 09:48:05,288,13,134840,대성
257,2019-04-22 17:57:09,385,15,134839,대성
258,2019-04-15 19:23:37,460,31,134837,대성
259,2019-04-15 14:58:24,524,26,134836,대성
260,2019-04-14 15:58:53,539,34,134835,대성
261,2019-04-12 14:14:56,450,31,134834,대성
262,2019-04-11 18:56:59,425,17,134833,대성
263,2019-04-11 18:45:12,309,10,134832,대성
264,2019-04-08 18:22:16,599,43,134831,대성
265,2019-04-02 18:57:40,444,15,134829,대성
266,2019-04-01 21:58:11,436,17,134828,대성
267,2019-03-26 18:17:56,678,32,134827,대성
268,2019-03-26 09:52:46,371,0,134825,대성
269,2019-03-25 21:34:13,465,2,134824,대성
270,2019-03-17 20:05:49,609,30,134823,대성
271,2019-03-13 23:45:44,737,0,134822,대성
272,2019-03-13 17:50:31,553,4,134821,대성
273,2019-03-12 23:36:09,560,30,134820,대성
274,2019-03-12 21:35:16,902,24,134819,대성
275,2019-03-12 00:22:12,533,10,134818,대성
276,2019-03-11 23:35:33,872,11,134817,대성
277,2019-03-05 11:42:36,675,7,134816,대성
278,2019-03-03 19:56:00,525,1,134815,대성
279,2019-03-01 09:48:47,659,24,134814,대성
280,2019-02-28 22:52:44,1138,35,134813,대성
281,2019-02-26 00:30:18,549,25,134812,대성
