,date,views,recommend,number,singer
0,2010-03-03 12:52:46,3627,2,공지,드렁큰 타이거
1,2010-01-14 02:46:08,9352,2,공지,드렁큰 타이거
2,2010-01-14 02:49:30,13722,2,공지,드렁큰 타이거
3,2009-07-08 13:39:41,4729,0,공지,드렁큰 타이거
4,2020-04-19 15:09:44,21,1,12086,드렁큰 타이거
5,2020-03-21 21:14:28,62,0,12081,드렁큰 타이거
6,2020-02-15 21:28:03,78,0,12074,드렁큰 타이거
7,2019-12-03 18:40:06,155,0,12072,드렁큰 타이거
8,2019-11-27 19:20:25,107,0,12071,드렁큰 타이거
9,2019-11-19 15:53:08,255,1,12070,드렁큰 타이거
10,2019-10-07 18:33:41,2046,3,12068,드렁큰 타이거
11,2019-09-19 14:37:43,256,1,12067,드렁큰 타이거
12,2019-08-24 19:43:46,185,0,12066,드렁큰 타이거
13,2019-06-27 20:35:38,226,0,12062,드렁큰 타이거
14,2019-06-25 20:18:01,239,0,12061,드렁큰 타이거
15,2019-06-15 22:46:10,219,0,12060,드렁큰 타이거
16,2019-06-15 21:10:46,228,0,12059,드렁큰 타이거
17,2019-06-15 21:10:00,231,0,12058,드렁큰 타이거
18,2019-06-15 18:45:54,213,0,12057,드렁큰 타이거
19,2019-06-13 13:55:39,226,0,12056,드렁큰 타이거
20,2019-06-08 23:10:01,257,0,12055,드렁큰 타이거
21,2019-06-08 14:49:34,307,0,12054,드렁큰 타이거
22,2019-05-22 17:17:28,254,2,12053,드렁큰 타이거
23,2019-05-13 03:52:17,282,0,12052,드렁큰 타이거
24,2019-04-12 19:27:41,310,0,12050,드렁큰 타이거
25,2019-04-05 20:28:44,270,0,12049,드렁큰 타이거
26,2019-03-21 11:11:17,489,0,12048,드렁큰 타이거
27,2019-02-21 10:47:26,420,0,12045,드렁큰 타이거
28,2019-01-28 20:11:36,298,0,12044,드렁큰 타이거
29,2019-01-07 05:55:41,386,1,12041,드렁큰 타이거
30,2019-01-06 05:04:13,281,0,12039,드렁큰 타이거
31,2019-01-04 09:08:29,344,0,12038,드렁큰 타이거
32,2019-01-01 00:04:09,292,0,12036,드렁큰 타이거
33,2018-12-31 23:36:45,274,0,12035,드렁큰 타이거
34,2018-12-28 09:35:36,428,0,12033,드렁큰 타이거
35,2018-12-14 21:42:13,303,0,12032,드렁큰 타이거
36,2018-12-14 19:04:33,299,0,12031,드렁큰 타이거
37,2018-12-03 22:50:15,400,0,12024,드렁큰 타이거
38,2018-11-21 21:53:05,440,7,12022,드렁큰 타이거
39,2018-11-20 16:08:16,325,0,12021,드렁큰 타이거
40,2018-11-20 14:36:10,426,0,12020,드렁큰 타이거
41,2018-11-16 20:54:17,512,0,12018,드렁큰 타이거
42,2018-11-16 20:42:00,435,0,12017,드렁큰 타이거
43,2018-11-16 20:39:18,430,1,12016,드렁큰 타이거
44,2018-11-15 18:24:16,318,0,12015,드렁큰 타이거
45,2018-11-14 19:36:57,312,0,12014,드렁큰 타이거
46,2018-11-14 19:33:19,315,0,12013,드렁큰 타이거
47,2018-11-14 19:29:49,321,0,12012,드렁큰 타이거
48,2018-11-14 19:26:30,308,1,12011,드렁큰 타이거
49,2018-11-14 19:23:29,429,1,12010,드렁큰 타이거
50,2018-11-14 19:19:29,296,0,12009,드렁큰 타이거
51,2018-11-14 19:17:05,274,0,12008,드렁큰 타이거
52,2018-11-14 19:14:28,268,0,12007,드렁큰 타이거
53,2018-11-14 19:08:34,228,0,12006,드렁큰 타이거
54,2018-11-14 19:05:26,418,4,12005,드렁큰 타이거
55,2018-11-14 19:00:18,185,0,12004,드렁큰 타이거
56,2018-11-14 18:57:36,198,0,12003,드렁큰 타이거
57,2018-11-14 18:54:19,212,0,12002,드렁큰 타이거
