,date,views,recommend,number,singer
0,2011-04-15 16:06:58,4427,3,공지,류수영&amp;박예진
1,2011-01-03 23:39:00,5667,10,공지,류수영&amp;박예진
2,2010-12-07 23:37:17,11304,1,공지,류수영&amp;박예진
3,2010-12-07 23:20:49,6006,4,공지,류수영&amp;박예진
4,2010-12-04 23:25:10,2947,2,공지,류수영&amp;박예진
5,2020-05-06 23:23:40,43,1,80858,류수영&amp;박예진
6,2020-04-10 16:42:29,46,0,80857,류수영&amp;박예진
7,2020-03-04 23:26:06,77,0,80852,류수영&amp;박예진
8,2020-02-19 11:02:47,105,0,80848,류수영&amp;박예진
9,2020-02-12 23:07:46,111,1,80847,류수영&amp;박예진
10,2020-01-25 21:10:29,180,2,80846,류수영&amp;박예진
11,2020-01-20 23:45:49,282,6,80845,류수영&amp;박예진
12,2019-12-31 00:28:53,538,17,80843,류수영&amp;박예진
13,2019-12-28 18:43:57,264,2,80842,류수영&amp;박예진
14,2019-12-20 01:59:15,222,2,80841,류수영&amp;박예진
15,2019-11-27 19:26:12,150,0,80840,류수영&amp;박예진
16,2019-11-22 00:31:28,306,1,80838,류수영&amp;박예진
17,2019-11-10 11:35:38,293,3,80837,류수영&amp;박예진
18,2019-11-04 18:29:45,286,1,80836,류수영&amp;박예진
19,2019-11-03 00:25:03,280,0,80835,류수영&amp;박예진
20,2019-10-24 00:29:09,280,0,80834,류수영&amp;박예진
21,2019-10-19 00:55:06,260,0,80833,류수영&amp;박예진
22,2019-10-12 10:37:19,416,4,80832,류수영&amp;박예진
23,2019-10-12 00:34:27,341,2,80831,류수영&amp;박예진
24,2019-10-05 00:15:35,292,0,80830,류수영&amp;박예진
25,2019-09-27 14:08:08,262,0,80829,류수영&amp;박예진
26,2019-09-23 14:49:14,317,0,80828,류수영&amp;박예진
27,2019-09-14 21:36:26,407,0,80826,류수영&amp;박예진
28,2019-09-10 13:11:53,363,1,80825,류수영&amp;박예진
29,2019-08-17 00:44:53,244,0,80820,류수영&amp;박예진
30,2019-05-04 04:31:43,534,5,80771,류수영&amp;박예진
31,2019-04-28 08:20:35,510,2,80770,류수영&amp;박예진
32,2019-04-27 23:23:59,522,2,80769,류수영&amp;박예진
33,2019-02-22 11:37:32,1146,0,80763,류수영&amp;박예진
34,2019-02-03 21:15:46,673,4,80762,류수영&amp;박예진
35,2019-01-29 00:00:04,709,4,80761,류수영&amp;박예진
36,2019-01-18 00:10:05,946,6,80739,류수영&amp;박예진
37,2019-01-05 04:27:32,426,0,80734,류수영&amp;박예진
38,2019-01-02 08:29:36,475,0,80733,류수영&amp;박예진
39,2018-12-28 11:53:10,491,0,80730,류수영&amp;박예진
40,2018-12-22 04:53:24,467,0,80725,류수영&amp;박예진
41,2018-12-11 19:22:02,390,0,80710,류수영&amp;박예진
42,2018-11-08 19:49:37,850,1,80689,류수영&amp;박예진
43,2018-10-04 19:44:35,674,2,80681,류수영&amp;박예진
44,2018-09-26 22:09:14,595,0,80673,류수영&amp;박예진
45,2018-08-05 00:14:35,669,0,80633,류수영&amp;박예진
46,2018-07-28 15:50:13,686,0,80631,류수영&amp;박예진
47,2018-07-22 12:52:44,424,0,80614,류수영&amp;박예진
48,2018-06-28 11:00:05,484,4,80503,류수영&amp;박예진
49,2018-05-28 16:24:31,827,0,80486,류수영&amp;박예진
50,2018-05-21 00:15:34,781,2,80485,류수영&amp;박예진
51,2017-11-17 16:18:19,742,0,80441,류수영&amp;박예진
52,2017-10-15 20:08:38,1644,2,80433,류수영&amp;박예진
53,2017-10-02 22:32:52,1267,0,80432,류수영&amp;박예진
54,2017-09-29 12:42:55,852,0,80431,류수영&amp;박예진
55,2017-06-20 12:03:24,640,0,80402,류수영&amp;박예진
56,2017-05-07 23:45:31,1623,0,80394,류수영&amp;박예진
57,2017-04-25 10:43:37,647,3,80392,류수영&amp;박예진
58,2017-01-22 22:44:08,2416,12,80373,류수영&amp;박예진
59,2017-01-22 22:39:57,894,2,80372,류수영&amp;박예진
60,2017-01-13 14:22:30,1818,0,80366,류수영&amp;박예진
61,2017-01-07 08:49:53,718,0,80364,류수영&amp;박예진
