,date,views,recommend,number,singer
0,2007-08-30 13:03:45,4333,5,공지,류진
1,2020-04-03 18:39:09,136,1,32440,류진
2,2020-03-19 22:39:56,164,0,32436,류진
3,2020-03-16 00:20:02,235,0,32433,류진
4,2020-02-27 12:05:01,145,0,32432,류진
5,2019-11-27 19:26:57,132,0,32430,류진
6,2019-06-18 12:00:57,1661,2,32382,류진
7,2019-03-08 22:40:40,1215,1,32371,류진
8,2019-02-19 18:02:44,731,0,32369,류진
9,2019-02-19 00:54:58,526,0,32368,류진
10,2019-01-22 13:39:59,838,0,32360,류진
11,2019-01-21 22:06:33,547,0,32359,류진
12,2018-06-29 08:39:58,657,0,31096,류진
13,2018-04-21 13:52:49,504,1,25951,류진
14,2018-04-05 22:46:21,629,0,23237,류진
15,2017-10-09 13:16:56,1130,0,19864,류진
16,2017-09-09 17:00:20,408,0,19858,류진
17,2017-09-05 20:52:42,440,0,19845,류진
18,2017-07-09 04:48:02,283,0,19792,류진
19,2017-07-06 12:13:33,333,0,19791,류진
20,2017-06-27 23:18:01,319,0,19790,류진
21,2017-06-27 23:17:43,280,0,19789,류진
22,2017-06-18 18:16:46,394,0,19788,류진
23,2017-06-06 03:19:37,381,0,19783,류진
24,2016-09-28 16:27:05,314,0,19614,류진
25,2016-09-12 08:35:09,281,0,19601,류진
26,2016-05-30 02:33:01,221,0,19437,류진
27,2016-05-30 02:20:25,415,0,19436,류진
28,2016-03-09 14:15:09,289,0,19288,류진
29,2016-01-16 09:37:16,450,0,19277,류진
30,2016-01-11 04:19:27,455,0,19274,류진
31,2016-01-10 18:20:34,401,0,19273,류진
32,2016-01-09 23:05:38,340,0,19272,류진
33,2016-01-07 09:43:17,397,0,19271,류진
34,2016-01-05 09:27:44,385,0,19270,류진
35,2016-01-04 15:21:47,290,0,19269,류진
36,2016-01-03 23:30:21,366,0,19268,류진
37,2016-01-02 20:05:50,465,0,19267,류진
38,2016-01-02 18:54:26,391,0,19266,류진
39,2015-12-31 20:47:17,324,0,19263,류진
40,2015-12-30 23:00:14,373,0,19262,류진
41,2015-12-29 22:40:41,343,0,19261,류진
42,2015-12-28 21:53:01,304,0,19260,류진
43,2015-12-27 07:03:59,357,0,19259,류진
44,2015-12-26 20:23:29,346,0,19258,류진
45,2015-12-25 16:59:52,304,0,19257,류진
46,2015-12-24 22:42:47,560,0,19256,류진
47,2015-12-24 18:04:50,289,0,19255,류진
48,2015-12-24 17:58:28,329,0,19254,류진
