,date,views,recommend,number,singer
0,2012-10-08 11:21:04,6818,25,공지,박기웅
1,2010-02-22 00:51:16,13626,176,공지,박기웅
2,2010-02-09 00:35:42,10433,53,공지,박기웅
3,2009-09-03 05:13:38,8410,10,공지,박기웅
4,2020-05-01 15:34:16,33,0,28691,박기웅
5,2020-03-16 03:22:50,99,0,28688,박기웅
6,2019-09-10 15:17:18,286,2,28678,박기웅
7,2019-09-09 22:29:47,245,0,28677,박기웅
8,2019-08-25 17:36:18,449,1,28675,박기웅
9,2019-07-27 10:32:00,924,14,28671,박기웅
10,2019-06-24 14:08:36,699,11,28669,박기웅
11,2019-06-22 18:38:02,967,20,28668,박기웅
12,2019-06-14 19:54:18,698,7,28666,박기웅
13,2019-05-21 06:09:54,537,10,28665,박기웅
14,2019-02-13 10:40:26,910,0,28659,박기웅
15,2019-01-02 03:38:40,936,2,28654,박기웅
16,2018-12-11 23:27:37,690,0,28641,박기웅
17,2018-12-11 23:26:20,609,0,28640,박기웅
18,2018-11-05 01:37:52,534,0,28623,박기웅
19,2018-10-21 17:41:57,581,1,28622,박기웅
20,2018-10-10 20:38:37,388,0,28621,박기웅
21,2018-09-29 18:32:32,593,0,28616,박기웅
22,2018-09-26 18:03:00,736,0,28613,박기웅
23,2018-09-21 16:34:40,426,0,28612,박기웅
24,2018-09-12 13:12:40,342,0,28587,박기웅
25,2018-08-30 20:12:40,577,1,28580,박기웅
26,2018-08-30 20:10:17,421,0,28579,박기웅
27,2018-08-30 20:04:28,401,0,28578,박기웅
28,2018-08-30 20:01:48,438,1,28577,박기웅
29,2018-08-28 20:44:49,579,1,28576,박기웅
30,2018-08-28 20:42:07,590,1,28575,박기웅
31,2018-08-07 10:51:45,891,2,28574,박기웅
32,2018-07-07 19:12:21,523,0,28537,박기웅
33,2018-06-29 10:53:04,735,0,28510,박기웅
34,2018-06-04 00:49:23,675,0,28493,박기웅
35,2018-05-23 21:11:19,714,0,28492,박기웅
36,2018-05-03 10:50:06,601,0,28491,박기웅
37,2018-05-02 22:47:33,589,5,28490,박기웅
38,2018-04-21 08:40:41,664,1,28488,박기웅
39,2018-04-19 12:11:14,600,0,28487,박기웅
40,2018-04-09 12:45:40,519,5,28486,박기웅
41,2018-04-06 00:19:34,423,1,28485,박기웅
42,2018-03-24 18:27:53,481,0,28484,박기웅
43,2018-03-16 19:14:45,745,1,28483,박기웅
44,2018-03-16 16:20:00,648,7,28481,박기웅
45,2018-03-10 09:14:02,436,0,28479,박기웅
46,2018-03-07 23:39:44,546,1,28477,박기웅
47,2018-02-28 16:57:42,895,9,28476,박기웅
48,2018-02-16 04:10:30,567,1,28475,박기웅
