,date,views,recommend,number,singer
0,2016-08-20 02:35:09,18444,173,공지,소년24
1,2020-05-06 20:25:39,42,0,324661,소년24
2,2020-05-05 19:22:38,75,1,324660,소년24
3,2020-04-25 22:01:57,228,0,324659,소년24
4,2020-04-21 03:23:32,225,1,324658,소년24
5,2020-04-08 22:37:10,373,1,324656,소년24
6,2020-03-31 07:48:45,376,12,324655,소년24
7,2020-03-27 10:26:33,232,1,324654,소년24
8,2020-03-26 20:00:27,357,2,324653,소년24
9,2020-03-26 03:03:25,574,2,324652,소년24
10,2020-03-22 01:09:47,304,2,324650,소년24
11,2020-03-17 16:04:30,460,4,324647,소년24
12,2020-03-15 15:16:58,262,0,324646,소년24
13,2020-03-15 15:12:41,238,0,324645,소년24
14,2020-03-15 02:13:18,260,0,324644,소년24
15,2020-02-27 06:49:00,806,1,324640,소년24
16,2020-02-26 17:59:19,325,0,324638,소년24
17,2020-02-23 00:06:51,385,1,324634,소년24
18,2020-02-16 04:11:52,616,3,324631,소년24
19,2020-02-12 14:02:45,759,4,324630,소년24
20,2020-02-07 17:07:43,509,0,324628,소년24
21,2020-02-02 13:00:22,387,2,324627,소년24
22,2020-01-31 02:59:42,544,0,324626,소년24
23,2020-01-30 04:10:20,408,0,324625,소년24
24,2020-01-29 12:23:09,506,1,324624,소년24
25,2020-01-13 00:29:55,628,2,324623,소년24
26,2019-12-30 04:13:33,742,3,324622,소년24
27,2019-12-27 20:14:18,594,2,324621,소년24
28,2019-12-27 05:24:07,734,8,324620,소년24
29,2019-12-18 15:39:01,928,16,324619,소년24
30,2019-12-12 13:54:52,632,3,324617,소년24
31,2019-12-12 13:26:36,943,3,324616,소년24
32,2019-12-10 20:25:06,694,0,324615,소년24
33,2019-12-03 15:28:51,382,1,324613,소년24
34,2019-11-27 19:31:31,211,0,324612,소년24
35,2019-11-14 17:20:56,725,2,324611,소년24
36,2019-11-13 19:39:03,621,0,324609,소년24
37,2019-11-08 20:00:39,679,0,324608,소년24
38,2019-11-03 04:43:44,954,13,324606,소년24
39,2019-10-28 01:07:48,809,5,324605,소년24
40,2019-10-25 18:49:47,938,6,324604,소년24
41,2019-10-19 03:45:49,986,31,324603,소년24
42,2019-10-17 03:53:01,483,0,324602,소년24
43,2019-10-16 13:21:53,900,2,324601,소년24
44,2019-10-16 09:08:18,923,7,324600,소년24
45,2019-10-16 07:55:24,759,7,324599,소년24
46,2019-10-16 00:56:41,872,10,324597,소년24
47,2019-10-16 00:14:09,636,0,324595,소년24
48,2019-10-15 23:54:28,973,2,324594,소년24
49,2019-10-15 21:07:11,825,4,324593,소년24
50,2019-10-12 22:14:07,535,21,324592,소년24
51,2019-10-06 17:11:12,1517,46,324591,소년24
52,2019-10-02 21:03:31,1010,1,324590,소년24
53,2019-10-02 16:23:35,1043,2,324589,소년24
54,2019-09-27 19:11:31,761,1,324587,소년24
55,2019-09-16 23:52:41,931,0,324584,소년24
56,2019-09-13 23:56:02,1397,12,324583,소년24
57,2019-09-09 18:15:00,870,8,324582,소년24
58,2019-09-07 09:09:42,1175,20,324581,소년24
59,2019-09-06 13:52:36,768,5,324580,소년24
60,2019-09-05 23:13:51,1302,12,324579,소년24
61,2019-09-05 21:38:32,817,14,324578,소년24
62,2019-09-05 20:39:34,1074,6,324577,소년24
63,2019-09-05 16:30:57,845,9,324575,소년24
64,2019-09-05 15:59:10,1499,40,324574,소년24
65,2019-09-05 13:24:02,582,6,324573,소년24
66,2019-09-05 13:14:35,621,8,324572,소년24
67,2019-09-02 17:01:38,726,2,324571,소년24
68,2019-08-29 21:47:05,883,0,324569,소년24
69,2019-08-26 05:15:06,1288,2,324568,소년24
70,2019-08-21 22:53:18,1625,17,324567,소년24
71,2019-08-19 18:08:29,1079,0,324566,소년24
72,2019-08-17 09:54:58,485,6,324564,소년24
73,2019-08-16 18:06:58,822,0,324563,소년24
74,2019-08-16 12:00:38,849,3,324562,소년24
75,2019-08-16 01:24:05,402,2,324561,소년24
76,2019-08-15 19:02:05,471,5,324560,소년24
77,2019-08-15 01:40:56,289,4,324559,소년24
78,2019-08-14 18:45:35,604,3,324558,소년24
79,2019-08-12 15:24:25,1476,22,324556,소년24
80,2019-08-11 13:41:14,396,0,324555,소년24
81,2019-08-10 17:50:24,682,7,324554,소년24
82,2019-08-06 18:59:28,1202,1,324550,소년24
83,2019-08-06 03:50:58,386,0,324548,소년24
84,2019-08-06 03:48:50,490,0,324547,소년24
85,2019-08-06 01:51:39,298,0,324545,소년24
86,2019-08-06 01:51:24,322,0,324544,소년24
87,2019-08-06 00:10:58,655,0,324543,소년24
88,2019-08-05 15:53:10,364,0,324542,소년24
89,2019-08-04 09:05:27,448,1,324541,소년24
90,2019-08-04 02:46:53,960,3,324540,소년24
91,2019-08-04 02:09:44,627,0,324539,소년24
92,2019-08-04 02:02:10,430,0,324538,소년24
93,2019-08-04 01:19:51,1031,1,324537,소년24
